Date,Open,High,Low,Close,Volume
2013.01.17 16:30,5.05,5.15,5.04,5.06,136
2013.01.17 20:30,5.07,5.08,5.05,5.07,9
2013.01.18 16:30,5.08,5.12,4.98,5.00,116
2013.01.18 20:30,5.01,5.03,4.90,4.92,47
2013.01.22 16:30,4.97,4.97,4.78,4.84,137
2013.01.22 20:30,4.83,4.85,4.79,4.82,54
2013.01.23 16:30,4.86,5.05,4.80,5.03,154
2013.01.23 20:30,5.04,5.07,5.03,5.06,39
2013.01.24 16:30,4.99,5.25,4.99,5.16,298
2013.01.24 20:30,5.15,5.21,5.06,5.17,125
2013.01.25 16:30,5.19,5.33,5.16,5.27,230
2013.01.25 20:30,5.28,5.30,5.24,5.25,46
2013.01.28 16:30,5.29,5.38,5.26,5.36,139
2013.01.28 20:30,5.35,5.39,5.34,5.38,17
2013.01.29 16:30,5.37,5.38,5.23,5.25,111
2013.01.29 20:30,5.26,5.26,5.25,5.26,3
2013.01.30 16:30,5.32,5.33,5.15,5.18,108
2013.01.30 20:30,5.19,5.29,5.18,5.26,94
2013.01.31 16:30,5.19,5.36,5.19,5.36,103
2013.01.31 20:30,5.37,5.50,5.37,5.50,105
2013.02.01 16:30,5.48,5.69,5.40,5.66,255
2013.02.01 20:30,5.65,5.74,5.57,5.63,104
2013.02.04 16:30,5.56,5.62,5.40,5.43,212
2013.02.04 20:30,5.42,5.46,5.21,5.22,100
2013.02.05 16:30,5.29,5.29,5.06,5.13,274
2013.02.05 20:30,5.14,5.14,5.02,5.11,83
2013.02.06 16:30,5.12,5.41,5.12,5.31,210
2013.02.06 20:30,5.30,5.38,5.30,5.38,45
2013.02.07 16:30,5.40,5.48,5.19,5.27,188
2013.02.07 20:30,5.26,5.36,5.26,5.27,81
2013.02.08 16:30,5.32,5.48,5.31,5.46,186
2013.02.08 20:30,5.45,5.46,5.45,5.46,2
2013.02.11 16:30,5.45,5.48,5.34,5.37,169
2013.02.11 20:30,5.35,5.37,5.34,5.34,8
2013.02.12 16:30,5.40,5.57,5.36,5.44,157
2013.02.12 20:30,5.45,5.45,5.27,5.27,38
2013.02.13 16:30,5.61,5.68,5.50,5.61,246
2013.02.13 20:30,5.62,5.67,5.55,5.56,76
2013.02.14 16:30,5.63,5.73,5.59,5.71,216
2013.02.14 20:30,5.70,6.00,5.70,5.93,175
2013.02.15 16:30,5.92,6.05,5.83,5.92,298
2013.02.15 20:30,5.93,5.94,5.85,5.93,65
2013.02.19 16:30,5.96,6.15,5.88,6.07,173
