Date,Open,High,Low,Close,Volume
2013.01.15 16:30,166.43,167.67,166.14,167.06,309
2013.01.15 20:30,167.16,167.29,166.44,166.94,330
2013.01.16 16:30,165.95,166.74,165.60,166.33,327
2013.01.16 20:30,166.40,166.86,165.79,166.69,364
2013.01.17 16:30,166.83,167.50,165.15,167.31,270
2013.01.17 20:30,167.31,168.43,167.16,168.06,338
2013.01.18 16:30,167.78,168.28,166.25,167.28,372
2013.01.18 20:30,167.30,167.62,166.67,167.62,1403
2013.01.22 16:30,167.56,167.56,163.40,164.73,400
2013.01.22 20:30,164.63,165.27,164.40,165.15,1282
2013.01.23 16:30,163.30,164.26,161.09,163.67,369
2013.01.23 20:30,163.58,164.20,163.50,164.18,933
2013.01.24 16:30,163.73,165.54,163.73,164.89,303
2013.01.24 20:30,164.89,165.74,164.44,165.33,883
2013.01.25 16:30,167.53,170.04,167.44,169.81,322
2013.01.25 20:30,169.81,170.27,169.74,170.02,1068
2013.01.28 16:30,169.76,169.87,167.91,168.39,319
2013.01.28 20:30,168.38,169.02,168.24,168.87,896
2013.01.29 16:30,168.26,168.57,166.67,168.47,316
2013.01.29 20:30,168.48,168.56,167.57,167.89,994
2013.01.30 16:30,167.49,167.75,166.39,167.69,336
2013.01.30 20:30,167.62,168.03,166.85,167.19,875
2013.01.31 16:30,166.40,166.45,165.12,166.19,294
2013.01.31 20:30,166.21,166.85,166.03,166.58,982
2013.02.01 16:30,164.00,164.00,161.11,161.61,328
2013.02.01 20:30,161.67,162.14,161.18,161.29,1373
2013.02.04 16:30,162.39,163.80,161.56,161.97,184
2013.02.04 20:30,161.75,163.08,161.73,162.40,601
2013.02.05 16:30,162.79,164.60,162.79,164.60,229
2013.02.05 20:30,164.60,165.07,163.46,164.81,714
2013.02.06 16:30,175.39,178.11,174.96,175.78,255
2013.02.06 20:30,175.85,176.24,173.75,174.52,972
2013.02.07 16:30,175.34,176.81,173.13,176.56,197
2013.02.07 20:30,176.77,178.06,176.34,178.06,659
2013.02.08 16:30,177.21,179.09,176.61,176.70,281
2013.02.08 20:30,176.70,178.11,176.66,177.46,684
2013.02.11 16:30,177.20,178.03,175.61,176.41,299
2013.02.11 20:30,176.41,177.09,176.04,176.93,549
2013.02.12 16:30,176.25,178.09,176.25,177.04,222
2013.02.12 20:30,176.98,177.10,176.31,176.79,567
2013.02.13 16:30,176.54,177.38,175.83,176.79,247
2013.02.13 20:30,176.79,177.10,175.30,175.47,713
2013.02.14 16:30,174.64,174.99,173.25,174.50,239
2013.02.14 20:30,174.62,175.09,174.47,174.78,551
2013.02.15 16:30,175.36,176.74,175.36,176.64,236
2013.02.15 20:30,176.75,177.27,174.79,175.94,667
2013.02.19 16:30,175.69,177.20,175.11,176.12,209
2013.02.19 20:30,176.12,177.53,176.07,176.93,581
2013.02.20 16:30,175.93,176.40,174.94,175.30,202
2013.02.20 20:30,175.03,175.32,173.10,173.39,341
2013.02.21 16:30,172.64,172.64,170.55,170.67,174
2013.02.21 20:30,170.76,171.35,170.10,170.56,425
2013.02.22 16:30,171.89,171.89,170.04,170.53,189
2013.02.22 20:30,170.66,171.28,169.92,170.98,584
2013.02.25 16:30,172.03,173.51,171.44,171.80,141
2013.02.25 20:30,171.66,171.81,168.91,168.91,324
2013.02.26 16:30,170.71,171.77,168.32,169.74,142
2013.02.26 20:30,169.80,170.57,169.57,170.17,589
2013.02.27 16:30,171.02,172.89,170.59,172.47,171
