Date,Open,High,Low,Close,Volume
2013.01.17 20:30,12.78,12.91,12.78,12.79,57
2013.01.18 16:30,12.80,12.97,12.80,12.94,317
2013.01.18 20:30,12.93,13.01,12.92,12.99,37
2013.01.22 16:30,13.01,13.24,12.96,13.12,428
2013.01.22 20:30,13.11,13.20,13.07,13.14,70
2013.01.23 16:30,13.21,13.29,12.90,12.91,462
2013.01.23 20:30,12.92,13.01,12.88,12.93,107
2013.01.24 16:30,13.01,13.07,12.87,12.89,337
2013.01.24 20:30,12.88,12.90,12.82,12.83,141
2013.01.25 16:30,12.89,13.04,12.82,12.97,354
2013.01.25 20:30,12.96,13.02,12.92,12.96,67
2013.01.28 16:30,13.15,13.27,13.10,13.25,270
2013.01.28 20:30,13.26,13.45,13.24,13.37,169
2013.01.29 16:30,13.36,13.55,13.24,13.54,363
2013.01.29 20:30,13.55,13.68,13.53,13.67,150
2013.01.30 16:30,13.64,13.76,13.46,13.59,334
2013.01.30 20:30,13.60,13.60,13.44,13.47,171
2013.01.31 16:30,13.43,13.53,13.36,13.40,161
2013.01.31 20:30,13.41,13.49,13.40,13.48,64
2013.02.01 16:30,13.58,13.59,13.45,13.53,145
2013.02.01 20:30,13.52,13.52,13.46,13.50,34
2013.02.04 16:30,13.48,13.67,13.30,13.35,285
2013.02.04 20:30,13.34,13.42,13.33,13.34,55
2013.02.05 16:30,13.44,13.70,13.33,13.70,246
2013.02.05 20:30,13.69,13.72,13.53,13.54,100
2013.02.06 16:30,13.48,13.53,13.39,13.40,159
2013.02.06 20:30,13.41,13.47,13.38,13.45,91
2013.02.07 16:30,13.46,13.53,13.04,13.16,311
2013.02.07 20:30,13.17,13.24,13.14,13.14,78
2013.02.08 16:30,13.26,13.43,13.07,13.10,161
2013.02.08 20:30,13.11,13.11,13.10,13.10,4
2013.02.11 16:30,13.04,13.18,12.95,13.15,224
2013.02.11 20:30,13.14,13.19,13.10,13.16,63
2013.02.12 16:30,13.19,13.21,13.05,13.10,136
2013.02.12 20:30,13.09,13.09,13.02,13.03,25
2013.02.13 16:30,12.95,13.00,12.76,12.82,215
2013.02.13 20:30,12.83,12.90,12.83,12.86,51
2013.02.14 16:30,12.83,12.88,12.56,12.84,200
2013.02.14 20:30,12.85,12.88,12.83,12.87,46
2013.02.15 16:30,12.95,12.99,12.85,12.91,182
2013.02.15 20:30,12.92,12.99,12.81,12.94,186
2013.02.19 16:30,14.77,15.18,14.15,14.18,1345
2013.02.19 20:30,14.19,14.69,14.19,14.63,422
2013.02.20 16:30,14.64,14.75,13.51,13.67,1287
2013.02.20 20:30,13.68,13.92,13.56,13.60,384
2013.02.21 16:30,13.58,13.70,13.39,13.42,461
2013.02.21 20:30,13.41,13.44,13.25,13.28,226
2013.02.22 16:30,13.34,13.66,13.09,13.24,415
2013.02.22 20:30,13.23,13.44,13.22,13.26,143
2013.02.25 16:30,13.36,13.71,13.16,13.66,488
2013.02.25 20:30,13.65,13.72,13.54,13.54,246
2013.02.26 16:30,13.47,13.65,13.20,13.23,680
2013.02.26 20:30,13.24,13.31,13.20,13.20,193
2013.02.27 16:30,13.25,13.31,13.16,13.24,355
2013.02.27 20:30,13.25,13.30,13.20,13.24,91
2013.02.28 16:30,13.22,13.35,13.15,13.23,241
2013.02.28 20:30,13.22,13.24,13.16,13.17,70
2013.03.01 16:30,13.31,13.31,12.93,12.99,374
2013.03.01 20:30,12.98,13.02,12.94,12.99,85
2013.03.04 16:30,12.98,13.12,12.91,13.00,280
2013.03.04 20:30,13.01,13.12,12.99,13.06,127
2013.03.05 16:30,13.09,13.37,13.09,13.22,321
2013.03.05 20:30,13.23,13.28,13.05,13.28,164
2013.03.06 16:30,12.83,12.90,12.29,12.42,774
2013.03.06 20:30,12.43,12.44,12.08,12.38,213
2013.03.07 16:30,12.31,12.64,12.28,12.56,377
2013.03.07 20:30,12.55,12.79,12.54,12.75,188
2013.03.08 16:30,12.80,12.96,12.76,12.92,608
2013.03.08 20:30,12.91,12.99,12.89,12.94,102
2013.03.11 16:30,12.93,13.14,12.85,13.11,220
2013.03.11 20:30,13.10,13.16,13.10,13.13,36
2013.03.12 16:30,13.11,13.16,13.03,13.08,198
2013.03.12 20:30,13.09,13.09,12.96,13.02,61
2013.03.13 16:30,13.06,13.40,13.06,13.38,303
2013.03.13 20:30,13.40,13.61,13.34,13.58,221
2013.03.14 16:30,13.55,13.64,13.39,13.48,370
2013.03.14 20:30,13.47,13.50,13.43,13.48,60
2013.03.15 16:30,13.46,13.52,13.32,13.49,292
2013.03.15 20:30,13.50,13.50,13.34,13.39,80
2013.03.18 16:30,13.28,13.55,13.19,13.47,230
2013.03.18 20:30,13.48,13.52,13.40,13.43,98
2013.03.19 16:30,13.46,13.49,13.25,13.27,178
2013.03.19 20:30,13.26,13.45,13.25,13.45,203
