Date,Open,High,Low,Close,Volume
2017.01.04 20:30,12.70,12.70,12.66,12.66,5
2017.01.04 20:35,12.67,12.67,12.67,12.67,1
2017.01.04 20:40,12.68,12.68,12.67,12.67,2
2017.01.04 20:45,12.68,12.68,12.68,12.68,2
2017.01.04 20:50,12.67,12.67,12.63,12.63,5
2017.01.04 20:55,12.63,12.65,12.63,12.64,4
2017.01.04 21:00,12.65,12.69,12.64,12.69,7
2017.01.04 21:05,12.71,12.71,12.68,12.69,5
2017.01.04 21:10,12.70,12.73,12.70,12.72,5
2017.01.04 21:15,12.73,12.73,12.72,12.72,2
2017.01.04 21:20,12.73,12.74,12.70,12.70,11
2017.01.04 21:25,12.71,12.77,12.71,12.77,7
2017.01.04 21:30,12.79,12.83,12.79,12.83,8
2017.01.04 21:35,12.84,12.84,12.82,12.83,6
2017.01.04 21:40,12.82,12.82,12.78,12.78,5
2017.01.04 21:45,12.77,12.79,12.75,12.79,6
2017.01.04 21:50,12.80,12.84,12.80,12.83,9
2017.01.04 21:55,12.84,12.87,12.83,12.87,13
2017.01.04 22:00,12.86,12.88,12.85,12.85,13
2017.01.04 22:05,12.86,12.86,12.86,12.86,1
2017.01.04 22:10,12.84,12.84,12.82,12.82,3
2017.01.04 22:15,12.81,12.81,12.79,12.79,5
2017.01.04 22:20,12.78,12.82,12.77,12.82,7
2017.01.04 22:25,12.81,12.83,12.80,12.82,6
2017.01.04 22:30,12.83,12.83,12.83,12.83,1
2017.01.04 22:35,12.81,12.83,12.81,12.83,3
2017.01.04 22:45,12.83,12.83,12.81,12.81,5
2017.01.04 22:50,12.80,12.80,12.79,12.79,2
2017.01.04 22:55,12.80,12.80,12.79,12.80,5
2017.01.05 16:30,12.38,12.38,12.20,12.27,79
2017.01.05 16:35,12.27,12.35,12.22,12.31,99
2017.01.05 16:40,12.32,12.45,12.24,12.39,100
2017.01.05 16:45,12.40,12.45,12.30,12.33,66
2017.01.05 16:50,12.34,12.34,12.25,12.31,42
2017.01.05 16:55,12.32,12.36,12.29,12.32,24
2017.01.05 17:00,12.33,12.33,12.26,12.31,26
2017.01.05 17:05,12.31,12.36,12.29,12.29,17
2017.01.05 17:10,12.29,12.35,12.28,12.33,25
2017.01.05 17:15,12.34,12.34,12.26,12.26,24
2017.01.05 17:20,12.25,12.27,12.21,12.24,32
2017.01.05 17:25,12.25,12.28,12.23,12.24,29
2017.01.05 17:30,12.24,12.24,12.10,12.12,35
2017.01.05 17:35,12.13,12.16,12.10,12.15,26
2017.01.05 17:40,12.16,12.25,12.14,12.22,27
2017.01.05 17:45,12.23,12.23,12.17,12.20,27
2017.01.05 17:50,12.21,12.22,12.18,12.20,16
2017.01.05 17:55,12.19,12.28,12.19,12.27,18
2017.01.05 18:00,12.26,12.35,12.25,12.32,31
2017.01.05 18:05,12.31,12.33,12.25,12.31,41
2017.01.05 18:10,12.32,12.33,12.30,12.31,20
2017.01.05 18:15,12.30,12.31,12.26,12.27,20
2017.01.05 18:20,12.26,12.26,12.20,12.24,31
2017.01.05 18:25,12.23,12.26,12.19,12.22,28
2017.01.05 18:30,12.22,12.24,12.19,12.23,26
2017.01.05 18:35,12.24,12.25,12.22,12.22,22
2017.01.05 18:40,12.21,12.22,12.14,12.15,29
2017.01.05 18:45,12.13,12.16,12.11,12.11,17
2017.01.05 18:50,12.12,12.15,12.12,12.15,10
2017.01.05 18:55,12.14,12.18,12.14,12.15,16
2017.01.05 19:00,12.16,12.16,12.11,12.14,13
2017.01.05 19:05,12.13,12.13,12.10,12.13,15
2017.01.05 19:10,12.12,12.12,12.09,12.11,12
2017.01.05 19:15,12.12,12.15,12.12,12.15,19
2017.01.05 19:20,12.14,12.15,12.13,12.14,12
2017.01.05 19:25,12.13,12.16,12.13,12.16,6
2017.01.05 19:30,12.15,12.17,12.14,12.15,9
2017.01.05 19:35,12.14,12.14,12.12,12.12,5
2017.01.05 19:40,12.13,12.15,12.12,12.15,10
2017.01.05 19:45,12.16,12.18,12.15,12.17,13
2017.01.05 19:50,12.18,12.18,12.14,12.15,10
2017.01.05 19:55,12.16,12.17,12.15,12.17,4
2017.01.05 20:00,12.18,12.19,12.16,12.18,9
2017.01.05 20:05,12.17,12.21,12.17,12.19,11
2017.01.05 20:10,12.18,12.20,12.18,12.20,7
2017.01.05 20:15,12.21,12.23,12.20,12.21,9
2017.01.05 20:20,12.22,12.23,12.22,12.22,3
2017.01.05 20:25,12.22,12.22,12.20,12.21,8
2017.01.05 20:30,12.19,12.20,12.19,12.20,6
2017.01.05 20:35,12.21,12.22,12.19,12.19,7
2017.01.05 20:40,12.20,12.20,12.17,12.17,9
2017.01.05 20:45,12.18,12.20,12.18,12.19,4
2017.01.05 20:50,12.19,12.19,12.19,12.19,2
2017.01.05 20:55,12.20,12.21,12.19,12.19,4
2017.01.05 21:00,12.20,12.23,12.19,12.23,6
2017.01.05 21:05,12.22,12.23,12.21,12.23,12
2017.01.05 21:10,12.24,12.28,12.24,12.24,11
2017.01.05 21:15,12.25,12.25,12.23,12.24,6
2017.01.05 21:20,12.25,12.25,12.24,12.24,2
2017.01.05 21:25,12.23,12.23,12.21,12.22,4
2017.01.05 21:30,12.23,12.23,12.22,12.23,3
2017.01.05 21:35,12.22,12.23,12.19,12.19,7
2017.01.05 21:40,12.20,12.20,12.17,12.17,6
2017.01.05 21:45,12.16,12.16,12.13,12.15,6
2017.01.05 21:50,12.16,12.18,12.16,12.18,3
2017.01.05 21:55,12.17,12.17,12.15,12.15,3
2017.01.05 22:00,12.15,12.17,12.15,12.15,7
2017.01.05 22:05,12.16,12.19,12.16,12.19,4
2017.01.05 22:10,12.17,12.19,12.17,12.19,3
2017.01.05 22:15,12.20,12.20,12.19,12.19,4
2017.01.05 22:20,12.20,12.22,12.19,12.20,9
2017.01.05 22:25,12.19,12.20,12.19,12.20,4
2017.01.05 22:30,12.19,12.19,12.19,12.19,1
2017.01.05 22:35,12.20,12.20,12.18,12.18,5
2017.01.05 22:40,12.19,12.20,12.17,12.19,7
2017.01.05 22:45,12.18,12.18,12.18,12.18,1
2017.01.05 22:50,12.18,12.19,12.17,12.17,4
2017.01.05 22:55,12.18,12.18,12.16,12.16,5
2017.01.06 16:30,12.22,12.24,12.12,12.12,34
2017.01.06 16:35,12.10,12.10,11.99,12.03,73
2017.01.06 16:40,12.04,12.16,12.03,12.13,52
2017.01.06 16:45,12.12,12.15,12.06,12.08,35
2017.01.06 16:50,12.09,12.09,12.04,12.04,27
2017.01.06 16:55,12.06,12.07,12.04,12.06,24
2017.01.06 17:00,12.07,12.12,12.06,12.08,27
2017.01.06 17:05,12.09,12.13,12.08,12.13,24
2017.01.06 17:10,12.12,12.12,12.05,12.06,24
2017.01.06 17:15,12.05,12.07,12.04,12.07,18
2017.01.06 17:20,12.06,12.09,12.06,12.08,4
2017.01.06 17:25,12.09,12.10,12.03,12.03,11
2017.01.06 17:30,12.02,12.02,11.92,11.92,23
2017.01.06 17:35,11.94,11.95,11.90,11.93,18
2017.01.06 17:40,11.92,11.92,11.87,11.88,9
2017.01.06 17:45,11.87,11.87,11.86,11.86,6
2017.01.06 17:50,11.87,11.91,11.86,11.91,8
2017.01.06 17:55,11.90,11.91,11.86,11.86,17
2017.01.06 18:00,11.85,11.86,11.84,11.84,10
2017.01.06 18:05,11.83,11.84,11.82,11.84,4
2017.01.06 18:10,11.83,11.87,11.82,11.87,19
2017.01.06 18:15,11.86,11.88,11.85,11.86,13
2017.01.06 18:20,11.87,11.90,11.87,11.88,12
2017.01.06 18:25,11.89,11.89,11.84,11.85,11
2017.01.06 18:30,11.86,11.92,11.86,11.90,13
2017.01.06 18:35,11.89,11.91,11.87,11.89,13
2017.01.06 18:40,11.88,11.92,11.88,11.91,8
2017.01.06 18:45,11.92,11.92,11.90,11.90,7
2017.01.06 18:50,11.91,11.92,11.89,11.91,10
2017.01.06 18:55,11.92,11.92,11.88,11.88,5
2017.01.06 19:00,11.89,11.90,11.88,11.88,4
2017.01.06 19:05,11.87,11.88,11.86,11.87,9
2017.01.06 19:10,11.86,11.86,11.83,11.83,10
2017.01.06 19:15,11.84,11.86,11.84,11.85,6
2017.01.06 19:20,11.84,11.84,11.80,11.80,9
2017.01.06 19:30,11.80,11.80,11.79,11.80,7
2017.01.06 19:35,11.81,11.82,11.80,11.81,5
2017.01.06 19:40,11.82,11.82,11.80,11.80,6
2017.01.06 19:50,11.81,11.82,11.80,11.80,4
