Date,Open,High,Low,Close,Volume
2017.01.05 17:10,22.74,22.78,22.74,22.76,16
2017.01.05 17:15,22.76,22.77,22.72,22.72,13
2017.01.05 17:20,22.71,22.74,22.71,22.73,12
2017.01.05 17:25,22.74,22.76,22.72,22.72,13
2017.01.05 17:30,22.70,22.70,22.62,22.65,23
2017.01.05 17:35,22.64,22.68,22.64,22.67,10
2017.01.05 17:40,22.66,22.66,22.64,22.65,7
2017.01.05 17:45,22.64,22.64,22.57,22.57,16
2017.01.05 17:50,22.57,22.57,22.53,22.56,22
2017.01.05 17:55,22.55,22.60,22.55,22.56,22
2017.01.05 18:00,22.55,22.57,22.54,22.54,14
2017.01.05 18:05,22.53,22.53,22.45,22.47,17
2017.01.05 18:10,22.48,22.48,22.46,22.46,20
2017.01.05 18:15,22.45,22.50,22.45,22.49,18
2017.01.05 18:20,22.50,22.50,22.46,22.48,17
2017.01.05 18:25,22.47,22.49,22.46,22.47,12
2017.01.05 18:30,22.46,22.46,22.41,22.42,12
2017.01.05 18:35,22.43,22.45,22.40,22.40,10
2017.01.05 18:40,22.40,22.40,22.34,22.37,17
2017.01.05 18:45,22.36,22.41,22.33,22.38,21
2017.01.05 18:50,22.39,22.43,22.38,22.43,14
2017.01.05 18:55,22.44,22.49,22.42,22.48,22
2017.01.05 19:00,22.50,22.56,22.49,22.55,15
2017.01.05 19:05,22.54,22.54,22.53,22.53,5
2017.01.05 19:10,22.54,22.54,22.53,22.53,7
2017.01.05 19:15,22.54,22.63,22.54,22.60,21
2017.01.05 19:20,22.59,22.59,22.56,22.58,11
2017.01.05 19:25,22.59,22.59,22.57,22.58,4
2017.01.05 19:30,22.57,22.57,22.55,22.57,11
2017.01.05 19:35,22.56,22.56,22.54,22.54,6
2017.01.05 19:40,22.55,22.55,22.52,22.52,6
2017.01.05 19:45,22.53,22.55,22.53,22.55,4
2017.01.05 19:50,22.55,22.59,22.55,22.59,11
2017.01.05 19:55,22.58,22.58,22.56,22.56,4
2017.01.05 20:00,22.55,22.56,22.53,22.56,6
2017.01.05 20:05,22.57,22.62,22.57,22.62,11
2017.01.05 20:10,22.63,22.63,22.59,22.59,10
2017.01.05 20:15,22.58,22.58,22.56,22.57,6
2017.01.05 20:20,22.57,22.59,22.57,22.58,3
2017.01.05 20:25,22.60,22.61,22.58,22.59,9
2017.01.05 20:30,22.58,22.59,22.57,22.58,8
2017.01.05 20:35,22.59,22.61,22.59,22.59,9
2017.01.05 20:40,22.58,22.60,22.58,22.60,4
2017.01.05 20:45,22.60,22.60,22.60,22.60,2
2017.01.05 20:50,22.60,22.60,22.56,22.57,9
2017.01.05 20:55,22.58,22.59,22.58,22.58,3
2017.01.05 21:00,22.59,22.59,22.58,22.59,3
2017.01.05 21:05,22.58,22.58,22.58,22.58,1
2017.01.05 21:10,22.58,22.61,22.58,22.61,3
2017.01.05 21:15,22.60,22.63,22.60,22.61,12
2017.01.05 21:20,22.61,22.61,22.60,22.60,3
2017.01.05 21:25,22.61,22.61,22.59,22.59,3
2017.01.05 21:30,22.58,22.60,22.58,22.59,12
2017.01.05 21:35,22.60,22.61,22.60,22.61,3
2017.01.05 21:40,22.60,22.60,22.57,22.57,9
2017.01.05 21:45,22.56,22.56,22.54,22.56,7
2017.01.05 21:50,22.55,22.55,22.53,22.53,5
2017.01.05 21:55,22.54,22.56,22.54,22.55,4
2017.01.05 22:00,22.55,22.58,22.54,22.57,12
2017.01.05 22:05,22.56,22.58,22.56,22.58,3
2017.01.05 22:10,22.57,22.61,22.57,22.61,7
2017.01.05 22:15,22.62,22.63,22.62,22.63,6
2017.01.05 22:20,22.62,22.62,22.61,22.62,3
2017.01.05 22:25,22.63,22.63,22.60,22.62,8
2017.01.05 22:30,22.63,22.63,22.62,22.62,2
2017.01.05 22:35,22.61,22.62,22.60,22.61,5
2017.01.05 22:40,22.62,22.62,22.59,22.60,5
2017.01.05 22:45,22.61,22.63,22.61,22.62,5
2017.01.05 22:50,22.61,22.62,22.61,22.61,3
2017.01.05 22:55,22.62,22.67,22.62,22.66,11
2017.01.06 16:30,22.78,22.82,22.72,22.73,52
2017.01.06 16:35,22.72,22.73,22.62,22.70,71
2017.01.06 16:40,22.71,22.76,22.68,22.68,41
2017.01.06 16:45,22.69,22.70,22.65,22.67,41
2017.01.06 16:50,22.68,22.70,22.62,22.63,22
2017.01.06 16:55,22.64,22.70,22.63,22.69,25
2017.01.06 17:00,22.68,22.72,22.68,22.72,11
2017.01.06 17:05,22.73,22.79,22.73,22.77,24
2017.01.06 17:10,22.77,22.77,22.71,22.71,23
2017.01.06 17:15,22.72,22.73,22.69,22.70,9
2017.01.06 17:20,22.71,22.73,22.66,22.67,22
2017.01.06 17:25,22.67,22.70,22.67,22.67,13
2017.01.06 17:30,22.66,22.66,22.59,22.59,15
2017.01.06 17:35,22.58,22.60,22.55,22.56,16
2017.01.06 17:40,22.55,22.62,22.55,22.62,15
2017.01.06 17:45,22.63,22.63,22.61,22.62,9
2017.01.06 17:50,22.61,22.66,22.61,22.66,8
2017.01.06 17:55,22.67,22.68,22.64,22.64,15
2017.01.06 18:00,22.65,22.68,22.62,22.68,13
2017.01.06 18:05,22.67,22.68,22.66,22.68,6
2017.01.06 18:10,22.67,22.70,22.67,22.70,6
2017.01.06 18:15,22.70,22.70,22.68,22.70,10
2017.01.06 18:20,22.71,22.72,22.69,22.72,10
2017.01.06 18:25,22.73,22.77,22.72,22.77,11
2017.01.06 18:30,22.78,22.79,22.76,22.78,19
2017.01.06 18:35,22.79,22.79,22.75,22.76,13
2017.01.06 18:40,22.77,22.80,22.77,22.79,16
2017.01.06 18:45,22.81,22.82,22.80,22.81,12
2017.01.06 18:50,22.82,22.82,22.78,22.80,8
2017.01.06 18:55,22.81,22.82,22.79,22.79,11
2017.01.06 19:00,22.78,22.80,22.77,22.77,14
2017.01.06 19:05,22.76,22.81,22.76,22.79,9
2017.01.06 19:10,22.78,22.78,22.74,22.75,14
2017.01.06 19:15,22.76,22.77,22.76,22.76,8
2017.01.06 19:20,22.75,22.77,22.74,22.76,7
2017.01.06 19:25,22.77,22.78,22.76,22.78,7
2017.01.06 19:30,22.79,22.83,22.79,22.82,13
2017.01.06 19:35,22.83,22.83,22.80,22.80,9
2017.01.06 19:40,22.81,22.81,22.79,22.80,8
2017.01.06 19:45,22.79,22.80,22.78,22.78,4
2017.01.06 19:50,22.79,22.80,22.79,22.80,3
2017.01.06 19:55,22.79,22.82,22.79,22.82,5
2017.01.06 20:00,22.81,22.82,22.81,22.81,3
2017.01.06 20:05,22.80,22.80,22.79,22.79,2
2017.01.06 20:10,22.80,22.80,22.79,22.79,2
2017.01.06 20:15,22.78,22.79,22.78,22.79,2
2017.01.06 20:20,22.80,22.81,22.80,22.80,3
2017.01.06 20:25,22.81,22.81,22.78,22.78,10
2017.01.06 20:30,22.79,22.80,22.78,22.79,5
2017.01.06 20:35,22.80,22.80,22.79,22.79,2
2017.01.06 20:40,22.80,22.81,22.79,22.80,6
2017.01.06 20:50,22.79,22.79,22.78,22.79,4
2017.01.06 20:55,22.79,22.79,22.78,22.79,3
2017.01.06 21:00,22.80,22.80,22.79,22.80,3
2017.01.06 21:05,22.79,22.80,22.79,22.80,4
2017.01.06 21:10,22.79,22.80,22.79,22.80,5
2017.01.06 21:15,22.79,22.80,22.79,22.79,3
2017.01.06 21:20,22.78,22.78,22.77,22.78,3
2017.01.06 21:25,22.78,22.78,22.74,22.75,8
2017.01.06 21:30,22.75,22.77,22.75,22.76,8
2017.01.06 21:35,22.77,22.77,22.74,22.75,6
2017.01.06 21:40,22.74,22.74,22.73,22.73,11
2017.01.06 21:45,22.74,22.75,22.73,22.75,8
2017.01.06 21:50,22.74,22.75,22.74,22.74,5
2017.01.06 21:55,22.75,22.75,22.74,22.74,4
2017.01.06 22:00,22.73,22.73,22.73,22.73,1
2017.01.06 22:05,22.74,22.74,22.72,22.72,3
2017.01.06 22:10,22.71,22.71,22.71,22.71,1
2017.01.06 22:15,22.70,22.71,22.69,22.71,8
2017.01.06 22:20,22.70,22.72,22.70,22.71,4
2017.01.06 22:25,22.70,22.70,22.70,22.70,1
2017.01.06 22:30,22.72,22.73,22.72,22.73,2
2017.01.06 22:35,22.72,22.73,22.71,22.72,7
2017.01.06 22:40,22.73,22.74,22.71,22.73,11
2017.01.06 22:45,22.71,22.71,22.71,22.71,1
2017.01.06 22:55,22.70,22.70,22.67,22.67,10
2017.01.09 16:30,22.41,22.49,22.41,22.45,58
2017.01.09 16:35,22.46,22.47,22.40,22.45,46
2017.01.09 16:40,22.46,22.49,22.42,22.46,35
2017.01.09 16:45,22.45,22.52,22.44,22.52,29
2017.01.09 16:50,22.51,22.57,22.51,22.55,13
2017.01.09 16:55,22.54,22.54,22.50,22.54,15
2017.01.09 17:00,22.55,22.55,22.50,22.50,18
2017.01.09 17:05,22.50,22.53,22.49,22.52,10
2017.01.09 17:10,22.52,22.52,22.50,22.50,5
2017.01.09 17:15,22.51,22.53,22.49,22.52,15
2017.01.09 17:20,22.53,22.57,22.53,22.55,11
2017.01.09 17:25,22.56,22.58,22.55,22.57,6
2017.01.09 17:30,22.56,22.57,22.54,22.56,9
2017.01.09 17:35,22.56,22.56,22.52,22.52,9
2017.01.09 17:40,22.52,22.52,22.51,22.51,6
2017.01.09 17:45,22.51,22.52,22.50,22.52,10
2017.01.09 17:50,22.53,22.58,22.51,22.58,15
2017.01.09 17:55,22.59,22.61,22.59,22.61,37
2017.01.09 18:00,22.60,22.60,22.56,22.56,9
2017.01.09 18:05,22.57,22.58,22.56,22.56,5
2017.01.09 18:10,22.55,22.60,22.55,22.59,12
2017.01.09 18:15,22.61,22.63,22.60,22.63,9
2017.01.09 18:20,22.64,22.65,22.63,22.63,13
2017.01.09 18:25,22.64,22.67,22.63,22.67,10
2017.01.09 18:30,22.68,22.69,22.65,22.67,10
2017.01.09 18:35,22.68,22.69,22.67,22.68,6
2017.01.09 18:40,22.69,22.69,22.63,22.63,9
2017.01.09 18:45,22.63,22.64,22.61,22.64,12
2017.01.09 18:50,22.64,22.64,22.60,22.60,7
2017.01.09 18:55,22.59,22.60,22.59,22.59,5
2017.01.09 19:00,22.59,22.60,22.58,22.60,9
2017.01.09 19:05,22.61,22.64,22.61,22.64,4
2017.01.09 19:10,22.63,22.63,22.61,22.61,4
2017.01.09 19:15,22.60,22.60,22.58,22.59,7
2017.01.09 19:20,22.58,22.59,22.57,22.57,10
2017.01.09 19:25,22.58,22.58,22.58,22.58,3
2017.01.09 19:30,22.58,22.61,22.58,22.61,5
2017.01.09 19:35,22.62,22.62,22.59,22.60,8
2017.01.09 19:40,22.60,22.63,22.60,22.61,7
2017.01.09 19:50,22.63,22.64,22.63,22.64,7
2017.01.09 19:55,22.64,22.65,22.64,22.65,7
2017.01.09 20:00,22.64,22.64,22.63,22.63,5
2017.01.09 20:05,22.62,22.62,22.61,22.61,2
2017.01.09 20:10,22.60,22.61,22.58,22.61,7
2017.01.09 20:15,22.63,22.63,22.63,22.63,1
2017.01.09 20:20,22.62,22.63,22.62,22.62,3
2017.01.09 20:25,22.61,22.61,22.59,22.60,4
2017.01.09 20:30,22.60,22.60,22.59,22.59,2
2017.01.09 20:35,22.58,22.59,22.57,22.59,6
2017.01.09 20:40,22.60,22.61,22.59,22.61,5
2017.01.09 20:45,22.62,22.63,22.62,22.63,3
2017.01.09 20:50,22.62,22.62,22.61,22.62,3
2017.01.09 21:00,22.62,22.66,22.62,22.66,8
2017.01.09 21:05,22.67,22.67,22.62,22.63,10
2017.01.09 21:10,22.63,22.63,22.60,22.61,12
2017.01.09 21:15,22.60,22.60,22.60,22.60,1
2017.01.09 21:25,22.61,22.64,22.61,22.64,6
2017.01.09 21:30,22.63,22.63,22.63,22.63,2
2017.01.09 21:35,22.65,22.65,22.60,22.60,8
2017.01.09 21:40,22.59,22.59,22.57,22.57,3
2017.01.09 21:45,22.56,22.56,22.55,22.55,2
2017.01.09 21:50,22.56,22.57,22.55,22.55,10
2017.01.09 21:55,22.56,22.57,22.56,22.57,2
2017.01.09 22:00,22.57,22.60,22.57,22.58,5
2017.01.09 22:05,22.57,22.58,22.57,22.58,2
2017.01.09 22:10,22.58,22.58,22.57,22.57,2
2017.01.09 22:15,22.58,22.59,22.58,22.59,2
2017.01.09 22:20,22.60,22.60,22.59,22.59,2
2017.01.09 22:25,22.61,22.62,22.61,22.62,2
2017.01.09 22:30,22.63,22.63,22.62,22.63,3
2017.01.09 22:35,22.62,22.62,22.62,22.62,1
2017.01.09 22:40,22.61,22.61,22.60,22.60,2
2017.01.09 22:45,22.59,22.59,22.57,22.58,4
2017.01.09 22:50,22.57,22.58,22.56,22.56,4
2017.01.09 22:55,22.57,22.57,22.53,22.54,9
2017.01.10 16:30,22.60,22.60,22.55,22.58,36
2017.01.10 16:35,22.59,22.63,22.58,22.59,29
2017.01.10 16:40,22.58,22.60,22.53,22.57,21
2017.01.10 16:45,22.58,22.58,22.54,22.55,14
2017.01.10 16:50,22.56,22.60,22.55,22.57,25
2017.01.10 16:55,22.58,22.61,22.58,22.59,15
2017.01.10 17:00,22.60,22.65,22.60,22.64,8
2017.01.10 17:05,22.63,22.65,22.61,22.65,8
2017.01.10 17:10,22.65,22.65,22.62,22.63,7
2017.01.10 17:15,22.62,22.62,22.62,22.62,1
2017.01.10 17:20,22.63,22.64,22.61,22.62,11
2017.01.10 17:25,22.61,22.65,22.61,22.65,6
2017.01.10 17:30,22.66,22.70,22.65,22.69,17
2017.01.10 17:35,22.68,22.70,22.67,22.70,6
2017.01.10 17:40,22.72,22.72,22.69,22.71,7
2017.01.10 17:45,22.72,22.73,22.70,22.71,9
2017.01.10 17:50,22.71,22.76,22.71,22.76,7
2017.01.10 17:55,22.77,22.77,22.71,22.71,12
2017.01.10 18:00,22.72,22.77,22.72,22.77,12
2017.01.10 18:05,22.77,22.78,22.73,22.73,10
2017.01.10 18:10,22.73,22.74,22.72,22.74,8
2017.01.10 18:15,22.75,22.79,22.75,22.77,12
2017.01.10 18:20,22.78,22.78,22.76,22.78,7
2017.01.10 18:25,22.79,22.79,22.77,22.78,8
2017.01.10 18:30,22.79,22.80,22.78,22.80,8
2017.01.10 18:35,22.80,22.85,22.80,22.84,7
2017.01.10 18:40,22.85,22.93,22.85,22.93,43
2017.01.10 18:45,22.93,22.97,22.93,22.94,29
