Date,Open,High,Low,Close,Volume
2017.01.05 21:20,88.18,88.23,88.16,88.23,13
2017.01.05 21:25,88.24,88.38,88.23,88.35,18
2017.01.05 21:30,88.34,88.37,88.30,88.30,14
2017.01.05 21:35,88.26,88.30,88.15,88.15,28
2017.01.05 21:40,88.14,88.22,88.07,88.07,28
2017.01.05 21:45,88.09,88.18,88.06,88.18,22
2017.01.05 21:50,88.16,88.25,88.16,88.25,25
2017.01.05 21:55,88.24,88.35,88.22,88.33,13
2017.01.05 22:00,88.27,88.39,88.27,88.31,37
2017.01.05 22:05,88.33,88.42,88.33,88.42,22
2017.01.05 22:10,88.43,88.52,88.43,88.49,18
2017.01.05 22:15,88.52,88.61,88.51,88.57,27
2017.01.05 22:20,88.55,88.64,88.55,88.63,23
2017.01.05 22:25,88.64,88.74,88.57,88.70,43
2017.01.05 22:30,88.69,88.80,88.69,88.79,31
2017.01.05 22:35,88.78,89.01,88.78,89.00,33
2017.01.05 22:40,88.99,89.00,88.91,88.91,27
2017.01.05 22:45,88.92,88.92,88.79,88.85,41
2017.01.05 22:50,88.84,88.87,88.82,88.87,34
2017.01.05 22:55,88.85,89.01,88.83,88.95,83
2017.01.06 16:30,89.02,89.23,88.45,88.60,38
2017.01.06 16:35,88.60,88.60,87.64,87.87,128
2017.01.06 16:40,87.88,88.29,87.88,88.25,63
2017.01.06 16:45,88.27,88.36,88.06,88.12,39
2017.01.06 16:50,88.12,88.15,87.85,87.90,31
2017.01.06 16:55,87.90,87.95,87.74,87.84,43
2017.01.06 17:00,88.00,88.22,87.93,88.11,81
2017.01.06 17:05,88.20,88.81,88.14,88.68,147
2017.01.06 17:10,88.69,88.78,88.31,88.31,56
2017.01.06 17:15,88.31,88.31,88.02,88.03,52
2017.01.06 17:20,88.03,88.15,88.02,88.08,40
2017.01.06 17:25,88.14,88.17,88.03,88.04,47
2017.01.06 17:30,88.06,88.08,87.83,87.86,43
2017.01.06 17:35,87.81,87.93,87.79,87.90,52
2017.01.06 17:40,87.91,87.91,87.71,87.84,37
2017.01.06 17:45,87.83,87.85,87.76,87.76,16
2017.01.06 17:50,87.77,87.86,87.59,87.82,42
2017.01.06 17:55,87.78,87.79,87.54,87.58,56
2017.01.06 18:00,87.59,87.84,87.59,87.78,77
2017.01.06 18:05,87.77,87.77,87.59,87.66,63
2017.01.06 18:10,87.68,87.87,87.68,87.85,53
2017.01.06 18:15,87.87,87.87,87.64,87.64,30
2017.01.06 18:20,87.64,87.75,87.63,87.71,38
2017.01.06 18:25,87.69,87.71,87.55,87.70,51
2017.01.06 18:30,87.71,87.82,87.67,87.72,43
2017.01.06 18:35,87.73,87.77,87.61,87.61,40
2017.01.06 18:40,87.62,87.67,87.62,87.64,11
2017.01.06 18:45,87.66,87.67,87.60,87.67,27
2017.01.06 18:50,87.69,87.86,87.66,87.86,30
2017.01.06 18:55,87.89,88.11,87.89,88.03,43
2017.01.06 19:00,88.04,88.14,87.93,87.94,71
2017.01.06 19:05,87.95,88.04,87.86,87.89,56
2017.01.06 19:10,87.89,87.91,87.79,87.90,25
2017.01.06 19:15,87.91,87.98,87.91,87.95,33
2017.01.06 19:20,87.90,87.95,87.82,87.84,14
2017.01.06 19:25,87.86,87.89,87.79,87.80,23
2017.01.06 19:30,87.86,87.86,87.78,87.83,22
2017.01.06 19:35,87.82,87.88,87.78,87.79,24
2017.01.06 19:40,87.78,87.81,87.74,87.79,18
2017.01.06 19:45,87.81,87.81,87.74,87.74,11
2017.01.06 19:50,87.72,87.76,87.68,87.72,16
2017.01.06 19:55,87.73,87.94,87.73,87.94,41
2017.01.06 20:00,87.96,87.97,87.93,87.95,14
2017.01.06 20:05,87.94,87.94,87.92,87.92,29
