Date,Open,High,Low,Close,Volume
2017.01.05 20:30,40.77,40.78,40.73,40.74,16
2017.01.05 20:35,40.75,40.79,40.74,40.75,17
2017.01.05 20:40,40.76,40.76,40.72,40.73,14
2017.01.05 20:45,40.74,40.74,40.72,40.73,4
2017.01.05 20:50,40.72,40.72,40.68,40.70,14
2017.01.05 20:55,40.71,40.71,40.69,40.70,4
2017.01.05 21:00,40.71,40.73,40.71,40.73,7
2017.01.05 21:05,40.73,40.74,40.71,40.74,10
2017.01.05 21:10,40.75,40.79,40.75,40.78,9
2017.01.05 21:15,40.79,40.80,40.76,40.76,10
2017.01.05 21:20,40.77,40.79,40.77,40.78,11
2017.01.05 21:25,40.79,40.80,40.77,40.79,13
2017.01.05 21:30,40.78,40.78,40.77,40.77,8
2017.01.05 21:35,40.78,40.80,40.78,40.80,8
2017.01.05 21:40,40.81,40.82,40.78,40.79,19
2017.01.05 21:45,40.80,40.80,40.74,40.76,25
2017.01.05 21:50,40.75,40.75,40.72,40.74,19
2017.01.05 21:55,40.75,40.75,40.73,40.75,8
2017.01.05 22:00,40.74,40.81,40.74,40.79,16
2017.01.05 22:05,40.78,40.80,40.77,40.80,10
2017.01.05 22:10,40.79,40.82,40.79,40.82,9
2017.01.05 22:15,40.83,40.85,40.81,40.81,9
2017.01.05 22:20,40.82,40.82,40.80,40.82,17
2017.01.05 22:25,40.83,40.83,40.80,40.82,14
2017.01.05 22:30,40.83,40.84,40.82,40.83,27
2017.01.05 22:35,40.84,40.85,40.79,40.79,20
2017.01.05 22:40,40.80,40.80,40.79,40.80,7
2017.01.05 22:45,40.81,40.86,40.81,40.86,7
2017.01.05 22:50,40.87,40.91,40.87,40.91,7
2017.01.05 22:55,40.92,40.98,40.92,40.95,22
2017.01.06 16:30,41.34,41.35,41.12,41.12,141
2017.01.06 16:35,41.12,41.19,41.04,41.13,195
2017.01.06 16:40,41.16,41.17,41.02,41.04,150
2017.01.06 16:45,41.03,41.06,40.89,40.96,174
2017.01.06 16:50,40.97,41.05,40.96,41.02,51
2017.01.06 16:55,41.03,41.18,41.01,41.16,104
2017.01.06 17:00,41.15,41.15,41.05,41.08,92
2017.01.06 17:05,41.09,41.11,41.00,41.03,82
2017.01.06 17:10,41.04,41.04,40.91,40.91,71
2017.01.06 17:15,40.90,40.95,40.89,40.95,49
2017.01.06 17:20,40.94,40.99,40.87,40.91,50
2017.01.06 17:25,40.92,40.92,40.86,40.87,48
2017.01.06 17:30,40.86,40.86,40.73,40.73,46
2017.01.06 17:35,40.74,40.74,40.65,40.66,86
2017.01.06 17:40,40.67,40.84,40.66,40.84,67
2017.01.06 17:45,40.83,40.87,40.81,40.85,33
2017.01.06 17:50,40.84,40.86,40.77,40.86,36
2017.01.06 17:55,40.87,40.91,40.85,40.88,32
2017.01.06 18:00,40.89,40.89,40.81,40.83,36
2017.01.06 18:05,40.82,40.86,40.80,40.86,20
2017.01.06 18:10,40.85,40.86,40.81,40.85,19
2017.01.06 18:15,40.86,40.89,40.83,40.88,33
2017.01.06 18:20,40.89,40.95,40.88,40.94,41
2017.01.06 18:25,40.95,41.04,40.92,41.02,49
2017.01.06 18:30,41.03,41.04,40.99,41.04,34
