Date,Open,High,Low,Close,Volume
2016.12.14 21:05,8.44,8.45,8.41,8.41,6
2016.12.14 21:10,8.42,8.42,8.37,8.37,11
2016.12.14 21:15,8.38,8.41,8.36,8.40,12
2016.12.14 21:20,8.41,8.41,8.35,8.35,16
2016.12.14 21:25,8.34,8.36,8.31,8.32,29
2016.12.14 21:30,8.31,8.35,8.31,8.34,15
2016.12.14 21:35,8.33,8.35,8.31,8.35,22
2016.12.14 21:40,8.36,8.37,8.34,8.36,15
2016.12.14 21:45,8.38,8.38,8.35,8.36,13
2016.12.14 21:50,8.37,8.37,8.33,8.33,13
2016.12.14 21:55,8.34,8.34,8.30,8.30,15
2016.12.14 22:00,8.31,8.33,8.31,8.32,7
2016.12.14 22:05,8.33,8.33,8.28,8.28,10
2016.12.14 22:10,8.29,8.31,8.27,8.31,11
2016.12.14 22:15,8.30,8.30,8.27,8.30,12
2016.12.14 22:20,8.29,8.32,8.29,8.31,9
2016.12.14 22:25,8.31,8.32,8.30,8.31,8
2016.12.14 22:30,8.32,8.36,8.31,8.36,16
2016.12.14 22:35,8.37,8.38,8.36,8.37,7
2016.12.14 22:40,8.36,8.36,8.34,8.34,3
2016.12.14 22:45,8.35,8.36,8.35,8.35,7
2016.12.14 22:50,8.34,8.34,8.30,8.31,10
2016.12.14 22:55,8.30,8.32,8.30,8.31,7
2016.12.15 16:30,8.30,8.41,8.29,8.38,61
2016.12.15 16:35,8.38,8.38,8.34,8.37,53
2016.12.15 16:40,8.37,8.38,8.35,8.35,22
2016.12.15 16:45,8.34,8.40,8.34,8.40,30
2016.12.15 16:50,8.41,8.43,8.40,8.42,25
2016.12.15 16:55,8.41,8.42,8.38,8.42,20
2016.12.15 17:00,8.43,8.43,8.39,8.41,36
2016.12.15 17:05,8.41,8.44,8.41,8.43,22
2016.12.15 17:10,8.43,8.45,8.42,8.44,27
2016.12.15 17:15,8.44,8.44,8.42,8.43,15
2016.12.15 17:20,8.43,8.43,8.42,8.42,18
2016.12.15 17:25,8.42,8.42,8.41,8.42,17
2016.12.15 17:30,8.41,8.42,8.41,8.41,10
2016.12.15 17:35,8.42,8.43,8.40,8.42,14
2016.12.15 17:40,8.43,8.44,8.41,8.44,20
2016.12.15 17:45,8.44,8.44,8.40,8.42,12
2016.12.15 17:50,8.42,8.42,8.40,8.41,24
2016.12.15 17:55,8.42,8.42,8.40,8.42,13
2016.12.15 18:00,8.42,8.43,8.41,8.42,11
2016.12.15 18:05,8.43,8.43,8.42,8.43,6
2016.12.15 18:10,8.44,8.45,8.43,8.44,14
2016.12.15 18:15,8.45,8.47,8.45,8.47,10
2016.12.15 18:20,8.47,8.47,8.43,8.45,17
2016.12.15 18:25,8.45,8.45,8.43,8.44,8
2016.12.15 18:30,8.43,8.44,8.42,8.44,10
2016.12.15 18:40,8.44,8.44,8.44,8.44,2
2016.12.15 18:45,8.44,8.44,8.42,8.44,20
2016.12.15 18:50,8.44,8.44,8.42,8.44,11
2016.12.15 19:00,8.44,8.46,8.44,8.45,9
2016.12.15 19:05,8.46,8.46,8.44,8.44,8
2016.12.15 19:10,8.45,8.45,8.44,8.44,12
2016.12.15 19:15,8.45,8.45,8.45,8.45,2
2016.12.15 19:20,8.45,8.45,8.43,8.44,6
2016.12.15 19:25,8.44,8.46,8.44,8.45,5
2016.12.15 19:30,8.45,8.46,8.44,8.46,8
2016.12.15 19:35,8.46,8.46,8.44,8.45,9
2016.12.15 19:40,8.45,8.45,8.44,8.44,8
2016.12.15 19:45,8.45,8.46,8.45,8.45,5
2016.12.15 19:50,8.45,8.45,8.45,8.45,2
2016.12.15 19:55,8.46,8.46,8.45,8.46,6
2016.12.15 20:00,8.47,8.48,8.47,8.48,4
2016.12.15 20:05,8.48,8.48,8.47,8.47,2
2016.12.15 20:10,8.46,8.47,8.46,8.47,4
2016.12.15 20:15,8.48,8.48,8.47,8.48,6
2016.12.15 20:20,8.48,8.48,8.47,8.47,14
2016.12.15 20:25,8.47,8.47,8.47,8.47,1
2016.12.15 20:30,8.47,8.47,8.46,8.46,7
2016.12.15 20:35,8.46,8.46,8.45,8.46,4
2016.12.15 20:45,8.45,8.45,8.43,8.44,7
2016.12.15 20:50,8.44,8.44,8.43,8.43,2
2016.12.15 20:55,8.43,8.43,8.42,8.43,4
2016.12.15 21:00,8.44,8.46,8.43,8.45,16
2016.12.15 21:10,8.45,8.45,8.45,8.45,2
2016.12.15 21:25,8.44,8.46,8.44,8.45,10
2016.12.15 21:30,8.45,8.45,8.44,8.44,2
2016.12.15 21:35,8.43,8.44,8.43,8.44,2
2016.12.15 21:40,8.45,8.45,8.43,8.43,7
2016.12.15 21:45,8.42,8.42,8.42,8.42,1
2016.12.15 21:50,8.43,8.43,8.42,8.42,6
2016.12.15 21:55,8.41,8.41,8.39,8.40,6
2016.12.15 22:00,8.40,8.40,8.39,8.40,6
2016.12.15 22:05,8.39,8.39,8.38,8.39,3
2016.12.15 22:10,8.40,8.40,8.39,8.39,3
2016.12.15 22:15,8.40,8.41,8.40,8.41,4
2016.12.15 22:20,8.42,8.42,8.42,8.42,2
2016.12.15 22:25,8.41,8.41,8.41,8.41,1
2016.12.15 22:30,8.42,8.42,8.40,8.40,5
2016.12.15 22:35,8.41,8.41,8.41,8.41,2
2016.12.15 22:40,8.42,8.42,8.42,8.42,2
2016.12.15 22:45,8.43,8.43,8.43,8.43,2
2016.12.16 16:30,8.45,8.47,8.44,8.44,20
2016.12.16 16:35,8.45,8.47,8.45,8.45,29
2016.12.16 16:40,8.46,8.46,8.44,8.45,15
2016.12.16 16:45,8.45,8.48,8.45,8.46,16
2016.12.16 16:50,8.46,8.47,8.45,8.46,8
2016.12.16 16:55,8.46,8.46,8.45,8.46,4
2016.12.16 17:00,8.46,8.46,8.44,8.45,10
2016.12.16 17:05,8.46,8.46,8.45,8.45,4
2016.12.16 17:10,8.45,8.45,8.43,8.43,12
2016.12.16 17:15,8.43,8.43,8.39,8.40,14
2016.12.16 17:20,8.40,8.41,8.39,8.41,10
2016.12.16 17:30,8.41,8.42,8.41,8.41,6
2016.12.16 17:35,8.41,8.42,8.41,8.42,13
2016.12.16 17:40,8.42,8.42,8.37,8.37,10
2016.12.16 17:50,8.37,8.40,8.37,8.39,15
2016.12.16 17:55,8.40,8.40,8.38,8.38,6
2016.12.16 18:00,8.38,8.38,8.37,8.37,4
2016.12.16 18:05,8.37,8.37,8.35,8.35,8
2016.12.16 18:10,8.35,8.35,8.33,8.34,6
2016.12.16 18:15,8.35,8.36,8.35,8.36,4
2016.12.16 18:20,8.35,8.35,8.34,8.34,3
2016.12.16 18:30,8.33,8.34,8.32,8.34,7
2016.12.16 18:35,8.35,8.35,8.35,8.35,2
2016.12.16 18:40,8.36,8.36,8.35,8.36,6
2016.12.16 18:50,8.36,8.36,8.36,8.36,1
2016.12.16 18:55,8.36,8.40,8.36,8.40,6
2016.12.16 19:00,8.39,8.39,8.39,8.39,1
2016.12.16 19:05,8.38,8.39,8.38,8.39,4
2016.12.16 19:10,8.39,8.39,8.37,8.37,4
2016.12.16 19:15,8.37,8.37,8.36,8.36,2
2016.12.16 19:20,8.37,8.38,8.37,8.37,9
2016.12.16 19:40,8.36,8.36,8.36,8.36,1
2016.12.16 19:45,8.36,8.36,8.34,8.35,6
2016.12.16 19:50,8.34,8.35,8.34,8.35,2
2016.12.16 20:00,8.34,8.34,8.34,8.34,1
2016.12.16 20:05,8.35,8.35,8.35,8.35,1
2016.12.16 20:10,8.35,8.36,8.35,8.35,5
2016.12.16 20:15,8.35,8.35,8.33,8.33,4
2016.12.16 20:20,8.33,8.35,8.33,8.35,3
2016.12.16 20:25,8.35,8.35,8.34,8.34,6
2016.12.16 20:30,8.34,8.34,8.33,8.33,2
2016.12.16 20:35,8.34,8.35,8.34,8.34,5
2016.12.16 20:40,8.33,8.33,8.33,8.33,1
2016.12.16 20:45,8.33,8.33,8.31,8.31,4
2016.12.16 20:50,8.32,8.33,8.32,8.32,6
2016.12.16 21:05,8.34,8.34,8.33,8.33,4
2016.12.16 21:20,8.32,8.32,8.32,8.32,1
2016.12.16 21:30,8.32,8.32,8.32,8.32,1
2016.12.16 21:35,8.32,8.32,8.31,8.31,2
2016.12.16 21:50,8.30,8.30,8.29,8.29,2
2016.12.16 22:00,8.28,8.28,8.27,8.27,2
2016.12.16 22:05,8.27,8.27,8.26,8.27,3
2016.12.16 22:15,8.26,8.26,8.24,8.25,5
2016.12.16 22:20,8.26,8.27,8.25,8.26,10
2016.12.16 22:25,8.25,8.25,8.25,8.25,1
2016.12.16 22:35,8.24,8.24,8.24,8.24,1
2016.12.16 22:40,8.23,8.23,8.22,8.22,2
2016.12.16 22:45,8.21,8.23,8.21,8.23,3
2016.12.16 22:50,8.24,8.24,8.23,8.24,5
2016.12.16 22:55,8.23,8.23,8.23,8.23,1
2016.12.19 16:30,8.26,8.28,8.25,8.28,17
2016.12.19 16:35,8.27,8.29,8.26,8.29,13
2016.12.19 16:40,8.28,8.30,8.27,8.28,10
2016.12.19 16:45,8.29,8.29,8.27,8.28,6
2016.12.19 16:50,8.28,8.30,8.28,8.30,6
2016.12.19 16:55,8.33,8.33,8.29,8.30,19
2016.12.19 17:00,8.30,8.31,8.29,8.30,12
2016.12.19 17:05,8.29,8.30,8.28,8.29,14
2016.12.19 17:15,8.29,8.30,8.29,8.30,4
2016.12.19 17:20,8.29,8.30,8.28,8.29,9
2016.12.19 17:25,8.28,8.30,8.28,8.28,5
2016.12.19 17:30,8.28,8.30,8.27,8.29,11
2016.12.19 17:35,8.28,8.30,8.28,8.30,7
2016.12.19 17:40,8.30,8.32,8.30,8.31,3
2016.12.19 17:45,8.31,8.33,8.30,8.33,7
2016.12.19 17:50,8.34,8.34,8.33,8.33,2
2016.12.19 17:55,8.34,8.35,8.33,8.35,4
2016.12.19 18:00,8.35,8.36,8.35,8.36,2
2016.12.19 18:05,8.36,8.38,8.36,8.37,6
2016.12.19 18:10,8.38,8.39,8.37,8.37,4
2016.12.19 18:15,8.38,8.38,8.38,8.38,1
2016.12.19 18:20,8.37,8.37,8.37,8.37,1
2016.12.19 18:25,8.38,8.39,8.37,8.39,8
2016.12.19 18:30,8.40,8.40,8.39,8.40,3
2016.12.19 18:35,8.39,8.39,8.38,8.38,2
2016.12.19 18:40,8.38,8.40,8.38,8.38,6
2016.12.19 18:45,8.39,8.39,8.39,8.39,1
2016.12.19 18:50,8.40,8.40,8.40,8.40,2
2016.12.19 18:55,8.39,8.39,8.39,8.39,1
2016.12.19 19:10,8.38,8.38,8.38,8.38,1
2016.12.19 19:15,8.39,8.40,8.39,8.39,4
2016.12.19 19:30,8.39,8.39,8.39,8.39,1
2016.12.19 19:35,8.39,8.39,8.38,8.38,2
2016.12.19 19:45,8.38,8.40,8.38,8.40,2
2016.12.19 19:55,8.40,8.41,8.40,8.41,3
2016.12.19 20:05,8.41,8.42,8.41,8.42,3
2016.12.19 20:10,8.42,8.42,8.41,8.41,4
2016.12.19 20:15,8.41,8.42,8.41,8.42,3
2016.12.19 20:25,8.41,8.42,8.41,8.42,2
2016.12.19 20:35,8.41,8.41,8.40,8.41,3
2016.12.19 20:40,8.40,8.40,8.40,8.40,1
2016.12.19 20:45,8.41,8.41,8.40,8.41,3
2016.12.19 20:50,8.41,8.41,8.41,8.41,1
2016.12.19 21:05,8.41,8.41,8.41,8.41,1
2016.12.19 21:10,8.41,8.45,8.41,8.45,8
2016.12.19 21:20,8.45,8.46,8.45,8.46,3
2016.12.19 21:25,8.46,8.46,8.46,8.46,2
2016.12.19 21:30,8.46,8.47,8.46,8.46,6
2016.12.19 21:40,8.45,8.45,8.45,8.45,1
2016.12.19 21:45,8.47,8.47,8.47,8.47,1
2016.12.19 21:50,8.46,8.46,8.45,8.45,4
2016.12.19 22:00,8.44,8.44,8.43,8.43,2
2016.12.19 22:15,8.42,8.42,8.41,8.41,2
2016.12.19 22:20,8.40,8.41,8.40,8.40,3
2016.12.19 22:30,8.40,8.40,8.40,8.40,1
2016.12.19 22:40,8.40,8.42,8.40,8.42,4
2016.12.19 22:45,8.42,8.42,8.39,8.40,5
2016.12.19 22:55,8.40,8.42,8.40,8.42,3
2016.12.20 16:30,8.41,8.43,8.39,8.41,19
2016.12.20 16:35,8.42,8.46,8.42,8.45,8
2016.12.20 16:40,8.46,8.47,8.45,8.47,11
