Date,Open,High,Low,Close,Volume
2017.01.05 19:05,24.51,24.51,24.51,24.51,1
2017.01.05 19:10,24.50,24.50,24.46,24.47,6
2017.01.05 19:15,24.48,24.50,24.47,24.47,9
2017.01.05 19:20,24.46,24.47,24.46,24.47,2
2017.01.05 19:25,24.48,24.48,24.48,24.48,1
2017.01.05 19:30,24.47,24.48,24.46,24.48,6
2017.01.05 19:40,24.47,24.47,24.46,24.47,3
2017.01.05 19:45,24.48,24.50,24.47,24.47,6
2017.01.05 19:50,24.48,24.49,24.48,24.48,7
2017.01.05 19:55,24.47,24.48,24.47,24.48,2
2017.01.05 20:00,24.49,24.49,24.49,24.49,1
2017.01.05 20:05,24.49,24.50,24.49,24.50,2
2017.01.05 20:10,24.51,24.52,24.51,24.51,3
2017.01.05 20:15,24.52,24.52,24.51,24.52,5
2017.01.05 20:20,24.53,24.55,24.53,24.55,5
2017.01.05 20:25,24.53,24.56,24.53,24.55,5
2017.01.05 20:30,24.56,24.56,24.54,24.54,3
2017.01.05 20:35,24.55,24.58,24.55,24.58,4
2017.01.05 20:40,24.60,24.63,24.60,24.62,5
2017.01.05 20:45,24.63,24.67,24.63,24.67,5
2017.01.05 20:50,24.69,24.70,24.67,24.67,5
2017.01.05 20:55,24.66,24.66,24.66,24.66,1
2017.01.05 21:00,24.65,24.66,24.62,24.62,6
2017.01.05 21:05,24.61,24.62,24.61,24.62,2
2017.01.05 21:10,24.63,24.63,24.63,24.63,1
2017.01.05 21:15,24.64,24.64,24.63,24.64,4
2017.01.05 21:25,24.65,24.67,24.65,24.67,3
2017.01.05 21:30,24.66,24.66,24.65,24.65,2
2017.01.05 21:35,24.64,24.65,24.64,24.64,3
2017.01.05 21:40,24.63,24.63,24.62,24.62,4
2017.01.05 21:45,24.63,24.63,24.63,24.63,1
2017.01.05 21:50,24.62,24.62,24.61,24.62,6
2017.01.05 22:00,24.61,24.62,24.61,24.62,2
2017.01.05 22:15,24.64,24.65,24.61,24.61,6
2017.01.05 22:20,24.62,24.63,24.62,24.62,3
2017.01.05 22:25,24.61,24.63,24.61,24.63,3
2017.01.05 22:30,24.64,24.68,24.64,24.66,11
2017.01.05 22:35,24.67,24.68,24.66,24.66,4
2017.01.05 22:40,24.67,24.67,24.64,24.64,4
2017.01.05 22:45,24.63,24.65,24.63,24.65,3
2017.01.05 22:50,24.67,24.67,24.67,24.67,1
2017.01.05 22:55,24.66,24.66,24.62,24.63,6
2017.01.06 16:30,24.55,24.66,24.52,24.59,82
2017.01.06 16:35,24.57,24.69,24.57,24.69,42
2017.01.06 16:40,24.68,24.77,24.67,24.77,37
2017.01.06 16:45,24.75,24.76,24.68,24.72,32
2017.01.06 16:50,24.73,24.83,24.72,24.82,46
2017.01.06 16:55,24.83,24.93,24.81,24.92,65
2017.01.06 17:00,24.91,24.92,24.88,24.92,22
2017.01.06 17:05,24.93,24.94,24.89,24.90,29
2017.01.06 17:10,24.89,24.92,24.88,24.89,17
2017.01.06 17:15,24.88,24.90,24.86,24.86,25
2017.01.06 17:20,24.87,24.87,24.83,24.84,14
2017.01.06 17:25,24.83,24.85,24.81,24.83,20
2017.01.06 17:30,24.82,24.85,24.81,24.84,11
2017.01.06 17:35,24.83,24.85,24.83,24.84,10
2017.01.06 17:40,24.83,24.85,24.82,24.83,12
2017.01.06 17:45,24.84,24.85,24.84,24.85,2
2017.01.06 17:50,24.84,24.86,24.82,24.86,8
2017.01.06 17:55,24.87,24.88,24.86,24.88,12
2017.01.06 18:00,24.87,24.89,24.86,24.88,6
2017.01.06 18:05,24.87,24.88,24.86,24.88,8
2017.01.06 18:10,24.87,24.90,24.87,24.90,5
2017.01.06 18:15,24.91,24.93,24.89,24.93,11
2017.01.06 18:20,24.94,24.97,24.94,24.97,6
2017.01.06 18:25,24.96,24.98,24.95,24.97,6
2017.01.06 18:30,24.98,24.98,24.94,24.95,12
2017.01.06 18:35,24.96,24.97,24.94,24.97,11
2017.01.06 18:40,24.98,25.02,24.98,24.98,11
2017.01.06 18:45,24.99,25.00,24.98,24.99,7
2017.01.06 18:50,24.98,25.04,24.97,25.02,13
2017.01.06 18:55,25.01,25.02,24.99,24.99,9
2017.01.06 19:00,25.00,25.02,25.00,25.02,3
2017.01.06 19:05,25.01,25.02,24.97,24.98,9
2017.01.06 19:10,24.99,24.99,24.99,24.99,1
2017.01.06 19:15,25.00,25.00,24.99,24.99,3
2017.01.06 19:20,24.99,24.99,24.99,24.99,1
2017.01.06 19:35,24.99,25.01,24.98,25.00,10
2017.01.06 19:40,25.01,25.03,25.01,25.03,7
2017.01.06 19:50,25.02,25.02,25.00,25.01,4
2017.01.06 19:55,25.00,25.01,25.00,25.01,7
2017.01.06 20:05,25.00,25.02,25.00,25.02,3
2017.01.06 20:10,25.01,25.02,25.01,25.02,2
2017.01.06 20:20,25.02,25.04,24.99,24.99,8
2017.01.06 20:25,24.98,24.98,24.94,24.97,8
2017.01.06 20:30,24.98,25.01,24.97,25.01,8
2017.01.06 20:35,25.00,25.01,25.00,25.01,2
2017.01.06 20:40,25.02,25.02,25.00,25.00,5
2017.01.06 20:45,25.01,25.01,25.00,25.00,3
2017.01.06 20:50,25.01,25.01,25.01,25.01,1
2017.01.06 20:55,25.02,25.02,24.98,25.00,7
2017.01.06 21:00,25.01,25.02,25.00,25.01,6
2017.01.06 21:05,25.00,25.04,25.00,25.03,6
2017.01.06 21:25,25.02,25.02,24.99,25.00,6
2017.01.06 21:30,24.99,25.01,24.99,24.99,7
2017.01.06 21:35,24.98,25.00,24.98,24.99,9
2017.01.06 21:40,25.00,25.00,24.98,24.99,5
2017.01.06 21:55,24.98,24.99,24.98,24.99,2
2017.01.06 22:00,25.00,25.00,24.99,24.99,2
2017.01.06 22:05,25.00,25.01,25.00,25.01,2
2017.01.06 22:10,25.01,25.01,24.99,24.99,3
2017.01.06 22:25,24.99,24.99,24.99,24.99,2
2017.01.06 22:30,25.00,25.00,25.00,25.00,1
2017.01.06 22:40,25.02,25.02,25.00,25.01,4
2017.01.06 22:45,25.02,25.02,24.99,25.00,6
2017.01.06 22:50,25.01,25.01,24.99,25.00,4
2017.01.06 22:55,25.01,25.01,24.97,24.99,9
2017.01.09 16:30,25.06,25.07,25.03,25.04,36
2017.01.09 16:35,25.03,25.07,25.00,25.04,30
2017.01.09 16:40,25.05,25.05,24.96,24.96,54
2017.01.09 16:45,24.97,25.02,24.95,25.02,15
2017.01.09 16:50,25.01,25.03,25.00,25.01,19
2017.01.09 16:55,25.02,25.05,25.02,25.05,8
2017.01.09 17:00,25.04,25.04,25.01,25.02,11
2017.01.09 17:05,25.01,25.02,24.98,25.00,10
2017.01.09 17:10,24.99,25.01,24.98,25.01,7
2017.01.09 17:15,25.00,25.00,24.98,24.99,9
2017.01.09 17:20,24.98,25.01,24.98,25.01,6
2017.01.09 17:25,25.00,25.03,25.00,25.03,4
2017.01.09 17:30,25.04,25.05,25.03,25.04,6
2017.01.09 17:35,25.03,25.04,25.02,25.03,8
2017.01.09 17:40,25.03,25.03,25.03,25.03,1
2017.01.09 17:45,25.01,25.02,25.01,25.02,4
2017.01.09 17:50,25.03,25.03,25.03,25.03,1
2017.01.09 17:55,25.03,25.04,25.02,25.02,14
2017.01.09 18:00,25.01,25.01,25.01,25.01,1
2017.01.09 18:05,25.02,25.02,25.01,25.01,2
2017.01.09 18:10,25.00,25.01,25.00,25.00,4
2017.01.09 18:15,25.00,25.02,25.00,25.02,2
2017.01.09 18:20,25.01,25.02,25.01,25.02,5
2017.01.09 18:25,25.01,25.02,25.01,25.02,3
2017.01.09 18:35,25.02,25.04,25.02,25.04,5
2017.01.09 18:40,25.03,25.03,25.03,25.03,1
2017.01.09 18:45,25.04,25.04,25.02,25.02,3
2017.01.09 18:55,25.02,25.02,25.02,25.02,1
2017.01.09 19:05,25.02,25.03,25.02,25.03,3
2017.01.09 19:15,25.01,25.01,25.00,25.00,3
