Date,Open,High,Low,Close,Volume
2017.01.06 19:45,76.81,76.81,76.77,76.81,13
2017.01.06 19:50,76.81,76.87,76.81,76.85,9
2017.01.06 19:55,76.86,76.92,76.83,76.92,19
2017.01.06 20:00,76.91,76.95,76.90,76.93,30
2017.01.06 20:05,76.93,76.97,76.93,76.94,13
2017.01.06 20:10,76.95,77.02,76.94,77.02,15
2017.01.06 20:15,77.03,77.03,76.99,76.99,10
2017.01.06 20:20,76.99,77.05,76.96,76.97,17
2017.01.06 20:25,76.98,77.05,76.98,77.01,34
2017.01.06 20:30,77.00,77.05,77.00,77.05,17
2017.01.06 20:35,77.06,77.07,77.00,77.02,21
2017.01.06 20:40,77.04,77.11,77.03,77.11,19
2017.01.06 20:45,77.12,77.15,77.09,77.14,21
2017.01.06 20:50,77.15,77.15,77.03,77.05,43
2017.01.06 20:55,77.05,77.07,77.05,77.06,8
2017.01.06 21:00,77.07,77.14,77.06,77.13,33
2017.01.06 21:05,77.12,77.16,77.07,77.12,33
2017.01.06 21:10,77.14,77.15,77.08,77.14,23
2017.01.06 21:15,77.15,77.15,77.05,77.09,29
2017.01.06 21:20,77.10,77.17,77.08,77.10,54
2017.01.06 21:25,77.10,77.10,77.00,77.08,30
2017.01.06 21:30,77.09,77.20,77.04,77.20,26
2017.01.06 21:35,77.19,77.19,77.14,77.16,30
2017.01.06 21:40,77.15,77.16,77.04,77.04,27
2017.01.06 21:45,77.08,77.15,77.04,77.15,29
2017.01.06 21:50,77.15,77.15,77.05,77.10,44
2017.01.06 21:55,77.09,77.16,77.09,77.13,34
2017.01.06 22:00,77.12,77.12,77.03,77.03,27
2017.01.06 22:05,77.04,77.08,77.02,77.03,44
2017.01.06 22:10,77.04,77.08,77.04,77.06,33
2017.01.06 22:15,77.07,77.13,77.06,77.13,23
2017.01.06 22:20,77.14,77.14,77.04,77.04,35
2017.01.06 22:25,77.03,77.03,76.95,77.02,32
2017.01.06 22:30,77.03,77.05,77.01,77.02,28
2017.01.06 22:35,77.03,77.04,76.98,77.02,35
2017.01.06 22:40,77.01,77.08,77.01,77.04,38
2017.01.06 22:45,77.05,77.08,77.02,77.02,19
2017.01.06 22:50,77.03,77.04,76.99,77.01,26
2017.01.06 22:55,77.03,77.12,77.02,77.12,48
2017.01.09 16:30,76.99,77.03,76.97,76.97,36
2017.01.09 16:35,76.98,77.00,76.79,76.85,60
2017.01.09 16:40,76.86,76.99,76.86,76.89,70
2017.01.09 16:45,76.89,76.90,76.65,76.65,79
2017.01.09 16:50,76.61,76.79,76.61,76.76,41
2017.01.09 16:55,76.75,76.75,76.52,76.52,59
2017.01.09 17:00,76.52,76.63,76.52,76.62,38
2017.01.09 17:05,76.62,76.69,76.54,76.54,53
2017.01.09 17:10,76.54,76.56,76.49,76.52,30
2017.01.09 17:15,76.49,76.61,76.49,76.53,41
2017.01.09 17:20,76.53,76.57,76.52,76.57,30
2017.01.09 17:25,76.57,76.66,76.57,76.59,31
2017.01.09 17:30,76.57,76.78,76.57,76.78,23
2017.01.09 17:35,76.76,76.84,76.75,76.76,24
2017.01.09 17:40,76.78,76.80,76.72,76.72,35
2017.01.09 17:45,76.72,76.75,76.60,76.67,40
2017.01.09 17:50,76.68,76.75,76.58,76.69,58
2017.01.09 17:55,76.67,76.67,76.59,76.65,20
2017.01.09 18:00,76.63,76.67,76.55,76.58,37
2017.01.09 18:05,76.58,76.61,76.56,76.57,18
2017.01.09 18:10,76.56,76.66,76.56,76.66,16
