Date,Open,High,Low,Close,Volume,Adj Close,Date,instrument_id,frequency
1995-01-02,647.86,647.86,647.86,647.86,0,647.86,1995-01-02,6019,3600
1995-01-03,639.88,639.88,639.88,639.88,0,639.88,1995-01-03,6019,3600
1995-01-04,653.81,653.81,653.81,653.81,0,653.81,1995-01-04,6019,3600
1995-01-05,646.89,646.89,646.89,646.89,0,646.89,1995-01-05,6019,3600
1995-01-06,640.76,640.76,640.76,640.76,0,640.76,1995-01-06,6019,3600
1995-01-09,626.0,626.0,626.0,626.0,0,626.0,1995-01-09,6019,3600
1995-01-10,610.3,610.3,610.3,610.3,0,610.3,1995-01-10,6019,3600
1995-01-11,613.13,613.13,613.13,613.13,0,613.13,1995-01-11,6019,3600
1995-01-12,602.12,602.12,602.12,602.12,0,602.12,1995-01-12,6019,3600
1995-01-13,597.84,597.84,597.84,597.84,0,597.84,1995-01-13,6019,3600
1995-01-16,588.81,588.81,588.81,588.81,0,588.81,1995-01-16,6019,3600
1995-01-17,587.94,587.94,587.94,587.94,0,587.94,1995-01-17,6019,3600
1995-01-18,593.64,593.64,593.64,593.64,0,593.64,1995-01-18,6019,3600
1995-01-19,571.72,571.72,571.72,571.72,0,571.72,1995-01-19,6019,3600
1995-01-20,571.24,571.24,571.24,571.24,0,571.24,1995-01-20,6019,3600
1995-01-23,553.44,553.44,553.44,553.44,0,553.44,1995-01-23,6019,3600
1995-01-24,547.57,547.57,547.57,547.57,0,547.57,1995-01-24,6019,3600
1995-01-25,555.77,555.77,555.77,555.77,0,555.77,1995-01-25,6019,3600
1995-01-26,553.11,553.11,553.11,553.11,0,553.11,1995-01-26,6019,3600
1995-01-27,562.59,562.59,562.59,562.59,0,562.59,1995-01-27,6019,3600
1995-01-30,562.58,562.58,562.58,562.58,0,562.58,1995-01-30,6019,3600
1995-01-31,562.58,562.58,562.58,562.58,0,562.58,1995-01-31,6019,3600
1995-02-01,562.58,562.58,562.58,562.58,0,562.58,1995-02-01,6019,3600
1995-02-02,562.58,562.58,562.58,562.58,0,562.58,1995-02-02,6019,3600
1995-02-03,562.58,562.58,562.58,562.58,0,562.58,1995-02-03,6019,3600
1995-02-06,533.72,533.72,533.72,533.72,0,533.72,1995-02-06,6019,3600
1995-02-07,532.49,532.49,532.49,532.49,0,532.49,1995-02-07,6019,3600
1995-02-08,533.75,533.75,533.75,533.75,0,533.75,1995-02-08,6019,3600
1995-02-09,553.36,553.36,553.36,553.36,0,553.36,1995-02-09,6019,3600
1995-02-10,541.38,541.38,541.38,541.38,0,541.38,1995-02-10,6019,3600
1995-02-13,548.84,548.84,548.84,548.84,0,548.84,1995-02-13,6019,3600
1995-02-14,548.11,548.11,548.11,548.11,0,548.11,1995-02-14,6019,3600
1995-02-15,542.84,542.84,542.84,542.84,0,542.84,1995-02-15,6019,3600
1995-02-16,538.37,538.37,538.37,538.37,0,538.37,1995-02-16,6019,3600
1995-02-17,533.76,533.76,533.76,533.76,0,533.76,1995-02-17,6019,3600
1995-02-20,534.96,534.96,534.96,534.96,0,534.96,1995-02-20,6019,3600
1995-02-21,541.14,541.14,541.14,541.14,0,541.14,1995-02-21,6019,3600
1995-02-22,594.64,594.64,594.64,594.64,0,594.64,1995-02-22,6019,3600
1995-02-23,589.13,589.13,589.13,589.13,0,589.13,1995-02-23,6019,3600
1995-02-24,558.43,558.43,558.43,558.43,0,558.43,1995-02-24,6019,3600
1995-02-27,561.27,561.27,561.27,561.27,0,561.27,1995-02-27,6019,3600
1995-02-28,549.26,549.26,549.26,549.26,0,549.26,1995-02-28,6019,3600
1995-03-01,556.96,556.96,556.96,556.96,0,556.96,1995-03-01,6019,3600
1995-03-02,560.85,560.85,560.85,560.85,0,560.85,1995-03-02,6019,3600
1995-03-03,577.22,577.22,577.22,577.22,0,577.22,1995-03-03,6019,3600
1995-03-06,616.3,616.3,616.3,616.3,0,616.3,1995-03-06,6019,3600
1995-03-07,632.96,632.96,632.96,632.96,0,632.96,1995-03-07,6019,3600
1995-03-08,620.81,620.81,620.81,620.81,0,620.81,1995-03-08,6019,3600
1995-03-09,605.59,605.59,605.59,605.59,0,605.59,1995-03-09,6019,3600
1995-03-10,586.29,586.29,586.29,586.29,0,586.29,1995-03-10,6019,3600
1995-03-13,586.23,586.23,586.23,586.23,0,586.23,1995-03-13,6019,3600
1995-03-14,588.24,588.24,588.24,588.24,0,588.24,1995-03-14,6019,3600
1995-03-15,572.6,572.6,572.6,572.6,0,572.6,1995-03-15,6019,3600
1995-03-16,579.88,579.88,579.88,579.88,0,579.88,1995-03-16,6019,3600
1995-03-17,593.52,593.52,593.52,593.52,0,593.52,1995-03-17,6019,3600
1995-03-20,585.45,585.45,585.45,585.45,0,585.45,1995-03-20,6019,3600
1995-03-21,591.95,591.95,591.95,591.95,0,591.95,1995-03-21,6019,3600
1995-03-22,613.7,613.7,613.7,613.7,0,613.7,1995-03-22,6019,3600
1995-03-23,611.13,611.13,611.13,611.13,0,611.13,1995-03-23,6019,3600
1995-03-24,611.77,611.77,611.77,611.77,0,611.77,1995-03-24,6019,3600
1995-03-27,629.36,629.36,629.36,629.36,0,629.36,1995-03-27,6019,3600
1995-03-28,626.55,626.55,626.55,626.55,0,626.55,1995-03-28,6019,3600
1995-03-29,637.15,637.15,637.15,637.15,0,637.15,1995-03-29,6019,3600
1995-03-30,630.93,630.93,630.93,630.93,0,630.93,1995-03-30,6019,3600
1995-03-31,646.92,646.92,646.92,646.92,0,646.92,1995-03-31,6019,3600
1995-04-03,656.88,656.88,656.88,656.88,0,656.88,1995-04-03,6019,3600
1995-04-04,660.16,660.16,660.16,660.16,0,660.16,1995-04-04,6019,3600
1995-04-05,649.7,649.7,649.7,649.7,0,649.7,1995-04-05,6019,3600
1995-04-06,659.06,659.06,659.06,659.06,0,659.06,1995-04-06,6019,3600
1995-04-07,673.72,673.72,673.72,673.72,0,673.72,1995-04-07,6019,3600
1995-04-10,667.39,667.39,667.39,667.39,0,667.39,1995-04-10,6019,3600
1995-04-11,641.08,641.08,641.08,641.08,0,641.08,1995-04-11,6019,3600
1995-04-12,644.74,644.74,644.74,644.74,0,644.74,1995-04-12,6019,3600
1995-04-13,632.76,632.76,632.76,632.76,0,632.76,1995-04-13,6019,3600
1995-04-14,640.04,640.04,640.04,640.04,0,640.04,1995-04-14,6019,3600
1995-04-17,631.26,631.26,631.26,631.26,0,631.26,1995-04-17,6019,3600
1995-04-18,625.52,625.52,625.52,625.52,0,625.52,1995-04-18,6019,3600
1995-04-19,631.51,631.51,631.51,631.51,0,631.51,1995-04-19,6019,3600
1995-04-20,645.2,645.2,645.2,645.2,0,645.2,1995-04-20,6019,3600
1995-04-21,635.99,635.99,635.99,635.99,0,635.99,1995-04-21,6019,3600
1995-04-24,619.73,619.73,619.73,619.73,0,619.73,1995-04-24,6019,3600
1995-04-25,619.84,619.84,619.84,619.84,0,619.84,1995-04-25,6019,3600
1995-04-26,601.83,601.83,601.83,601.83,0,601.83,1995-04-26,6019,3600
1995-04-27,573.31,573.31,573.31,573.31,0,573.31,1995-04-27,6019,3600
1995-04-28,579.93,579.93,579.93,579.93,0,579.93,1995-04-28,6019,3600
1995-05-01,579.93,579.93,579.93,579.93,0,579.93,1995-05-01,6019,3600
1995-05-02,579.04,579.04,579.04,579.04,0,579.04,1995-05-02,6019,3600
1995-05-03,580.38,580.38,580.38,580.38,0,580.38,1995-05-03,6019,3600
1995-05-04,571.2,571.2,571.2,571.2,0,571.2,1995-05-04,6019,3600
1995-05-05,574.17,574.17,574.17,574.17,0,574.17,1995-05-05,6019,3600
1995-05-08,571.51,571.51,571.51,571.51,0,571.51,1995-05-08,6019,3600
1995-05-09,578.5,578.5,578.5,578.5,0,578.5,1995-05-09,6019,3600
1995-05-10,565.14,565.14,565.14,565.14,0,565.14,1995-05-10,6019,3600
1995-05-11,568.06,568.06,568.06,568.06,0,568.06,1995-05-11,6019,3600
1995-05-12,584.84,584.84,584.84,584.84,0,584.84,1995-05-12,6019,3600
1995-05-15,582.04,582.04,582.04,582.04,0,582.04,1995-05-15,6019,3600
1995-05-16,578.85,578.85,578.85,578.85,0,578.85,1995-05-16,6019,3600
1995-05-17,582.89,582.89,582.89,582.89,0,582.89,1995-05-17,6019,3600
1995-05-18,763.51,763.51,763.51,763.51,0,763.51,1995-05-18,6019,3600
1995-05-19,855.81,855.81,855.81,855.81,0,855.81,1995-05-19,6019,3600
1995-05-22,897.42,897.42,897.42,897.42,0,897.42,1995-05-22,6019,3600
1995-05-23,750.3,750.3,750.3,750.3,0,750.3,1995-05-23,6019,3600
1995-05-24,741.93,741.93,741.93,741.93,0,741.93,1995-05-24,6019,3600
1995-05-25,696.85,696.85,696.85,696.85,0,696.85,1995-05-25,6019,3600
1995-05-26,727.62,727.62,727.62,727.62,0,727.62,1995-05-26,6019,3600
1995-05-29,710.59,710.59,710.59,710.59,0,710.59,1995-05-29,6019,3600
1995-05-30,711.0,711.0,711.0,711.0,0,711.0,1995-05-30,6019,3600
1995-05-31,700.51,700.51,700.51,700.51,0,700.51,1995-05-31,6019,3600
1995-06-01,708.67,708.67,708.67,708.67,0,708.67,1995-06-01,6019,3600
1995-06-02,716.82,716.82,716.82,716.82,0,716.82,1995-06-02,6019,3600
1995-06-05,691.64,691.64,691.64,691.64,0,691.64,1995-06-05,6019,3600
1995-06-06,689.13,689.13,689.13,689.13,0,689.13,1995-06-06,6019,3600
1995-06-07,716.45,716.45,716.45,716.45,0,716.45,1995-06-07,6019,3600
1995-06-08,695.93,695.93,695.93,695.93,0,695.93,1995-06-08,6019,3600
1995-06-09,702.62,702.62,702.62,702.62,0,702.62,1995-06-09,6019,3600
1995-06-12,698.72,698.72,698.72,698.72,0,698.72,1995-06-12,6019,3600
1995-06-13,698.95,698.95,698.95,698.95,0,698.95,1995-06-13,6019,3600
1995-06-14,689.22,689.22,689.22,689.22,0,689.22,1995-06-14,6019,3600
1995-06-15,646.85,646.85,646.85,646.85,0,646.85,1995-06-15,6019,3600
1995-06-16,646.54,646.54,646.54,646.54,0,646.54,1995-06-16,6019,3600
1995-06-19,638.96,638.96,638.96,638.96,0,638.96,1995-06-19,6019,3600
1995-06-20,640.66,640.66,640.66,640.66,0,640.66,1995-06-20,6019,3600
1995-06-21,651.81,651.81,651.81,651.81,0,651.81,1995-06-21,6019,3600
1995-06-22,644.47,644.47,644.47,644.47,0,644.47,1995-06-22,6019,3600
1995-06-23,650.14,650.14,650.14,650.14,0,650.14,1995-06-23,6019,3600
1995-06-26,653.4,653.4,653.4,653.4,0,653.4,1995-06-26,6019,3600
1995-06-27,649.93,649.93,649.93,649.93,0,649.93,1995-06-27,6019,3600
1995-06-28,647.64,647.64,647.64,647.64,0,647.64,1995-06-28,6019,3600
1995-06-29,643.92,643.92,643.92,643.92,0,643.92,1995-06-29,6019,3600
1995-06-30,630.58,630.58,630.58,630.58,0,630.58,1995-06-30,6019,3600
1995-07-03,613.18,613.18,613.18,613.18,0,613.18,1995-07-03,6019,3600
1995-07-04,620.62,620.62,620.62,620.62,0,620.62,1995-07-04,6019,3600
1995-07-05,636.03,636.03,636.03,636.03,0,636.03,1995-07-05,6019,3600
1995-07-06,637.77,637.77,637.77,637.77,0,637.77,1995-07-06,6019,3600
1995-07-07,666.78,666.78,666.78,666.78,0,666.78,1995-07-07,6019,3600
1995-07-10,666.24,666.24,666.24,666.24,0,666.24,1995-07-10,6019,3600
1995-07-11,649.19,649.19,649.19,649.19,0,649.19,1995-07-11,6019,3600
1995-07-12,648.91,648.91,648.91,648.91,0,648.91,1995-07-12,6019,3600
1995-07-13,656.15,656.15,656.15,656.15,0,656.15,1995-07-13,6019,3600
1995-07-14,652.8,652.8,652.8,652.8,0,652.8,1995-07-14,6019,3600
1995-07-17,695.45,695.45,695.45,695.45,0,695.45,1995-07-17,6019,3600
1995-07-18,715.47,715.47,715.47,715.47,0,715.47,1995-07-18,6019,3600
1995-07-19,690.98,690.98,690.98,690.98,0,690.98,1995-07-19,6019,3600
1995-07-20,690.3,690.3,690.3,690.3,0,690.3,1995-07-20,6019,3600
1995-07-21,693.56,693.56,693.56,693.56,0,693.56,1995-07-21,6019,3600
1995-07-24,709.92,709.92,709.92,709.92,0,709.92,1995-07-24,6019,3600
1995-07-25,703.58,703.58,703.58,703.58,0,703.58,1995-07-25,6019,3600
1995-07-26,691.12,691.12,691.12,691.12,0,691.12,1995-07-26,6019,3600
1995-07-27,697.72,697.72,697.72,697.72,0,697.72,1995-07-27,6019,3600
1995-07-28,695.42,695.42,695.42,695.42,0,695.42,1995-07-28,6019,3600
1995-07-31,695.55,695.55,695.55,695.55,0,695.55,1995-07-31,6019,3600
1995-08-01,715.4,715.4,715.4,715.4,0,715.4,1995-08-01,6019,3600
1995-08-02,699.99,699.99,699.99,699.99,0,699.99,1995-08-02,6019,3600
1995-08-03,703.44,703.44,703.44,703.44,0,703.44,1995-08-03,6019,3600
1995-08-04,709.88,709.88,709.88,709.88,0,709.88,1995-08-04,6019,3600
1995-08-07,718.08,718.08,718.08,718.08,0,718.08,1995-08-07,6019,3600
1995-08-08,712.53,712.53,712.53,712.53,0,712.53,1995-08-08,6019,3600
1995-08-09,717.46,717.46,717.46,717.46,0,717.46,1995-08-09,6019,3600
1995-08-10,735.15,735.15,735.15,735.15,0,735.15,1995-08-10,6019,3600
1995-08-11,744.99,744.99,744.99,744.99,0,744.99,1995-08-11,6019,3600
1995-08-14,776.13,776.13,776.13,776.13,0,776.13,1995-08-14,6019,3600
1995-08-15,751.48,751.48,751.48,751.48,0,751.48,1995-08-15,6019,3600
1995-08-16,767.66,767.66,767.66,767.66,0,767.66,1995-08-16,6019,3600
1995-08-17,769.45,769.45,769.45,769.45,0,769.45,1995-08-17,6019,3600
1995-08-18,757.43,757.43,757.43,757.43,0,757.43,1995-08-18,6019,3600
1995-08-21,739.06,739.06,739.06,739.06,0,739.06,1995-08-21,6019,3600
1995-08-22,739.86,739.86,739.86,739.86,0,739.86,1995-08-22,6019,3600
1995-08-23,729.89,729.89,729.89,729.89,0,729.89,1995-08-23,6019,3600
1995-08-24,733.85,733.85,733.85,733.85,0,733.85,1995-08-24,6019,3600
1995-08-25,727.58,727.58,727.58,727.58,0,727.58,1995-08-25,6019,3600
1995-08-28,725.62,725.62,725.62,725.62,0,725.62,1995-08-28,6019,3600
1995-08-29,722.08,722.08,722.08,722.08,0,722.08,1995-08-29,6019,3600
1995-08-30,715.73,715.73,715.73,715.73,0,715.73,1995-08-30,6019,3600
1995-08-31,723.87,723.87,723.87,723.87,0,723.87,1995-08-31,6019,3600
1995-09-01,728.84,728.84,728.84,728.84,0,728.84,1995-09-01,6019,3600
1995-09-04,737.89,737.89,737.89,737.89,0,737.89,1995-09-04,6019,3600
1995-09-05,739.53,739.53,739.53,739.53,0,739.53,1995-09-05,6019,3600
1995-09-06,753.75,753.75,753.75,753.75,0,753.75,1995-09-06,6019,3600
1995-09-07,753.84,753.84,753.84,753.84,0,753.84,1995-09-07,6019,3600
1995-09-08,751.08,751.08,751.08,751.08,0,751.08,1995-09-08,6019,3600
1995-09-11,775.45,775.45,775.45,775.45,0,775.45,1995-09-11,6019,3600
1995-09-12,763.69,763.69,763.69,763.69,0,763.69,1995-09-12,6019,3600
1995-09-13,763.18,763.18,763.18,763.18,0,763.18,1995-09-13,6019,3600
1995-09-14,758.13,758.13,758.13,758.13,0,758.13,1995-09-14,6019,3600
1995-09-15,755.93,755.93,755.93,755.93,0,755.93,1995-09-15,6019,3600
1995-09-18,757.4,757.4,757.4,757.4,0,757.4,1995-09-18,6019,3600
1995-09-19,736.74,736.74,736.74,736.74,0,736.74,1995-09-19,6019,3600
1995-09-20,726.14,726.14,726.14,726.14,0,726.14,1995-09-20,6019,3600
1995-09-21,731.17,731.17,731.17,731.17,0,731.17,1995-09-21,6019,3600
1995-09-22,730.01,730.01,730.01,730.01,0,730.01,1995-09-22,6019,3600
1995-09-25,723.35,723.35,723.35,723.35,0,723.35,1995-09-25,6019,3600
1995-09-26,728.86,728.86,728.86,728.86,0,728.86,1995-09-26,6019,3600
1995-09-27,708.46,708.46,708.46,708.46,0,708.46,1995-09-27,6019,3600
1995-09-28,711.19,711.19,711.19,711.19,0,711.19,1995-09-28,6019,3600
1995-09-29,722.43,722.43,722.43,722.43,0,722.43,1995-09-29,6019,3600
1995-10-02,722.427,722.427,722.427,722.427,0,722.427,1995-10-02,6019,3600
1995-10-03,722.427,722.427,722.427,722.427,0,722.427,1995-10-03,6019,3600
1995-10-04,717.79,717.79,717.79,717.79,0,717.79,1995-10-04,6019,3600
1995-10-05,724.88,724.88,724.88,724.88,0,724.88,1995-10-05,6019,3600
1995-10-06,719.96,719.96,719.96,719.96,0,719.96,1995-10-06,6019,3600
1995-10-09,706.29,706.29,706.29,706.29,0,706.29,1995-10-09,6019,3600
1995-10-10,708.63,708.63,708.63,708.63,0,708.63,1995-10-10,6019,3600
1995-10-11,710.89,710.89,710.89,710.89,0,710.89,1995-10-11,6019,3600
1995-10-12,704.4,704.4,704.4,704.4,0,704.4,1995-10-12,6019,3600
1995-10-13,702.98,702.98,702.98,702.98,0,702.98,1995-10-13,6019,3600
1995-10-16,701.34,701.34,701.34,701.34,0,701.34,1995-10-16,6019,3600
1995-10-17,702.4,702.4,702.4,702.4,0,702.4,1995-10-17,6019,3600
1995-10-18,716.83,716.83,716.83,716.83,0,716.83,1995-10-18,6019,3600
1995-10-19,702.79,702.79,702.79,702.79,0,702.79,1995-10-19,6019,3600
1995-10-20,726.29,726.29,726.29,726.29,0,726.29,1995-10-20,6019,3600
1995-10-23,723.09,723.09,723.09,723.09,0,723.09,1995-10-23,6019,3600
1995-10-24,723.57,723.57,723.57,723.57,0,723.57,1995-10-24,6019,3600
1995-10-25,760.41,760.41,760.41,760.41,0,760.41,1995-10-25,6019,3600
1995-10-26,731.47,731.47,731.47,731.47,0,731.47,1995-10-26,6019,3600
1995-10-27,722.37,722.37,722.37,722.37,0,722.37,1995-10-27,6019,3600
1995-10-30,722.78,722.78,722.78,722.78,0,722.78,1995-10-30,6019,3600
1995-10-31,717.32,717.32,717.32,717.32,0,717.32,1995-10-31,6019,3600
1995-11-01,723.39,723.39,723.39,723.39,0,723.39,1995-11-01,6019,3600
1995-11-02,721.7,721.7,721.7,721.7,0,721.7,1995-11-02,6019,3600
1995-11-03,727.79,727.79,727.79,727.79,0,727.79,1995-11-03,6019,3600
1995-11-06,736.15,736.15,736.15,736.15,0,736.15,1995-11-06,6019,3600
1995-11-07,729.69,729.69,729.69,729.69,0,729.69,1995-11-07,6019,3600
1995-11-08,711.61,711.61,711.61,711.61,0,711.61,1995-11-08,6019,3600
