trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,-2.0,20170130 18:25:00 EST,20170130 18:25:00 EST,20170130 18:25:00 EST,22.75,,5m_#BofAmerica,short,,20170130 18:20:00 EST,closed,20170130 18:20:00 EST,22.77,,,100.0,100.0,,5m_#BofAmerica,,2.0,100.0,USD,99998.0,4.0,1999998.0,99998.0,100002.0,100002.0,,
2.0,2.70006239589e-13,20170131 17:00:00 EST,20170131 17:00:00 EST,20170131 17:00:00 EST,22.72,,5m_#BofAmerica,short,,20170130 18:30:00 EST,closed,20170130 18:30:00 EST,22.76,,,100.0,100.0,,5m_#BofAmerica,,4.0,100.0,USD,99998.0,4.0,1999994.0,99998.0,100006.0,100006.0,,
3.0,-9.0,20170131 17:10:00 EST,20170131 17:10:00 EST,20170131 17:10:00 EST,22.74,,5m_#BofAmerica,long,,20170131 17:05:00 EST,closed,20170131 17:05:00 EST,22.79,,,100.0,100.0,,5m_#BofAmerica,,-5.0,-100.0,USD,99989.0,4.0,1999989.0,99989.0,100001.0,100001.0,,
4.0,-7.0,20170131 17:20:00 EST,20170131 17:20:00 EST,20170131 17:20:00 EST,22.75,,5m_#BofAmerica,long,,20170131 17:15:00 EST,closed,20170131 17:15:00 EST,22.78,,,100.0,100.0,,5m_#BofAmerica,,-3.0,-100.0,USD,99982.0,4.0,1999986.0,99982.0,99998.0,99998.0,,
5.0,-3.0,20170131 17:35:00 EST,20170131 17:35:00 EST,20170131 17:35:00 EST,22.74,,5m_#BofAmerica,short,,20170131 17:25:00 EST,closed,20170131 17:25:00 EST,22.75,,,100.0,100.0,,5m_#BofAmerica,,1.0,100.0,USD,99979.0,4.0,1999985.0,99979.0,99999.0,99999.0,,
6.0,2.70006239589e-13,20170131 17:45:00 EST,20170131 17:45:00 EST,20170131 17:45:00 EST,22.65,,5m_#BofAmerica,short,,20170131 17:40:00 EST,closed,20170131 17:40:00 EST,22.69,,,100.0,100.0,,5m_#BofAmerica,,4.0,100.0,USD,99979.0,4.0,1999981.0,99979.0,100003.0,100003.0,,
7.0,-2.0,20170131 18:00:00 EST,20170131 18:00:00 EST,20170131 18:00:00 EST,22.64,,5m_#BofAmerica,short,,20170131 17:50:00 EST,closed,20170131 17:50:00 EST,22.66,,,100.0,100.0,,5m_#BofAmerica,,2.0,100.0,USD,99977.0,4.0,1999979.0,99977.0,100005.0,100005.0,,
8.0,-3.0,20170131 18:30:00 EST,20170131 18:30:00 EST,20170131 18:30:00 EST,22.67,,5m_#BofAmerica,short,,20170131 18:05:00 EST,closed,20170131 18:05:00 EST,22.68,,,100.0,100.0,,5m_#BofAmerica,,1.0,100.0,USD,99974.0,4.0,1999978.0,99974.0,100006.0,100006.0,,
9.0,-8.52651282912e-14,20170131 18:40:00 EST,20170131 18:40:00 EST,20170131 18:40:00 EST,22.6,,5m_#BofAmerica,short,,20170131 18:35:00 EST,closed,20170131 18:35:00 EST,22.64,,,100.0,100.0,,5m_#BofAmerica,,4.0,100.0,USD,99974.0,4.0,1999974.0,99974.0,100010.0,100010.0,,
10.0,-1.0,20170131 19:00:00 EST,20170131 19:00:00 EST,20170131 19:00:00 EST,22.57,,5m_#BofAmerica,short,,20170131 18:45:00 EST,closed,20170131 18:45:00 EST,22.6,,,100.0,100.0,,5m_#BofAmerica,,3.0,100.0,USD,99973.0,4.0,1999971.0,99973.0,100013.0,100013.0,,
11.0,-3.0,20170131 19:30:00 EST,20170131 19:30:00 EST,20170131 19:30:00 EST,22.61,,5m_#BofAmerica,short,,20170131 19:05:00 EST,closed,20170131 19:05:00 EST,22.62,,,100.0,100.0,,5m_#BofAmerica,,1.0,100.0,USD,99970.0,4.0,1999970.0,99970.0,100014.0,100014.0,,
