trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,-3.8,20170127 10:40:00 EST,20170127 10:40:00 EST,20170127 10:40:00 EST,2.2925,,5m_#Barclays,short,,20170127 10:25:00 EST,closed,20170127 10:25:00 EST,2.2945,,,100.0,100.0,,5m_#Barclays,,0.2,100.0,USD,99996.2,4.0,1999999.8,99996.2,100000.2,100000.2,,
2.0,-3.8,20170127 11:00:00 EST,20170127 11:00:00 EST,20170127 11:00:00 EST,2.2885,,5m_#Barclays,short,,20170127 10:45:00 EST,closed,20170127 10:45:00 EST,2.2905,,,100.0,100.0,,5m_#Barclays,,0.2,100.0,USD,99992.4,4.0,1999999.6,99992.4,100000.4,100000.4,,
3.0,-3.7,20170127 11:10:00 EST,20170127 11:10:00 EST,20170127 11:10:00 EST,2.2825,,5m_#Barclays,short,,20170127 11:05:00 EST,closed,20170127 11:05:00 EST,2.2855,,,100.0,100.0,,5m_#Barclays,,0.3,100.0,USD,99988.7,4.0,1999999.3,99988.7,100000.7,100000.7,,
4.0,-3.6,20170127 11:50:00 EST,20170127 11:50:00 EST,20170127 11:50:00 EST,2.2835,,5m_#Barclays,short,,20170127 11:15:00 EST,closed,20170127 11:15:00 EST,2.2875,,,100.0,100.0,,5m_#Barclays,,0.4,100.0,USD,99985.1,4.0,1999998.9,99985.1,100001.1,100001.1,,
5.0,-3.9,20170127 12:15:00 EST,20170127 12:15:00 EST,20170127 12:15:00 EST,2.286,,5m_#Barclays,short,,20170127 11:55:00 EST,closed,20170127 11:55:00 EST,2.287,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99981.2,4.0,1999998.8,99981.2,100001.2,100001.2,,
6.0,-3.9,20170127 17:30:00 EST,20170127 17:30:00 EST,20170127 17:30:00 EST,2.2885,,5m_#Barclays,short,,20170127 12:20:00 EST,closed,20170127 12:20:00 EST,2.2895,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99977.3,4.0,1999998.7,99977.3,100001.3,100001.3,,
7.0,-1.55,20170130 10:00:00 EST,20170130 10:00:00 EST,20170130 10:00:00 EST,2.2655,,5m_#Barclays,short,,20170127 17:35:00 EST,closed,20170127 17:35:00 EST,2.29,,,100.0,100.0,,5m_#Barclays,,2.45,100.0,USD,99975.75,4.0,1999996.25,99975.75,100003.75,100003.75,,
8.0,-3.3,20170130 10:35:00 EST,20170130 10:35:00 EST,20170130 10:35:00 EST,2.254,,5m_#Barclays,short,,20170130 10:05:00 EST,closed,20170130 10:05:00 EST,2.261,,,100.0,100.0,,5m_#Barclays,,0.7,100.0,USD,99972.45,4.0,1999995.55,99972.45,100004.45,100004.45,,
9.0,-3.6,20170130 11:45:00 EST,20170130 11:45:00 EST,20170130 11:45:00 EST,2.2415,,5m_#Barclays,short,,20170130 10:40:00 EST,closed,20170130 10:40:00 EST,2.2455,,,100.0,100.0,,5m_#Barclays,,0.4,100.0,USD,99968.85,4.0,1999995.15,99968.85,100004.85,100004.85,,
10.0,-3.9,20170130 11:55:00 EST,20170130 11:55:00 EST,20170130 11:55:00 EST,2.241,,5m_#Barclays,short,,20170130 11:50:00 EST,closed,20170130 11:50:00 EST,2.242,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99964.95,4.0,1999995.05,99964.95,100004.95,100004.95,,
