Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170203 13:35:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170203 13:35:00 EST,paperUSD,99997.85368,100000.0,1892684.0,0,-2.14632,0.0,USD,99997.85368,100000.0,0
20170206 15:00:00 EST,paperUSD,100086.70918,100091.0,1999909.0,0,86.70918,91.0,USD,100086.70918,100091.0,0
20170206 15:05:00 EST,paperUSD,100084.56586,100091.0,1892743.0,0,84.56586,91.0,USD,100084.56586,100091.0,0
20170206 16:05:00 EST,paperUSD,100166.42422,100175.0,1999825.0,0,166.42422,175.0,USD,100166.42422,100175.0,0
20170206 16:10:00 EST,paperUSD,100164.28202,100175.0,1892715.0,0,164.28202,175.0,USD,100164.28202,100175.0,0
20170207 08:10:00 EST,paperUSD,100258.14174,100271.0,1999729.0,0,258.14174,271.0,USD,100258.14174,100271.0,0
20170207 08:15:00 EST,paperUSD,100256.00202,100271.0,1892743.0,0,256.00202,271.0,USD,100256.00202,100271.0,0
20170207 08:40:00 EST,paperUSD,100322.86368,100340.0,1999660.0,0,322.86368,340.0,USD,100322.86368,100340.0,0
20170207 08:45:00 EST,paperUSD,100320.72542,100340.0,1892747.0,0,320.72542,340.0,USD,100320.72542,100340.0,0
