trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,-259.241,20170125 10:25:00 EST,20170125 10:25:00 EST,20170125 10:25:00 EST,2.309,,5m_#Barclays,long,,20170125 10:20:00 EST,closed,20170125 10:20:00 EST,2.3115,,,100000.0,100000.0,,5m_#Barclays,,-250.0,-100000.0,USD,99740.759,9.241,1999750.0,99740.759,99750.0,99750.0,,
2.0,40.757,20170125 10:35:00 EST,20170125 10:35:00 EST,20170125 10:35:00 EST,2.311,,5m_#Barclays,long,,20170125 10:30:00 EST,closed,20170125 10:30:00 EST,2.3105,,,100000.0,100000.0,,5m_#Barclays,,50.0,-100000.0,USD,99781.516,9.243,1999800.0,99781.516,99800.0,99800.0,,
3.0,-9.24,20170125 11:00:00 EST,20170125 11:00:00 EST,20170125 11:00:00 EST,2.31,,5m_#Barclays,long,,20170125 10:40:00 EST,closed,20170125 10:40:00 EST,2.31,,,100000.0,100000.0,,5m_#Barclays,,0.0,-100000.0,USD,99772.276,9.24,1999800.0,99772.276,99800.0,99800.0,,
4.0,-209.218,20170125 13:00:00 EST,20170125 13:00:00 EST,20170125 13:00:00 EST,2.3035,,5m_#Barclays,long,,20170125 11:05:00 EST,closed,20170125 11:05:00 EST,2.3055,,,100000.0,100000.0,,5m_#Barclays,,-200.0,-100000.0,USD,99563.058,9.218,1999600.0,99563.058,99600.0,99600.0,,
5.0,-59.227,20170125 14:35:00 EST,20170125 14:35:00 EST,20170125 14:35:00 EST,2.3065,,5m_#Barclays,long,,20170125 13:05:00 EST,closed,20170125 13:05:00 EST,2.307,,,100000.0,100000.0,,5m_#Barclays,,-50.0,-100000.0,USD,99503.831,9.227,1999550.0,99503.831,99550.0,99550.0,,
6.0,-159.213,20170125 14:45:00 EST,20170125 14:45:00 EST,20170125 14:45:00 EST,2.3025,,5m_#Barclays,long,,20170125 14:40:00 EST,closed,20170125 14:40:00 EST,2.304,,,100000.0,100000.0,,5m_#Barclays,,-150.0,-100000.0,USD,99344.618,9.213,1999400.0,99344.618,99400.0,99400.0,,
7.0,-109.21,20170125 18:25:00 EST,20170125 18:25:00 EST,20170125 18:25:00 EST,2.302,,5m_#Barclays,long,,20170125 14:50:00 EST,closed,20170125 14:50:00 EST,2.303,,,100000.0,100000.0,,5m_#Barclays,,-100.0,-100000.0,USD,99235.408,9.21,1999300.0,99235.408,99300.0,99300.0,,
8.0,-109.316,20170126 10:05:00 EST,20170126 10:05:00 EST,20170126 10:05:00 EST,2.3285,,5m_#Barclays,long,,20170126 10:00:00 EST,closed,20170126 10:00:00 EST,2.3295,,,100000.0,100000.0,,5m_#Barclays,,-100.0,-100000.0,USD,99126.092,9.316,1999200.0,99126.092,99200.0,99200.0,,
9.0,-409.306,20170126 10:15:00 EST,20170126 10:15:00 EST,20170126 10:15:00 EST,2.3245,,5m_#Barclays,long,,20170126 10:10:00 EST,closed,20170126 10:10:00 EST,2.3285,,,100000.0,100000.0,,5m_#Barclays,,-400.0,-100000.0,USD,98716.786,9.306,1998800.0,98716.786,98800.0,98800.0,,
10.0,-9.304,20170126 10:40:00 EST,20170126 10:40:00 EST,20170126 10:40:00 EST,2.326,,5m_#Barclays,long,,20170126 10:20:00 EST,closed,20170126 10:20:00 EST,2.326,,,100000.0,100000.0,,5m_#Barclays,,0.0,-100000.0,USD,98707.482,9.304,1998800.0,98707.482,98800.0,98800.0,,
11.0,-109.296,20170126 10:55:00 EST,20170126 10:55:00 EST,20170126 10:55:00 EST,2.3235,,5m_#Barclays,long,,20170126 10:45:00 EST,closed,20170126 10:45:00 EST,2.3245,,,100000.0,100000.0,,5m_#Barclays,,-100.0,-100000.0,USD,98598.186,9.296,1998700.0,98598.186,98700.0,98700.0,,
12.0,-9.298,20170126 17:20:00 EST,20170126 17:20:00 EST,20170126 17:20:00 EST,2.3245,,5m_#Barclays,long,,20170126 11:00:00 EST,closed,20170126 11:00:00 EST,2.3245,,,100000.0,100000.0,,5m_#Barclays,,0.0,-100000.0,USD,98588.888,9.298,1998700.0,98588.888,98700.0,98700.0,,
13.0,-159.301,20170126 17:40:00 EST,20170126 17:40:00 EST,20170126 17:40:00 EST,2.3245,,5m_#Barclays,long,,20170126 17:25:00 EST,closed,20170126 17:25:00 EST,2.326,,,100000.0,100000.0,,5m_#Barclays,,-150.0,-100000.0,USD,98429.587,9.301,1998550.0,98429.587,98550.0,98550.0,,
14.0,-759.285,20170126 17:50:00 EST,20170126 17:50:00 EST,20170126 17:50:00 EST,2.3175,,5m_#Barclays,long,,20170126 17:45:00 EST,closed,20170126 17:45:00 EST,2.325,,,100000.0,100000.0,,5m_#Barclays,,-750.0,-100000.0,USD,97670.302,9.285,1997800.0,97670.302,97800.0,97800.0,,
15.0,-109.258,20170126 18:00:00 EST,20170126 18:00:00 EST,20170126 18:00:00 EST,2.314,,5m_#Barclays,long,,20170126 17:55:00 EST,closed,20170126 17:55:00 EST,2.315,,,100000.0,100000.0,,5m_#Barclays,,-100.0,-100000.0,USD,97561.044,9.258,1997700.0,97561.044,97700.0,97700.0,,
16.0,-159.255,20170126 18:20:00 EST,20170126 18:20:00 EST,20170126 18:20:00 EST,2.313,,5m_#Barclays,long,,20170126 18:05:00 EST,closed,20170126 18:05:00 EST,2.3145,,,100000.0,100000.0,,5m_#Barclays,,-150.0,-100000.0,USD,97401.789,9.255,1997550.0,97401.789,97550.0,97550.0,,
17.0,-2009.222,20170127 10:00:00 EST,20170127 10:00:00 EST,20170127 10:00:00 EST,2.2955,,5m_#Barclays,long,,20170126 18:25:00 EST,closed,20170126 18:25:00 EST,2.3155,,,100000.0,100000.0,,5m_#Barclays,,-2000.0,-100000.0,USD,95392.567,9.222,1995550.0,95392.567,95550.0,95550.0,,
18.0,-159.127,20170127 10:15:00 EST,20170127 10:15:00 EST,20170127 10:15:00 EST,2.281,,5m_#Barclays,long,,20170127 10:05:00 EST,closed,20170127 10:05:00 EST,2.2825,,,100000.0,100000.0,,5m_#Barclays,,-150.0,-100000.0,USD,95233.44,9.127,1995400.0,95233.44,95400.0,95400.0,,
19.0,140.827,20170127 10:40:00 EST,20170127 10:40:00 EST,20170127 10:40:00 EST,2.2925,,5m_#Barclays,short,,20170127 10:20:00 EST,closed,20170127 10:20:00 EST,2.294,,,100000.0,100000.0,,5m_#Barclays,,150.0,100000.0,USD,95374.267,9.173,1995250.0,95374.267,95550.0,95550.0,,
20.0,190.842,20170127 11:00:00 EST,20170127 11:00:00 EST,20170127 11:00:00 EST,2.2885,,5m_#Barclays,short,,20170127 10:45:00 EST,closed,20170127 10:45:00 EST,2.2905,,,100000.0,100000.0,,5m_#Barclays,,200.0,100000.0,USD,95565.109,9.158,1995050.0,95565.109,95750.0,95750.0,,
21.0,290.864,20170127 11:10:00 EST,20170127 11:10:00 EST,20170127 11:10:00 EST,2.2825,,5m_#Barclays,short,,20170127 11:05:00 EST,closed,20170127 11:05:00 EST,2.2855,,,100000.0,100000.0,,5m_#Barclays,,300.0,100000.0,USD,95855.973,9.136,1994750.0,95855.973,96050.0,96050.0,,
22.0,390.858,20170127 11:50:00 EST,20170127 11:50:00 EST,20170127 11:50:00 EST,2.2835,,5m_#Barclays,short,,20170127 11:15:00 EST,closed,20170127 11:15:00 EST,2.2875,,,100000.0,100000.0,,5m_#Barclays,,400.0,100000.0,USD,96246.831,9.142,1994350.0,96246.831,96450.0,96450.0,,
23.0,90.854,20170127 12:15:00 EST,20170127 12:15:00 EST,20170127 12:15:00 EST,2.286,,5m_#Barclays,short,,20170127 11:55:00 EST,closed,20170127 11:55:00 EST,2.287,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,96337.685,9.146,1994250.0,96337.685,96550.0,96550.0,,
24.0,90.844,20170127 17:30:00 EST,20170127 17:30:00 EST,20170127 17:30:00 EST,2.2885,,5m_#Barclays,short,,20170127 12:20:00 EST,closed,20170127 12:20:00 EST,2.2895,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,96428.529,9.156,1994150.0,96428.529,96650.0,96650.0,,
25.0,2440.889,20170130 10:00:00 EST,20170130 10:00:00 EST,20170130 10:00:00 EST,2.2655,,5m_#Barclays,short,,20170127 17:35:00 EST,closed,20170127 17:35:00 EST,2.29,,,100000.0,100000.0,,5m_#Barclays,,2450.0,100000.0,USD,98869.418,9.111,1991700.0,98869.418,99100.0,99100.0,,
26.0,690.97,20170130 10:35:00 EST,20170130 10:35:00 EST,20170130 10:35:00 EST,2.254,,5m_#Barclays,short,,20170130 10:05:00 EST,closed,20170130 10:05:00 EST,2.261,,,100000.0,100000.0,,5m_#Barclays,,700.0,100000.0,USD,99560.388,9.03,1991000.0,99560.388,99800.0,99800.0,,
27.0,391.026,20170130 11:45:00 EST,20170130 11:45:00 EST,20170130 11:45:00 EST,2.2415,,5m_#Barclays,short,,20170130 10:40:00 EST,closed,20170130 10:40:00 EST,2.2455,,,100000.0,100000.0,,5m_#Barclays,,400.0,100000.0,USD,99951.414,8.974,1990600.0,99951.414,100200.0,100200.0,,
28.0,91.034,20170130 11:55:00 EST,20170130 11:55:00 EST,20170130 11:55:00 EST,2.241,,5m_#Barclays,short,,20170130 11:50:00 EST,closed,20170130 11:50:00 EST,2.242,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,100042.448,8.966,1990500.0,100042.448,100300.0,100300.0,,
29.0,191.036,20170130 12:05:00 EST,20170130 12:05:00 EST,20170130 12:05:00 EST,2.24,,5m_#Barclays,short,,20170130 12:00:00 EST,closed,20170130 12:00:00 EST,2.242,,,100000.0,100000.0,,5m_#Barclays,,200.0,100000.0,USD,100233.484,8.964,1990300.0,100233.484,100500.0,100500.0,,
30.0,91.036,20170130 12:35:00 EST,20170130 12:35:00 EST,20170130 12:35:00 EST,2.2405,,5m_#Barclays,short,,20170130 12:10:00 EST,closed,20170130 12:10:00 EST,2.2415,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,100324.52,8.964,1990200.0,100324.52,100600.0,100600.0,,
31.0,41.025,20170130 12:55:00 EST,20170130 12:55:00 EST,20170130 12:55:00 EST,2.2435,,5m_#Barclays,short,,20170130 12:40:00 EST,closed,20170130 12:40:00 EST,2.244,,,100000.0,100000.0,,5m_#Barclays,,50.0,100000.0,USD,100365.545,8.975,1990150.0,100365.545,100650.0,100650.0,,
32.0,291.018,20170130 13:05:00 EST,20170130 13:05:00 EST,20170130 13:05:00 EST,2.244,,5m_#Barclays,short,,20170130 13:00:00 EST,closed,20170130 13:00:00 EST,2.247,,,100000.0,100000.0,,5m_#Barclays,,300.0,100000.0,USD,100656.563,8.982,1989850.0,100656.563,100950.0,100950.0,,
33.0,41.021,20170130 14:45:00 EST,20170130 14:45:00 EST,20170130 14:45:00 EST,2.2445,,5m_#Barclays,short,,20170130 13:10:00 EST,closed,20170130 13:10:00 EST,2.245,,,100000.0,100000.0,,5m_#Barclays,,50.0,100000.0,USD,100697.584,8.979,1989800.0,100697.584,101000.0,101000.0,,
34.0,141.023,20170130 14:55:00 EST,20170130 14:55:00 EST,20170130 14:55:00 EST,2.2435,,5m_#Barclays,short,,20170130 14:50:00 EST,closed,20170130 14:50:00 EST,2.245,,,100000.0,100000.0,,5m_#Barclays,,150.0,100000.0,USD,100838.607,8.977,1989650.0,100838.607,101150.0,101150.0,,
35.0,91.026,20170130 15:05:00 EST,20170130 15:05:00 EST,20170130 15:05:00 EST,2.243,,5m_#Barclays,short,,20170130 15:00:00 EST,closed,20170130 15:00:00 EST,2.244,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,100929.633,8.974,1989550.0,100929.633,101250.0,101250.0,,
36.0,141.023,20170130 15:15:00 EST,20170130 15:15:00 EST,20170130 15:15:00 EST,2.2435,,5m_#Barclays,short,,20170130 15:10:00 EST,closed,20170130 15:10:00 EST,2.245,,,100000.0,100000.0,,5m_#Barclays,,150.0,100000.0,USD,101070.656,8.977,1989400.0,101070.656,101400.0,101400.0,,
37.0,91.03,20170130 15:25:00 EST,20170130 15:25:00 EST,20170130 15:25:00 EST,2.242,,5m_#Barclays,short,,20170130 15:20:00 EST,closed,20170130 15:20:00 EST,2.243,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,101161.686,8.97,1989300.0,101161.686,101500.0,101500.0,,
38.0,241.043,20170130 16:00:00 EST,20170130 16:00:00 EST,20170130 16:00:00 EST,2.238,,5m_#Barclays,short,,20170130 15:30:00 EST,closed,20170130 15:30:00 EST,2.2405,,,100000.0,100000.0,,5m_#Barclays,,250.0,100000.0,USD,101402.729,8.957,1989050.0,101402.729,101750.0,101750.0,,
39.0,41.041,20170130 16:10:00 EST,20170130 16:10:00 EST,20170130 16:10:00 EST,2.2395,,5m_#Barclays,short,,20170130 16:05:00 EST,closed,20170130 16:05:00 EST,2.24,,,100000.0,100000.0,,5m_#Barclays,,50.0,100000.0,USD,101443.77,8.959,1989000.0,101443.77,101800.0,101800.0,,
40.0,441.049,20170130 16:40:00 EST,20170130 16:40:00 EST,20170130 16:40:00 EST,2.2355,,5m_#Barclays,short,,20170130 16:15:00 EST,closed,20170130 16:15:00 EST,2.24,,,100000.0,100000.0,,5m_#Barclays,,450.0,100000.0,USD,101884.819,8.951,1988550.0,101884.819,102250.0,102250.0,,
41.0,41.081,20170130 17:15:00 EST,20170130 17:15:00 EST,20170130 17:15:00 EST,2.2295,,5m_#Barclays,short,,20170130 16:45:00 EST,closed,20170130 16:45:00 EST,2.23,,,100000.0,100000.0,,5m_#Barclays,,50.0,100000.0,USD,101925.9,8.919,1988500.0,101925.9,102300.0,102300.0,,
42.0,41.091,20170130 17:30:00 EST,20170130 17:30:00 EST,20170130 17:30:00 EST,2.227,,5m_#Barclays,short,,20170130 17:20:00 EST,closed,20170130 17:20:00 EST,2.2275,,,100000.0,100000.0,,5m_#Barclays,,50.0,100000.0,USD,101966.991,8.909,1988450.0,101966.991,102350.0,102350.0,,
43.0,91.09,20170130 17:40:00 EST,20170130 17:40:00 EST,20170130 17:40:00 EST,2.227,,5m_#Barclays,short,,20170130 17:35:00 EST,closed,20170130 17:35:00 EST,2.228,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,102058.081,8.91,1988350.0,102058.081,102450.0,102450.0,,
44.0,141.099,20170130 18:20:00 EST,20170130 18:20:00 EST,20170130 18:20:00 EST,2.2245,,5m_#Barclays,short,,20170130 17:45:00 EST,closed,20170130 17:45:00 EST,2.226,,,100000.0,100000.0,,5m_#Barclays,,150.0,100000.0,USD,102199.18,8.901,1988200.0,102199.18,102600.0,102600.0,,
45.0,291.114,20170131 10:05:00 EST,20170131 10:05:00 EST,20170131 10:05:00 EST,2.22,,5m_#Barclays,short,,20170130 18:25:00 EST,closed,20170130 18:25:00 EST,2.223,,,100000.0,100000.0,,5m_#Barclays,,300.0,100000.0,USD,102490.294,8.886,1987900.0,102490.294,102900.0,102900.0,,
46.0,291.146,20170131 10:15:00 EST,20170131 10:15:00 EST,20170131 10:15:00 EST,2.212,,5m_#Barclays,short,,20170131 10:10:00 EST,closed,20170131 10:10:00 EST,2.215,,,100000.0,100000.0,,5m_#Barclays,,300.0,100000.0,USD,102781.44,8.854,1987600.0,102781.44,103200.0,103200.0,,
47.0,191.124,20170131 13:45:00 EST,20170131 13:45:00 EST,20170131 13:45:00 EST,2.218,,5m_#Barclays,short,,20170131 10:20:00 EST,closed,20170131 10:20:00 EST,2.22,,,100000.0,100000.0,,5m_#Barclays,,200.0,100000.0,USD,102972.564,8.876,1987400.0,102972.564,103400.0,103400.0,,
48.0,291.122,20170131 13:55:00 EST,20170131 13:55:00 EST,20170131 13:55:00 EST,2.218,,5m_#Barclays,short,,20170131 13:50:00 EST,closed,20170131 13:50:00 EST,2.221,,,100000.0,100000.0,,5m_#Barclays,,300.0,100000.0,USD,103263.686,8.878,1987100.0,103263.686,103700.0,103700.0,,
49.0,141.121,20170131 14:05:00 EST,20170131 14:05:00 EST,20170131 14:05:00 EST,2.219,,5m_#Barclays,short,,20170131 14:00:00 EST,closed,20170131 14:00:00 EST,2.2205,,,100000.0,100000.0,,5m_#Barclays,,150.0,100000.0,USD,103404.807,8.879,1986950.0,103404.807,103850.0,103850.0,,
50.0,91.132,20170131 14:15:00 EST,20170131 14:15:00 EST,20170131 14:15:00 EST,2.2165,,5m_#Barclays,short,,20170131 14:10:00 EST,closed,20170131 14:10:00 EST,2.2175,,,100000.0,100000.0,,5m_#Barclays,,100.0,100000.0,USD,103495.939,8.868,1986850.0,103495.939,103950.0,103950.0,,
