Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170216 11:30:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170216 11:30:00 EST,paperUSD,99997.87252,100000.0,1893626.0,0,-2.12748,0.0,USD,99997.87252,100000.0,0
20170216 11:35:00 EST,paperUSD,99997.745,100002.0,2000002.0,0,-2.25499999999,2.00000000001,USD,99997.745,100002.0,0
20170216 11:40:00 EST,paperUSD,99995.61812,100002.0,1893658.0,0,-4.38187999999,2.00000000001,USD,99995.61812,100002.0,0
20170216 11:45:00 EST,paperUSD,99989.49132,99998.0,1999998.0,0,-10.50868,-1.99999999999,USD,99989.49132,99998.0,0
20170216 11:50:00 EST,paperUSD,99987.36408,99998.0,1893636.0,0,-12.63592,-1.99999999999,USD,99987.36408,99998.0,0
20170216 11:55:00 EST,paperUSD,100011.23632,100024.0,2000024.0,0,11.23632,24.0,USD,100011.23632,100024.0,0
20170216 12:00:00 EST,paperUSD,100009.10862,100024.0,1893639.0,0,9.10862,24.0,USD,100009.10862,100024.0,0
20170216 12:05:00 EST,paperUSD,99897.9831,99915.0,1999915.0,0,-102.0169,-85.0,USD,99897.9831,99915.0,0
20170216 12:10:00 EST,paperUSD,99895.8575,99915.0,1893635.0,0,-104.1425,-85.0,USD,99895.8575,99915.0,0
