trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,58.69418,20170203 21:20:00 EST,20170203 21:20:00 EST,20170203 21:20:00 EST,1.07614,,5m_EURUSD,short,,20170203 20:55:00 EST,closed,20170203 20:55:00 EST,1.07677,,,100000.0,100000.0,,5m_EURUSD,,63.0,100000.0,USD,100058.69418,4.30582,1999937.0,100058.69418,100063.0,100063.0,,
2.0,54.69622,20170206 09:20:00 EST,20170206 09:20:00 EST,20170206 09:20:00 EST,1.07565,,5m_EURUSD,short,,20170203 21:25:00 EST,closed,20170203 21:25:00 EST,1.07624,,,100000.0,100000.0,,5m_EURUSD,,59.0,100000.0,USD,100113.3904,4.30378,1999878.0,100113.3904,100122.0,100122.0,,
3.0,60.70102,20170206 11:10:00 EST,20170206 11:10:00 EST,20170206 11:10:00 EST,1.07442,,5m_EURUSD,short,,20170206 09:25:00 EST,closed,20170206 09:25:00 EST,1.07507,,,100000.0,100000.0,,5m_EURUSD,,65.0,100000.0,USD,100174.09142,4.29898,1999813.0,100174.09142,100187.0,100187.0,,
4.0,59.7032,20170206 12:05:00 EST,20170206 12:05:00 EST,20170206 12:05:00 EST,1.07388,,5m_EURUSD,short,,20170206 11:15:00 EST,closed,20170206 11:15:00 EST,1.07452,,,100000.0,100000.0,,5m_EURUSD,,64.0,100000.0,USD,100233.79462,4.2968,1999749.0,100233.79462,100251.0,100251.0,,
5.0,48.7053,20170206 12:30:00 EST,20170206 12:30:00 EST,20170206 12:30:00 EST,1.07341,,5m_EURUSD,short,,20170206 12:10:00 EST,closed,20170206 12:10:00 EST,1.07394,,,100000.0,100000.0,,5m_EURUSD,,53.0,100000.0,USD,100282.49992,4.2947,1999696.0,100282.49992,100304.0,100304.0,,
6.0,45.7066,20170206 14:40:00 EST,20170206 14:40:00 EST,20170206 14:40:00 EST,1.0731,,5m_EURUSD,short,,20170206 12:35:00 EST,closed,20170206 12:35:00 EST,1.0736,,,100000.0,100000.0,,5m_EURUSD,,50.0,100000.0,USD,100328.20652,4.2934,1999646.0,100328.20652,100354.0,100354.0,,
7.0,90.7091,20170206 15:00:00 EST,20170206 15:00:00 EST,20170206 15:00:00 EST,1.07225,,5m_EURUSD,short,,20170206 14:45:00 EST,closed,20170206 14:45:00 EST,1.0732,,,100000.0,100000.0,,5m_EURUSD,,95.0,100000.0,USD,100418.91562,4.2909,1999551.0,100418.91562,100449.0,100449.0,,
8.0,79.71504,20170206 16:05:00 EST,20170206 16:05:00 EST,20170206 16:05:00 EST,1.07082,,5m_EURUSD,short,,20170206 15:05:00 EST,closed,20170206 15:05:00 EST,1.07166,,,100000.0,100000.0,,5m_EURUSD,,84.0,100000.0,USD,100498.63066,4.28496,1999467.0,100498.63066,100533.0,100533.0,,
9.0,91.71752,20170207 08:10:00 EST,20170207 08:10:00 EST,20170207 08:10:00 EST,1.07014,,5m_EURUSD,short,,20170206 16:10:00 EST,closed,20170206 16:10:00 EST,1.0711,,,100000.0,100000.0,,5m_EURUSD,,96.0,100000.0,USD,100590.34818,4.28248,1999371.0,100590.34818,100629.0,100629.0,,
10.0,64.72194,20170207 08:40:00 EST,20170207 08:40:00 EST,20170207 08:40:00 EST,1.06917,,5m_EURUSD,short,,20170207 08:15:00 EST,closed,20170207 08:15:00 EST,1.06986,,,100000.0,100000.0,,5m_EURUSD,,69.0,100000.0,USD,100655.07012,4.27806,1999302.0,100655.07012,100698.0,100698.0,,
11.0,98.7249,20170207 09:15:00 EST,20170207 09:15:00 EST,20170207 09:15:00 EST,1.06826,,5m_EURUSD,short,,20170207 08:45:00 EST,closed,20170207 08:45:00 EST,1.06929,,,100000.0,100000.0,,5m_EURUSD,,103.0,100000.0,USD,100753.79502,4.2751,1999199.0,100753.79502,100801.0,100801.0,,
12.0,101.72952,20170207 10:05:00 EST,20170207 10:05:00 EST,20170207 10:05:00 EST,1.06709,,5m_EURUSD,short,,20170207 09:20:00 EST,closed,20170207 09:20:00 EST,1.06815,,,100000.0,100000.0,,5m_EURUSD,,106.0,100000.0,USD,100855.52454,4.27048,1999093.0,100855.52454,100907.0,100907.0,,
13.0,83.7352,20170207 11:15:00 EST,20170207 11:15:00 EST,20170207 11:15:00 EST,1.06576,,5m_EURUSD,short,,20170207 10:10:00 EST,closed,20170207 10:10:00 EST,1.06664,,,100000.0,100000.0,,5m_EURUSD,,88.0,100000.0,USD,100939.25974,4.2648,1999005.0,100939.25974,100995.0,100995.0,,
14.0,119.739,20170208 10:00:00 EST,20170208 10:00:00 EST,20170208 10:00:00 EST,1.06463,,5m_EURUSD,short,,20170207 11:20:00 EST,closed,20170207 11:20:00 EST,1.06587,,,100000.0,100000.0,,5m_EURUSD,,124.0,100000.0,USD,101058.99874,4.261,1998881.0,101058.99874,101119.0,101119.0,,
15.0,47.74244,20170208 11:30:00 EST,20170208 11:30:00 EST,20170208 11:30:00 EST,1.06413,,5m_EURUSD,short,,20170208 10:05:00 EST,closed,20170208 10:05:00 EST,1.06465,,,100000.0,100000.0,,5m_EURUSD,,52.0,100000.0,USD,101106.74118,4.25756,1998829.0,101106.74118,101171.0,101171.0,,
