trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,-10.0,20170131 16:55:00 EST,20170131 16:55:00 EST,20170131 16:55:00 EST,17.12,,5m_#Twitter,long,,20170131 16:50:00 EST,closed,20170131 16:50:00 EST,17.18,,,100.0,100.0,,5m_#Twitter,,-6.0,-100.0,USD,99990.0,4.0,1999994.0,99990.0,99994.0,99994.0,,
2.0,-5.0,20170201 22:00:00 EST,20170201 22:00:00 EST,20170201 22:00:00 EST,16.99,,5m_#Twitter,long,,20170131 17:00:00 EST,closed,20170131 17:00:00 EST,17.0,,,100.0,100.0,,5m_#Twitter,,-1.0,-100.0,USD,99985.0,4.0,1999993.0,99985.0,99993.0,99993.0,,
3.0,-6.0,20170201 22:10:00 EST,20170201 22:10:00 EST,20170201 22:10:00 EST,17.01,,5m_#Twitter,long,,20170201 22:05:00 EST,closed,20170201 22:05:00 EST,17.03,,,100.0,100.0,,5m_#Twitter,,-2.0,-100.0,USD,99979.0,4.0,1999991.0,99979.0,99991.0,99991.0,,
4.0,-41.0,20170209 16:30:00 EST,20170209 16:30:00 EST,20170209 16:30:00 EST,16.63,,5m_#Twitter,long,,20170201 22:15:00 EST,closed,20170201 22:15:00 EST,17.0,,,100.0,100.0,,5m_#Twitter,,-37.0,-100.0,USD,99938.0,4.0,1999954.0,99938.0,99954.0,99954.0,,
5.0,-6.0,20170209 16:45:00 EST,20170209 16:45:00 EST,20170209 16:45:00 EST,16.36,,5m_#Twitter,long,,20170209 16:35:00 EST,closed,20170209 16:35:00 EST,16.38,,,100.0,100.0,,5m_#Twitter,,-2.0,-100.0,USD,99932.0,4.0,1999952.0,99932.0,99952.0,99952.0,,
6.0,-2.0,20170209 21:30:00 EST,20170209 21:30:00 EST,20170209 21:30:00 EST,16.29,,5m_#Twitter,short,,20170209 16:50:00 EST,closed,20170209 16:50:00 EST,16.31,,,100.0,100.0,,5m_#Twitter,,2.0,100.0,USD,99930.0,4.0,1999950.0,99930.0,99954.0,99954.0,,
7.0,-8.52651282912e-14,20170209 21:45:00 EST,20170209 21:45:00 EST,20170209 21:45:00 EST,16.36,,5m_#Twitter,short,,20170209 21:35:00 EST,closed,20170209 21:35:00 EST,16.4,,,100.0,100.0,,5m_#Twitter,,4.0,100.0,USD,99930.0,4.0,1999946.0,99930.0,99958.0,99958.0,,
8.0,-1.0,20170209 21:55:00 EST,20170209 21:55:00 EST,20170209 21:55:00 EST,16.34,,5m_#Twitter,short,,20170209 21:50:00 EST,closed,20170209 21:50:00 EST,16.37,,,100.0,100.0,,5m_#Twitter,,3.0,100.0,USD,99929.0,4.0,1999943.0,99929.0,99961.0,99961.0,,
9.0,-8.52651282912e-14,20170209 22:05:00 EST,20170209 22:05:00 EST,20170209 22:05:00 EST,16.25,,5m_#Twitter,short,,20170209 22:00:00 EST,closed,20170209 22:00:00 EST,16.29,,,100.0,100.0,,5m_#Twitter,,4.0,100.0,USD,99929.0,4.0,1999939.0,99929.0,99965.0,99965.0,,
10.0,-2.0,20170209 22:15:00 EST,20170209 22:15:00 EST,20170209 22:15:00 EST,16.23,,5m_#Twitter,short,,20170209 22:10:00 EST,closed,20170209 22:10:00 EST,16.25,,,100.0,100.0,,5m_#Twitter,,2.0,100.0,USD,99927.0,4.0,1999937.0,99927.0,99967.0,99967.0,,
