Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170203 18:25:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170203 18:25:00 EST,paperUSD,99998.0,100000.0,1999019.0,0,-2.0,0.0,USD,99998.0,100000.0,0
20170203 18:40:00 EST,paperUSD,99999.0,100003.0,1999997.0,0,-1.0,3.0,USD,99999.0,100003.0,0
20170203 18:45:00 EST,paperUSD,99997.0,100003.0,1999019.0,0,-3.0,3.0,USD,99997.0,100003.0,0
20170203 18:50:00 EST,paperUSD,99996.0,100004.0,1999996.0,0,-4.0,4.0,USD,99996.0,100004.0,0
20170203 18:55:00 EST,paperUSD,99994.0,100004.0,1999019.0,0,-6.0,4.0,USD,99994.0,100004.0,0
20170203 19:10:00 EST,paperUSD,99993.0,100005.0,1999995.0,0,-7.0,5.0,USD,99993.0,100005.0,0
20170203 19:15:00 EST,paperUSD,99991.0,100005.0,1999020.0,0,-9.0,5.0,USD,99991.0,100005.0,0
20170203 19:20:00 EST,paperUSD,99992.0,100008.0,1999992.0,0,-8.0,8.0,USD,99992.0,100008.0,0
20170203 19:25:00 EST,paperUSD,99990.0,100008.0,1999018.0,0,-10.0,8.0,USD,99990.0,100008.0,0
20170203 22:15:00 EST,paperUSD,99990.0,100010.0,1999990.0,0,-10.0,10.0,USD,99990.0,100010.0,0
20170203 22:30:00 EST,paperUSD,99988.0,100010.0,1999019.0,0,-12.0,10.0,USD,99988.0,100010.0,0
20170203 22:45:00 EST,paperUSD,99988.0,100012.0,1999988.0,0,-12.0,12.0,USD,99988.0,100012.0,0
20170203 22:55:00 EST,paperUSD,99986.0,100012.0,1999017.0,0,-14.0,12.0,USD,99986.0,100012.0,0
20170206 16:35:00 EST,paperUSD,99985.0,100013.0,1999987.0,0,-15.0,13.0,USD,99985.0,100013.0,0
20170206 16:40:00 EST,paperUSD,99983.0,100013.0,1999019.0,0,-17.0,13.0,USD,99983.0,100013.0,0
20170206 17:30:00 EST,paperUSD,99982.0,100014.0,1999986.0,0,-18.0,14.0,USD,99982.0,100014.0,0
20170206 17:35:00 EST,paperUSD,99980.0,100014.0,1999021.0,0,-20.0,14.0,USD,99980.0,100014.0,0
20170206 20:00:00 EST,paperUSD,99979.0,100015.0,1999985.0,0,-21.0,15.0,USD,99979.0,100015.0,0
20170206 20:05:00 EST,paperUSD,99977.0,100015.0,1999022.0,0,-23.0,15.0,USD,99977.0,100015.0,0
20170206 20:10:00 EST,paperUSD,99976.0,100016.0,1999984.0,0,-24.0,16.0,USD,99976.0,100016.0,0
20170206 20:20:00 EST,paperUSD,99974.0,100016.0,1999024.0,0,-26.0,16.0,USD,99974.0,100016.0,0
20170206 20:55:00 EST,paperUSD,99973.0,100017.0,1999983.0,0,-27.0,17.0,USD,99973.0,100017.0,0
20170206 21:00:00 EST,paperUSD,99971.0,100017.0,1999024.0,0,-29.0,17.0,USD,99971.0,100017.0,0
20170206 21:15:00 EST,paperUSD,99972.0,100020.0,1999980.0,0,-28.0,20.0,USD,99972.0,100020.0,0
20170206 21:20:00 EST,paperUSD,99970.0,100020.0,1999024.0,0,-30.0,20.0,USD,99970.0,100020.0,0
20170206 21:25:00 EST,paperUSD,99969.0,100021.0,1999979.0,0,-31.0,21.0,USD,99969.0,100021.0,0
20170206 21:30:00 EST,paperUSD,99967.0,100021.0,1999024.0,0,-33.0,21.0,USD,99967.0,100021.0,0
20170206 22:45:00 EST,paperUSD,99968.0,100024.0,1999976.0,0,-32.0,24.0,USD,99968.0,100024.0,0
20170206 22:50:00 EST,paperUSD,99966.0,100024.0,1999024.0,0,-34.0,24.0,USD,99966.0,100024.0,0
