trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,-1.0,20170203 18:40:00 EST,20170203 18:40:00 EST,20170203 18:40:00 EST,9.78,,5m_#Vale,short,,20170203 18:25:00 EST,closed,20170203 18:25:00 EST,9.81,,,100.0,100.0,,5m_#Vale,,3.0,100.0,USD,99999.0,4.0,1999997.0,99999.0,100003.0,100003.0,,
2.0,-3.0,20170203 18:50:00 EST,20170203 18:50:00 EST,20170203 18:50:00 EST,9.77,,5m_#Vale,short,,20170203 18:45:00 EST,closed,20170203 18:45:00 EST,9.78,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99996.0,4.0,1999996.0,99996.0,100004.0,100004.0,,
3.0,-3.0,20170203 19:10:00 EST,20170203 19:10:00 EST,20170203 19:10:00 EST,9.76,,5m_#Vale,short,,20170203 18:55:00 EST,closed,20170203 18:55:00 EST,9.77,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99993.0,4.0,1999995.0,99993.0,100005.0,100005.0,,
4.0,-1.0,20170203 19:20:00 EST,20170203 19:20:00 EST,20170203 19:20:00 EST,9.72,,5m_#Vale,short,,20170203 19:15:00 EST,closed,20170203 19:15:00 EST,9.75,,,100.0,100.0,,5m_#Vale,,3.0,100.0,USD,99992.0,4.0,1999992.0,99992.0,100008.0,100008.0,,
5.0,-2.0,20170203 22:15:00 EST,20170203 22:15:00 EST,20170203 22:15:00 EST,9.72,,5m_#Vale,short,,20170203 19:25:00 EST,closed,20170203 19:25:00 EST,9.74,,,100.0,100.0,,5m_#Vale,,2.0,100.0,USD,99990.0,4.0,1999990.0,99990.0,100010.0,100010.0,,
6.0,-2.0,20170203 22:45:00 EST,20170203 22:45:00 EST,20170203 22:45:00 EST,9.69,,5m_#Vale,short,,20170203 22:30:00 EST,closed,20170203 22:30:00 EST,9.71,,,100.0,100.0,,5m_#Vale,,2.0,100.0,USD,99988.0,4.0,1999988.0,99988.0,100012.0,100012.0,,
7.0,-3.0,20170206 16:35:00 EST,20170206 16:35:00 EST,20170206 16:35:00 EST,9.7,,5m_#Vale,short,,20170203 22:55:00 EST,closed,20170203 22:55:00 EST,9.71,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99985.0,4.0,1999987.0,99985.0,100013.0,100013.0,,
8.0,-3.0,20170206 17:30:00 EST,20170206 17:30:00 EST,20170206 17:30:00 EST,9.67,,5m_#Vale,short,,20170206 16:40:00 EST,closed,20170206 16:40:00 EST,9.68,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99982.0,4.0,1999986.0,99982.0,100014.0,100014.0,,
9.0,-3.0,20170206 20:00:00 EST,20170206 20:00:00 EST,20170206 20:00:00 EST,9.64,,5m_#Vale,short,,20170206 17:35:00 EST,closed,20170206 17:35:00 EST,9.65,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99979.0,4.0,1999985.0,99979.0,100015.0,100015.0,,
10.0,-3.0,20170206 20:10:00 EST,20170206 20:10:00 EST,20170206 20:10:00 EST,9.62,,5m_#Vale,short,,20170206 20:05:00 EST,closed,20170206 20:05:00 EST,9.63,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99976.0,4.0,1999984.0,99976.0,100016.0,100016.0,,
11.0,-3.0,20170206 20:55:00 EST,20170206 20:55:00 EST,20170206 20:55:00 EST,9.59,,5m_#Vale,short,,20170206 20:20:00 EST,closed,20170206 20:20:00 EST,9.6,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99973.0,4.0,1999983.0,99973.0,100017.0,100017.0,,
12.0,-1.0,20170206 21:15:00 EST,20170206 21:15:00 EST,20170206 21:15:00 EST,9.56,,5m_#Vale,short,,20170206 21:00:00 EST,closed,20170206 21:00:00 EST,9.59,,,100.0,100.0,,5m_#Vale,,3.0,100.0,USD,99972.0,4.0,1999980.0,99972.0,100020.0,100020.0,,
13.0,-3.0,20170206 21:25:00 EST,20170206 21:25:00 EST,20170206 21:25:00 EST,9.55,,5m_#Vale,short,,20170206 21:20:00 EST,closed,20170206 21:20:00 EST,9.56,,,100.0,100.0,,5m_#Vale,,1.0,100.0,USD,99969.0,4.0,1999979.0,99969.0,100021.0,100021.0,,
14.0,-1.0,20170206 22:45:00 EST,20170206 22:45:00 EST,20170206 22:45:00 EST,9.52,,5m_#Vale,short,,20170206 21:30:00 EST,closed,20170206 21:30:00 EST,9.55,,,100.0,100.0,,5m_#Vale,,3.0,100.0,USD,99968.0,4.0,1999976.0,99968.0,100024.0,100024.0,,
15.0,-2.0,,,,0.0,,5m_#Vale,short,,20170206 22:50:00 EST,open,20170206 22:50:00 EST,9.52,,,0.0,100.0,,5m_#Vale,,0.0,-100.0,USD,99966.0,2.0,1999024.0,99966.0,100024.0,100024.0,,
