permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,22.77,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 18:20:00 EST,,0.0,99998.0,1997723.0,99998.0,22.77,100000.0,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,22.75,100.0,0.0,-4.26325641456e-14,BOT,5m_,USD,20170130 18:25:00 EST,,2.0,99998.0,1999998.0,99998.0,22.77,100002.0,100002.0,-4.26325641456e-14
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,22.76,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 18:30:00 EST,,0.0,99996.0,1997722.0,99996.0,22.76,100002.0,100002.0,-2.0
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,22.72,100.0,0.0,2.0,BOT,5m_,USD,20170131 17:00:00 EST,,4.0,99998.0,1999994.0,99998.0,22.76,100006.0,100006.0,2.0
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,22.79,100.0,100.0,-2.0,BOT,5m_,USD,20170131 17:05:00 EST,,0.0,99996.0,1997715.0,99996.0,22.79,100006.0,100006.0,-2.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,22.74,100.0,0.0,-7.0,SLD,5m_,USD,20170131 17:10:00 EST,,-5.0,99989.0,1999989.0,99989.0,22.79,100001.0,100001.0,-7.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,22.78,100.0,100.0,-2.0,BOT,5m_,USD,20170131 17:15:00 EST,,0.0,99987.0,1997711.0,99987.0,22.78,100001.0,100001.0,-2.0
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,22.75,100.0,0.0,-5.0,SLD,5m_,USD,20170131 17:20:00 EST,,-3.0,99982.0,1999986.0,99982.0,22.78,99998.0,99998.0,-5.0
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,22.75,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:25:00 EST,,0.0,99980.0,1997711.0,99980.0,22.75,99998.0,99998.0,-2.0
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,22.74,100.0,0.0,-1.0,BOT,5m_,USD,20170131 17:35:00 EST,,1.0,99979.0,1999985.0,99979.0,22.75,99999.0,99999.0,-1.0
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,22.69,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:40:00 EST,,0.0,99977.0,1997716.0,99977.0,22.69,99999.0,99999.0,-2.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,22.65,100.0,0.0,2.0,BOT,5m_,USD,20170131 17:45:00 EST,,4.0,99979.0,1999981.0,99979.0,22.69,100003.0,100003.0,2.0
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,22.66,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:50:00 EST,,0.0,99977.0,1997715.0,99977.0,22.66,100003.0,100003.0,-2.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,22.64,100.0,0.0,-4.26325641456e-14,BOT,5m_,USD,20170131 18:00:00 EST,,2.0,99977.0,1999979.0,99977.0,22.66,100005.0,100005.0,-4.26325641456e-14
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,22.68,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 18:05:00 EST,,0.0,99975.0,1997711.0,99975.0,22.68,100005.0,100005.0,-2.0
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,22.67,100.0,0.0,-1.0,BOT,5m_,USD,20170131 18:30:00 EST,,1.0,99974.0,1999978.0,99974.0,22.68,100006.0,100006.0,-1.0
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,22.64,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 18:35:00 EST,,0.0,99972.0,1997714.0,99972.0,22.64,100006.0,100006.0,-2.0
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,22.6,100.0,0.0,2.0,BOT,5m_,USD,20170131 18:40:00 EST,,4.0,99974.0,1999974.0,99974.0,22.64,100010.0,100010.0,2.0
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,22.6,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 18:45:00 EST,,0.0,99972.0,1997714.0,99972.0,22.6,100010.0,100010.0,-2.0
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,22.57,100.0,0.0,1.0,BOT,5m_,USD,20170131 19:00:00 EST,,3.0,99973.0,1999971.0,99973.0,22.6,100013.0,100013.0,1.0
