Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170203 13:35:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170203 13:35:00 EST,paperUSD,99998.0,100000.0,1999773.3,0,-2.0,0.0,USD,99998.0,100000.0,0
20170207 10:00:00 EST,paperUSD,99995.05,99999.05,1999999.05,0,-4.95,-0.95,USD,99995.05,99999.05,0
20170207 10:05:00 EST,paperUSD,99993.05,99999.05,1999772.9,0,-6.95,-0.95,USD,99993.05,99999.05,0
20170207 17:40:00 EST,paperUSD,99991.05,99999.05,1999999.05,0,-8.95,-0.95,USD,99991.05,99999.05,0
20170207 17:45:00 EST,paperUSD,99989.05,99999.05,1999772.85,0,-10.95,-0.95,USD,99989.05,99999.05,0
20170207 17:50:00 EST,paperUSD,99987.2,99999.2,1999998.9,0,-12.8,-0.8,USD,99987.2,99999.2,0
20170207 17:55:00 EST,paperUSD,99985.2,99999.2,1999773.2,0,-14.8,-0.8,USD,99985.2,99999.2,0
20170207 18:15:00 EST,paperUSD,99983.4,99999.4,1999998.7,0,-16.6,-0.6,USD,99983.4,99999.4,0
20170207 18:20:00 EST,paperUSD,99981.4,99999.4,1999773.15,0,-18.6,-0.6,USD,99981.4,99999.4,0
20170207 18:25:00 EST,paperUSD,99979.55,99999.55,1999998.55,0,-20.45,-0.45,USD,99979.55,99999.55,0
20170208 10:00:00 EST,paperUSD,99977.55,99999.55,1999772.95,0,-22.45,-0.45,USD,99977.55,99999.55,0
20170208 10:30:00 EST,paperUSD,99976.55,100000.55,1999997.55,0,-23.45,0.55,USD,99976.55,100000.55,0
20170208 10:35:00 EST,paperUSD,99974.55,100000.55,1999772.65,0,-25.45,0.55,USD,99974.55,100000.55,0
20170208 10:45:00 EST,paperUSD,99972.85,100000.85,1999997.25,0,-27.15,0.85,USD,99972.85,100000.85,0
20170208 10:50:00 EST,paperUSD,99970.85,100000.85,1999773.0,0,-29.15,0.85,USD,99970.85,100000.85,0
20170208 11:00:00 EST,paperUSD,99969.2,100001.2,1999996.9,0,-30.8,1.2,USD,99969.2,100001.2,0
20170208 11:05:00 EST,paperUSD,99967.2,100001.2,1999772.25,0,-32.8,1.2,USD,99967.2,100001.2,0
20170208 14:15:00 EST,paperUSD,99965.4,100001.4,1999996.7,0,-34.6,1.4,USD,99965.4,100001.4,0
20170208 14:20:00 EST,paperUSD,99963.4,100001.4,1999772.4,0,-36.6,1.4,USD,99963.4,100001.4,0
20170208 14:25:00 EST,paperUSD,99961.5,100001.5,1999996.6,0,-38.5,1.5,USD,99961.5,100001.5,0
20170208 14:30:00 EST,paperUSD,99959.5,100001.5,1999772.75,0,-40.5,1.5,USD,99959.5,100001.5,0
20170208 14:35:00 EST,paperUSD,99957.55,100001.55,1999996.55,0,-42.45,1.55,USD,99957.55,100001.55,0
20170208 14:40:00 EST,paperUSD,99955.55,100001.55,1999773.05,0,-44.45,1.55,USD,99955.55,100001.55,0
20170208 15:00:00 EST,paperUSD,99953.75,100001.75,1999996.35,0,-46.25,1.75,USD,99953.75,100001.75,0
20170208 15:05:00 EST,paperUSD,99951.75,100001.75,1999772.65,0,-48.25,1.75,USD,99951.75,100001.75,0
20170208 15:10:00 EST,paperUSD,99949.9,100001.9,1999996.2,0,-50.1,1.9,USD,99949.9,100001.9,0
20170208 15:15:00 EST,paperUSD,99947.9,100001.9,1999772.35,0,-52.1,1.9,USD,99947.9,100001.9,0
20170208 15:20:00 EST,paperUSD,99945.95,100001.95,1999996.15,0,-54.05,1.95,USD,99945.95,100001.95,0
20170208 15:25:00 EST,paperUSD,99943.95,100001.95,1999772.3,0,-56.05,1.95,USD,99943.95,100001.95,0
20170208 15:30:00 EST,paperUSD,99942.3,100002.3,1999995.8,0,-57.7,2.3,USD,99942.3,100002.3,0
20170208 15:35:00 EST,paperUSD,99940.3,100002.3,1999772.25,0,-59.7,2.3,USD,99940.3,100002.3,0
20170208 15:40:00 EST,paperUSD,99938.35,100002.35,1999995.75,0,-61.65,2.35,USD,99938.35,100002.35,0
20170208 15:45:00 EST,paperUSD,99936.35,100002.35,1999772.6,0,-63.65,2.35,USD,99936.35,100002.35,0
20170208 16:00:00 EST,paperUSD,99934.6,100002.6,1999995.5,0,-65.4,2.6,USD,99934.6,100002.6,0
20170208 16:05:00 EST,paperUSD,99932.6,100002.6,1999772.8,0,-67.4,2.6,USD,99932.6,100002.6,0
20170208 16:25:00 EST,paperUSD,99930.75,100002.75,1999995.35,0,-69.25,2.75,USD,99930.75,100002.75,0
20170208 16:30:00 EST,paperUSD,99928.75,100002.75,1999772.8,0,-71.25,2.75,USD,99928.75,100002.75,0
20170208 16:40:00 EST,paperUSD,99926.95,100002.95,1999995.15,0,-73.05,2.95,USD,99926.95,100002.95,0
20170208 16:45:00 EST,paperUSD,99924.95,100002.95,1999773.95,0,-75.05,2.95,USD,99924.95,100002.95,0
20170208 16:50:00 EST,paperUSD,99923.5,100003.5,1999994.6,0,-76.5,3.5,USD,99923.5,100003.5,0
20170208 16:55:00 EST,paperUSD,99921.5,100003.5,1999773.45,0,-78.5,3.5,USD,99921.5,100003.5,0
20170208 17:00:00 EST,paperUSD,99919.55,100003.55,1999994.55,0,-80.45,3.55,USD,99919.55,100003.55,0
20170208 17:05:00 EST,paperUSD,99917.55,100003.55,1999773.35,0,-82.45,3.55,USD,99917.55,100003.55,0
