permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,2.2945,100.0,-100.0,-2.0,SLD,5m_,USD,20170127 10:25:00 EST,,0.0,99998.0,1999770.55,99998.0,2.2945,100000.0,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,2.2925,100.0,0.0,-1.8,BOT,5m_,USD,20170127 10:40:00 EST,,0.2,99996.2,1999999.8,99996.2,2.2945,100000.2,100000.2,-1.8
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,2.2905,100.0,-100.0,-2.0,SLD,5m_,USD,20170127 10:45:00 EST,,0.0,99994.2,1999770.75,99994.2,2.2905,100000.2,100000.2,-2.0
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,2.2885,100.0,0.0,-1.8,BOT,5m_,USD,20170127 11:00:00 EST,,0.2,99992.4,1999999.6,99992.4,2.2905,100000.4,100000.4,-1.8
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,2.2855,100.0,-100.0,-2.0,SLD,5m_,USD,20170127 11:05:00 EST,,0.0,99990.4,1999771.05,99990.4,2.2855,100000.4,100000.4,-2.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,2.2825,100.0,0.0,-1.7,BOT,5m_,USD,20170127 11:10:00 EST,,0.3,99988.7,1999999.3,99988.7,2.2855,100000.7,100000.7,-1.7
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,2.2875,100.0,-100.0,-2.0,SLD,5m_,USD,20170127 11:15:00 EST,,0.0,99986.7,1999770.55,99986.7,2.2875,100000.7,100000.7,-2.0
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,2.2835,100.0,0.0,-1.6,BOT,5m_,USD,20170127 11:50:00 EST,,0.4,99985.1,1999998.9,99985.1,2.2875,100001.1,100001.1,-1.6
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,2.287,100.0,-100.0,-2.0,SLD,5m_,USD,20170127 11:55:00 EST,,0.0,99983.1,1999770.2,99983.1,2.287,100001.1,100001.1,-2.0
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,2.286,100.0,0.0,-1.9,BOT,5m_,USD,20170127 12:15:00 EST,,0.1,99981.2,1999998.8,99981.2,2.287,100001.2,100001.2,-1.9
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,2.2895,100.0,-100.0,-2.0,SLD,5m_,USD,20170127 12:20:00 EST,,0.0,99979.2,1999769.85,99979.2,2.2895,100001.2,100001.2,-2.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,2.2885,100.0,0.0,-1.9,BOT,5m_,USD,20170127 17:30:00 EST,,0.1,99977.3,1999998.7,99977.3,2.2895,100001.3,100001.3,-1.9
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,2.29,100.0,-100.0,-2.0,SLD,5m_,USD,20170127 17:35:00 EST,,0.0,99975.3,1999769.7,99975.3,2.29,100001.3,100001.3,-2.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,2.2655,100.0,0.0,0.45,BOT,5m_,USD,20170130 10:00:00 EST,,2.45,99975.75,1999996.25,99975.75,2.29,100003.75,100003.75,0.45
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,2.261,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 10:05:00 EST,,0.0,99973.75,1999770.15,99973.75,2.261,100003.75,100003.75,-2.0
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,2.254,100.0,0.0,-1.3,BOT,5m_,USD,20170130 10:35:00 EST,,0.7,99972.45,1999995.55,99972.45,2.261,100004.45,100004.45,-1.3
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,2.2455,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 10:40:00 EST,,0.0,99970.45,1999771.0,99970.45,2.2455,100004.45,100004.45,-2.0
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,2.2415,100.0,0.0,-1.6,BOT,5m_,USD,20170130 11:45:00 EST,,0.4,99968.85,1999995.15,99968.85,2.2455,100004.85,100004.85,-1.6
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,2.242,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 11:50:00 EST,,0.0,99966.85,1999770.95,99966.85,2.242,100004.85,100004.85,-2.0
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,2.241,100.0,0.0,-1.9,BOT,5m_,USD,20170130 11:55:00 EST,,0.1,99964.95,1999995.05,99964.95,2.242,100004.95,100004.95,-1.9
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,2.242,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 12:00:00 EST,,0.0,99962.95,1999770.85,99962.95,2.242,100004.95,100004.95,-2.0
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,2.24,100.0,0.0,-1.8,BOT,5m_,USD,20170130 12:05:00 EST,,0.2,99961.15,1999994.85,99961.15,2.242,100005.15,100005.15,-1.8
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,2.2415,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 12:10:00 EST,,0.0,99959.15,1999770.7,99959.15,2.2415,100005.15,100005.15,-2.0
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,2.2405,100.0,0.0,-1.9,BOT,5m_,USD,20170130 12:35:00 EST,,0.1,99957.25,1999994.75,99957.25,2.2415,100005.25,100005.25,-1.9
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,2.244,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 12:40:00 EST,,0.0,99955.25,1999770.35,99955.25,2.244,100005.25,100005.25,-2.0
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,2.2435,100.0,0.0,-1.95,BOT,5m_,USD,20170130 12:55:00 EST,,0.05,99953.3,1999994.7,99953.3,2.244,100005.3,100005.3,-1.95
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,2.247,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 13:00:00 EST,,0.0,99951.3,1999770.0,99951.3,2.247,100005.3,100005.3,-2.0
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,2.244,100.0,0.0,-1.7,BOT,5m_,USD,20170130 13:05:00 EST,,0.3,99949.6,1999994.4,99949.6,2.247,100005.6,100005.6,-1.7
