Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170127 10:25:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170127 10:25:00 EST,paperUSD,99995.411,100000.0,1770550.0,0,-4.589,0.0,USD,99995.411,100000.0,0
20170127 10:40:00 EST,paperUSD,100190.826,100200.0,1999800.0,0,190.826,200.0,USD,100190.826,100200.0,0
20170127 10:45:00 EST,paperUSD,100186.245,100200.0,1770750.0,0,186.245,200.0,USD,100186.245,100200.0,0
20170127 11:00:00 EST,paperUSD,100381.668,100400.0,1999600.0,0,381.668,400.0,USD,100381.668,100400.0,0
20170127 11:05:00 EST,paperUSD,100377.097,100400.0,1771050.0,0,377.097,400.0,USD,100377.097,100400.0,0
20170127 11:10:00 EST,paperUSD,100672.532,100700.0,1999300.0,0,672.532,700.0,USD,100672.532,100700.0,0
20170127 11:15:00 EST,paperUSD,100667.957,100700.0,1770550.0,0,667.957,700.0,USD,100667.957,100700.0,0
20170127 11:50:00 EST,paperUSD,101063.39,101100.0,1998900.0,0,1063.39,1100.0,USD,101063.39,101100.0,0
20170127 11:55:00 EST,paperUSD,101058.816,101100.0,1770200.0,0,1058.816,1100.0,USD,101058.816,101100.0,0
20170127 12:15:00 EST,paperUSD,101154.244,101200.0,1998800.0,0,1154.244,1200.0,USD,101154.244,101200.0,0
20170127 12:20:00 EST,paperUSD,101149.665,101200.0,1769850.0,0,1149.665,1200.0,USD,101149.665,101200.0,0
20170127 17:30:00 EST,paperUSD,101245.088,101300.0,1998700.0,0,1245.088,1300.0,USD,101245.088,101300.0,0
20170127 17:35:00 EST,paperUSD,101240.508,101300.0,1769700.0,0,1240.508,1300.0,USD,101240.508,101300.0,0
20170130 10:00:00 EST,paperUSD,103685.977,103750.0,1996250.0,0,3685.977,3750.0,USD,103685.977,103750.0,0
20170130 10:05:00 EST,paperUSD,103681.455,103750.0,1770150.0,0,3681.455,3750.0,USD,103681.455,103750.0,0
