permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,4.589,USD,IDEALPRO,1.0,,,1.0,2.2945,100000.0,-100000.0,-4.589,SLD,5m_,USD,20170127 10:25:00 EST,,0.0,99995.411,1770550.0,99995.411,2.2945,100000.0,100000.0,-4.589
2,Paper,Paper,4.585,USD,IDEALPRO,2.0,,,1.0,2.2925,100000.0,0.0,195.415,BOT,5m_,USD,20170127 10:40:00 EST,,200.0,100190.826,1999800.0,100190.826,2.2945,100200.0,100200.0,195.415
3,Paper,Paper,4.581,USD,IDEALPRO,3.0,,,1.0,2.2905,100000.0,-100000.0,-4.581,SLD,5m_,USD,20170127 10:45:00 EST,,0.0,100186.245,1770750.0,100186.245,2.2905,100200.0,100200.0,-4.581
4,Paper,Paper,4.577,USD,IDEALPRO,4.0,,,1.0,2.2885,100000.0,0.0,195.423,BOT,5m_,USD,20170127 11:00:00 EST,,200.0,100381.668,1999600.0,100381.668,2.2905,100400.0,100400.0,195.423
5,Paper,Paper,4.571,USD,IDEALPRO,5.0,,,1.0,2.2855,100000.0,-100000.0,-4.571,SLD,5m_,USD,20170127 11:05:00 EST,,0.0,100377.097,1771050.0,100377.097,2.2855,100400.0,100400.0,-4.571
6,Paper,Paper,4.565,USD,IDEALPRO,6.0,,,1.0,2.2825,100000.0,0.0,295.435,BOT,5m_,USD,20170127 11:10:00 EST,,300.0,100672.532,1999300.0,100672.532,2.2855,100700.0,100700.0,295.435
7,Paper,Paper,4.575,USD,IDEALPRO,7.0,,,1.0,2.2875,100000.0,-100000.0,-4.575,SLD,5m_,USD,20170127 11:15:00 EST,,0.0,100667.957,1770550.0,100667.957,2.2875,100700.0,100700.0,-4.575
8,Paper,Paper,4.567,USD,IDEALPRO,8.0,,,1.0,2.2835,100000.0,0.0,395.433,BOT,5m_,USD,20170127 11:50:00 EST,,400.0,101063.39,1998900.0,101063.39,2.2875,101100.0,101100.0,395.433
9,Paper,Paper,4.574,USD,IDEALPRO,9.0,,,1.0,2.287,100000.0,-100000.0,-4.574,SLD,5m_,USD,20170127 11:55:00 EST,,0.0,101058.816,1770200.0,101058.816,2.287,101100.0,101100.0,-4.574
10,Paper,Paper,4.572,USD,IDEALPRO,10.0,,,1.0,2.286,100000.0,0.0,95.428,BOT,5m_,USD,20170127 12:15:00 EST,,100.0,101154.244,1998800.0,101154.244,2.287,101200.0,101200.0,95.428
