Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170203 20:55:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170203 20:55:00 EST,paperUSD,99997.84646,100000.0,1892323.0,0,-2.15354,0.0,USD,99997.84646,100000.0,0
20170203 21:20:00 EST,paperUSD,100058.69418,100063.0,1999937.0,0,58.69418,63.0,USD,100058.69418,100063.0,0
20170203 21:25:00 EST,paperUSD,100056.5417,100063.0,1892313.0,0,56.5417,63.0,USD,100056.5417,100063.0,0
20170206 09:20:00 EST,paperUSD,100113.3904,100122.0,1999878.0,0,113.3904,122.0,USD,100113.3904,100122.0,0
20170206 09:25:00 EST,paperUSD,100111.24026,100122.0,1892371.0,0,111.24026,122.0,USD,100111.24026,100122.0,0
20170206 11:10:00 EST,paperUSD,100174.09142,100187.0,1999813.0,0,174.09142,187.0,USD,100174.09142,100187.0,0
20170206 11:15:00 EST,paperUSD,100171.94238,100187.0,1892361.0,0,171.94238,187.0,USD,100171.94238,100187.0,0
20170206 12:05:00 EST,paperUSD,100233.79462,100251.0,1999749.0,0,233.79462,251.0,USD,100233.79462,100251.0,0
20170206 12:10:00 EST,paperUSD,100231.64674,100251.0,1892355.0,0,231.64674,251.0,USD,100231.64674,100251.0,0
20170206 12:30:00 EST,paperUSD,100282.49992,100304.0,1999696.0,0,282.49992,304.0,USD,100282.49992,100304.0,0
20170206 12:35:00 EST,paperUSD,100280.35272,100304.0,1892336.0,0,280.35272,304.0,USD,100280.35272,100304.0,0
20170206 14:40:00 EST,paperUSD,100328.20652,100354.0,1999646.0,0,328.20652,354.0,USD,100328.20652,100354.0,0
20170206 14:45:00 EST,paperUSD,100326.06012,100354.0,1892326.0,0,326.06012,354.0,USD,100326.06012,100354.0,0
20170206 15:00:00 EST,paperUSD,100418.91562,100449.0,1999551.0,0,418.91562,449.0,USD,100418.91562,100449.0,0
20170206 15:05:00 EST,paperUSD,100416.7723,100449.0,1892385.0,0,416.7723,449.0,USD,100416.7723,100449.0,0
20170206 16:05:00 EST,paperUSD,100498.63066,100533.0,1999467.0,0,498.63066,533.0,USD,100498.63066,100533.0,0
20170206 16:10:00 EST,paperUSD,100496.48846,100533.0,1892357.0,0,496.48846,533.0,USD,100496.48846,100533.0,0
20170207 08:10:00 EST,paperUSD,100590.34818,100629.0,1999371.0,0,590.34818,629.0,USD,100590.34818,100629.0,0
20170207 08:15:00 EST,paperUSD,100588.20846,100629.0,1892385.0,0,588.20846,629.0,USD,100588.20846,100629.0,0
20170207 08:40:00 EST,paperUSD,100655.07012,100698.0,1999302.0,0,655.07012,698.0,USD,100655.07012,100698.0,0
20170207 08:45:00 EST,paperUSD,100652.93154,100698.0,1892373.0,0,652.93154,698.0,USD,100652.93154,100698.0,0
20170207 09:15:00 EST,paperUSD,100753.79502,100801.0,1999199.0,0,753.79502,801.0,USD,100753.79502,100801.0,0
20170207 09:20:00 EST,paperUSD,100751.65872,100801.0,1892384.0,0,751.65872,801.0,USD,100751.65872,100801.0,0
20170207 10:05:00 EST,paperUSD,100855.52454,100907.0,1999093.0,0,855.52454,907.0,USD,100855.52454,100907.0,0
20170207 10:10:00 EST,paperUSD,100853.39126,100907.0,1892429.0,0,853.39126,907.0,USD,100853.39126,100907.0,0
20170207 11:15:00 EST,paperUSD,100939.25974,100995.0,1999005.0,0,939.25974,995.0,USD,100939.25974,100995.0,0
20170207 11:20:00 EST,paperUSD,100937.128,100995.0,1892418.0,0,937.128,995.0,USD,100937.128,100995.0,0
20170208 10:00:00 EST,paperUSD,101058.99874,101119.0,1998881.0,0,1058.99874,1119.0,USD,101058.99874,101119.0,0
20170208 10:05:00 EST,paperUSD,101056.86944,101119.0,1892416.0,0,1056.86944,1119.0,USD,101056.86944,101119.0,0
20170208 11:30:00 EST,paperUSD,101106.74118,101171.0,1998829.0,0,1106.74118,1171.0,USD,101106.74118,101171.0,0
20170208 11:35:00 EST,paperUSD,101104.6121,101171.0,1892375.0,0,1104.6121,1171.0,USD,101104.6121,101171.0,0
20170210 09:55:00 EST,paperUSD,101161.4842,101230.0,1998770.0,0,1161.4842,1230.0,USD,101161.4842,101230.0,0
20170210 10:00:00 EST,paperUSD,101159.35656,101230.0,1892388.0,0,1159.35656,1230.0,USD,101159.35656,101230.0,0
20170210 14:05:00 EST,paperUSD,101235.23048,101308.0,1998692.0,0,1235.23048,1308.0,USD,101235.23048,101308.0,0
20170210 14:10:00 EST,paperUSD,101233.10382,101308.0,1892359.0,0,1233.10382,1308.0,USD,101233.10382,101308.0,0
20170210 14:55:00 EST,paperUSD,101306.97868,101384.0,1998616.0,0,1306.97868,1384.0,USD,101306.97868,101384.0,0
20170210 15:00:00 EST,paperUSD,101304.85352,101384.0,1892358.0,0,1304.85352,1384.0,USD,101304.85352,101384.0,0
20170210 15:30:00 EST,paperUSD,101364.7296,101446.0,1998554.0,0,1364.7296,1446.0,USD,101364.7296,101446.0,0
20170210 15:35:00 EST,paperUSD,101362.6051,101446.0,1892329.0,0,1362.6051,1446.0,USD,101362.6051,101446.0,0
20170210 16:05:00 EST,paperUSD,101468.48276,101554.0,1998446.0,0,1468.48276,1554.0,USD,101468.48276,101554.0,0
20170210 16:10:00 EST,paperUSD,101466.35986,101554.0,1892301.0,0,1466.35986,1554.0,USD,101466.35986,101554.0,0
