Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170131 16:50:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170131 16:50:00 EST,paperUSD,99998.0,100000.0,1998282.0,0,-2.0,0.0,USD,99998.0,100000.0,0
20170131 16:55:00 EST,paperUSD,99990.0,99994.0,1999994.0,0,-10.0,-6.0,USD,99990.0,99994.0,0
20170131 17:00:00 EST,paperUSD,99988.0,99994.0,1998294.0,0,-12.0,-6.0,USD,99988.0,99994.0,0
20170201 22:00:00 EST,paperUSD,99985.0,99993.0,1999993.0,0,-15.0,-7.0,USD,99985.0,99993.0,0
20170201 22:05:00 EST,paperUSD,99983.0,99993.0,1998290.0,0,-17.0,-7.0,USD,99983.0,99993.0,0
20170201 22:10:00 EST,paperUSD,99979.0,99991.0,1999991.0,0,-21.0,-9.0,USD,99979.0,99991.0,0
20170201 22:15:00 EST,paperUSD,99977.0,99991.0,1998291.0,0,-23.0,-9.0,USD,99977.0,99991.0,0
20170209 16:30:00 EST,paperUSD,99938.0,99954.0,1999954.0,0,-62.0,-46.0,USD,99938.0,99954.0,0
20170209 16:35:00 EST,paperUSD,99936.0,99954.0,1998316.0,0,-64.0,-46.0,USD,99936.0,99954.0,0
20170209 16:45:00 EST,paperUSD,99932.0,99952.0,1999952.0,0,-68.0,-48.0,USD,99932.0,99952.0,0
20170209 16:50:00 EST,paperUSD,99930.0,99952.0,1998321.0,0,-70.0,-48.0,USD,99930.0,99952.0,0
20170209 21:30:00 EST,paperUSD,99930.0,99954.0,1999950.0,0,-70.0,-46.0,USD,99930.0,99954.0,0
20170209 21:35:00 EST,paperUSD,99928.0,99954.0,1998310.0,0,-72.0,-46.0,USD,99928.0,99954.0,0
20170209 21:45:00 EST,paperUSD,99930.0,99958.0,1999946.0,0,-70.0,-42.0,USD,99930.0,99958.0,0
20170209 21:50:00 EST,paperUSD,99928.0,99958.0,1998309.0,0,-72.0,-42.0,USD,99928.0,99958.0,0
20170209 21:55:00 EST,paperUSD,99929.0,99961.0,1999943.0,0,-71.0,-39.0,USD,99929.0,99961.0,0
20170209 22:00:00 EST,paperUSD,99927.0,99961.0,1998314.0,0,-73.0,-39.0,USD,99927.0,99961.0,0
20170209 22:05:00 EST,paperUSD,99929.0,99965.0,1999939.0,0,-71.0,-35.0,USD,99929.0,99965.0,0
20170209 22:10:00 EST,paperUSD,99927.0,99965.0,1998314.0,0,-73.0,-35.0,USD,99927.0,99965.0,0
20170209 22:15:00 EST,paperUSD,99927.0,99967.0,1999937.0,0,-73.0,-33.0,USD,99927.0,99967.0,0
20170209 22:20:00 EST,paperUSD,99925.0,99967.0,1998318.0,0,-75.0,-33.0,USD,99925.0,99967.0,0
20170209 22:30:00 EST,paperUSD,99925.0,99969.0,1999935.0,0,-75.0,-31.0,USD,99925.0,99969.0,0
20170209 22:35:00 EST,paperUSD,99923.0,99969.0,1998308.0,0,-77.0,-31.0,USD,99923.0,99969.0,0
20170210 16:30:00 EST,paperUSD,99968.0,100016.0,1999888.0,0,-32.0,16.0,USD,99968.0,100016.0,0
20170210 16:35:00 EST,paperUSD,99966.0,100016.0,1998321.0,0,-34.0,16.0,USD,99966.0,100016.0,0
20170210 16:40:00 EST,paperUSD,99967.0,100019.0,1999885.0,0,-33.0,19.0,USD,99967.0,100019.0,0
20170210 16:45:00 EST,paperUSD,99965.0,100019.0,1998321.0,0,-35.0,19.0,USD,99965.0,100019.0,0
20170210 17:10:00 EST,paperUSD,99968.0,100024.0,1999880.0,0,-32.0,24.0,USD,99968.0,100024.0,0
20170210 17:15:00 EST,paperUSD,99966.0,100024.0,1998318.0,0,-34.0,24.0,USD,99966.0,100024.0,0
20170210 17:20:00 EST,paperUSD,99968.0,100028.0,1999876.0,0,-32.0,28.0,USD,99968.0,100028.0,0
20170210 17:25:00 EST,paperUSD,99966.0,100028.0,1998319.0,0,-34.0,28.0,USD,99966.0,100028.0,0
20170210 17:50:00 EST,paperUSD,99966.0,100030.0,1999874.0,0,-34.0,30.0,USD,99966.0,100030.0,0
20170210 17:55:00 EST,paperUSD,99964.0,100030.0,1998312.0,0,-36.0,30.0,USD,99964.0,100030.0,0
20170210 18:05:00 EST,paperUSD,99964.0,100032.0,1999872.0,0,-36.0,32.0,USD,99964.0,100032.0,0
20170210 18:10:00 EST,paperUSD,99962.0,100032.0,1998311.0,0,-38.0,32.0,USD,99962.0,100032.0,0
20170210 18:35:00 EST,paperUSD,99962.0,100034.0,1999870.0,0,-38.0,34.0,USD,99962.0,100034.0,0
20170210 18:40:00 EST,paperUSD,99960.0,100034.0,1998311.0,0,-40.0,34.0,USD,99960.0,100034.0,0
20170210 19:05:00 EST,paperUSD,99962.0,100038.0,1999866.0,0,-38.0,38.0,USD,99962.0,100038.0,0
20170210 19:10:00 EST,paperUSD,99960.0,100038.0,1998312.0,0,-40.0,38.0,USD,99960.0,100038.0,0
20170210 19:55:00 EST,paperUSD,99964.0,100044.0,1999860.0,0,-36.0,44.0,USD,99964.0,100044.0,0
20170210 20:00:00 EST,paperUSD,99962.0,100044.0,1998312.0,0,-38.0,44.0,USD,99962.0,100044.0,0
20170210 20:20:00 EST,paperUSD,99963.0,100047.0,1999857.0,0,-37.0,47.0,USD,99963.0,100047.0,0
20170210 20:25:00 EST,paperUSD,99961.0,100047.0,1998312.0,0,-39.0,47.0,USD,99961.0,100047.0,0
20170210 20:55:00 EST,paperUSD,99960.0,100048.0,1999856.0,0,-40.0,48.0,USD,99960.0,100048.0,0
20170210 21:00:00 EST,paperUSD,99958.0,100048.0,1998309.0,0,-42.0,48.0,USD,99958.0,100048.0,0
20170210 22:25:00 EST,paperUSD,99957.0,100049.0,1999855.0,0,-43.0,49.0,USD,99957.0,100049.0,0
20170210 22:30:00 EST,paperUSD,99955.0,100049.0,1998308.0,0,-45.0,49.0,USD,99955.0,100049.0,0
20170210 22:35:00 EST,paperUSD,99954.0,100050.0,1999854.0,0,-46.0,50.0,USD,99954.0,100050.0,0
20170210 22:40:00 EST,paperUSD,99952.0,100050.0,1998308.0,0,-48.0,50.0,USD,99952.0,100050.0,0
20170210 22:45:00 EST,paperUSD,99951.0,100051.0,1999853.0,0,-49.0,51.0,USD,99951.0,100051.0,0
20170210 22:50:00 EST,paperUSD,99949.0,100051.0,1998309.0,0,-51.0,51.0,USD,99949.0,100051.0,0
