permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,17.18,100.0,100.0,-2.0,BOT,5m_,USD,20170131 16:50:00 EST,,0.0,99998.0,1998282.0,99998.0,17.18,100000.0,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,17.12,100.0,0.0,-8.0,SLD,5m_,USD,20170131 16:55:00 EST,,-6.0,99990.0,1999994.0,99990.0,17.18,99994.0,99994.0,-8.0
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,17.0,100.0,100.0,-2.0,BOT,5m_,USD,20170131 17:00:00 EST,,0.0,99988.0,1998294.0,99988.0,17.0,99994.0,99994.0,-2.0
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,16.99,100.0,0.0,-3.0,SLD,5m_,USD,20170201 22:00:00 EST,,-1.0,99985.0,1999993.0,99985.0,17.0,99993.0,99993.0,-3.0
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,17.03,100.0,100.0,-2.0,BOT,5m_,USD,20170201 22:05:00 EST,,0.0,99983.0,1998290.0,99983.0,17.03,99993.0,99993.0,-2.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,17.01,100.0,0.0,-4.0,SLD,5m_,USD,20170201 22:10:00 EST,,-2.0,99979.0,1999991.0,99979.0,17.03,99991.0,99991.0,-4.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,17.0,100.0,100.0,-2.0,BOT,5m_,USD,20170201 22:15:00 EST,,0.0,99977.0,1998291.0,99977.0,17.0,99991.0,99991.0,-2.0
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,16.63,100.0,0.0,-39.0,SLD,5m_,USD,20170209 16:30:00 EST,,-37.0,99938.0,1999954.0,99938.0,17.0,99954.0,99954.0,-39.0
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,16.38,100.0,100.0,-2.0,BOT,5m_,USD,20170209 16:35:00 EST,,0.0,99936.0,1998316.0,99936.0,16.38,99954.0,99954.0,-2.0
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,16.36,100.0,0.0,-4.0,SLD,5m_,USD,20170209 16:45:00 EST,,-2.0,99932.0,1999952.0,99932.0,16.38,99952.0,99952.0,-4.0
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,16.31,100.0,-100.0,-2.0,SLD,5m_,USD,20170209 16:50:00 EST,,0.0,99930.0,1998321.0,99930.0,16.31,99952.0,99952.0,-2.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,16.29,100.0,0.0,-4.26325641456e-14,BOT,5m_,USD,20170209 21:30:00 EST,,2.0,99930.0,1999950.0,99930.0,16.31,99954.0,99954.0,-4.26325641456e-14
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,16.4,100.0,-100.0,-2.0,SLD,5m_,USD,20170209 21:35:00 EST,,0.0,99928.0,1998310.0,99928.0,16.4,99954.0,99954.0,-2.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,16.36,100.0,0.0,2.0,BOT,5m_,USD,20170209 21:45:00 EST,,4.0,99930.0,1999946.0,99930.0,16.4,99958.0,99958.0,2.0
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,16.37,100.0,-100.0,-2.0,SLD,5m_,USD,20170209 21:50:00 EST,,0.0,99928.0,1998309.0,99928.0,16.37,99958.0,99958.0,-2.0
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,16.34,100.0,0.0,1.0,BOT,5m_,USD,20170209 21:55:00 EST,,3.0,99929.0,1999943.0,99929.0,16.37,99961.0,99961.0,1.0
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,16.29,100.0,-100.0,-2.0,SLD,5m_,USD,20170209 22:00:00 EST,,0.0,99927.0,1998314.0,99927.0,16.29,99961.0,99961.0,-2.0
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,16.25,100.0,0.0,2.0,BOT,5m_,USD,20170209 22:05:00 EST,,4.0,99929.0,1999939.0,99929.0,16.29,99965.0,99965.0,2.0
