permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,9.81,100.0,-100.0,-2.0,SLD,5m_,USD,20170203 18:25:00 EST,,0.0,99998.0,1999019.0,99998.0,9.81,100000.0,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,9.78,100.0,0.0,1.0,BOT,5m_,USD,20170203 18:40:00 EST,,3.0,99999.0,1999997.0,99999.0,9.81,100003.0,100003.0,1.0
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,9.78,100.0,-100.0,-2.0,SLD,5m_,USD,20170203 18:45:00 EST,,0.0,99997.0,1999019.0,99997.0,9.78,100003.0,100003.0,-2.0
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,9.77,100.0,0.0,-1.0,BOT,5m_,USD,20170203 18:50:00 EST,,1.0,99996.0,1999996.0,99996.0,9.78,100004.0,100004.0,-1.0
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,9.77,100.0,-100.0,-2.0,SLD,5m_,USD,20170203 18:55:00 EST,,0.0,99994.0,1999019.0,99994.0,9.77,100004.0,100004.0,-2.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,9.76,100.0,0.0,-1.0,BOT,5m_,USD,20170203 19:10:00 EST,,1.0,99993.0,1999995.0,99993.0,9.77,100005.0,100005.0,-1.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,9.75,100.0,-100.0,-2.0,SLD,5m_,USD,20170203 19:15:00 EST,,0.0,99991.0,1999020.0,99991.0,9.75,100005.0,100005.0,-2.0
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,9.72,100.0,0.0,1.0,BOT,5m_,USD,20170203 19:20:00 EST,,3.0,99992.0,1999992.0,99992.0,9.75,100008.0,100008.0,1.0
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,9.74,100.0,-100.0,-2.0,SLD,5m_,USD,20170203 19:25:00 EST,,0.0,99990.0,1999018.0,99990.0,9.74,100008.0,100008.0,-2.0
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,9.72,100.0,0.0,-4.26325641456e-14,BOT,5m_,USD,20170203 22:15:00 EST,,2.0,99990.0,1999990.0,99990.0,9.74,100010.0,100010.0,-4.26325641456e-14
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,9.71,100.0,-100.0,-2.0,SLD,5m_,USD,20170203 22:30:00 EST,,0.0,99988.0,1999019.0,99988.0,9.71,100010.0,100010.0,-2.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,9.69,100.0,0.0,1.35003119794e-13,BOT,5m_,USD,20170203 22:45:00 EST,,2.0,99988.0,1999988.0,99988.0,9.71,100012.0,100012.0,1.35003119794e-13
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,9.71,100.0,-100.0,-2.0,SLD,5m_,USD,20170203 22:55:00 EST,,0.0,99986.0,1999017.0,99986.0,9.71,100012.0,100012.0,-2.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,9.7,100.0,0.0,-1.0,BOT,5m_,USD,20170206 16:35:00 EST,,1.0,99985.0,1999987.0,99985.0,9.71,100013.0,100013.0,-1.0
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,9.68,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 16:40:00 EST,,0.0,99983.0,1999019.0,99983.0,9.68,100013.0,100013.0,-2.0
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,9.67,100.0,0.0,-1.0,BOT,5m_,USD,20170206 17:30:00 EST,,1.0,99982.0,1999986.0,99982.0,9.68,100014.0,100014.0,-1.0
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,9.65,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 17:35:00 EST,,0.0,99980.0,1999021.0,99980.0,9.65,100014.0,100014.0,-2.0
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,9.64,100.0,0.0,-1.0,BOT,5m_,USD,20170206 20:00:00 EST,,1.0,99979.0,1999985.0,99979.0,9.65,100015.0,100015.0,-1.0
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,9.63,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 20:05:00 EST,,0.0,99977.0,1999022.0,99977.0,9.63,100015.0,100015.0,-2.0
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,9.62,100.0,0.0,-1.0,BOT,5m_,USD,20170206 20:10:00 EST,,1.0,99976.0,1999984.0,99976.0,9.63,100016.0,100016.0,-1.0
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,9.6,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 20:20:00 EST,,0.0,99974.0,1999024.0,99974.0,9.6,100016.0,100016.0,-2.0
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,9.59,100.0,0.0,-1.0,BOT,5m_,USD,20170206 20:55:00 EST,,1.0,99973.0,1999983.0,99973.0,9.6,100017.0,100017.0,-1.0
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,9.59,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 21:00:00 EST,,0.0,99971.0,1999024.0,99971.0,9.59,100017.0,100017.0,-2.0
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,9.56,100.0,0.0,1.0,BOT,5m_,USD,20170206 21:15:00 EST,,3.0,99972.0,1999980.0,99972.0,9.59,100020.0,100020.0,1.0
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,9.56,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 21:20:00 EST,,0.0,99970.0,1999024.0,99970.0,9.56,100020.0,100020.0,-2.0
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,9.55,100.0,0.0,-1.0,BOT,5m_,USD,20170206 21:25:00 EST,,1.0,99969.0,1999979.0,99969.0,9.56,100021.0,100021.0,-1.0
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,9.55,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 21:30:00 EST,,0.0,99967.0,1999024.0,99967.0,9.55,100021.0,100021.0,-2.0
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,9.52,100.0,0.0,1.0,BOT,5m_,USD,20170206 22:45:00 EST,,3.0,99968.0,1999976.0,99968.0,9.55,100024.0,100024.0,1.0
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,9.52,100.0,-100.0,-2.0,SLD,5m_,USD,20170206 22:50:00 EST,,0.0,99966.0,1999024.0,99966.0,9.52,100024.0,100024.0,-2.0
