,20161103,20161104,20161107
EMD open,2016-11-02 19:00,2016-11-03 19:00,
EMD close,2016-11-03 18:00,2016-11-04 18:00,
EMD trigger,2016-11-03 17:30,2016-11-04 17:30,
YM open,2016-11-02 19:00,2016-11-03 19:00,
YM close,2016-11-03 18:00,2016-11-04 18:00,
YM trigger,2016-11-03 17:30,2016-11-04 17:30,
ZN open,2016-11-02 19:00,2016-11-03 19:00,
ZN close,2016-11-03 18:00,2016-11-04 18:00,
ZN trigger,2016-11-03 17:30,2016-11-04 17:30,
HO open,,2016-11-03 18:00,2016-11-06 00:00
HO close,,2016-11-04 17:00,2016-11-07 23:59
HO trigger,,2016-11-04 16:30,2016-11-07 23:29
GBP open,2016-11-02 19:00,2016-11-03 19:00,
GBP close,2016-11-03 18:00,2016-11-04 18:00,
GBP trigger,2016-11-03 17:30,2016-11-04 17:30,
HG open,,2016-11-03 18:00,2016-11-06 00:00
HG close,,2016-11-04 17:00,2016-11-07 23:59
HG trigger,,2016-11-04 16:30,2016-11-07 23:29
HE open,2016-11-02 10:30,2016-11-03 10:30,
HE close,2016-11-03 15:05,2016-11-04 15:05,
HE trigger,2016-11-03 14:35,2016-11-04 14:35,
LE open,2016-11-02 10:30,2016-11-03 10:30,
LE close,2016-11-03 15:05,2016-11-04 15:05,
LE trigger,2016-11-03 14:35,2016-11-04 14:35,
LB open,2016-11-02 19:00,2016-11-03 19:00,
LB close,2016-11-03 18:00,2016-11-04 15:55,
LB trigger,2016-11-03 17:30,2016-11-04 15:25,
ZS open,2016-11-02 21:00,2016-11-03 21:00,
ZS close,2016-11-03 15:20,2016-11-04 15:20,
ZS trigger,2016-11-03 14:50,2016-11-04 14:50,
NG open,,2016-11-03 18:00,2016-11-06 00:00
NG close,,2016-11-04 17:00,2016-11-07 23:59
NG trigger,,2016-11-04 16:30,2016-11-07 23:29
PA open,,2016-11-03 18:00,2016-11-06 00:00
PA close,,2016-11-04 17:00,2016-11-07 23:59
PA trigger,,2016-11-04 16:30,2016-11-07 23:29
ZR open,2016-11-02 21:00,2016-11-03 21:00,
ZR close,2016-11-03 15:20,2016-11-04 15:20,
ZR trigger,2016-11-03 14:50,2016-11-04 14:50,
RB open,,2016-11-03 18:00,2016-11-06 00:00
RB close,,2016-11-04 17:00,2016-11-07 23:59
RB trigger,,2016-11-04 16:30,2016-11-07 23:29
NQ open,2016-11-02 19:00,2016-11-03 19:00,
NQ close,2016-11-03 18:00,2016-11-04 18:00,
NQ trigger,2016-11-03 17:30,2016-11-04 17:30,
CAD open,2016-11-02 19:00,2016-11-03 19:00,
CAD close,2016-11-03 18:00,2016-11-04 18:00,
CAD trigger,2016-11-03 17:30,2016-11-04 17:30,
PL open,,2016-11-03 18:00,2016-11-06 00:00
PL close,,2016-11-04 17:00,2016-11-07 23:59
PL trigger,,2016-11-04 16:30,2016-11-07 23:29
ZL open,2016-11-02 21:00,2016-11-03 21:00,
ZL close,2016-11-03 15:20,2016-11-04 15:20,
ZL trigger,2016-11-03 14:50,2016-11-04 14:50,
ZM open,2016-11-02 21:00,2016-11-03 21:00,
ZM close,2016-11-03 15:20,2016-11-04 15:20,
ZM trigger,2016-11-03 14:50,2016-11-04 14:50,
AC open,2016-11-02 19:00,2016-11-03 19:00,
AC close,2016-11-03 18:00,2016-11-04 18:00,
AC trigger,2016-11-03 17:30,2016-11-04 17:30,
ZO open,2016-11-02 21:00,2016-11-03 21:00,
ZO close,2016-11-03 15:20,2016-11-04 15:20,
ZO trigger,2016-11-03 14:50,2016-11-04 14:50,
AUD open,2016-11-02 19:00,2016-11-03 19:00,
AUD close,2016-11-03 18:00,2016-11-04 18:00,
AUD trigger,2016-11-03 17:30,2016-11-04 17:30,
CHF open,2016-11-02 19:00,2016-11-03 19:00,
CHF close,2016-11-03 18:00,2016-11-04 18:00,
CHF trigger,2016-11-03 17:30,2016-11-04 17:30,
CL open,,2016-11-03 18:00,2016-11-06 00:00
CL close,,2016-11-04 17:00,2016-11-07 23:59
CL trigger,,2016-11-04 16:30,2016-11-07 23:29
ZF open,2016-11-02 19:00,2016-11-03 19:00,
ZF close,2016-11-03 18:00,2016-11-04 18:00,
ZF trigger,2016-11-03 17:30,2016-11-04 17:30,
ZB open,2016-11-02 19:00,2016-11-03 19:00,
ZB close,2016-11-03 18:00,2016-11-04 18:00,
ZB trigger,2016-11-03 17:30,2016-11-04 17:30,
ZC open,2016-11-02 21:00,2016-11-03 21:00,
ZC close,2016-11-03 15:20,2016-11-04 15:20,
ZC trigger,2016-11-03 14:50,2016-11-04 14:50,
GF open,2016-11-02 10:30,2016-11-03 10:30,
GF close,2016-11-03 15:05,2016-11-04 15:05,
GF trigger,2016-11-03 14:35,2016-11-04 14:35,
GE open,2016-11-02 19:00,2016-11-03 19:00,
GE close,2016-11-03 18:00,2016-11-04 18:00,
GE trigger,2016-11-03 17:30,2016-11-04 17:30,
GC open,,2016-11-03 18:00,2016-11-06 00:00
GC close,,2016-11-04 17:00,2016-11-07 23:59
GC trigger,,2016-11-04 16:30,2016-11-07 23:29
NZD open,2016-11-02 19:00,2016-11-03 19:00,
NZD close,2016-11-03 18:00,2016-11-04 18:00,
NZD trigger,2016-11-03 17:30,2016-11-04 17:30,
ZT open,2016-11-02 19:00,2016-11-03 19:00,
ZT close,2016-11-03 18:00,2016-11-04 18:00,
ZT trigger,2016-11-03 17:30,2016-11-04 17:30,
ZW open,2016-11-02 21:00,2016-11-03 21:00,
ZW close,2016-11-03 15:20,2016-11-04 15:20,
ZW trigger,2016-11-03 14:50,2016-11-04 14:50,
ES open,2016-11-02 19:00,2016-11-03 19:00,
ES close,2016-11-03 18:00,2016-11-04 18:00,
ES trigger,2016-11-03 17:30,2016-11-04 17:30,
EUR open,2016-11-02 19:00,2016-11-03 19:00,
EUR close,2016-11-03 18:00,2016-11-04 18:00,
EUR trigger,2016-11-03 17:30,2016-11-04 17:30,
MXP open,2016-11-02 19:00,2016-11-03 19:00,
MXP close,2016-11-03 18:00,2016-11-04 18:00,
MXP trigger,2016-11-03 17:30,2016-11-04 17:30,
JPY open,2016-11-02 19:00,2016-11-03 19:00,
JPY close,2016-11-03 18:00,2016-11-04 18:00,
JPY trigger,2016-11-03 17:30,2016-11-04 17:30,
SI open,,2016-11-03 18:00,2016-11-06 00:00
SI close,,2016-11-04 17:00,2016-11-07 23:59
SI trigger,,2016-11-04 16:30,2016-11-07 23:29
NIY open,2016-11-02 19:00,2016-11-03 19:00,
NIY close,2016-11-03 18:00,2016-11-04 18:00,
NIY trigger,2016-11-03 17:30,2016-11-04 17:30,
