Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,92340.0,92790.0,92210.0,92490.0,65588,106733,0,0,0.0
20140604,92580.0,92950.0,92440.0,92700.0,62927,106785,0,0,0.0
20140605,92710.0,93420.0,92530.0,93320.0,92123,111940,201409,201409,0.0
20140606,93330.0,93580.0,93200.0,93380.0,77023,7820,0,0,-630.0
20140609,93400.0,93630.0,93351.0,93491.0,59951,13285,0,0,0.0
20140610,93521.0,93851.0,93421.0,93712.0,82162,29361,0,0,0.0
20140611,93742.0,94072.0,93653.0,93853.0,152138,66116,0,0,0.0
20140612,93883.0,94404.0,93522.0,94256.0,193912,98609,0,0,0.0
20140613,94256.0,94303.0,93784.0,94014.0,95423,102932,0,0,0.0
20140616,94085.0,94212.0,93764.0,94014.0,46333,103263,0,0,0.0
20140617,94045.0,94051.0,93341.0,93410.0,66183,99252,0,0,0.0
20140618,93401.0,94172.0,93240.0,93662.0,72652,99574,0,0,0.0
20140619,94045.0,94373.0,93965.0,94085.0,65854,101134,0,0,0.0
20140620,94045.0,94212.0,93844.0,93934.0,46846,100418,0,0,0.0
20140623,93864.0,94524.0,93844.0,94236.0,56872,103684,0,0,0.0
20140624,94307.0,94393.0,93733.0,93863.0,62615,101652,0,0,0.0
20140625,93773.0,94172.0,93632.0,94084.0,64022,100463,0,0,0.0
20140626,94125.0,94303.0,94075.0,94195.0,47800,101524,0,0,0.0
20140627,94246.0,94545.0,94176.0,94356.0,56505,104070,0,0,0.0
20140630,94367.0,94515.0,93995.0,94396.0,61760,105377,0,0,0.0
20140701,94458.0,95179.0,94277.0,95101.0,92047,114549,0,0,0.0
20140702,95092.0,95119.0,94448.0,94527.0,72705,111223,0,0,0.0
20140703,94568.0,94595.0,93330.0,93722.0,105221,105149,0,0,0.0
20140707,93793.0,93941.0,93592.0,93893.0,70262,101019,0,0,0.0
20140708,93884.0,94334.0,93834.0,94165.0,60281,101242,0,0,0.0
20140709,94176.0,94435.0,94015.0,94407.0,66159,102068,0,0,0.0
20140710,94297.0,94808.0,93824.0,94155.0,80199,103041,0,0,0.0
20140711,94136.0,94305.0,93975.0,94095.0,55313,103462,0,0,0.0
20140714,94055.0,94255.0,94025.0,94135.0,34918,104386,0,0,0.0
20140715,94156.0,94255.0,93713.0,93964.0,82316,104415,0,0,0.0
20140716,93924.0,93973.0,93522.0,93863.0,60271,103573,0,0,0.0
20140717,93884.0,94174.0,93723.0,94034.0,58432,104560,0,0,0.0
20140718,93753.0,94385.0,93622.0,94245.0,75172,104720,0,0,0.0
20140721,94256.0,94284.0,93974.0,94074.0,40359,104235,0,0,0.0
20140722,94014.0,94505.0,93883.0,94205.0,100322,108686,0,0,0.0
20140723,94235.0,94898.0,94094.0,94799.0,86738,116395,0,0,0.0
20140724,94759.0,95019.0,94426.0,94447.0,81091,112854,0,0,0.0
