Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140526,244875.0,247488.0,244638.0,247438.0,73803,134228,0,0,0.0
20140527,247125.0,248875.0,247050.0,248725.0,72590,134367,0,0,0.0
20140528,249088.0,249350.0,247513.0,248063.0,37961,133783,0,0,0.0
20140529,248488.0,249088.0,248013.0,248913.0,64535,134300,0,0,0.0
20140530,248575.0,249450.0,248125.0,248838.0,61483,134103,0,0,0.0
20140602,249300.0,249825.0,247688.0,249050.0,64689,134148,0,0,0.0
20140603,248850.0,249038.0,247175.0,247863.0,72052,132640,0,0,0.0
20140604,247475.0,248563.0,246700.0,248500.0,135580,134648,0,0,0.0
20140605,248350.0,250425.0,247400.0,249100.0,84596,132912,201409,201409,0.0
20140606,249400.0,250350.0,248763.0,250350.0,38184,9990,0,0,50.0
20140609,250288.0,250700.0,249825.0,250400.0,63437,10637,0,0,0.0
20140610,250113.0,250975.0,249875.0,250800.0,92321,11352,0,0,0.0
20140611,250638.0,250750.0,248175.0,248800.0,86756,13402,0,0,0.0
20140612,249113.0,249450.0,247538.0,248750.0,119900,20692,0,0,0.0
20140613,248750.0,248775.0,245875.0,247788.0,126340,32363,0,0,0.0
20140616,247375.0,248313.0,246963.0,247750.0,229850,50937,0,0,0.0
20140617,248150.0,249750.0,246663.0,248513.0,203760,85979,0,0,0.0
20140618,248738.0,250288.0,248150.0,249938.0,131300,116328,0,0,0.0
20140619,250275.0,250713.0,249950.0,250263.0,73847,126863,0,0,0.0
20140620,250113.0,251350.0,249500.0,249963.0,75483,130620,0,0,0.0
20140623,250263.0,250463.0,246976.0,248463.0,63723,128254,0,0,0.0
20140624,248325.0,248925.0,247476.0,247588.0,88325,129972,0,0,0.0
20140625,247425.0,248025.0,246001.0,247488.0,92783,128682,0,0,0.0
20140626,247375.0,247800.0,243864.0,246013.0,58765,128643,0,0,0.0
20140627,245625.0,246325.0,244864.0,246275.0,82551,128960,0,0,0.0
20140630,246150.0,247400.0,245089.0,245925.0,67803,129588,0,0,0.0
20140701,246450.0,248325.0,245964.0,247900.0,61219,132667,0,0,0.0
20140702,247663.0,248550.0,247351.0,247950.0,87054,133180,0,0,0.0
20140703,248200.0,251049.0,247764.0,250937.0,70980,139310,0,0,0.0
20140707,250300.0,250462.0,247526.0,247988.0,111630,136744,0,0,0.0
20140708,248175.0,248299.0,243727.0,244626.0,77042,140143,0,0,0.0
20140709,244814.0,245813.0,243840.0,245589.0,137520,138885,0,0,0.0
20140710,245589.0,245600.0,240466.0,242202.0,83171,142031,0,0,0.0
20140711,242202.0,242751.0,240603.0,241877.0,65896,138212,0,0,0.0
20140714,242677.0,244926.0,242303.0,244202.0,95964,136375,0,0,0.0
20140715,244190.0,244776.0,242203.0,243465.0,85821,135027,0,0,0.0
20140716,243377.0,246876.0,243328.0,246676.0,117630,137620,0,0,0.0
20140717,245926.0,246276.0,242103.0,242465.0,97731,136557,0,0,0.0
20140718,242502.0,243740.0,241278.0,242665.0,97034,135362,0,0,0.0
20140721,243177.0,243302.0,239828.0,241027.0,83235,135366,0,0,0.0
20140722,241552.0,243552.0,241166.0,242640.0,73788,134760,0,0,0.0
20140723,242452.0,245102.0,242353.0,244052.0,89583,134683,0,0,0.0
20140724,243827.0,245427.0,241841.0,244527.0,92247,137980,0,0,0.0
20140725,244452.0,244902.0,240503.0,241303.0,94382,137951,0,0,0.0
20140728,241216.0,241891.0,238178.0,240441.0,90522,140376,0,0,0.0
20140729,240503.0,242378.0,239341.0,240541.0,96899,138991,0,0,0.0
20140730,241078.0,242703.0,239316.0,240003.0,154960,137190,0,0,0.0
20140731,239928.0,240141.0,234142.0,234179.0,164620,138498,0,0,0.0
20140801,234854.0,235192.0,228768.0,229805.0,128770,140511,0,0,0.0
20140804,230618.0,231530.0,228218.0,230293.0,117230,139610,0,0,0.0
20140805,229330.0,230943.0,226968.0,227494.0,139620,137270,0,0,0.0
20140806,227805.0,229168.0,225730.0,227781.0,156880,140170,0,0,0.0
20140807,228355.0,229268.0,224330.0,224932.0,150220,140977,0,0,0.0
20140808,223706.0,227493.0,222530.0,227382.0,96683,140006,0,0,0.0
20140811,227505.0,229980.0,227129.0,228907.0,96727,139829,0,0,0.0
20140812,229280.0,229505.0,226129.0,227007.0,89925,144341,0,0,0.0
20140813,227430.0,230343.0,227429.0,230056.0,93821,142078,0,0,0.0
20140814,230217.0,231605.0,228479.0,231044.0,129900,145673,0,0,0.0
20140815,231067.0,233105.0,226017.0,228295.0,134633,145957,0,0,0.0
20140818,230504.0,231705.0,229741.0,231656.0,68580,143907,0,0,0.0
20140819,231742.0,233780.0,231653.0,233406.0,78156,144123,0,0,0.0
20140820,233142.0,233505.0,231091.0,233306.0,83259,145440,0,0,0.0
20140821,233542.0,235143.0,231866.0,234794.0,102370,142536,0,0,0.0
20140822,234667.0,235343.0,232153.0,233631.0,66453,144491,0,0,0.0
20140825,235029.0,237843.0,235015.0,237180.0,89023,146383,0,0,0.0
20140826,236504.0,239780.0,236027.0,239293.0,64655,144382,0,0,0.0
20140827,239628.0,239980.0,238576.0,239043.0,123600,144138,0,0,0.0
20140828,239053.0,239155.0,235315.0,236605.0,93972,141942,0,0,0.0
20140829,237203.0,237905.0,234152.0,236793.0,45821,140029,0,0,0.0
20140901,237016.0,237705.0,235540.0,236855.0,45821,140029,0,0,0.0
20140902,237353.0,239468.0,236627.0,237343.0,97226,138519,0,0,0.0
20140903,237866.0,242093.0,237852.0,240454.0,182020,132806,0,0,0.0
20140904,240291.0,243368.0,238390.0,242729.0,133750,135683,0,0,0.0
20140905,242516.0,244705.0,242164.0,244679.0,79638,139860,201412,201412,0.0
20140908,244566.0,244568.0,243002.0,243667.0,102760,15966,0,0,-63.0
20140909,243116.0,244268.0,242014.0,242267.0,105100,20647,0,0,0.0
20140910,241966.0,243681.0,241014.0,243442.0,115720,20062,0,0,0.0
20140911,243266.0,243381.0,240814.0,242517.0,94981,23128,0,0,0.0
20140912,242854.0,243081.0,240539.0,241092.0,132960,30485,0,0,0.0
20140915,240091.0,242231.0,239789.0,241692.0,225700,46366,0,0,0.0
20140916,241429.0,242006.0,239777.0,242005.0,183860,81531,0,0,0.0
20140917,242004.0,243031.0,241314.0,242042.0,185380,102905,0,0,0.0
20140918,242466.0,245031.0,242152.0,244992.0,120900,117930,0,0,0.0
20140919,246204.0,247418.0,244552.0,244742.0,78204,127036,0,0,0.0
20140922,244079.0,245443.0,243102.0,243405.0,123010,125168,0,0,0.0
20140923,243629.0,243768.0,239327.0,239555.0,106230,127110,0,0,0.0
20140924,239779.0,242206.0,238427.0,242205.0,136799,126148,0,0,0.0
20140925,241966.0,243143.0,236777.0,237167.0,110851,126801,0,0,0.0
20140926,237566.0,238806.0,236414.0,238542.0,120240,125976,0,0,0.0
20140929,237879.0,237893.0,234289.0,235767.0,128450,127953,0,0,0.0
20140930,235891.0,237506.0,235152.0,236305.0,129650,132901,0,0,0.0
20141001,235891.0,238106.0,233252.0,233892.0,171630,133255,0,0,0.0
20141002,234191.0,235418.0,229164.0,230692.0,177858,137646,0,0,0.0
20141003,230416.0,230418.0,230414.0,230417.0,116750,137014,0,0,0.0
20141006,233441.0,233831.0,228677.0,229730.0,140020,133705,0,0,0.0
20141007,229266.0,229568.0,225264.0,225305.0,151730,135437,0,0,0.0
20141008,225479.0,228193.0,224014.0,227917.0,194470,137756,0,0,0.0
20141009,227641.0,228606.0,222277.0,223192.0,207910,135908,0,0,0.0
20141010,223066.0,224056.0,219152.0,219255.0,143460,136397,0,0,0.0
20141013,217516.0,221881.0,217064.0,218142.0,159270,137526,0,0,0.0
20141014,219254.0,221518.0,217527.0,220367.0,220870,135497,0,0,0.0
20141015,220716.0,221431.0,211939.0,215417.0,258140,137673,0,0,0.0
20141016,215666.0,216643.0,208764.0,214055.0,175020,134682,0,0,0.0
20141017,214529.0,221456.0,214089.0,220267.0,129180,135679,0,0,0.0
20141020,221767.0,222143.0,217039.0,219105.0,136660,138010,0,0,0.0
20141021,218217.0,223643.0,216052.0,223542.0,110830,136810,0,0,0.0
20141022,223717.0,224081.0,221014.0,221655.0,141837,136035,0,0,0.0
20141023,221930.0,226868.0,220439.0,225817.0,97741,131493,0,0,0.0
20141024,224905.0,226118.0,223852.0,225505.0,139970,130844,0,0,0.0
20141027,225842.0,227418.0,220889.0,223280.0,101690,130935,0,0,0.0
20141028,223842.0,227993.0,223764.0,227705.0,87565,129750,0,0,0.0
20141029,227455.0,229018.0,225739.0,227130.0,151030,125394,0,0,0.0
20141030,227630.0,229018.0,222464.0,228742.0,141710,128166,0,0,0.0
20141031,232692.0,233618.0,230440.0,232980.0,104290,128166,0,0,0.0
20141103,232742.0,233618.0,230865.0,231742.0,125460,127076,0,0,0.0
20141104,231517.0,233006.0,228703.0,230217.0,113980,124889,0,0,0.0
20141105,231505.0,233306.0,230578.0,232642.0,151050,126244,0,0,0.0
20141106,232067.0,236743.0,231678.0,235142.0,128150,128000,0,0,0.0
20141107,236005.0,236243.0,230953.0,232230.0,97321,125959,0,0,0.0
20141110,232542.0,233831.0,230540.0,233780.0,77353,129844,0,0,0.0
20141111,234017.0,235018.0,233065.0,234117.0,125250,132138,0,0,0.0
20141112,233817.0,233993.0,229690.0,231105.0,128880,136114,0,0,0.0
20141113,231942.0,232793.0,229178.0,231230.0,104990,141029,0,0,0.0
20141114,231517.0,232268.0,229565.0,230867.0,106560,132770,0,0,0.0
20141117,229342.0,233343.0,228140.0,232842.0,104060,135047,0,0,0.0
20141118,233105.0,237256.0,232840.0,237192.0,114930,136861,0,0,0.0
20141119,236655.0,238106.0,235915.0,237142.0,103660,134511,0,0,0.0
20141120,236667.0,237281.0,234453.0,237055.0,164160,138718,0,0,0.0
20141121,237755.0,243456.0,237690.0,242742.0,107542,133774,0,0,0.0
20141124,242767.0,245856.0,242678.0,245330.0,109590,132953,0,0,0.0
20141125,245517.0,248143.0,244640.0,246842.0,94517,134648,0,0,0.0
20141126,247492.0,248706.0,246678.0,248130.0,81024,131751,0,0,0.0
20141127,248805.0,249956.0,248065.0,249380.0,65579,132288,0,0,0.0
20141128,249317.0,250018.0,247603.0,249267.0,103162,133427,0,0,0.0
20141201,248192.0,249618.0,247453.0,249092.0,122960,139547,0,0,0.0
20141202,249592.0,251093.0,247803.0,249142.0,80550,140688,0,0,0.0
20141203,249092.0,250018.0,248328.0,249867.0,156926,138342,0,0,0.0
20141204,250430.0,253193.0,245928.0,247730.0,111946,141870,0,0,0.0
20141205,247642.0,252506.0,247640.0,252067.0,85955,145034,201503,201503,0.0
20141208,252254.0,252418.0,249102.0,249829.0,150556,27815,0,0,88.0
20141209,249030.0,249069.0,244928.0,247205.0,130647,29620,0,0,0.0
20141210,247293.0,247956.0,243628.0,244006.0,150333,30959,0,0,0.0
20141211,244581.0,247931.0,244391.0,245731.0,169420,39156,0,0,0.0
20141212,244544.0,245195.0,238805.0,239246.0,232274,46861,0,0,0.0
20141215,239532.0,242196.0,232682.0,233835.0,445040,62664,0,0,0.0
20141216,234184.0,239572.0,230608.0,235634.0,269220,89959,0,0,0.0
20141217,235872.0,241996.0,235869.0,241545.0,248250,105864,0,0,0.0
20141218,242132.0,247057.0,241479.0,247055.0,151620,117397,0,0,0.0
20141219,248105.0,248370.0,242542.0,245094.0,78382,123417,0,0,0.0
20141222,245406.0,248607.0,245353.0,248055.0,60888,124306,0,0,0.0
20141223,248143.0,248657.0,246553.0,247905.0,75937,124146,0,0,0.0
20141229,248643.0,248895.0,244717.0,248243.0,79995,125744,0,0,0.0
20150102,244869.0,247207.0,242243.0,243969.0,143310,126100,0,0,0.0
20150105,243095.0,244833.0,236195.0,236821.0,149830,127377,0,0,0.0
20150106,236809.0,240722.0,234520.0,236433.0,117030,128386,0,0,0.0
20150107,237684.0,240222.0,236506.0,239845.0,133150,127975,0,0,0.0
20150108,241383.0,246507.0,240255.0,245630.0,141310,129657,0,0,0.0
20150109,245320.0,246632.0,239993.0,241819.0,131590,123765,0,0,0.0
20150112,241471.0,245507.0,240555.0,244205.0,145590,127764,0,0,0.0
20150113,244620.0,249581.0,243842.0,246642.0,177080,134553,0,0,0.0
20150114,244582.0,249169.0,244079.0,246754.0,213390,133543,0,0,0.0
20150115,248781.0,251680.0,239493.0,250128.0,170140,142719,0,0,0.0
20150116,248956.0,257828.0,248527.0,257164.0,79719,140084,0,0,0.0
20150119,256304.0,257453.0,254813.0,256214.0,107840,141315,0,0,0.0
20150120,257804.0,257803.0,255300.0,256901.0,149040,140872,0,0,0.0
20150121,256829.0,257916.0,253750.0,257601.0,153170,139161,0,0,0.0
20150122,257929.0,263639.0,255649.0,262475.0,159390,142431,0,0,0.0
20150123,262428.0,267713.0,262085.0,265424.0,135330,144760,0,0,0.0
20150126,264327.0,271362.0,264234.0,270611.0,138090,148048,0,0,0.0
20150127,270563.0,270624.0,264821.0,266299.0,137890,145891,0,0,0.0
20150128,267976.0,268838.0,263746.0,264649.0,120810,148819,0,0,0.0
20150129,265052.0,270724.0,264896.0,270085.0,121300,152382,0,0,0.0
20150130,269901.0,270462.0,266009.0,266173.0,119980,147112,0,0,0.0
20150202,267402.0,272024.0,266946.0,271834.0,124990,151008,0,0,0.0
20150203,271289.0,274661.0,271083.0,273046.0,115290,151435,0,0,0.0
20150204,273250.0,273473.0,270045.0,270772.0,102560,150563,0,0,0.0
20150205,269876.0,273236.0,269745.0,272197.0,98219,151150,0,0,0.0
20150206,272050.0,272198.0,268845.0,269548.0,114910,151374,0,0,0.0
20150209,268676.0,269412.0,265359.0,266087.0,121540,153368,0,0,0.0
20150210,266914.0,270324.0,264734.0,269836.0,81889,157010,0,0,0.0
20150211,269200.0,269924.0,267370.0,269136.0,113970,156457,0,0,0.0
20150212,269613.0,274386.0,268220.0,274335.0,84794,159376,0,0,0.0
20150213,274424.0,275336.0,273481.0,274310.0,53897,158890,0,0,0.0
20150216,273962.0,274123.0,271007.0,271073.0,103170,158934,0,0,0.0
20150217,270913.0,273648.0,269058.0,272648.0,72559,160263,0,0,0.0
20150218,272563.0,274523.0,272369.0,273973.0,117080,159560,0,0,0.0
20150219,273738.0,275548.0,271732.0,274548.0,135080,158815,0,0,0.0
20150220,274325.0,279035.0,273618.0,277847.0,79467,154952,0,0,0.0
20150223,278287.0,278960.0,276667.0,277935.0,88012,155031,0,0,0.0
20150224,278287.0,280784.0,277167.0,280371.0,65785,157063,0,0,0.0
20150225,280498.0,280746.0,279341.0,279859.0,89182,156894,0,0,0.0
