Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140604,104681.25,104800.0,104356.25,104637.5,76029,230117,0,0,0.0
20140605,104600.0,105156.0,104506.0,105088.0,135043,234542,201409,201409,0.0
20140606,105088.0,105293.0,104887.0,105069.0,91005,20319,0,0,-81.25
20140609,105050.0,105205.0,104906.0,104969.0,98940,41694,0,0,0.0
20140610,105019.0,105117.0,104643.0,104719.0,230176,92226,0,0,0.0
20140611,104713.0,105073.0,104618.0,104963.0,253954,147461,0,0,0.0
20140612,104957.0,105830.0,104924.0,105238.0,337633,218407,0,0,0.0
20140613,105789.0,106199.0,105775.0,106051.0,199017,239782,0,0,0.0
20140616,106108.0,106312.0,105994.0,106114.0,78492,241842,0,0,0.0
20140617,106133.0,106187.0,105863.0,105976.0,79109,249597,0,0,0.0
20140618,106008.0,106281.0,105688.0,105970.0,113681,250311,0,0,0.0
20140619,106214.0,106650.0,106170.0,106527.0,102167,256067,0,0,0.0
20140620,106502.0,106637.0,106276.0,106339.0,95249,258622,0,0,0.0
20140623,106389.0,106587.0,106270.0,106402.0,60715,252703,0,0,0.0
20140624,106427.0,106468.0,106051.0,106158.0,102007,253662,0,0,0.0
20140625,106158.0,106299.0,105963.0,106139.0,79664,255705,0,0,0.0
20140626,106158.0,106518.0,106082.0,106420.0,103933,256158,0,0,0.0
20140627,106427.0,106593.0,106313.0,106401.0,61097,253974,0,0,0.0
20140630,106490.0,106987.0,106319.0,106926.0,96434,255048,0,0,0.0
20140701,106953.0,107306.0,106869.0,107214.0,84165,254984,0,0,0.0
20140702,107216.0,107387.0,107144.0,107289.0,72119,253260,0,0,0.0
20140703,107297.0,107306.0,106806.0,107201.0,82078,256411,0,0,0.0
20140707,107284.0,107394.0,106950.0,107095.0,76896,252041,0,0,0.0
20140708,107090.0,107200.0,106806.0,107076.0,68057,253823,0,0,0.0
20140709,107084.0,107281.0,106862.0,107264.0,71921,253443,0,0,0.0
20140710,107253.0,107331.0,106931.0,107164.0,64631,250766,0,0,0.0
20140711,107122.0,107218.0,106831.0,107008.0,56026,249185,0,0,0.0
20140714,107022.0,107180.0,106712.0,106783.0,76542,248174,0,0,0.0
20140715,106816.0,107480.0,106643.0,107196.0,127324,253920,0,0,0.0
20140716,107173.0,107224.0,106981.0,107121.0,78488,247215,0,0,0.0
20140717,107142.0,107174.0,106812.0,106983.0,61060,245373,0,0,0.0
20140718,106917.0,107018.0,106506.0,106870.0,94836,240447,0,0,0.0
20140721,106817.0,106905.0,106631.0,106745.0,47175,239126,0,0,0.0
20140722,106748.0,106805.0,106537.0,106657.0,71431,239593,0,0,0.0
20140723,106685.0,106880.0,106431.0,106463.0,95824,239609,0,0,0.0
20140724,106535.0,106624.0,106074.0,106188.0,103467,240715,0,0,0.0
20140725,106216.0,106274.0,106043.0,106138.0,72634,238677,0,0,0.0
20140728,106141.0,106299.0,106118.0,106163.0,75685,235194,0,0,0.0
20140729,106179.0,106261.0,105868.0,105944.0,75983,235727,0,0,0.0
20140730,105935.0,106005.0,105599.0,105763.0,93210,235963,0,0,0.0
20140731,105747.0,105830.0,105386.0,105557.0,107273,230826,0,0,0.0
20140801,105584.0,105617.0,105111.0,105238.0,133915,228184,0,0,0.0
20140804,105215.0,105448.0,105130.0,105376.0,64080,227796,0,0,0.0
20140805,105409.0,105598.0,105330.0,105514.0,82856,228546,0,0,0.0
20140806,105578.0,105573.0,105180.0,105333.0,91474,228594,0,0,0.0
20140807,105365.0,105448.0,105193.0,105264.0,71831,227899,0,0,0.0
20140808,105246.0,105260.0,104836.0,104895.0,101879,224834,0,0,0.0
20140811,104877.0,105022.0,104867.0,104964.0,56265,221935,0,0,0.0
20140812,104965.0,105147.0,104779.0,105133.0,65295,221051,0,0,0.0
20140813,105109.0,105341.0,104335.0,104351.0,162642,231273,0,0,0.0
20140814,104352.0,104409.0,104160.0,104338.0,81406,227921,0,0,0.0
20140815,104327.0,104440.0,104285.0,104413.0,75062,230039,0,0,0.0
20140818,104533.0,104665.0,104510.0,104601.0,56245,230120,0,0,0.0
20140819,104589.0,104609.0,103872.0,103925.0,98344,233039,0,0,0.0
20140820,103895.0,104315.0,103747.0,103800.0,125595,226310,0,0,0.0
20140821,103789.0,103815.0,103591.0,103725.0,64394,228755,0,0,0.0
20140822,103676.0,103796.0,103572.0,103669.0,80371,228278,0,0,0.0
20140825,103513.0,103796.0,103509.0,103682.0,42555,227740,0,0,0.0
20140826,103632.0,103783.0,103428.0,103488.0,74234,227774,0,0,0.0
20140827,103451.0,103852.0,103415.0,103701.0,85613,227783,0,0,0.0
20140828,103664.0,103902.0,103609.0,103732.0,77293,228779,0,0,0.0
20140829,103752.0,103902.0,103578.0,103588.0,89877,227993,0,0,0.0
20140902,103746.0,104096.0,102990.0,103031.0,89877,227993,0,0,0.0
20140903,102995.0,103177.0,102821.0,102912.0,126412,227630,0,0,0.0
20140904,102945.0,102977.0,102133.0,102149.0,146462,229866,0,0,0.0
20140905,102069.0,102195.0,101795.0,102136.0,136062,233766,201412,201412,0.0
20140908,101225.0,101494.0,100657.0,100766.0,211642,34177,0,0,-50.0
20140909,100662.0,101025.0,100419.0,100603.0,275223,70499,0,0,0.0
20140910,100700.0,101482.0,100369.0,101298.0,334381,98658,0,0,0.0
20140911,101320.0,101739.0,101214.0,101423.0,224219,129641,0,0,0.0
20140912,101758.0,101770.0,101327.0,101655.0,143148,138777,0,0,0.0
20140915,101733.0,101757.0,101427.0,101461.0,61987,138824,0,0,0.0
20140916,101483.0,101995.0,101064.0,101793.0,127226,134300,0,0,0.0
