Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,23162.5,23250.0,22800.0,22912.5,246605,488865,0,0,0.0
20140604,22925.0,23025.0,22713.0,22813.0,208589,473753,0,0,0.0
20140605,22850.0,22900.0,22425.0,22450.0,268354,459758,0,0,0.0
20140606,22450.0,22987.0,22350.0,22950.0,362423,449067,0,0,0.0
20140609,22850.0,22875.0,22275.0,22550.0,351951,424058,0,0,0.0
20140610,22525.0,22750.0,22238.0,22275.0,350008,403399,0,0,0.0
20140611,22275.0,22488.0,21963.0,22050.0,425884,372849,0,0,0.0
20140612,22025.0,22250.0,21976.0,22200.0,360055,353091,0,0,0.0
20140613,22200.0,22488.0,22189.0,22350.0,306066,329725,0,0,0.0
20140616,22213.0,22475.0,22014.0,22050.0,291613,301442,0,0,0.0
20140617,22038.0,22075.0,21776.0,21938.0,265421,279280,0,0,0.0
20140618,21925.0,22188.0,21926.0,22076.0,231180,258381,0,0,0.0
20140619,22050.0,22538.0,22051.0,22526.0,288935,231544,201409,201409,0.0
20140620,22488.0,22738.0,22326.0,22714.0,276772,452247,0,0,-300.0
20140623,22703.0,22953.0,22225.0,22245.0,304799,465533,0,0,0.0
20140624,22247.0,22269.0,21959.0,22131.0,302780,477866,0,0,0.0
20140625,22133.0,22130.0,21984.0,22080.0,328441,486111,0,0,0.0
20140626,22095.0,22396.0,22060.0,22245.0,349356,496410,0,0,0.0
20140627,22209.0,22421.0,22111.0,22410.0,356282,509731,0,0,0.0
20140630,22386.0,22383.0,21123.0,21219.0,475189,512133,0,0,0.0
20140701,21182.0,21205.0,20794.0,21080.0,283657,510743,0,0,0.0
20140702,21081.0,21104.0,20781.0,20890.0,175665,510643,0,0,0.0
20140703,20904.0,20977.0,20705.0,20751.0,118035,511630,0,0,0.0
20140707,20562.0,20572.0,20122.0,20295.0,278535,511268,0,0,0.0
20140708,20296.0,20382.0,20109.0,20181.0,236478,515304,0,0,0.0
20140709,20157.0,20167.0,19691.0,19826.0,248943,512308,0,0,0.0
