Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140516,44245.0,44305.0,43830.0,44235.0,115558,329367,0,0,0.0
20140519,44240.0,44430.0,43835.0,44360.0,94985,327499,0,0,0.0
20140520,44380.0,44495.0,44035.0,44275.0,68429,323342,0,0,0.0
20140521,44180.0,44490.0,44000.0,44440.0,85342,331889,0,0,0.0
20140522,44620.0,44620.0,44260.0,44535.0,77064,333828,0,0,0.0
20140523,44570.0,44725.0,44440.0,44680.0,55311,328463,0,0,0.0
20140526,44735.0,45045.0,44730.0,45030.0,36632,329590,0,0,0.0
20140527,44970.0,45160.0,44905.0,45100.0,58460,335721,0,0,0.0
20140528,45160.0,45170.0,44975.0,45105.0,63566,332532,0,0,0.0
20140529,45095.0,45190.0,44990.0,45155.0,43358,333374,0,0,0.0
20140530,45080.0,45175.0,44805.0,45050.0,90766,353372,0,0,0.0
20140602,45185.0,45255.0,44975.0,45120.0,70533,335581,0,0,0.0
20140603,45130.0,45150.0,44960.0,45015.0,59354,329155,0,0,0.0
20140604,44975.0,45075.0,44675.0,44990.0,89441,338313,0,0,0.0
20140605,45045.0,45790.0,44845.0,45465.0,156973,346317,201409,201409,0.0
20140606,45515.0,45865.0,45515.0,45780.0,96794,553,0,0,-30.0
20140609,45855.0,45940.0,45715.0,45870.0,51841,580,0,0,0.0
20140610,45850.0,45960.0,45780.0,45910.0,61343,699,0,0,0.0
20140611,45730.0,45750.0,45530.0,45555.0,100525,893,0,0,0.0
20140612,45555.0,45690.0,45385.0,45540.0,100471,980,0,0,0.0
20140613,45455.0,45530.0,45165.0,45420.0,187006,1000,0,0,0.0
20140616,45305.0,45310.0,45080.0,45080.0,183423,4101,0,0,0.0
20140617,45240.0,45400.0,45075.0,45340.0,318723,5003,0,0,0.0
20140618,45370.0,45610.0,45290.0,45290.0,324488,21061,0,0,0.0
20140619,45675.0,45780.0,45595.0,45605.0,186687,21053,0,0,0.0
20140620,45595.0,45635.0,45315.0,45385.0,84234,21078,0,0,0.0
20140623,45430.0,45430.0,44930.0,45135.0,105364,21125,0,0,0.0
20140624,45235.0,45325.0,44930.0,45180.0,75060,21025,0,0,0.0
20140625,44995.0,45005.0,44530.0,44655.0,105449,21188,0,0,0.0
20140626,44780.0,44790.0,44200.0,44450.0,108148,20943,0,0,0.0
20140627,44550.0,44635.0,44320.0,44440.0,72709,21088,0,0,0.0
20140630,44530.0,44580.0,44185.0,44270.0,88658,21609,0,0,0.0
20140701,44325.0,44715.0,44325.0,44655.0,73982,21045,0,0,0.0
20140702,44615.0,44700.0,44410.0,44485.0,76340,20922,0,0,0.0
20140703,44515.0,44950.0,44450.0,44945.0,33511,20778,0,0,0.0
20140707,44730.0,44730.0,44090.0,44099.0,90438,21119,0,0,0.0
20140708,44255.0,44275.0,43470.0,43469.0,128342,28894,0,0,0.0
20140709,43570.0,43740.0,43360.0,43654.0,85013,28982,0,0,0.0
20140710,43600.0,43600.0,42845.0,43049.0,148738,29980,0,0,0.0
20140711,43125.0,43350.0,43040.0,43224.0,113185,29922,0,0,0.0
20140714,43470.0,43600.0,43295.0,43549.0,142768,29955,0,0,0.0
20140715,43485.0,43565.0,42975.0,43094.0,332095,30456,0,0,0.0
20140716,43270.0,43780.0,43260.0,43739.0,309716,32164,0,0,0.0
20140717,43585.0,43670.0,42845.0,43189.0,247549,31609,0,0,0.0
20140718,42975.0,43515.0,42890.0,43414.0,102555,31114,0,0,0.0
20140721,43435.0,43435.0,43030.0,43079.0,81781,30906,0,0,0.0
20140722,43280.0,43795.0,43235.0,43749.0,121014,46954,0,0,0.0
20140723,43650.0,44010.0,43610.0,43804.0,75249,46602,0,0,0.0
20140724,43820.0,44200.0,43520.0,44154.0,99534,46278,0,0,0.0
20140725,43995.0,43995.0,43210.0,43343.0,106602,46186,0,0,0.0
20140728,43355.0,43710.0,43135.0,43508.0,99784,45981,0,0,0.0
20140729,43615.0,43910.0,43370.0,43698.0,102571,45805,0,0,0.0
20140730,43630.0,43830.0,43080.0,43158.0,119804,45573,0,0,0.0
20140731,43275.0,43375.0,42380.0,42483.0,170132,44944,0,0,0.0
20140801,42454.0,42519.0,41865.0,42063.0,150298,43921,0,0,0.0
20140804,42164.0,42519.0,42100.0,42208.0,110595,43396,0,0,0.0
20140805,42299.0,42549.0,41890.0,42373.0,106118,43150,0,0,0.0
20140806,42069.0,42244.0,41725.0,42098.0,137005,42834,0,0,0.0
20140807,42119.0,42149.0,41270.0,41538.0,152070,42973,0,0,0.0
20140808,41178.0,41849.0,41100.0,41508.0,129494,43486,0,0,0.0
20140811,41778.0,42084.0,41670.0,41988.0,182954,73956,0,0,0.0
20140812,41933.0,41964.0,41530.0,41653.0,403051,160727,0,0,0.0
20140813,41788.0,42074.0,41785.0,41973.0,300528,216664,0,0,0.0
20140814,41968.0,42229.0,41685.0,42088.0,198410,245100,0,0,0.0
20140815,42178.0,42609.0,41555.0,41758.0,143922,263184,0,0,0.0
20140818,42268.0,42454.0,42135.0,42323.0,69124,256748,0,0,0.0
20140819,42428.0,42624.0,42345.0,42583.0,57584,256631,0,0,0.0
20140820,42528.0,42594.0,42190.0,42438.0,68154,252965,0,0,0.0
20140821,42578.0,42984.0,42335.0,42953.0,73312,257007,0,0,0.0
20140822,42873.0,42979.0,42345.0,42558.0,104575,253198,0,0,0.0
20140825,42808.0,43474.0,42795.0,43449.0,64610,255131,0,0,0.0
20140826,43238.0,44004.0,43230.0,43954.0,78692,253555,0,0,0.0
20140827,43903.0,44054.0,43820.0,43989.0,62888,255093,0,0,0.0
20140828,43948.0,43969.0,43560.0,43709.0,90838,260446,0,0,0.0
20140829,43823.0,43974.0,43390.0,43829.0,83440,259951,0,0,0.0
20140901,43888.0,43949.0,43600.0,43829.0,83440,259951,0,0,0.0
20140902,43918.0,44074.0,43640.0,43809.0,41667,250716,0,0,0.0
20140903,43913.0,44489.0,43865.0,44239.0,154123,289166,0,0,0.0
20140904,44168.0,45124.0,44045.0,44984.0,148385,281436,0,0,0.0
20140905,44793.0,45024.0,44725.0,44889.0,99469,280223,201412,201412,0.0
20140908,44968.0,44999.0,44920.0,44959.0,64568,1006,0,0,-390.0
20140909,44736.0,44737.0,44738.0,44737.0,66800,1028,0,0,0.0
20140910,44585.0,44919.0,44587.0,44727.0,122038,1027,0,0,0.0
20140911,44858.0,44858.0,44355.0,44596.0,119665,2308,0,0,0.0
20140912,44656.0,44656.0,44461.0,44606.0,79647,2770,0,0,0.0
20140915,44464.0,44550.0,44395.0,44475.0,140582,4321,0,0,0.0
20140916,44439.0,44525.0,44122.0,44298.0,409563,9350,0,0,0.0
20140917,44474.0,44692.0,44430.0,44490.0,232840,12007,0,0,0.0
20140918,44641.0,44874.0,44551.0,44833.0,98756,11419,0,0,0.0
20140919,44999.0,45136.0,44743.0,44818.0,119344,11317,0,0,0.0
20140922,44696.0,44798.0,44541.0,44616.0,71686,11502,0,0,0.0
20140923,44651.0,44652.0,43749.0,43834.0,126949,12022,0,0,0.0
20140924,43818.0,44501.0,43759.0,44394.0,118101,11718,0,0,0.0
20140925,44378.0,44541.0,43709.0,43788.0,117029,11762,0,0,0.0
20140926,43863.0,44475.0,43729.0,44182.0,108371,11799,0,0,0.0
20140929,44156.0,44197.0,43648.0,43824.0,100963,11762,0,0,0.0
20140930,43924.0,44591.0,43890.0,44420.0,126152,12528,0,0,0.0
20141001,44338.0,44399.0,43653.0,43905.0,127066,12250,0,0,0.0
20141002,43813.0,43930.0,42583.0,42653.0,177338,12223,0,0,0.0
20141003,43011.0,43183.0,42845.0,43057.0,84289,12016,0,0,0.0
20141006,43496.0,43521.0,42911.0,43107.0,98359,12080,0,0,0.0
20141007,42946.0,42996.0,41962.0,42340.0,125509,11976,0,0,0.0
20141008,42002.0,42496.0,41800.0,41941.0,143098,11768,0,0,0.0
20141009,42174.0,42425.0,41169.0,41638.0,175774,11732,0,0,0.0
20141010,41129.0,41375.0,40881.0,40962.0,188286,11649,0,0,0.0
20141013,40544.0,41284.0,40396.0,41048.0,315434,12099,0,0,0.0
20141014,40867.0,41244.0,40376.0,41129.0,350263,12376,0,0,0.0
20141015,41034.0,41209.0,39129.0,39630.0,489594,13061,0,0,0.0
20141016,39848.0,40104.0,38170.0,39423.0,422376,13630,0,0,0.0
20141017,40585.0,40583.0,40582.0,40584.0,189377,12994,0,0,0.0
20141020,40595.0,40679.0,39870.0,40145.0,124523,13115,0,0,0.0
20141021,40020.0,41249.0,39951.0,41064.0,129082,12929,0,0,0.0
20141022,41297.0,41335.0,40880.0,41286.0,107656,12839,0,0,0.0
20141023,40989.0,41890.0,40744.0,41831.0,144017,12377,0,0,0.0
20141024,41569.0,41764.0,41435.0,41569.0,87670,12702,0,0,0.0
20141027,41826.0,42016.0,40885.0,41221.0,119406,12743,0,0,0.0
20141028,41589.0,41612.0,41309.0,41403.0,98701,12740,0,0,0.0
20141029,41594.0,41597.0,41183.0,41347.0,88301,13237,0,0,0.0
20141030,41488.0,41834.0,40789.0,41680.0,136771,13256,0,0,0.0
20141031,42260.0,42697.0,42071.0,42594.0,139195,13558,0,0,0.0
20141103,42573.0,42647.0,42116.0,42190.0,100065,13065,0,0,0.0
