Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,30700.0,30740.0,30540.0,30700.0,31626,74623,0,0,0.0
20140604,30790.0,30930.0,30640.0,30880.0,41379,67410,0,0,0.0
20140605,30910.0,31040.0,30700.0,30920.0,36076,61788,0,0,0.0
20140606,30900.0,31060.0,30580.0,30790.0,50126,46932,201409,201409,0.0
20140609,30760.0,30900.0,30580.0,30780.0,39322,92574,0,0,20.0
20140610,30900.0,30910.0,30710.0,30830.0,50982,101861,0,0,0.0
20140611,30800.0,31160.0,30530.0,31000.0,47340,105939,0,0,0.0
20140612,31070.0,31170.0,30480.0,30600.0,47456,106679,0,0,0.0
20140613,30550.0,31230.0,30530.0,31010.0,29127,110119,0,0,0.0
20140616,30930.0,31070.0,30890.0,31040.0,15238,111991,0,0,0.0
20140617,31040.0,31220.0,30890.0,31060.0,11752,113466,0,0,0.0
20140618,31060.0,31200.0,30970.0,31160.0,10881,114986,0,0,0.0
20140619,31150.0,31260.0,30950.0,31140.0,13986,115453,0,0,0.0
20140620,31060.0,31180.0,30660.0,31060.0,19276,116251,0,0,0.0
20140623,31040.0,31060.0,30740.0,30780.0,12709,115779,0,0,0.0
20140624,30760.0,30810.0,30390.0,30410.0,18993,113578,0,0,0.0
20140625,30410.0,30730.0,30380.0,30660.0,18184,113120,0,0,0.0
20140626,30680.0,30730.0,30470.0,30510.0,18702,111943,0,0,0.0
20140627,30580.0,31360.0,30580.0,31329.0,28623,112601,0,0,0.0
20140630,31270.0,31400.0,31170.0,31249.0,17827,111798,0,0,0.0
20140701,31120.0,31250.0,30940.0,31169.0,10444,110782,0,0,0.0
20140702,31160.0,31390.0,30790.0,31149.0,23533,108430,0,0,0.0
20140703,31350.0,31470.0,30950.0,31039.0,16353,106082,0,0,0.0
20140707,30980.0,31010.0,30830.0,30969.0,9478,104829,0,0,0.0
20140708,30890.0,31260.0,30860.0,31139.0,18670,104076,0,0,0.0
20140709,31160.0,31160.0,30670.0,30849.0,22182,100793,0,0,0.0
20140710,30820.0,30900.0,30530.0,30789.0,24044,99922,0,0,0.0
20140711,30760.0,30920.0,30660.0,30879.0,13212,99587,0,0,0.0
20140714,30860.0,30920.0,30730.0,30809.0,12646,99077,0,0,0.0
20140715,30810.0,31270.0,30800.0,31039.0,26919,98244,0,0,0.0
20140716,30980.0,31080.0,30490.0,30599.0,28133,96832,0,0,0.0
20140717,30580.0,30850.0,30550.0,30619.0,22254,95026,0,0,0.0
20140718,30720.0,30930.0,30620.0,30799.0,20196,94466,0,0,0.0
20140721,30800.0,31280.0,30680.0,31259.0,41451,94293,0,0,0.0
20140722,31140.0,31370.0,31130.0,31289.0,21871,93482,0,0,0.0
20140723,31280.0,32020.0,31250.0,31829.0,70628,89102,0,0,0.0
20140724,31910.0,32320.0,31870.0,31959.0,34579,88638,0,0,0.0
20140725,31950.0,32030.0,31800.0,31919.0,14724,88095,0,0,0.0
20140728,31980.0,32020.0,31580.0,31629.0,25142,84633,0,0,0.0
20140729,31690.0,31850.0,31620.0,31749.0,23227,83357,0,0,0.0
20140730,31800.0,32120.0,31780.0,32029.0,28261,81517,0,0,0.0
20140731,32080.0,32220.0,31850.0,32169.0,26709,79206,0,0,0.0
20140801,32150.0,32210.0,31520.0,32049.0,38259,69932,0,0,0.0
20140804,32040.0,32370.0,31830.0,31929.0,40731,60070,0,0,0.0
20140805,31980.0,32140.0,31680.0,31929.0,33693,53029,0,0,0.0
20140806,32010.0,32240.0,31930.0,32169.0,29522,46082,0,0,0.0
20140807,32210.0,32340.0,32070.0,32299.0,36585,39438,201412,201412,0.0
20140808,32250.0,32440.0,32080.0,32269.0,40290,122308,0,0,-140.0
20140811,32270.0,32480.0,32170.0,32329.0,39616,130685,0,0,0.0
20140812,32421.0,32560.0,32371.0,32500.0,36970,135361,0,0,0.0
20140813,32501.0,32510.0,32251.0,32430.0,28888,135799,0,0,0.0
20140814,32401.0,32600.0,32301.0,32470.0,23010,137390,0,0,0.0
20140815,32471.0,32580.0,32411.0,32550.0,12521,138867,0,0,0.0
20140818,32541.0,32811.0,32511.0,32721.0,9667,139272,0,0,0.0
20140819,32661.0,32670.0,32120.0,32159.0,24968,134962,0,0,0.0
20140820,32169.0,32670.0,32160.0,32380.0,16601,134265,0,0,0.0
20140821,32299.0,32439.0,32040.0,32119.0,13635,133353,0,0,0.0
20140822,32148.0,32278.0,31960.0,32059.0,12595,132396,0,0,0.0
20140825,32058.0,32388.0,32030.0,32310.0,5717,132996,0,0,0.0
20140826,32329.0,32418.0,32000.0,32280.0,12231,131293,0,0,0.0
20140827,32419.0,33121.0,32030.0,32230.0,17958,131656,0,0,0.0
20140828,32258.0,32539.0,32110.0,32401.0,14354,131792,0,0,0.0
20140829,32469.0,32930.0,32321.0,32411.0,29084,132913,0,0,0.0
20140902,32268.0,32348.0,31669.0,31769.0,29084,132913,0,0,0.0
20140903,31676.0,31766.0,31559.0,31578.0,15563,128869,0,0,0.0
20140904,31626.0,31696.0,31338.0,31437.0,16601,128004,0,0,0.0
20140905,31435.0,31465.0,31057.0,31136.0,22461,125734,0,0,0.0
20140908,30923.0,31023.0,30696.0,30825.0,17766,123751,0,0,0.0
