Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,102440.0,102860.0,102230.0,102660.0,367799,281888,0,0,0.0
20140604,102790.0,103690.0,102340.0,102640.0,480168,273093,0,0,0.0
20140605,102370.0,102690.0,101600.0,102480.0,437503,261735,0,0,0.0
20140606,102440.0,103070.0,102300.0,102660.0,452986,244426,0,0,0.0
20140609,102780.0,104570.0,102620.0,104410.0,643840,229052,0,0,0.0
20140610,104460.0,105060.0,103980.0,104350.0,646595,208866,201408,201408,0.0
20140611,104300.0,104810.0,104230.0,104440.0,486015,237778,0,0,-820.0
20140612,104562.0,107037.0,104411.0,106617.0,896614,252912,0,0,0.0
20140613,106921.0,107682.0,106477.0,107010.0,703991,261894,0,0,0.0
20140616,107022.0,107632.0,106860.0,107141.0,607810,270921,0,0,0.0
20140617,106861.0,107521.0,106285.0,106708.0,726432,287248,0,0,0.0
20140618,106901.0,107309.0,106194.0,106426.0,748697,303531,0,0,0.0
20140619,106538.0,107228.0,105942.0,106890.0,781559,312344,0,0,0.0
20140620,106941.0,107772.0,106648.0,107676.0,458700,309058,0,0,0.0
20140623,108271.0,108296.0,106749.0,107011.0,362722,302009,0,0,0.0
20140624,106860.0,107298.0,106084.0,106870.0,398730,299206,0,0,0.0
20140625,106981.0,108346.0,106306.0,107344.0,617233,304817,0,0,0.0
20140626,107556.0,107651.0,105863.0,106679.0,416809,300118,0,0,0.0
20140627,106478.0,107026.0,106165.0,106578.0,273667,293795,0,0,0.0
20140630,106528.0,106593.0,105490.0,106205.0,494267,288241,0,0,0.0
20140701,106276.0,106926.0,105430.0,106175.0,507443,280643,0,0,0.0
20140702,106044.0,106362.0,104926.0,105308.0,534968,266572,0,0,0.0
20140703,105097.0,105112.0,104493.0,104885.0,386105,256892,0,0,0.0
20140707,104573.0,104951.0,104009.0,104351.0,411475,241418,0,0,0.0
20140708,104210.0,105022.0,103828.0,104220.0,581928,226944,0,0,0.0
20140709,104270.0,104417.0,102659.0,103101.0,576913,208280,0,0,0.0
20140710,102758.0,103812.0,102357.0,103746.0,605227,187456,201409,201409,0.0
20140711,103675.0,103671.0,101208.0,101599.0,637532,266100,0,0,-500.0
20140714,101335.0,102071.0,101016.0,101781.0,634304,278613,0,0,0.0
20140715,101831.0,101919.0,99962.0,100819.0,839302,291362,0,0,0.0
20140716,101011.0,102213.0,100894.0,101903.0,643092,301615,0,0,0.0
20140717,102095.0,104228.0,101917.0,103524.0,1135765,316861,0,0,0.0
20140718,104090.0,104299.0,102971.0,103271.0,660072,323820,0,0,0.0
20140721,103168.0,104289.0,102799.0,104193.0,695021,342776,0,0,0.0
20140722,104090.0,104775.0,103224.0,103717.0,486834,343029,0,0,0.0
20140723,103270.0,104664.0,103113.0,104456.0,619920,332273,0,0,0.0
20140724,104526.0,104634.0,103204.0,103392.0,417636,325007,0,0,0.0
20140725,103351.0,103844.0,102313.0,103412.0,573955,315576,0,0,0.0
20140728,103179.0,103408.0,102212.0,102987.0,525943,309258,0,0,0.0
20140729,102906.0,103135.0,101675.0,102278.0,542554,307538,0,0,0.0
20140730,102329.0,102973.0,100713.0,101569.0,515748,308055,0,0,0.0
20140731,100749.0,101130.0,98869.0,99442.0,715067,290523,0,0,0.0
20140801,98956.0,99358.0,98352.0,99148.0,576815,279167,0,0,0.0
20140804,98926.0,99935.0,98696.0,99563.0,398994,262416,0,0,0.0
20140805,99676.0,99935.0,98260.0,98641.0,567327,251744,0,0,0.0
20140806,98876.0,99388.0,97946.0,98175.0,559101,238931,0,0,0.0
20140807,98137.0,98973.0,97804.0,98600.0,669428,220524,0,0,0.0
20140808,98897.0,99712.0,98412.0,98914.0,552342,200800,201410,201410,0.0
