Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,43295.0,44300.0,43055.0,43680.0,31800,95179,0,0,0.0
20140604,43735.0,43910.0,42960.0,43040.0,28283,90611,0,0,0.0
20140605,43040.0,43175.0,42720.0,42750.0,23473,87033,0,0,0.0
20140606,42775.0,42840.0,42360.0,42390.0,29023,80517,0,0,0.0
20140609,42350.0,42475.0,42035.0,42275.0,27252,75309,0,0,0.0
20140610,42275.0,43330.0,42225.0,43150.0,53326,66583,0,0,0.0
20140611,43220.0,43450.0,42540.0,42755.0,42385,59465,0,0,0.0
20140612,42690.0,43300.0,42405.0,42810.0,44081,50865,201412,201412,0.0
20140613,43000.0,43000.0,42665.0,42925.0,27664,116991,0,0,-4050.0
20140616,42917.0,43028.0,42538.0,42577.0,24463,120236,0,0,0.0
20140617,42569.0,42758.0,42041.0,42135.0,38538,121904,0,0,0.0
20140618,42072.0,42708.0,42058.0,42615.0,23986,121746,0,0,0.0
20140619,42607.0,42763.0,42069.0,42582.0,27542,123938,0,0,0.0
20140620,42585.0,42669.0,42207.0,42554.0,19149,123351,0,0,0.0
20140623,42546.0,43000.0,42362.0,42885.0,31072,121217,0,0,0.0
20140624,42805.0,42879.0,42196.0,42228.0,11546,121192,0,0,0.0
20140625,42209.0,42399.0,41450.0,41549.0,18622,119872,0,0,0.0
20140626,41414.0,41593.0,40721.0,41201.0,20171,119052,0,0,0.0
20140627,41221.0,41510.0,40992.0,41322.0,9293,119248,0,0,0.0
20140630,41249.0,41438.0,40495.0,40582.0,17615,119436,0,0,0.0
20140701,40570.0,40682.0,39887.0,40521.0,16947,120919,0,0,0.0
20140702,40515.0,40516.0,39986.0,40008.0,13869,120295,0,0,0.0
20140703,40018.0,40085.0,39511.0,39782.0,11777,120531,0,0,0.0
20140707,39742.0,39776.0,38671.0,38761.0,18308,119669,0,0,0.0
20140708,38759.0,39517.0,38583.0,38700.0,18638,118401,0,0,0.0
20140709,38781.0,39015.0,38395.0,38463.0,13523,118565,0,0,0.0
20140710,38455.0,38524.0,37843.0,37845.0,20261,118782,0,0,0.0
20140711,37853.0,38143.0,37070.0,37608.0,25498,117612,0,0,0.0
20140714,37483.0,38033.0,37473.0,37707.0,12380,118603,0,0,0.0
20140715,37676.0,37906.0,37291.0,37403.0,13762,118458,0,0,0.0
20140716,37361.0,38165.0,37236.0,37342.0,15961,118606,0,0,0.0
20140717,37355.0,37569.0,37153.0,37348.0,12452,119637,0,0,0.0
20140718,37416.0,37525.0,37170.0,37398.0,9820,120136,0,0,0.0
20140721,37399.0,37613.0,37236.0,37370.0,9955,120336,0,0,0.0
20140722,37349.0,37834.0,37385.0,37491.0,13716,120342,0,0,0.0
20140723,37515.0,37757.0,37319.0,37585.0,8865,120620,0,0,0.0
20140724,37653.0,37669.0,36275.0,36464.0,28125,121909,0,0,0.0
20140725,36461.0,36681.0,35651.0,36078.0,21511,122086,0,0,0.0
20140728,36053.0,36460.0,36087.0,36371.0,13410,123790,0,0,0.0
20140729,36423.0,36427.0,35689.0,35891.0,12803,123803,0,0,0.0
20140730,36015.0,36019.0,35225.0,35333.0,16687,122141,0,0,0.0
20140731,35297.0,35329.0,34429.0,34709.0,22598,122320,0,0,0.0
20140801,34629.0,35312.0,34263.0,34930.0,24253,120566,0,0,0.0
20140804,34922.0,35665.0,34954.0,35466.0,16044,122417,0,0,0.0
20140805,35463.0,35599.0,34982.0,35190.0,13006,119818,0,0,0.0
20140806,35193.0,35925.0,35220.0,35527.0,10777,119650,0,0,0.0
20140807,35574.0,35577.0,35214.0,35345.0,13969,118759,0,0,0.0
20140808,35397.0,35737.0,35220.0,35450.0,13064,118435,0,0,0.0
20140811,35386.0,35908.0,35380.0,35555.0,13384,117384,0,0,0.0
20140812,35601.0,35742.0,34966.0,34986.0,17596,115299,0,0,0.0
20140813,35176.0,36029.0,35060.0,35731.0,16869,115971,0,0,0.0
20140814,35883.0,35985.0,35314.0,35703.0,13325,114874,0,0,0.0
20140815,35734.0,35869.0,35441.0,35526.0,9986,114312,0,0,0.0
20140818,35740.0,35742.0,35237.0,35244.0,10049,113055,0,0,0.0
20140819,35260.0,35549.0,35292.0,35421.0,9943,111672,0,0,0.0
20140820,35415.0,36543.0,35430.0,36332.0,21035,112887,0,0,0.0
20140821,36480.0,36802.0,36076.0,36393.0,18444,111669,0,0,0.0
20140822,36370.0,36592.0,36126.0,36537.0,12150,111103,0,0,0.0
20140825,36547.0,36675.0,35916.0,36520.0,15284,111248,0,0,0.0
20140826,36492.0,36957.0,36369.0,36929.0,16411,112122,0,0,0.0
20140827,36895.0,37382.0,36783.0,37244.0,21828,112821,0,0,0.0
