Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140609,80580.0,80805.0,80425.0,80777.0,25083,11034,0,0,0.0
20140610,80750.0,80985.0,80675.0,80940.0,31128,18339,0,0,0.0
20140611,80930.0,81010.0,80785.0,80903.0,43446,30907,0,0,0.0
20140612,80880.0,80940.0,80635.0,80680.0,46901,44604,0,0,0.0
20140613,80655.0,80815.0,80550.0,80751.0,35904,51089,0,0,0.0
20140616,80730.0,80815.0,80510.0,80572.0,17433,53976,0,0,0.0
20140617,80555.0,80760.0,80485.0,80716.0,10868,54140,0,0,0.0
20140618,80700.0,80970.0,80470.0,80670.0,20346,58755,0,0,0.0
20140619,80470.0,80520.0,80240.0,80396.0,25944,57761,0,0,0.0
20140620,80370.0,80575.0,80280.0,80441.0,13837,56988,0,0,0.0
20140623,80445.0,80465.0,80315.0,80338.0,9917,57614,0,0,0.0
20140624,80355.0,80505.0,80255.0,80393.0,15570,57197,0,0,0.0
20140625,80385.0,80410.0,80140.0,80265.0,27889,56898,0,0,0.0
20140626,80255.0,80440.0,80190.0,80279.0,20058,55836,0,0,0.0
20140627,80255.0,80270.0,80060.0,80086.0,16768,57414,0,0,0.0
20140630,80075.0,80125.0,79800.0,79811.0,25013,57391,0,0,0.0
20140701,79840.0,79895.0,79770.0,79845.0,18547,56796,0,0,0.0
20140702,79860.0,80025.0,79835.0,79985.0,15273,58141,0,0,0.0
20140703,79990.0,80600.0,79975.0,80281.0,2862,53641,0,0,0.0
20140707,80330.0,80405.0,80240.0,80267.0,11043,52348,0,0,0.0
20140708,80265.0,80345.0,80190.0,80221.0,7920,52316,0,0,0.0
20140709,80195.0,80275.0,80025.0,80042.0,18857,53591,0,0,0.0
20140710,80055.0,80245.0,80020.0,80170.0,13714,53637,0,0,0.0
20140711,80185.0,80280.0,80070.0,80229.0,12232,53382,0,0,0.0
20140714,80220.0,80285.0,80120.0,80230.0,8451,53260,0,0,0.0
20140715,80210.0,80470.0,80175.0,80446.0,26378,52322,0,0,0.0
20140716,80420.0,80655.0,80420.0,80625.0,16525,51077,0,0,0.0
20140717,80595.0,80665.0,80540.0,80570.0,13449,50443,0,0,0.0
20140718,80605.0,80755.0,80545.0,80595.0,21334,51195,0,0,0.0
20140721,80580.0,80665.0,80490.0,80627.0,11545,50567,0,0,0.0
20140722,80640.0,80925.0,80610.0,80865.0,32273,55880,0,0,0.0
20140723,80870.0,80920.0,80805.0,80915.0,14156,58369,0,0,0.0
20140724,80890.0,80985.0,80815.0,80962.0,24733,60414,0,0,0.0
20140725,80945.0,81200.0,80900.0,81125.0,11595,66893,0,0,0.0
20140728,81150.0,81160.0,81065.0,81120.0,15564,68141,0,0,0.0
20140729,81090.0,81340.0,81085.0,81315.0,15564,72066,0,0,0.0
20140730,81290.0,81645.0,81280.0,81516.0,30384,73460,0,0,0.0
20140731,81500.0,81660.0,81465.0,81523.0,24424,72566,0,0,0.0
20140801,81530.0,81615.0,81265.0,81377.0,34327,76577,0,0,0.0
20140804,81395.0,81460.0,81360.0,81405.0,11718,77508,0,0,0.0
20140805,81400.0,81705.0,81370.0,81611.0,24838,79148,0,0,0.0
20140806,81615.0,81775.0,81465.0,81507.0,28561,79558,0,0,0.0
20140807,81500.0,81720.0,81450.0,81605.0,27983,81958,0,0,0.0
20140808,81625.0,81670.0,81315.0,81454.0,28237,81906,0,0,0.0
20140811,81470.0,81550.0,81465.0,81535.0,8365,81835,0,0,0.0
20140812,81535.0,81745.0,81530.0,81555.0,15603,80885,0,0,0.0
20140813,81575.0,81735.0,81415.0,81657.0,21583,81460,0,0,0.0
20140814,81665.0,81760.0,81450.0,81647.0,19098,80422,0,0,0.0
20140815,81650.0,81675.0,81420.0,81469.0,23267,78193,0,0,0.0
20140818,81500.0,81660.0,81430.0,81631.0,11791,79008,0,0,0.0
20140819,81650.0,81955.0,81640.0,81937.0,24959,85429,0,0,0.0
