Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,249412.5,249412.5,249412.5,249412.5,2830802,737044,0,0,0.0
20140604,249400.0,249400.0,249400.0,249400.0,2444899,720265,0,0,0.0
20140605,249425.0,249425.0,249425.0,249425.0,3000303,722768,0,0,0.0
20140606,249400.0,249413.0,249400.0,249413.0,1798399,733838,0,0,0.0
20140609,249400.0,249413.0,249400.0,249413.0,2402101,735380,0,0,0.0
20140610,249400.0,249400.0,249400.0,249400.0,1971501,741252,0,0,0.0
20140611,249400.0,249400.0,249400.0,249400.0,4249198,743668,0,0,0.0
20140612,249400.0,249400.0,249400.0,249400.0,3409496,744512,0,0,0.0
20140613,249388.0,249388.0,249388.0,249388.0,1967297,763364,0,0,0.0
20140616,249388.0,249388.0,249388.0,249388.0,3503901,775538,0,0,0.0
20140617,249375.0,249375.0,249375.0,249375.0,5090300,791478,0,0,0.0
20140618,249375.0,249375.0,249375.0,249375.0,3387300,795546,0,0,0.0
20140619,249400.0,249400.0,249400.0,249400.0,1970299,804303,0,0,0.0
20140620,249400.0,249400.0,249400.0,249400.0,1623401,800377,0,0,0.0
20140623,249400.0,249400.0,249400.0,249400.0,2158201,803461,0,0,0.0
20140624,249400.0,249400.0,249400.0,249400.0,2821699,807449,0,0,0.0
20140625,249388.0,249413.0,249388.0,249400.0,2351400,808843,0,0,0.0
20140626,249401.0,249400.0,249401.0,249400.0,1699097,810208,0,0,0.0
20140627,249414.0,249413.0,249414.0,249413.0,1461598,816259,0,0,0.0
20140630,249414.0,249413.0,249414.0,249413.0,2204400,814454,0,0,0.0
20140701,249401.0,249400.0,249401.0,249400.0,3090501,805637,0,0,0.0
20140702,249401.0,249400.0,249401.0,249400.0,3762500,816309,0,0,0.0
20140703,249401.0,249400.0,249401.0,249400.0,1315602,816309,0,0,0.0
20140707,249401.0,249400.0,249401.0,249400.0,1862299,815404,0,0,0.0
20140708,249401.0,249400.0,249401.0,249400.0,4547002,814627,0,0,0.0
