Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,96075.0,96162.5,95800.0,96100.0,965833,2999092,0,0,0.0
20140604,96138.0,96350.0,95800.0,96288.0,936202,3004762,0,0,0.0
20140605,96276.0,97038.0,96050.0,96926.0,1707770,3004963,201409,201409,0.0
20140606,96926.0,97513.0,96900.0,97489.0,1239600,139578,0,0,-387.5
20140609,97491.0,97751.0,97314.0,97527.0,1108399,197991,0,0,0.0
20140610,97478.0,97600.0,97176.0,97552.0,1207062,328900,0,0,0.0
20140611,97566.0,97562.0,96963.0,97226.0,1668880,590839,0,0,0.0
20140612,97227.0,97411.0,96260.0,96548.0,2436892,997767,0,0,0.0
20140613,96562.0,96871.0,96335.0,96799.0,2470761,1494709,0,0,0.0
20140616,96788.0,97059.0,96335.0,96849.0,2606798,1991427,0,0,0.0
20140617,96838.0,97172.0,96573.0,97075.0,2700216,2500698,0,0,0.0
20140618,97064.0,97900.0,96849.0,97841.0,2282663,2728287,0,0,0.0
20140619,97792.0,98000.0,97589.0,97904.0,1793623,2802321,0,0,0.0
20140620,97842.0,98226.0,97802.0,98055.0,1162495,2821923,0,0,0.0
20140623,98030.0,98377.0,97890.0,98042.0,1024997,2853357,0,0,0.0
20140624,97955.0,98390.0,97375.0,97553.0,1533819,2855130,0,0,0.0
20140625,97503.0,98051.0,97250.0,97867.0,1533790,2872653,0,0,0.0
20140626,97829.0,98013.0,97200.0,97829.0,1487894,2868132,0,0,0.0
20140627,97804.0,98088.0,97526.0,97992.0,1179527,2891207,0,0,0.0
20140630,97980.0,98226.0,97790.0,98017.0,1156960,2925452,0,0,0.0
20140701,98118.0,98979.0,98066.0,98682.0,1457046,2929352,0,0,0.0
20140702,98708.0,98891.0,98618.0,98782.0,922515,2915129,0,0,0.0
20140703,98796.0,99305.0,98693.0,99271.0,847893,2906788,0,0,0.0
20140707,99185.0,99267.0,98756.0,98945.0,1154378,2904863,0,0,0.0
20140708,98921.0,98928.0,98028.0,98418.0,1778822,2915133,0,0,0.0
20140709,98419.0,98803.0,98304.0,98757.0,1394269,2915996,0,0,0.0
20140710,98770.0,98803.0,97651.0,98280.0,1976988,2908909,0,0,0.0
20140711,98255.0,98565.0,98040.0,98518.0,1367021,2880205,0,0,0.0
20140714,98531.0,99092.0,98517.0,98945.0,1007302,2909158,0,0,0.0
20140715,98958.0,99205.0,98329.0,98794.0,1908357,2918047,0,0,0.0
20140716,98795.0,99293.0,98743.0,99133.0,1321881,2927567,0,0,0.0
20140717,98958.0,99193.0,97814.0,98066.0,2445476,2941204,0,0,0.0
20140718,97854.0,99105.0,97513.0,98970.0,1801020,2949424,0,0,0.0
20140721,98908.0,98967.0,98341.0,98706.0,1417464,2936374,0,0,0.0
20140722,98682.0,99419.0,98655.0,99145.0,1277033,2934875,0,0,0.0
20140723,99046.0,99570.0,99031.0,99434.0,1151880,2941364,0,0,0.0
20140724,99448.0,99683.0,99232.0,99434.0,1168421,2943169,0,0,0.0
20140725,99335.0,99432.0,98793.0,98970.0,1428893,2929174,0,0,0.0
20140728,98933.0,99194.0,98429.0,99045.0,2996000,2938486,0,0,0.0
20140729,99021.0,99370.0,98492.0,98543.0,1511506,2944211,0,0,0.0
20140730,98607.0,99106.0,98216.0,98643.0,1773355,2928531,0,0,0.0
20140731,98645.0,98667.0,96559.0,96622.0,2780101,2936401,0,0,0.0
20140801,96687.0,96998.0,95894.0,96308.0,2894821,2901142,0,0,0.0
20140804,96361.0,97262.0,96120.0,96986.0,1608213,2896652,0,0,0.0
20140805,96938.0,97049.0,95756.0,96032.0,2141576,2897573,0,0,0.0
20140806,96122.0,96560.0,95530.0,96120.0,1708231,2891258,0,0,0.0
20140807,96122.0,96673.0,95367.0,95643.0,1957809,2916013,0,0,0.0
20140808,95645.0,96799.0,94890.0,96572.0,1911135,2901948,0,0,0.0
20140811,96561.0,97439.0,96547.0,97011.0,1185144,2910845,0,0,0.0
20140812,97088.0,97326.0,96560.0,96911.0,1236601,2920411,0,0,0.0
20140813,97000.0,97715.0,96924.0,97626.0,1123301,2932233,0,0,0.0
20140814,97690.0,98129.0,97489.0,98065.0,970286,2947976,0,0,0.0
20140815,98104.0,98443.0,97251.0,98015.0,1827181,2930057,0,0,0.0
20140818,98179.0,98845.0,98180.0,98768.0,895251,2935727,0,0,0.0
20140819,98819.0,99385.0,98808.0,99257.0,870648,2960508,0,0,0.0
20140820,99283.0,99699.0,99046.0,99558.0,1066950,2954359,0,0,0.0
20140821,99534.0,100000.0,99435.0,99872.0,844354,2962627,0,0,0.0
20140822,99885.0,99975.0,99473.0,99784.0,1119479,2959504,0,0,0.0
20140825,99898.0,100389.0,99837.0,100148.0,858918,2972614,0,0,0.0
20140826,100124.0,100540.0,100013.0,100324.0,885867,2973216,0,0,0.0
20140827,100362.0,100427.0,100076.0,100249.0,765390,2996449,0,0,0.0
20140828,100237.0,100352.0,99775.0,100236.0,1102030,3004649,0,0,0.0
20140829,100363.0,100590.0,100013.0,100474.0,1046601,3011118,0,0,0.0
20140902,100350.0,100716.0,100038.0,100386.0,1046601,3011118,0,0,0.0
20140903,100425.0,100954.0,100214.0,100336.0,1325638,3009547,0,0,0.0
20140904,100337.0,100904.0,99938.0,100286.0,1564558,3005614,0,0,0.0
20140905,100350.0,100791.0,99812.0,100700.0,1737635,2989310,201412,201412,0.0
20140908,100727.0,100728.0,100126.0,100449.0,1275452,185494,0,0,-425.0
20140909,100450.0,100577.0,99584.0,99907.0,1854798,225390,0,0,0.0
20140910,99908.0,100237.0,99508.0,100172.0,1874889,423177,0,0,0.0
20140911,100160.0,100388.0,99684.0,100273.0,2546699,945046,0,0,0.0
20140912,100387.0,100401.0,99382.0,99655.0,3116319,1556670,0,0,0.0
20140915,99505.0,99771.0,99218.0,99617.0,2596884,2018909,0,0,0.0
20140916,99656.0,100552.0,99331.0,100398.0,2966696,2509195,0,0,0.0
20140917,100400.0,100993.0,99986.0,100511.0,2664271,2714990,0,0,0.0
20140918,100602.0,101169.0,100478.0,101053.0,1736991,2796367,0,0,0.0
20140919,101131.0,101560.0,100743.0,101015.0,1671974,2794169,0,0,0.0
20140922,100929.0,101157.0,99911.0,100133.0,1580080,2785075,0,0,0.0
20140923,100022.0,100224.0,99230.0,99427.0,1633127,2795261,0,0,0.0
20140924,99304.0,100451.0,99293.0,100372.0,1567830,2810957,0,0,0.0
20140925,100363.0,100401.0,98701.0,98885.0,2320691,2797856,0,0,0.0
20140926,98863.0,99783.0,98638.0,99616.0,1682774,2793774,0,0,0.0
20140929,99556.0,99670.0,98588.0,99288.0,1789078,2802910,0,0,0.0
20140930,99254.0,99733.0,98853.0,99086.0,1993482,2794635,0,0,0.0
20141001,98863.0,99166.0,97492.0,97838.0,2454745,2790666,0,0,0.0
20141002,97842.0,98095.0,96711.0,97725.0,2725793,2751445,0,0,0.0
20141003,97729.0,99040.0,97593.0,98821.0,1559239,2738142,0,0,0.0
20141006,98863.0,99368.0,98337.0,98607.0,1730376,2745847,0,0,0.0
20141007,98472.0,98624.0,97026.0,97195.0,2168572,2769360,0,0,0.0
20141008,97111.0,99015.0,96698.0,98896.0,2527103,2735211,0,0,0.0
20141009,98888.0,99242.0,96559.0,97043.0,3107987,2726452,0,0,0.0
20141010,96645.0,97364.0,95450.0,95493.0,3073378,2749030,0,0,0.0
20141013,95385.0,96091.0,93988.0,94044.0,2954286,2823640,0,0,0.0
20141014,94087.0,95423.0,94013.0,94510.0,3121038,2820880,0,0,0.0
20141015,94692.0,94944.0,91404.0,93098.0,4674542,2891394,0,0,0.0
20141016,93104.0,94263.0,91517.0,93287.0,3372120,2822638,0,0,0.0
20141017,93419.0,95372.0,93319.0,94825.0,2585457,2819776,0,0,0.0
20141020,94982.0,95914.0,94390.0,95783.0,1656326,2799510,0,0,0.0
20141021,95965.0,97779.0,95071.0,97699.0,2244673,2816714,0,0,0.0
20141022,97717.0,97993.0,96810.0,97044.0,2028141,2828457,0,0,0.0
20141023,97024.0,98623.0,96911.0,98103.0,2019894,2844152,0,0,0.0
20141024,98108.0,98837.0,97390.0,98796.0,1604778,2829899,0,0,0.0
20141027,98826.0,99102.0,98033.0,98657.0,1459135,2833776,0,0,0.0
20141028,98700.0,99858.0,98651.0,99816.0,1576874,2856633,0,0,0.0
20141029,99620.0,100110.0,98916.0,99425.0,1902781,2854076,0,0,0.0
20141030,99406.0,100539.0,98777.0,100244.0,1987689,2883991,0,0,0.0
20141031,100213.0,101673.0,100163.0,101403.0,1930149,2822107,0,0,0.0
20141103,101398.0,101799.0,101184.0,101378.0,1366371,2813514,0,0,0.0
20141104,101360.0,101522.0,100592.0,101101.0,1527003,2837987,0,0,0.0
20141105,101146.0,101862.0,101021.0,101769.0,1577952,2856834,0,0,0.0
20141106,101764.0,102303.0,101374.0,102235.0,1437130,2863233,0,0,0.0
20141107,102205.0,102517.0,101866.0,102134.0,1287793,2851049,0,0,0.0
20141110,102129.0,102593.0,101891.0,102537.0,970085,2863436,0,0,0.0
20141111,102532.0,102795.0,102395.0,102663.0,784617,2868786,0,0,0.0
20141112,102671.0,102707.0,102181.0,102638.0,1097673,2922873,0,0,0.0
20141113,102583.0,103035.0,102181.0,102537.0,1547071,2937647,0,0,0.0
20141114,102495.0,102833.0,102446.0,102739.0,1057098,2924312,0,0,0.0
20141117,102772.0,102871.0,102106.0,102827.0,1072453,2924341,0,0,0.0
20141118,102810.0,103552.0,102635.0,103268.0,1162728,2934115,0,0,0.0
20141119,103289.0,103376.0,102736.0,103205.0,1204203,2933002,0,0,0.0
20141120,103201.0,103489.0,102610.0,103444.0,1144673,2959677,0,0,0.0
20141121,103466.0,104472.0,103341.0,103936.0,1655583,2957158,0,0,0.0
20141124,103970.0,104308.0,103896.0,104226.0,802003,2958213,0,0,0.0
20141125,104222.0,104510.0,103997.0,104226.0,986806,2955905,0,0,0.0
20141126,104272.0,104623.0,104123.0,104465.0,750554,2945186,0,0,0.0
20141128,104562.0,104598.0,104035.0,104163.0,791076,2959182,0,0,0.0
20141201,104020.0,104056.0,103266.0,103382.0,1485197,2948066,0,0,0.0
20141202,103402.0,104258.0,103392.0,104151.0,1168103,2962937,0,0,0.0
20141203,104183.0,104661.0,104022.0,104479.0,953936,2944324,0,0,0.0
