Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,119421.9,119453.1,119164.1,119203.1,732954,1970658,0,0,0.0
20140604,119180.0,119328.0,119094.0,119180.0,665332,1946212,0,0,0.0
20140605,119219.0,119414.0,119055.0,119274.0,775573,1935579,0,0,0.0
20140606,119282.0,119492.0,119110.0,119133.0,828680,1980090,0,0,0.0
20140609,119157.0,119156.0,118907.0,118961.0,487289,2018322,0,0,0.0
20140610,118985.0,119039.0,118790.0,118844.0,545815,2036261,0,0,0.0
20140611,118813.0,118992.0,118743.0,118914.0,607841,2034152,0,0,0.0
20140612,118899.0,119187.0,118798.0,119117.0,693836,2040725,0,0,0.0
20140613,118954.0,118984.0,118704.0,118930.0,707717,2047271,0,0,0.0
20140616,118938.0,119000.0,118845.0,118891.0,428598,2048195,0,0,0.0
20140617,118891.0,118938.0,118611.0,118625.0,745750,2083522,0,0,0.0
20140618,118625.0,119094.0,118564.0,118797.0,970144,2073238,0,0,0.0
20140619,119016.0,119164.0,118830.0,118953.0,790487,2076209,0,0,0.0
20140620,118993.0,119055.0,118791.0,118898.0,471227,2076108,0,0,0.0
20140623,118977.0,119016.0,118846.0,118859.0,384128,2091883,0,0,0.0
20140624,118860.0,119047.0,118822.0,118992.0,608630,2097271,0,0,0.0
20140625,119040.0,119336.0,118986.0,119156.0,713975,2069896,0,0,0.0
20140626,119134.0,119391.0,119072.0,119351.0,646225,2046104,0,0,0.0
20140627,119314.0,119493.0,119314.0,119390.0,475984,2017580,0,0,0.0
20140630,119400.0,119470.0,119314.0,119460.0,512673,2019441,0,0,0.0
20140701,119431.0,119462.0,119259.0,119304.0,452251,2035624,0,0,0.0
20140702,119283.0,119329.0,119009.0,119015.0,671757,2033325,0,0,0.0
20140703,119049.0,119095.0,118626.0,118859.0,760060,2053386,0,0,0.0
20140707,118799.0,118884.0,118689.0,118867.0,393344,2074971,0,0,0.0
20140708,118869.0,119142.0,118822.0,119047.0,590578,2088612,0,0,0.0
20140709,119064.0,119197.0,118767.0,119156.0,800390,2116163,0,0,0.0
20140710,119166.0,119541.0,119150.0,119312.0,989673,2107139,0,0,0.0
20140711,119283.0,119455.0,119213.0,119351.0,436739,2108771,0,0,0.0
20140714,119361.0,119369.0,119166.0,119187.0,320814,2128791,0,0,0.0
20140715,119205.0,119385.0,119017.0,119078.0,865735,2147058,0,0,0.0
20140716,119096.0,119166.0,118970.0,119023.0,490425,2154059,0,0,0.0
20140717,119065.0,119447.0,119056.0,119265.0,842581,2179868,0,0,0.0
20140718,119409.0,119494.0,119142.0,119187.0,573047,2154337,0,0,0.0
20140721,119143.0,119275.0,119087.0,119093.0,487193,2153157,0,0,0.0
20140722,119127.0,119275.0,119024.0,119241.0,656725,2163575,0,0,0.0
20140723,119252.0,119338.0,119212.0,119288.0,400756,2145826,0,0,0.0
20140724,119307.0,119322.0,118985.0,119046.0,630382,2159682,0,0,0.0
20140725,119073.0,119189.0,118961.0,119163.0,536425,2138328,0,0,0.0
20140728,119136.0,119166.0,118992.0,119038.0,666030,2153985,0,0,0.0
20140729,119042.0,119182.0,118984.0,119147.0,666660,2124076,0,0,0.0
20140730,119136.0,119143.0,118609.0,118803.0,1144319,2127914,0,0,0.0
20140731,118823.0,118893.0,118625.0,118834.0,1008380,2171101,0,0,0.0
20140801,118870.0,119401.0,118773.0,119303.0,1394863,2182285,0,0,0.0
20140804,119284.0,119456.0,119250.0,119365.0,485999,2171643,0,0,0.0
20140805,119409.0,119464.0,119188.0,119326.0,627961,2143058,0,0,0.0
20140806,119323.0,119542.0,119282.0,119404.0,690433,2157490,0,0,0.0
20140807,119417.0,119690.0,119352.0,119646.0,685466,2156311,0,0,0.0
20140808,119644.0,119987.0,119532.0,119607.0,866496,2142457,0,0,0.0
20140811,119535.0,119635.0,119462.0,119591.0,467872,2146510,0,0,0.0
20140812,119574.0,119666.0,119525.0,119607.0,532330,2134873,0,0,0.0
20140813,119598.0,119838.0,119470.0,119802.0,658654,2105542,0,0,0.0
20140814,119793.0,119971.0,119743.0,119841.0,761429,2096586,0,0,0.0
20140815,119816.0,120221.0,119782.0,119982.0,903071,2110915,0,0,0.0
20140818,119972.0,119987.0,119805.0,119873.0,425186,2111260,0,0,0.0
20140819,119839.0,120003.0,119789.0,119811.0,442204,2114133,0,0,0.0
20140820,119831.0,119847.0,119508.0,119553.0,844244,2075119,0,0,0.0
20140821,119573.0,119675.0,119500.0,119584.0,751642,2059612,201412,201412,0.0
20140822,119581.0,119722.0,119313.0,119420.0,1016631,188824,0,0,-898.4
20140825,119424.0,119494.0,119337.0,119381.0,1270662,453297,0,0,0.0
20140826,119408.0,119541.0,119392.0,119468.0,2450976,1011597,0,0,0.0
20140827,119471.0,119636.0,119455.0,119586.0,2737491,1648072,0,0,0.0
20140828,119613.0,119762.0,119589.0,119704.0,1681279,1965195,0,0,0.0
20140829,119723.0,119778.0,119621.0,119735.0,851367,2030220,0,0,0.0
20140902,119699.0,119723.0,119424.0,119428.0,851367,2030220,0,0,0.0
20140903,119447.0,119503.0,119180.0,119420.0,751278,2050301,0,0,0.0
20140904,119486.0,119645.0,119243.0,119302.0,890508,2080348,0,0,0.0
20140905,119329.0,119771.0,119196.0,119467.0,992806,2071442,0,0,0.0
20140908,119431.0,119621.0,119290.0,119317.0,637590,2060918,0,0,0.0
20140909,119266.0,119290.0,119046.0,119097.0,856227,2108015,0,0,0.0
20140910,119085.0,119140.0,118952.0,119010.0,718348,2111007,0,0,0.0
20140911,118983.0,119171.0,118952.0,119018.0,736271,2127323,0,0,0.0
