Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,124410.0,124790.0,124020.0,124450.0,92361,250061,0,0,0.0
20140604,124490.0,124950.0,124280.0,124430.0,80368,252124,0,0,0.0
20140605,124430.0,125790.0,124120.0,125330.0,129522,249276,0,0,0.0
20140606,125370.0,125820.0,124570.0,125250.0,118078,252018,0,0,0.0
20140609,125300.0,125730.0,125160.0,125390.0,57779,251307,0,0,0.0
20140610,125270.0,126380.0,125010.0,126010.0,130044,249699,0,0,0.0
20140611,126030.0,126550.0,125790.0,126120.0,81798,249355,0,0,0.0
20140612,126110.0,127510.0,126000.0,127400.0,120582,251278,0,0,0.0
20140613,127340.0,127810.0,127090.0,127410.0,87034,249165,0,0,0.0
20140616,127680.0,128510.0,127050.0,127530.0,101463,248682,0,0,0.0
20140617,127180.0,127350.0,125800.0,127200.0,116630,249672,0,0,0.0
20140618,127210.0,127920.0,126650.0,127270.0,89610,250596,0,0,0.0
20140619,127820.0,132200.0,127620.0,131410.0,245499,257124,0,0,0.0
20140620,132030.0,132250.0,130710.0,131660.0,172822,256218,0,0,0.0
20140623,131490.0,131920.0,131040.0,131840.0,125001,253112,0,0,0.0
20140624,131810.0,132660.0,131450.0,132130.0,127692,254362,0,0,0.0
20140625,131890.0,132560.0,130540.0,132260.0,148679,255184,0,0,0.0
20140626,131870.0,132060.0,130680.0,131700.0,141370,255792,0,0,0.0
20140627,131710.0,132310.0,131320.0,132000.0,111100,257015,0,0,0.0
20140630,131680.0,133040.0,131100.0,132200.0,134469,256718,0,0,0.0
20140701,132750.0,133490.0,132400.0,132660.0,127996,255735,0,0,0.0
20140702,132710.0,133320.0,132210.0,133090.0,125240,255925,0,0,0.0
20140703,132840.0,132900.0,130940.0,132060.0,165706,253003,0,0,0.0
20140707,132140.0,132410.0,131210.0,131700.0,125688,252380,0,0,0.0
20140708,132080.0,132570.0,131430.0,131650.0,163994,241379,0,0,0.0
20140709,132040.0,133340.0,131870.0,132430.0,214930,227405,0,0,0.0
20140710,132500.0,134680.0,132500.0,133920.0,219060,220001,0,0,0.0
20140711,133650.0,134040.0,133460.0,133740.0,121249,205748,0,0,0.0
20140714,133950.0,134090.0,130220.0,130670.0,240101,188701,0,0,0.0
20140715,130910.0,131440.0,129260.0,129710.0,203408,172942,0,0,0.0
20140716,129520.0,130420.0,129350.0,129980.0,147394,162395,0,0,0.0
20140717,130030.0,132590.0,129810.0,131690.0,195515,159468,0,0,0.0
20140718,131910.0,132550.0,130500.0,130940.0,144361,145954,0,0,0.0
20140721,131130.0,131900.0,130790.0,131390.0,105546,137000,201410,201410,0.0
20140722,131240.0,131570.0,130210.0,130620.0,144515,19778,0,0,90.0
20140723,130860.0,131140.0,130380.0,130470.0,108431,19891,0,0,0.0
