Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,79187.5,79225.0,78187.5,78425.0,48413,87230,0,0,0.0
20140604,78488.0,78563.0,77113.0,77325.0,66394,87623,0,0,0.0
20140605,77325.0,77688.0,76925.0,77263.0,63190,84411,0,0,0.0
20140606,77313.0,77350.0,75650.0,76275.0,106078,76880,0,0,0.0
20140609,76450.0,76488.0,75463.0,76088.0,89608,68324,0,0,0.0
20140610,76275.0,76501.0,75538.0,76326.0,71537,64012,0,0,0.0
20140611,76388.0,76751.0,75776.0,76013.0,79726,61559,0,0,0.0
20140612,75913.0,76188.0,75213.0,75388.0,100448,56302,0,0,0.0
20140613,75375.0,76075.0,75351.0,75738.0,63392,51690,0,0,0.0
20140616,75638.0,76500.0,75551.0,76251.0,54285,45666,0,0,0.0
20140617,76201.0,76663.0,76039.0,76526.0,45102,44095,0,0,0.0
20140618,76539.0,76888.0,76252.0,76501.0,49210,40980,0,0,0.0
20140619,76652.0,76988.0,76089.0,76964.0,55801,35810,201409,201409,0.0
20140620,76877.0,78113.0,76802.0,77952.0,72357,77804,0,0,-125.0
20140623,77791.0,79002.0,77791.0,78678.0,84872,81476,0,0,0.0
20140624,78755.0,78902.0,78267.0,78753.0,71801,84569,0,0,0.0
20140625,78580.0,79353.0,78204.0,79279.0,86359,90656,0,0,0.0
20140626,79294.0,79541.0,78893.0,79429.0,78608,95473,0,0,0.0
20140627,79432.0,79867.0,79181.0,79329.0,57180,99626,0,0,0.0
20140630,79257.0,80393.0,79181.0,80218.0,49842,103234,0,0,0.0
20140701,80209.0,80468.0,79982.0,80231.0,41744,104298,0,0,0.0
20140702,80234.0,81795.0,79707.0,81758.0,59809,111067,0,0,0.0
20140703,81611.0,82183.0,81297.0,82121.0,54063,110975,0,0,0.0
20140707,81987.0,82283.0,81059.0,81658.0,52566,115238,0,0,0.0
20140708,81599.0,82483.0,81347.0,81558.0,53660,115991,0,0,0.0
20140709,81674.0,82020.0,81284.0,81333.0,48247,118683,0,0,0.0
20140710,81474.0,82045.0,80958.0,81809.0,50518,123349,0,0,0.0
20140711,81912.0,81995.0,81296.0,81859.0,48030,123123,0,0,0.0
20140714,81899.0,82496.0,81221.0,81358.0,46826,122169,0,0,0.0
20140715,81473.0,81657.0,80720.0,81371.0,52538,124531,0,0,0.0
20140716,81310.0,81532.0,80369.0,80495.0,48918,122042,0,0,0.0
20140717,80534.0,80781.0,80181.0,80645.0,46151,124631,0,0,0.0
20140718,80547.0,80606.0,79317.0,79744.0,50619,119771,0,0,0.0
20140721,79821.0,80230.0,79467.0,80107.0,44652,118420,0,0,0.0
20140722,80084.0,81031.0,80030.0,80332.0,48903,119985,0,0,0.0
20140723,80272.0,80580.0,79930.0,80307.0,37207,116809,0,0,0.0
20140724,80285.0,81857.0,80180.0,81797.0,71826,118053,0,0,0.0
20140725,81750.0,82107.0,81081.0,81146.0,47043,115045,0,0,0.0
20140728,81312.0,81431.0,80781.0,81221.0,41424,112789,0,0,0.0
20140729,81249.0,81494.0,80493.0,80607.0,41583,109597,0,0,0.0
20140730,80635.0,81694.0,80255.0,81170.0,47294,107830,0,0,0.0
20140731,81211.0,81569.0,80756.0,80907.0,50218,106094,0,0,0.0
20140801,80898.0,81519.0,80380.0,80494.0,53454,103101,0,0,0.0
20140804,80485.0,81456.0,80117.0,81233.0,55880,105191,0,0,0.0
20140805,81311.0,81368.0,80029.0,80244.0,62291,100005,0,0,0.0
20140806,80184.0,80304.0,79052.0,79280.0,69181,91816,0,0,0.0
20140807,79295.0,79778.0,79065.0,79530.0,86023,80250,0,0,0.0
20140808,79445.0,79728.0,79140.0,79467.0,63604,69456,0,0,0.0
20140811,79683.0,81306.0,79390.0,79492.0,67149,62576,0,0,0.0
20140812,79520.0,79854.0,78751.0,78991.0,73885,57168,0,0,0.0
20140813,78919.0,79065.0,77862.0,77927.0,91284,51254,0,0,0.0
20140814,77930.0,78126.0,77186.0,77401.0,60524,46547,0,0,0.0
20140815,77254.0,77863.0,77236.0,77701.0,51230,44159,0,0,0.0
20140818,77705.0,78289.0,77474.0,77851.0,51535,42417,0,0,0.0
20140819,77905.0,78176.0,77274.0,77338.0,47669,41121,0,0,0.0
20140820,77317.0,79591.0,77224.0,79554.0,91356,31641,0,0,0.0
20140821,79383.0,79741.0,78864.0,79529.0,55266,26492,201412,201412,0.0
20140822,79483.0,80430.0,79390.0,80268.0,54971,88755,0,0,437.5
20140825,80267.0,80841.0,80075.0,80617.0,32423,92917,0,0,0.0
20140826,80641.0,80667.0,79826.0,80007.0,53719,96902,0,0,0.0
20140827,79969.0,80082.0,79340.0,79658.0,57004,100839,0,0,0.0
20140828,79521.0,79895.0,78257.0,78463.0,52370,99094,0,0,0.0
