Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,121060.8,121107.0,120136.8,120363.6,125625,80868,0,0,0.0
20140604,120435.0,120931.0,119574.0,119620.0,131176,83234,0,0,0.0
20140605,119704.0,121128.0,119511.0,120947.0,109470,83404,0,0,0.0
20140606,121023.0,121548.0,120191.0,120590.0,103812,80622,0,0,0.0
20140609,120754.0,121922.0,120447.0,121430.0,116844,74209,0,0,0.0
20140610,121304.0,121691.0,120489.0,121132.0,114741,67921,201408,201408,0.0
20140611,121102.0,121972.0,121022.0,121846.0,107605,47057,0,0,415.8
20140612,121768.0,125643.0,121717.0,125354.0,182888,51662,0,0,0.0
20140613,125397.0,126836.0,124952.0,125333.0,134996,53876,0,0,0.0
20140616,125569.0,126103.0,125165.0,125798.0,112031,55363,0,0,0.0
20140617,125690.0,126915.0,124935.0,126652.0,127452,58037,0,0,0.0
20140618,126602.0,127827.0,126413.0,127552.0,107958,64159,0,0,0.0
20140619,127548.0,128848.0,127363.0,128079.0,128512,67115,0,0,0.0
20140620,127992.0,128279.0,127572.0,128020.0,103723,70901,0,0,0.0
20140623,128164.0,128672.0,126806.0,127267.0,111608,78139,0,0,0.0
20140624,127406.0,128182.0,126890.0,127623.0,121998,84020,0,0,0.0
20140625,127536.0,128010.0,126555.0,127075.0,118563,86988,0,0,0.0
20140626,127452.0,127453.0,126220.0,126351.0,93284,89524,0,0,0.0
20140627,126397.0,126875.0,125617.0,125719.0,117910,87464,0,0,0.0
20140630,125652.0,125703.0,124416.0,124539.0,108600,86200,0,0,0.0
20140701,124627.0,124878.0,124090.0,124660.0,134100,85375,0,0,0.0
20140702,124434.0,124773.0,122981.0,123316.0,132405,82737,0,0,0.0
20140703,123032.0,123057.0,122416.0,122575.0,114944,76201,0,0,0.0
20140707,122124.0,122777.0,121529.0,121993.0,102248,71473,0,0,0.0
20140708,121701.0,121818.0,120131.0,120281.0,150503,64093,0,0,0.0
20140709,120621.0,120621.0,119650.0,120176.0,125240,65215,0,0,0.0
20140710,120295.0,121667.0,119817.0,121105.0,126731,64649,201409,201409,0.0
20140711,121320.0,121320.0,119352.0,119791.0,143888,70260,0,0,483.0
20140714,120069.0,120795.0,119673.0,120300.0,135868,72531,0,0,0.0
20140715,120298.0,120299.0,118414.0,119595.0,182726,72280,0,0,0.0
20140716,119598.0,120116.0,119323.0,119658.0,117546,74102,0,0,0.0
20140717,119661.0,120362.0,119281.0,119741.0,145701,76601,0,0,0.0
20140718,120332.0,120395.0,118977.0,119124.0,108631,79787,0,0,0.0
20140721,119206.0,119878.0,119010.0,119695.0,106509,83499,0,0,0.0
20140722,119685.0,120445.0,119018.0,119382.0,134068,86782,0,0,0.0
20140723,119172.0,120695.0,118910.0,120303.0,114306,88069,0,0,0.0
20140724,120556.0,120662.0,119810.0,120032.0,143603,94788,0,0,0.0
