Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,64518.75,65381.25,62756.25,64181.25,36235,63237,0,0,0.0
20140604,64125.0,64406.0,62756.0,63825.0,20574,61764,0,0,0.0
20140605,63375.0,64125.0,63000.0,63431.0,22636,59519,0,0,0.0
20140606,63225.0,65175.0,63094.0,64537.0,33021,55218,0,0,0.0
20140609,64481.0,64481.0,61913.0,62006.0,32162,49887,0,0,0.0
20140610,62006.0,62944.0,61913.0,62118.0,36407,45498,201409,201409,0.0
20140611,62475.0,65157.0,62382.0,64462.0,46437,67567,0,0,900.0
20140612,64323.0,65065.0,63158.0,64610.0,53278,73758,0,0,0.0
20140613,64600.0,67469.0,64452.0,65257.0,46331,77974,0,0,0.0
20140616,65136.0,66359.0,64637.0,65017.0,23360,79280,0,0,0.0
20140617,64877.0,65009.0,62696.0,63593.0,39014,80074,0,0,0.0
20140618,63713.0,64158.0,62437.0,62816.0,26160,82979,0,0,0.0
20140619,62807.0,63104.0,61568.0,62539.0,31910,85900,0,0,0.0
20140620,62899.0,66156.0,62880.0,64906.0,16618,86041,0,0,0.0
20140623,64692.0,65823.0,64691.0,65609.0,19367,85423,0,0,0.0
20140624,65727.0,66008.0,63767.0,65184.0,12183,84806,0,0,0.0
20140625,65117.0,67802.0,64654.0,67329.0,13791,85472,0,0,0.0
20140626,67150.0,67284.0,66170.0,66885.0,10248,85887,0,0,0.0
20140627,67261.0,68394.0,63434.0,63815.0,21704,85516,0,0,0.0
20140630,63952.0,64861.0,62843.0,64758.0,15415,84879,0,0,0.0
20140701,64765.0,64824.0,62825.0,63223.0,14123,83723,0,0,0.0
20140702,63212.0,64473.0,63139.0,64092.0,11914,83140,0,0,0.0
20140703,64321.0,64880.0,63453.0,63537.0,9650,82811,0,0,0.0
20140707,63508.0,63918.0,61401.0,63278.0,21657,82411,0,0,0.0
20140708,63434.0,64510.0,62769.0,63962.0,16762,81788,0,0,0.0
20140709,63988.0,64695.0,63379.0,63944.0,9169,81670,0,0,0.0
20140710,63914.0,64122.0,60181.0,60283.0,28395,82648,0,0,0.0
20140711,60624.0,60996.0,58980.0,59691.0,27515,82652,0,0,0.0
20140714,59663.0,60959.0,59516.0,60782.0,13793,81522,0,0,0.0
20140715,60846.0,60885.0,58869.0,59894.0,15051,80901,0,0,0.0
20140716,60070.0,60441.0,59701.0,60097.0,9128,80880,0,0,0.0
20140717,60052.0,61218.0,59590.0,60596.0,12065,80428,0,0,0.0
20140718,60570.0,63863.0,60366.0,63758.0,16789,79472,0,0,0.0
20140721,63416.0,64307.0,62381.0,63943.0,13061,78826,0,0,0.0
20140722,63582.0,64215.0,61586.0,62242.0,17755,78314,0,0,0.0
20140723,62288.0,66065.0,61715.0,65312.0,20633,78735,0,0,0.0
20140724,64987.0,66768.0,64950.0,65941.0,19806,78216,0,0,0.0
20140725,65800.0,67027.0,65283.0,66255.0,15869,77922,0,0,0.0
20140728,66465.0,67841.0,65801.0,66976.0,22496,76452,0,0,0.0
20140729,66964.0,67397.0,65949.0,66828.0,21610,74574,0,0,0.0
20140730,66613.0,67767.0,66448.0,67494.0,13503,73571,0,0,0.0
20140731,67796.0,72650.0,67779.0,72135.0,40441,73126,0,0,0.0
20140801,72029.0,76719.0,70829.0,71136.0,47221,71671,0,0,0.0
20140804,70994.0,72299.0,67761.0,70452.0,31529,70618,0,0,0.0
20140805,70403.0,72188.0,69258.0,70045.0,28937,66965,0,0,0.0
20140806,69867.0,71208.0,68740.0,70581.0,28865,63187,0,0,0.0
20140807,70736.0,70820.0,67908.0,68048.0,42271,54423,0,0,0.0
20140808,67927.0,68933.0,66318.0,66883.0,38910,46020,201412,201412,0.0
20140811,66855.0,70283.0,66854.0,70082.0,40345,75218,0,0,1443.75
20140812,69968.0,70084.0,67813.0,68469.0,41445,82098,0,0,0.0
20140813,68430.0,69758.0,68338.0,68723.0,35515,88085,0,0,0.0
20140814,68593.0,69504.0,67071.0,68306.0,32301,90672,0,0,0.0
20140815,68358.0,70265.0,67578.0,70010.0,20438,93011,0,0,0.0
20140818,69806.0,70628.0,68935.0,69992.0,30369,95467,0,0,0.0
20140819,69788.0,70229.0,67306.0,67473.0,25854,97138,0,0,0.0
20140820,67870.0,68634.0,66184.0,68488.0,35047,98131,0,0,0.0
20140821,68630.0,69613.0,67342.0,68724.0,12903,98549,0,0,0.0
20140822,68286.0,69250.0,67632.0,67908.0,7316,97980,0,0,0.0
20140825,67870.0,68851.0,67125.0,68017.0,10669,98298,0,0,0.0
20140826,68051.0,71788.0,67976.0,71569.0,20152,100448,0,0,0.0
20140827,71345.0,73492.0,70980.0,71823.0,24016,99155,0,0,0.0
20140828,71725.0,73293.0,71070.0,72494.0,20539,98146,0,0,0.0
20140829,72340.0,73184.0,71486.0,72929.0,14894,97695,0,0,0.0
20140902,73154.0,76121.0,73115.0,75919.0,14894,97695,0,0,0.0
20140903,75290.0,75541.0,72771.0,73327.0,20061,97397,0,0,0.0
20140904,72756.0,74399.0,70690.0,73381.0,19668,96985,0,0,0.0
20140905,73408.0,73529.0,71450.0,71786.0,11739,96793,0,0,0.0
20140908,71363.0,71825.0,69640.0,70481.0,19840,95651,0,0,0.0
20140909,70386.0,71136.0,69332.0,69810.0,17327,94778,0,0,0.0
20140910,69499.0,70320.0,65296.0,65696.0,27404,95004,0,0,0.0
20140911,66133.0,67401.0,65803.0,67218.0,27942,93392,0,0,0.0
20140912,67201.0,67401.0,65387.0,66892.0,21103,92761,0,0,0.0
20140915,66513.0,66821.0,65604.0,66040.0,14762,91334,0,0,0.0
20140916,65880.0,68144.0,65459.0,67145.0,20544,90690,0,0,0.0
20140917,67038.0,67600.0,66273.0,67000.0,9994,90037,0,0,0.0
20140918,67328.0,67854.0,65459.0,65677.0,13302,89410,0,0,0.0
20140919,65482.0,66295.0,63848.0,64517.0,22211,87607,0,0,0.0
20140922,64432.0,65207.0,63848.0,65024.0,13117,86523,0,0,0.0
20140923,65065.0,66984.0,64934.0,65568.0,14348,86258,0,0,0.0
20140924,65698.0,68815.0,65477.0,68540.0,21805,85825,0,0,0.0
20140925,67779.0,67999.0,64952.0,66075.0,16845,86548,0,0,0.0
20140926,65571.0,68235.0,65205.0,67434.0,14252,85184,0,0,0.0
20140929,67164.0,69595.0,67033.0,69319.0,14802,85164,0,0,0.0
20140930,69300.0,71535.0,68246.0,70080.0,21852,85691,0,0,0.0
20141001,70223.0,73185.0,70110.0,72635.0,27519,86934,0,0,0.0
20141002,72540.0,77500.0,72463.0,75607.0,41958,86930,0,0,0.0
20141003,75617.0,76720.0,74345.0,74846.0,24872,86994,0,0,0.0
20141006,75545.0,81760.0,75539.0,80029.0,35043,86695,0,0,0.0
20141007,79943.0,81416.0,77855.0,78416.0,23093,85960,0,0,0.0
20141008,77898.0,80274.0,76371.0,77727.0,29586,86146,0,0,0.0
20141009,77681.0,80637.0,77620.0,80337.0,19066,86673,0,0,0.0
20141010,80233.0,81108.0,79086.0,79884.0,17053,87279,0,0,0.0
20141013,80378.0,81743.0,78760.0,79050.0,15836,86225,0,0,0.0
20141014,78550.0,80782.0,78253.0,80427.0,18993,87246,0,0,0.0
20141015,80595.0,81417.0,77638.0,78289.0,22725,86582,0,0,0.0
20141016,78785.0,80003.0,78290.0,78688.0,16558,87748,0,0,0.0
20141017,78007.0,78553.0,75467.0,76350.0,20354,87526,0,0,0.0
20141020,74695.0,74818.0,71377.0,72272.0,25983,84535,0,0,0.0
20141021,70587.0,72987.0,69422.0,72344.0,30371,82912,0,0,0.0
20141022,72252.0,72824.0,69060.0,69263.0,18534,80629,0,0,0.0
20141023,69465.0,70630.0,68517.0,70060.0,24733,79173,0,0,0.0
20141024,70044.0,70286.0,68209.0,69408.0,28625,78027,0,0,0.0
20141027,68053.0,69688.0,68046.0,69191.0,20195,75774,0,0,0.0
20141028,69157.0,69924.0,68336.0,69717.0,20983,71959,0,0,0.0
20141029,69628.0,70287.0,68571.0,68720.0,20558,68232,0,0,0.0
