Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140602,34353.0,34650.0,33990.0,34177.0,1532,3051,0,0,0.0
20140603,34100.0,34177.0,33792.0,33880.0,424,2955,0,0,0.0
20140604,33979.0,34078.0,33605.0,33858.0,506,2925,0,0,0.0
20140605,33990.0,34155.0,33363.0,33693.0,684,2852,0,0,0.0
20140606,33561.0,33858.0,33341.0,33715.0,421,2750,0,0,0.0
20140609,33572.0,33990.0,33352.0,33506.0,921,2518,0,0,0.0
20140610,33539.0,33902.0,32648.0,32912.0,829,2566,0,0,0.0
20140611,32736.0,32868.0,32450.0,32670.0,1317,2223,0,0,0.0
20140612,32890.0,33451.0,32890.0,33242.0,1193,2002,0,0,0.0
20140613,33209.0,34265.0,33209.0,33858.0,1164,1880,0,0,0.0
20140616,33858.0,34463.0,33715.0,34430.0,992,1680,0,0,0.0
20140617,34265.0,34507.0,33891.0,34430.0,825,1466,0,0,0.0
20140618,34419.0,34727.0,34155.0,34430.0,515,1414,0,0,0.0
20140619,34738.0,35530.0,34738.0,35398.0,688,1284,0,0,0.0
20140620,35618.0,36300.0,35618.0,36157.0,1188,1122,0,0,0.0
20140623,36476.0,36476.0,36476.0,36476.0,758,987,0,0,0.0
20140624,36520.0,37070.0,36256.0,36410.0,966,902,0,0,0.0
20140625,36773.0,36773.0,36773.0,36773.0,524,850,0,0,0.0
20140626,37279.0,37279.0,37279.0,37279.0,875,778,0,0,0.0
20140627,37345.0,37400.0,36278.0,37125.0,608,757,0,0,0.0
20140630,37158.0,37235.0,36850.0,36861.0,346,667,0,0,0.0
20140701,36839.0,36960.0,36300.0,36630.0,249,3083,201411,201411,0.0
20140702,36718.0,37345.0,36597.0,37235.0,345,3100,0,0,-77.0
20140703,37181.0,37477.0,37038.0,37268.0,345,3183,0,0,0.0
20140707,37368.0,37422.0,36873.0,37224.0,558,3232,0,0,0.0
20140708,36850.0,36926.0,36432.0,36607.0,623,3296,0,0,0.0
20140709,36552.0,37653.0,36487.0,37368.0,783,3368,0,0,0.0
20140710,37654.0,37697.0,37159.0,37368.0,383,3333,0,0,0.0
20140711,37323.0,37322.0,36597.0,36806.0,351,3358,0,0,0.0
20140714,36783.0,37421.0,36707.0,37236.0,347,3334,0,0,0.0
20140715,37103.0,37311.0,36597.0,37071.0,218,3290,0,0,0.0
