Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,55760.0,56220.0,55700.0,56030.0,53630,176602,0,0,0.0
20140604,56030.0,56180.0,55710.0,56070.0,57356,177501,0,0,0.0
20140605,56100.0,56630.0,56030.0,56530.0,54657,180920,0,0,0.0
20140606,56450.0,56800.0,56300.0,56520.0,68718,180554,0,0,0.0
20140609,56740.0,57430.0,56710.0,57310.0,64684,179193,0,0,0.0
20140610,57420.0,57530.0,57060.0,57360.0,50825,177406,0,0,0.0
20140611,57420.0,57450.0,56860.0,56880.0,52198,176583,0,0,0.0
20140612,57060.0,58080.0,56960.0,58020.0,75866,176375,0,0,0.0
20140613,58220.0,58920.0,57890.0,58650.0,64633,175236,0,0,0.0
20140616,58810.0,58860.0,58450.0,58580.0,30318,174542,0,0,0.0
20140617,58610.0,59100.0,58230.0,58290.0,37979,174784,0,0,0.0
20140618,58230.0,58500.0,57600.0,58010.0,59237,172722,0,0,0.0
20140619,58200.0,59210.0,58150.0,58990.0,55415,175083,0,0,0.0
20140620,59100.0,59140.0,58410.0,58530.0,39887,172571,0,0,0.0
20140623,58540.0,58880.0,58540.0,58770.0,30354,171997,0,0,0.0
20140624,58800.0,59930.0,58770.0,59890.0,56438,171815,0,0,0.0
20140625,59790.0,60620.0,59680.0,60260.0,49585,169356,0,0,0.0
20140626,60410.0,61210.0,60320.0,61100.0,55985,168402,0,0,0.0
20140627,61140.0,61200.0,60220.0,60450.0,67785,163226,0,0,0.0
20140630,60680.0,61120.0,59900.0,60030.0,43425,160995,0,0,0.0
20140701,60150.0,60770.0,60150.0,60600.0,50503,158699,0,0,0.0
20140702,60650.0,61800.0,60430.0,60930.0,74446,153348,0,0,0.0
20140703,62020.0,62130.0,61630.0,62000.0,61374,149425,0,0,0.0
20140707,62320.0,62600.0,61710.0,61980.0,66533,144062,0,0,0.0
20140708,61960.0,62130.0,61190.0,61410.0,81016,133902,0,0,0.0
20140709,61440.0,62150.0,60210.0,60320.0,115720,120976,0,0,0.0
20140710,60510.0,60650.0,59180.0,59260.0,108379,109271,0,0,0.0
20140711,59280.0,59830.0,58630.0,59650.0,93526,100249,0,0,0.0
20140714,59680.0,59740.0,58910.0,59120.0,76274,90780,0,0,0.0
