Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,48530.0,49090.0,48380.0,48920.0,44182,61406,0,0,0.0
20140604,48920.0,48930.0,48200.0,48600.0,42717,60950,0,0,0.0
20140605,48590.0,49080.0,48120.0,48870.0,45611,59614,0,0,0.0
20140606,49020.0,50070.0,48880.0,49990.0,59071,57369,0,0,0.0
20140609,50080.0,50650.0,49840.0,50380.0,52008,53341,0,0,0.0
20140610,50680.0,50750.0,49940.0,50060.0,50774,49503,0,0,0.0
20140611,50290.0,50470.0,49770.0,50010.0,54114,46843,0,0,0.0
20140612,49960.0,50600.0,49740.0,50370.0,59875,42797,0,0,0.0
20140613,50560.0,51130.0,50460.0,50800.0,40872,41998,0,0,0.0
20140616,50890.0,50920.0,49600.0,49700.0,41573,39489,0,0,0.0
20140617,50000.0,50280.0,49600.0,49970.0,43965,38642,0,0,0.0
20140618,49840.0,50610.0,49590.0,50170.0,52836,35707,0,0,0.0
20140619,50690.0,51340.0,50650.0,51220.0,30973,33721,0,0,0.0
20140620,51220.0,51540.0,51010.0,51130.0,28159,31928,0,0,0.0
20140623,51200.0,51350.0,50820.0,51320.0,28842,31219,0,0,0.0
20140624,51340.0,52440.0,51340.0,52170.0,47348,31050,0,0,0.0
20140625,52440.0,52560.0,51200.0,51720.0,58034,27365,0,0,0.0
20140626,51800.0,52280.0,51410.0,51940.0,34373,25853,201408,201408,0.0
20140627,51930.0,52570.0,51790.0,52440.0,41296,79219,0,0,-510.0
20140630,53637.0,53650.0,53325.0,53652.0,43637,79356,0,0,0.0
20140701,53728.0,53872.0,52477.0,52683.0,56685,78638,0,0,0.0
20140702,52516.0,53105.0,52315.0,52653.0,50764,78364,0,0,0.0
20140703,52768.0,53347.0,52699.0,53158.0,38313,77612,0,0,0.0
20140707,53344.0,53751.0,53184.0,53249.0,40106,76656,0,0,0.0
20140708,53364.0,53428.0,52356.0,52451.0,65801,71415,0,0,0.0
20140709,52566.0,53165.0,51710.0,52350.0,78610,64282,0,0,0.0
20140710,52516.0,52680.0,51357.0,51684.0,59925,57898,0,0,0.0
20140711,51546.0,52094.0,51155.0,51977.0,58089,55331,0,0,0.0
20140714,52314.0,53003.0,52205.0,52654.0,50254,52968,0,0,0.0
20140715,52738.0,52922.0,52397.0,52805.0,35104,50085,0,0,0.0
20140716,52930.0,52993.0,52559.0,52724.0,39254,49820,0,0,0.0
20140717,52698.0,52892.0,51822.0,52047.0,42024,48613,0,0,0.0
20140718,51951.0,52024.0,51216.0,51330.0,44811,44017,0,0,0.0
20140721,51264.0,51277.0,50398.0,50532.0,44841,38934,0,0,0.0
20140722,50517.0,51651.0,50277.0,51532.0,48265,34597,0,0,0.0
20140723,51325.0,51449.0,50327.0,50320.0,32012,33339,0,0,0.0
20140724,50093.0,50177.0,49145.0,49765.0,48575,31225,201410,201410,0.0
20140725,49861.0,50157.0,49145.0,49523.0,31882,92830,0,0,-6130.0
20140728,49769.0,49765.0,48902.0,49223.0,43162,93208,0,0,0.0
20140729,48800.0,49108.0,48613.0,48969.0,44307,95478,0,0,0.0
20140730,48927.0,49189.0,47642.0,47873.0,59967,96572,0,0,0.0
20140731,47532.0,48774.0,47330.0,47631.0,48402,96272,0,0,0.0
20140801,47255.0,47945.0,47318.0,47469.0,29387,95206,0,0,0.0
20140804,47416.0,48175.0,47330.0,47838.0,34297,96575,0,0,0.0
20140805,47693.0,47875.0,46787.0,46938.0,37590,96228,0,0,0.0
20140806,46817.0,47806.0,46775.0,47180.0,28982,96935,0,0,0.0
20140807,47013.0,46965.0,45851.0,46280.0,53151,96568,0,0,0.0
20140808,46067.0,46689.0,45065.0,45853.0,45994,96263,0,0,0.0
20140811,45663.0,46194.0,45435.0,46245.0,42375,97575,0,0,0.0
20140812,45628.0,45676.0,44915.0,44860.0,51188,93579,0,0,0.0
20140813,44613.0,45135.0,44395.0,44964.0,43172,94740,0,0,0.0
20140814,44325.0,44329.0,43632.0,43971.0,44614,93441,0,0,0.0
20140815,44141.0,45055.0,43586.0,43833.0,39235,93789,0,0,0.0
20140818,43518.0,44007.0,43101.0,43902.0,29067,95107,0,0,0.0
20140819,43841.0,44479.0,43633.0,43775.0,26825,94406,0,0,0.0
20140820,43645.0,43707.0,42512.0,42702.0,35921,92558,0,0,0.0
20140821,42573.0,43799.0,41807.0,43221.0,49248,91158,0,0,0.0
20140822,43219.0,43672.0,42766.0,42875.0,35337,89723,0,0,0.0
20140825,42804.0,43303.0,42870.0,43140.0,26816,90617,0,0,0.0
20140826,42977.0,43971.0,42939.0,43902.0,42194,88007,0,0,0.0
20140827,43796.0,44777.0,43725.0,44283.0,38497,87560,0,0,0.0
20140828,43946.0,44374.0,43748.0,44075.0,30240,85595,0,0,0.0
20140829,44303.0,45376.0,44384.0,45298.0,52842,82696,0,0,0.0
20140902,45618.0,46597.0,45644.0,46106.0,52842,82696,0,0,0.0
20140903,46252.0,47115.0,46083.0,46672.0,51195,72856,0,0,0.0
20140904,47059.0,47967.0,47019.0,47388.0,74237,67945,0,0,0.0
20140905,47855.0,48681.0,47678.0,48761.0,54894,63633,0,0,0.0
20140908,48950.0,48911.0,47470.0,47584.0,71720,58347,0,0,0.0
20140909,47693.0,48876.0,47632.0,48830.0,60983,53714,0,0,0.0
