Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,138070.0,138380.0,137510.0,138120.0,12248,91599,0,0,0.0
20140604,138110.0,138810.0,137570.0,138760.0,11099,91926,0,0,0.0
20140605,138750.0,140290.0,138300.0,140190.0,16089,91574,201409,201409,0.0
20140606,140170.0,140950.0,140170.0,140780.0,12982,614,0,0,-70.0
20140609,140780.0,141690.0,140510.0,141240.0,13895,1062,0,0,0.0
20140610,140670.0,140900.0,140340.0,140890.0,13440,1571,0,0,0.0
20140611,140190.0,140440.0,139750.0,140330.0,28505,10120,0,0,0.0
20140612,140290.0,140580.0,139260.0,139610.0,56318,30802,0,0,0.0
20140613,139710.0,140290.0,139130.0,139910.0,54393,50790,0,0,0.0
20140616,139840.0,140420.0,139270.0,139940.0,60189,66833,0,0,0.0
20140617,140000.0,141821.0,139620.0,140951.0,48359,80875,0,0,0.0
20140618,140910.0,141951.0,140540.0,141881.0,28901,83269,0,0,0.0
20140619,141840.0,142121.0,141290.0,141751.0,16694,82686,0,0,0.0
20140620,141600.0,142331.0,141580.0,142201.0,14292,82304,0,0,0.0
20140623,142210.0,142701.0,141850.0,142091.0,10223,82685,0,0,0.0
20140624,141910.0,142941.0,140960.0,141141.0,21313,83221,0,0,0.0
20140625,141180.0,142011.0,140480.0,141781.0,18305,85503,0,0,0.0
20140626,141780.0,141981.0,140640.0,141581.0,16687,85596,0,0,0.0
20140627,141550.0,142571.0,141040.0,142331.0,13843,86996,0,0,0.0
20140630,142330.0,143381.0,141940.0,143001.0,18919,89620,0,0,0.0
20140701,143310.0,145012.0,143301.0,144062.0,25091,87547,0,0,0.0
20140702,144110.0,144402.0,143241.0,143382.0,12940,86613,0,0,0.0
20140703,143520.0,144332.0,143221.0,144312.0,7023,87107,0,0,0.0
20140707,144200.0,144342.0,142671.0,142961.0,13929,87283,0,0,0.0
20140708,142979.0,143011.0,141110.0,141880.0,19245,89742,0,0,0.0
20140709,141908.0,142271.0,141570.0,142180.0,13858,89964,0,0,0.0
20140710,142188.0,142211.0,139699.0,141089.0,17907,90362,0,0,0.0
20140711,141087.0,141551.0,140449.0,141009.0,13047,91170,0,0,0.0
20140714,141137.0,142001.0,140999.0,141359.0,10446,91100,0,0,0.0
20140715,141357.0,142011.0,140209.0,141139.0,15469,91397,0,0,0.0
20140716,141187.0,141931.0,140249.0,140969.0,22321,91124,0,0,0.0
20140717,140777.0,141121.0,138858.0,139408.0,21909,91296,0,0,0.0
20140718,138996.0,141121.0,138498.0,140879.0,16946,91179,0,0,0.0
20140721,140787.0,140861.0,139889.0,140539.0,14265,90803,0,0,0.0
20140722,140467.0,141751.0,140439.0,141019.0,12822,90940,0,0,0.0
20140723,141007.0,141471.0,140639.0,140999.0,10181,90871,0,0,0.0
20140724,141027.0,141811.0,140699.0,141069.0,12805,90683,0,0,0.0
20140725,140867.0,141101.0,140119.0,140239.0,14180,90006,0,0,0.0
20140728,140267.0,140581.0,139189.0,140089.0,13312,90098,0,0,0.0
20140729,140057.0,140851.0,139249.0,139439.0,13633,89532,0,0,0.0
20140730,139527.0,140361.0,139149.0,139829.0,15276,89182,0,0,0.0
20140731,139767.0,139801.0,136538.0,136848.0,27434,91406,0,0,0.0
20140801,136916.0,137380.0,135337.0,136548.0,30894,89639,0,0,0.0
20140804,136546.0,137460.0,135637.0,137208.0,19756,91014,0,0,0.0
20140805,137146.0,137670.0,135957.0,136608.0,18390,91514,0,0,0.0
20140806,136846.0,137460.0,135667.0,136708.0,17576,91645,0,0,0.0
20140807,136686.0,137660.0,135937.0,136218.0,14932,92320,0,0,0.0
20140808,136216.0,137800.0,135007.0,137499.0,14679,91619,0,0,0.0
20140811,137497.0,139161.0,137278.0,138209.0,15010,91101,0,0,0.0
20140812,138267.0,138831.0,137218.0,137859.0,16298,89893,0,0,0.0
20140813,138017.0,139261.0,137968.0,139120.0,11143,89131,0,0,0.0
