Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,29700.0,29780.0,29090.0,29100.0,1416,4345,0,0,0.0
20140604,29150.0,29240.0,28270.0,28450.0,2371,4203,0,0,0.0
20140605,28440.0,28460.0,28140.0,28160.0,1073,4125,0,0,0.0
20140606,28190.0,28480.0,28160.0,28350.0,448,4105,0,0,0.0
20140609,28200.0,28400.0,28080.0,28290.0,957,4173,0,0,0.0
20140610,28290.0,28350.0,28040.0,28070.0,1283,4150,0,0,0.0
20140611,28120.0,28260.0,28080.0,28250.0,1061,4174,0,0,0.0
20140612,28260.0,28860.0,28060.0,28840.0,1297,4000,0,0,0.0
20140613,28800.0,29040.0,28790.0,29020.0,709,3947,0,0,0.0
20140616,29020.0,29470.0,28970.0,29330.0,1707,3532,0,0,0.0
20140617,29240.0,29480.0,29040.0,29300.0,886,3329,0,0,0.0
20140618,29260.0,29670.0,29230.0,29570.0,1468,3024,0,0,0.0
20140619,29600.0,29800.0,29300.0,29380.0,966,2888,201409,201409,0.0
20140620,29450.0,29510.0,29210.0,29220.0,646,4613,0,0,-1710.0
20140623,29195.0,29404.0,29210.0,29231.0,701,4771,0,0,0.0
20140624,29216.0,29298.0,29083.0,29093.0,1057,4916,0,0,0.0
20140625,29152.0,29213.0,29041.0,29051.0,613,4974,0,0,0.0
20140626,29056.0,29171.0,28467.0,28594.0,1769,5116,0,0,0.0
20140627,28621.0,28831.0,28509.0,28796.0,1036,5175,0,0,0.0
20140630,28727.0,28842.0,28594.0,28828.0,450,5216,0,0,0.0
20140701,28791.0,28800.0,28573.0,28743.0,658,5273,0,0,0.0
20140702,28727.0,29076.0,28626.0,29083.0,371,5279,0,0,0.0
20140703,29045.0,29044.0,28828.0,28849.0,162,5278,0,0,0.0
20140707,28875.0,28970.0,28849.0,28923.0,171,5266,0,0,0.0
20140708,28960.0,29119.0,28923.0,29104.0,462,5239,0,0,0.0
20140709,29077.0,29087.0,28541.0,28584.0,647,5321,0,0,0.0
20140710,28567.0,28843.0,28509.0,28584.0,192,5323,0,0,0.0
20140711,28535.0,28546.0,27999.0,28053.0,753,5456,0,0,0.0
20140714,28004.0,28047.0,27224.0,27394.0,531,5493,0,0,0.0
20140715,27463.0,27527.0,27160.0,27341.0,816,5542,0,0,0.0
20140716,27389.0,27654.0,27213.0,27596.0,592,5593,0,0,0.0
20140717,27644.0,28291.0,27489.0,28212.0,293,5518,0,0,0.0
20140718,28175.0,28174.0,27882.0,27883.0,138,5499,0,0,0.0
20140721,27878.0,27898.0,27574.0,27575.0,280,5498,0,0,0.0
20140722,27560.0,28004.0,27574.0,27968.0,403,5453,0,0,0.0
20140723,27921.0,28142.0,27850.0,27872.0,262,5476,0,0,0.0
20140724,27815.0,27972.0,27776.0,27798.0,145,5505,0,0,0.0
20140725,27794.0,27876.0,27479.0,27490.0,636,5528,0,0,0.0
20140728,27486.0,27504.0,27288.0,27458.0,511,5515,0,0,0.0
20140729,27433.0,27897.0,27447.0,27894.0,511,5491,0,0,0.0
20140730,27996.0,28024.0,27543.0,27554.0,928,5431,0,0,0.0
20140731,27529.0,27663.0,27479.0,27586.0,1349,5333,0,0,0.0
20140801,27518.0,27514.0,27160.0,27172.0,1496,5400,0,0,0.0
20140804,27168.0,27291.0,27128.0,27246.0,621,5452,0,0,0.0
20140805,27285.0,27323.0,26788.0,26927.0,1949,5041,0,0,0.0
20140806,26860.0,26983.0,26809.0,26821.0,667,5051,0,0,0.0
20140807,26818.0,27047.0,26798.0,27055.0,1395,4852,0,0,0.0
20140808,27052.0,27089.0,26872.0,26896.0,620,4873,0,0,0.0
20140811,26850.0,26951.0,26723.0,26822.0,986,4766,0,0,0.0
20140812,26808.0,26983.0,26712.0,26875.0,952,4482,0,0,0.0
20140813,26893.0,26983.0,26797.0,26886.0,763,4370,0,0,0.0
20140814,26893.0,27439.0,26786.0,27311.0,1950,3921,0,0,0.0
20140815,27286.0,27418.0,27062.0,27417.0,1155,3684,0,0,0.0
20140818,27392.0,27917.0,27211.0,27927.0,2036,3212,0,0,0.0
20140819,27880.0,28023.0,27530.0,27874.0,1537,2718,0,0,0.0
20140820,27816.0,27970.0,27657.0,27853.0,1393,2371,0,0,0.0
20140821,27805.0,27853.0,27211.0,27248.0,1283,2101,201411,201411,0.0
20140822,27242.0,27492.0,26999.0,27121.0,1308,6187,0,0,-80.0
20140825,27114.0,27673.0,27020.0,27398.0,1383,6414,0,0,0.0
20140826,27391.0,27460.0,27169.0,27185.0,878,6669,0,0,0.0
20140827,27167.0,27577.0,27169.0,27483.0,1275,6770,0,0,0.0
20140828,27455.0,27471.0,27190.0,27312.0,849,6953,0,0,0.0
20140829,27327.0,27418.0,26892.0,26992.0,802,7139,0,0,0.0
20140902,26976.0,27067.0,26817.0,26875.0,802,7139,0,0,0.0
20140903,26944.0,26971.0,26657.0,26694.0,537,7304,0,0,0.0
20140904,26667.0,26684.0,26487.0,26683.0,452,7300,0,0,0.0
20140905,26656.0,26801.0,26562.0,26619.0,456,7402,0,0,0.0
20140908,26624.0,26833.0,26487.0,26523.0,251,7417,0,0,0.0
20140909,26528.0,26535.0,26274.0,26331.0,325,7437,0,0,0.0
20140910,26304.0,26407.0,25997.0,26278.0,673,7403,0,0,0.0
20140911,26410.0,26758.0,26413.0,26683.0,465,7418,0,0,0.0
20140912,26729.0,27429.0,26743.0,27248.0,533,7493,0,0,0.0
20140915,27219.0,27301.0,26871.0,27195.0,377,7548,0,0,0.0
20140916,27144.0,27258.0,26999.0,27099.0,188,7605,0,0,0.0
20140917,27038.0,27045.0,26594.0,26662.0,465,7644,0,0,0.0
20140918,26665.0,26981.0,26679.0,26896.0,336,7641,0,0,0.0
20140919,26931.0,27056.0,26764.0,27066.0,285,7628,0,0,0.0
20140922,27037.0,27056.0,26721.0,26746.0,174,7622,0,0,0.0
20140923,26760.0,27024.0,26774.0,26980.0,312,7537,0,0,0.0
20140924,27016.0,27141.0,26987.0,27129.0,282,7549,0,0,0.0
20140925,26984.0,27184.0,26998.0,27076.0,297,7603,0,0,0.0
20140926,27048.0,27493.0,27062.0,27310.0,1000,7625,0,0,0.0
20140929,27250.0,27450.0,27115.0,27140.0,1639,7700,0,0,0.0
20140930,27133.0,27344.0,27072.0,27161.0,2454,7792,0,0,0.0
20141001,27154.0,27227.0,26912.0,26937.0,2029,7408,0,0,0.0
20141002,26866.0,27344.0,26656.0,26756.0,1201,7301,0,0,0.0
20141003,26728.0,26854.0,26699.0,26820.0,279,7285,0,0,0.0
20141006,26760.0,27152.0,26710.0,27076.0,571,7190,0,0,0.0
20141007,27016.0,27173.0,27030.0,27151.0,354,7119,0,0,0.0
20141008,27069.0,27237.0,26870.0,26906.0,1440,7034,0,0,0.0
20141009,26877.0,26875.0,26785.0,26842.0,395,6967,0,0,0.0
20141010,26771.0,26832.0,26764.0,26821.0,278,6911,0,0,0.0
20141013,26739.0,26907.0,26753.0,26917.0,602,6818,0,0,0.0
20141014,26899.0,27088.0,26913.0,27109.0,1381,6525,0,0,0.0
20141015,27080.0,27088.0,26689.0,26832.0,902,6355,0,0,0.0
20141016,26675.0,26822.0,26636.0,26662.0,4532,5392,0,0,0.0
20141017,26654.0,26726.0,26636.0,26737.0,2597,4839,0,0,0.0
20141020,26803.0,26939.0,26636.0,26641.0,1756,4348,0,0,0.0
20141021,26633.0,26737.0,26497.0,26758.0,3075,3700,201501,201501,0.0
20141022,26771.0,26833.0,26667.0,26758.0,1588,5934,0,0,340.0
20141023,26803.0,26875.0,26425.0,26485.0,1722,6084,0,0,0.0
20141024,26372.0,26570.0,26330.0,26559.0,2164,6474,0,0,0.0
20141027,26498.0,26665.0,26193.0,26233.0,2406,6531,0,0,0.0
20141028,26256.0,26329.0,23912.0,25876.0,2501,6551,0,0,0.0
20141029,25720.0,26150.0,25625.0,26023.0,1842,6649,0,0,0.0
20141030,25836.0,26087.0,25520.0,25676.0,3683,6884,0,0,0.0
20141031,25699.0,25845.0,25457.0,25834.0,1220,6999,0,0,0.0
20141103,25825.0,26066.0,25730.0,25929.0,728,7076,0,0,0.0
20141104,25857.0,26150.0,25698.0,26150.0,752,7124,0,0,0.0
20141105,26109.0,26255.0,26034.0,26108.0,379,7087,0,0,0.0
20141106,25899.0,26108.0,25330.0,25425.0,987,7058,0,0,0.0
20141107,25458.0,25530.0,25183.0,25478.0,401,7065,0,0,0.0
20141110,25479.0,25477.0,25078.0,25173.0,330,7113,0,0,0.0
20141111,25153.0,25193.0,24826.0,24921.0,503,7129,0,0,0.0
20141112,24901.0,25319.0,24889.0,25268.0,691,7123,0,0,0.0
20141113,25248.0,25466.0,25068.0,25110.0,333,7080,0,0,0.0
20141114,25069.0,25424.0,25079.0,25173.0,226,7084,0,0,0.0
20141117,25080.0,25245.0,24963.0,25047.0,212,7108,0,0,0.0
20141118,25027.0,25234.0,25037.0,25236.0,439,7136,0,0,0.0
20141119,25174.0,26158.0,25163.0,26088.0,1044,7134,0,0,0.0
20141120,26067.0,26442.0,25878.0,26456.0,745,6974,0,0,0.0
20141121,26361.0,26474.0,26319.0,26488.0,283,6850,0,0,0.0
20141124,26466.0,26506.0,26140.0,26173.0,413,6794,0,0,0.0
20141125,26056.0,26128.0,25867.0,26015.0,429,6726,0,0,0.0
20141126,25961.0,26181.0,25783.0,25826.0,675,6645,0,0,0.0
20141128,25803.0,26097.0,25815.0,25942.0,748,6542,0,0,0.0
20141201,25835.0,26086.0,25310.0,25532.0,1697,6544,0,0,0.0
20141202,25509.0,25750.0,25352.0,25627.0,914,6439,0,0,0.0
20141203,25583.0,25645.0,25457.0,25532.0,333,6399,0,0,0.0
20141204,25509.0,25613.0,25394.0,25490.0,415,6407,0,0,0.0
20141205,25425.0,25518.0,25226.0,25374.0,501,6343,0,0,0.0
20141208,25330.0,25529.0,25258.0,25332.0,370,6240,0,0,0.0
20141209,25246.0,25876.0,25226.0,25847.0,1081,5883,0,0,0.0
20141210,25792.0,25823.0,25573.0,25784.0,353,5882,0,0,0.0
20141211,25718.0,25802.0,25289.0,25416.0,1546,5807,0,0,0.0
20141212,25392.0,26369.0,25331.0,25973.0,1930,5555,0,0,0.0
20141215,25938.0,26243.0,25857.0,26141.0,899,5434,0,0,0.0
20141216,26106.0,26106.0,25342.0,25405.0,2473,4705,0,0,0.0
20141217,25413.0,25644.0,25384.0,25479.0,2421,3821,0,0,0.0
20141218,25360.0,25476.0,25321.0,25468.0,1299,3527,0,0,0.0
20141219,25476.0,25938.0,25416.0,25889.0,2116,3251,201503,201503,0.0
20141222,25991.0,26043.0,25542.0,25626.0,1737,6798,0,0,400.0
20141223,25598.0,25867.0,25511.0,25688.0,1064,6860,0,0,0.0
20141224,25701.0,25722.0,25532.0,25554.0,672,6764,0,0,0.0
20141226,25815.0,25846.0,25553.0,25637.0,616,6833,0,0,0.0
20141229,25598.0,25670.0,24922.0,24975.0,2089,7591,0,0,0.0
20141231,24626.0,24740.0,24250.0,24313.0,845,7724,0,0,0.0
20150102,24357.0,24482.0,23567.0,23889.0,578,7789,0,0,0.0
20150105,23902.0,24079.0,23774.0,23972.0,580,7754,0,0,0.0
20150106,23954.0,24038.0,23857.0,24013.0,218,7778,0,0,0.0
20150107,23975.0,24265.0,23960.0,24106.0,245,7795,0,0,0.0
20150108,24130.0,24162.0,23826.0,23847.0,364,7788,0,0,0.0
20150109,23882.0,24038.0,23836.0,23888.0,171,7781,0,0,0.0
20150112,23851.0,23893.0,23598.0,23712.0,403,7756,0,0,0.0
20150113,23686.0,23800.0,23588.0,23681.0,265,7753,0,0,0.0
20150114,23634.0,23738.0,23040.0,23071.0,654,7809,0,0,0.0
20150115,22993.0,23459.0,22885.0,23443.0,403,7803,0,0,0.0
20150116,23427.0,23573.0,23278.0,23433.0,138,7782,0,0,0.0
20150120,23458.0,23542.0,23247.0,23309.0,306,7861,0,0,0.0
20150121,23406.0,23563.0,23350.0,23526.0,234,7876,0,0,0.0
20150122,23458.0,23470.0,23071.0,23091.0,794,7733,0,0,0.0
20150123,23086.0,23232.0,22668.0,22781.0,725,7739,0,0,0.0
20150126,22734.0,22736.0,22358.0,22522.0,550,7808,0,0,0.0
20150127,22517.0,23222.0,22523.0,22698.0,406,7783,0,0,0.0
20150128,22755.0,23036.0,22140.0,22212.0,766,7705,0,0,0.0
20150129,22259.0,23512.0,22140.0,22471.0,2624,7606,0,0,0.0
20150130,22455.0,22571.0,21768.0,21871.0,1883,7472,0,0,0.0
20150202,21855.0,21909.0,21251.0,21323.0,2277,7245,0,0,0.0
20150203,21276.0,21702.0,20703.0,21489.0,805,7143,0,0,0.0
20150204,21297.0,21805.0,20982.0,21210.0,356,7160,0,0,0.0
20150205,21225.0,21660.0,21210.0,21624.0,357,7033,0,0,0.0
20150206,21659.0,22229.0,21634.0,22224.0,1054,6924,0,0,0.0
20150209,22207.0,22229.0,21551.0,21593.0,794,6868,0,0,0.0
20150210,21700.0,21743.0,20993.0,21179.0,2339,6215,0,0,0.0
20150211,21090.0,21505.0,21096.0,21479.0,1078,5581,0,0,0.0
20150212,21410.0,21670.0,21344.0,21376.0,1078,5129,0,0,0.0
20150213,21327.0,21815.0,21334.0,21780.0,1590,4659,0,0,0.0
20150217,21741.0,22094.0,21406.0,22101.0,2547,3869,0,0,0.0
20150218,22113.0,22590.0,21964.0,22494.0,2764,3106,0,0,0.0
20150219,22413.0,22528.0,22223.0,22349.0,2190,2499,201505,201505,0.0
20150220,22330.0,22332.0,22006.0,22204.0,1746,6660,0,0,620.0
20150223,22240.0,22242.0,21514.0,21560.0,1046,6801,0,0,0.0
20150224,21667.0,21739.0,21373.0,21540.0,1502,7049,0,0,0.0
20150225,21526.0,21900.0,21172.0,21661.0,2097,7312,0,0,0.0
20150226,21647.0,21659.0,21172.0,21430.0,1906,7610,0,0,0.0
20150227,21436.0,21689.0,21202.0,21611.0,1060,7634,0,0,0.0
20150302,21476.0,21930.0,21473.0,21712.0,489,7650,0,0,0.0
20150303,21697.0,21789.0,21322.0,21370.0,797,7624,0,0,0.0
20150304,21365.0,21628.0,21362.0,21571.0,515,7578,0,0,0.0
20150305,21476.0,21648.0,21282.0,21310.0,596,7555,0,0,0.0
20150306,21295.0,21387.0,20890.0,21069.0,578,7552,0,0,0.0
20150309,20943.0,21196.0,20910.0,21190.0,370,7541,0,0,0.0
20150310,21194.0,21256.0,21010.0,21160.0,242,7497,0,0,0.0
20150311,21204.0,21588.0,21171.0,21592.0,608,7479,0,0,0.0
20150312,21495.0,21809.0,21402.0,21481.0,609,7436,0,0,0.0
20150313,21405.0,21628.0,21221.0,21280.0,233,7428,0,0,0.0
20150316,21264.0,21487.0,20899.0,21169.0,394,7421,0,0,0.0
20150317,21194.0,21366.0,21120.0,21370.0,216,7368,0,0,0.0
20150318,21355.0,22220.0,21261.0,22215.0,699,7151,0,0,0.0
20150319,22048.0,22069.0,21623.0,21974.0,292,7088,0,0,0.0
20150320,21827.0,21999.0,21814.0,21964.0,292,7103,0,0,0.0
20150323,21927.0,22240.0,21914.0,22185.0,373,7184,0,0,0.0
20150324,22088.0,22732.0,22085.0,22376.0,705,7113,0,0,0.0
20150325,22410.0,22431.0,21995.0,22044.0,717,7185,0,0,0.0
20150326,22048.0,22361.0,21995.0,22346.0,336,7142,0,0,0.0
20150327,22339.0,22361.0,22015.0,22105.0,407,7076,0,0,0.0
20150330,22048.0,22421.0,22005.0,22366.0,996,6843,0,0,0.0
20150331,22209.0,22491.0,21834.0,21873.0,1500,6780,0,0,0.0
20150401,21747.0,22029.0,21643.0,21682.0,957,6640,0,0,0.0
20150402,21667.0,21908.0,21633.0,21853.0,560,6643,0,0,0.0
20150406,21808.0,21908.0,21703.0,21773.0,228,6647,0,0,0.0
20150407,21748.0,21858.0,21442.0,21481.0,3186,6622,0,0,0.0
20150408,21497.0,21597.0,21221.0,21270.0,2165,6475,0,0,0.0
20150409,21296.0,21356.0,20889.0,20918.0,2862,6552,0,0,0.0
20150410,20974.0,20994.0,20608.0,20636.0,2862,6552,0,0,0.0
20150413,20743.0,20823.0,20266.0,20324.0,524,6418,0,0,0.0
20150414,20271.0,20562.0,20115.0,20535.0,1120,6389,0,0,0.0
20150415,20482.0,20703.0,20266.0,20304.0,651,5850,0,0,0.0
20150416,20301.0,20361.0,19904.0,20043.0,927,5452,0,0,0.0
20150417,20160.0,20160.0,19603.0,19922.0,1331,5228,0,0,0.0
20150420,20009.0,20039.0,19613.0,19661.0,527,4764,0,0,0.0
20150421,19667.0,20160.0,19663.0,20073.0,1608,4605,201507,201507,0.0
20150422,20099.0,20431.0,20075.0,20435.0,883,5530,0,0,460.0
20150423,20315.0,20392.0,20154.0,20238.0,851,5809,0,0,0.0
20150424,20246.0,20294.0,20095.0,20120.0,676,6199,0,0,0.0
20150427,20118.0,20196.0,19889.0,19913.0,1120,6541,0,0,0.0
20150428,19931.0,20343.0,19909.0,20129.0,868,7067,0,0,0.0
20150429,20118.0,20589.0,19988.0,20513.0,1544,7292,0,0,0.0
20150430,20491.0,20550.0,19998.0,20247.0,592,7731,0,0,0.0
20150501,20216.0,20226.0,19998.0,20070.0,615,7702,0,0,0.0
20150504,20049.0,20511.0,19802.0,19873.0,462,7714,0,0,0.0
20150505,19882.0,20029.0,19527.0,19617.0,463,7732,0,0,0.0
20150506,19538.0,19764.0,19154.0,19263.0,626,7740,0,0,0.0
20150507,19155.0,19253.0,19016.0,19066.0,546,7754,0,0,0.0
20150508,19037.0,19263.0,19016.0,19154.0,251,7798,0,0,0.0
20150511,19175.0,19479.0,18869.0,18898.0,387,7852,0,0,0.0
20150512,18861.0,18889.0,18191.0,18574.0,591,7845,0,0,0.0
20150513,18547.0,18673.0,18171.0,18574.0,411,7877,0,0,0.0
20150514,18459.0,18987.0,18377.0,18948.0,364,7922,0,0,0.0
20150515,18832.0,18908.0,18623.0,18830.0,332,7892,0,0,0.0
20150518,18832.0,19380.0,18829.0,19263.0,336,7893,0,0,0.0
20150519,19225.0,19360.0,18888.0,18978.0,208,7865,0,0,0.0
