Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,18662.5,18787.5,17875.0,17950.0,534,4058,0,0,0.0
20140604,17938.0,18125.0,17850.0,18038.0,441,4127,0,0,0.0
20140605,18088.0,18438.0,17800.0,17813.0,630,4043,0,0,0.0
20140606,17813.0,17900.0,17675.0,17838.0,407,4054,0,0,0.0
20140609,17876.0,17888.0,16988.0,17150.0,2149,3156,0,0,0.0
20140610,17238.0,17425.0,16938.0,17375.0,981,3050,0,0,0.0
20140611,17251.0,17388.0,17188.0,17313.0,475,2770,0,0,0.0
20140612,17389.0,17388.0,17038.0,17225.0,1700,2283,201409,201409,0.0
20140613,17301.0,17401.0,17138.0,17375.0,676,1320,0,0,-550.0
20140616,17585.0,17646.0,16996.0,17052.0,1482,1419,0,0,0.0
20140617,17120.0,17181.0,16983.0,17052.0,1370,1423,0,0,0.0
20140618,16939.0,17142.0,16854.0,17129.0,337,1421,0,0,0.0
20140619,17301.0,17684.0,17306.0,17568.0,1215,1440,0,0,0.0
20140620,17650.0,17645.0,17138.0,17555.0,1640,1505,0,0,0.0
20140623,17237.0,17529.0,17241.0,17400.0,621,1540,0,0,0.0
20140624,17302.0,17568.0,17254.0,17271.0,657,1553,0,0,0.0
20140625,17302.0,17400.0,17060.0,17297.0,610,1581,0,0,0.0
20140626,17289.0,17452.0,17202.0,17220.0,536,1605,0,0,0.0
20140627,17224.0,17271.0,16840.0,16923.0,716,1605,0,0,0.0
20140630,16927.0,16922.0,16530.0,16691.0,658,1603,0,0,0.0
20140701,16695.0,17542.0,16401.0,17388.0,598,1629,0,0,0.0
20140702,17392.0,17955.0,17395.0,17904.0,676,1628,0,0,0.0
20140703,17973.0,18407.0,17821.0,18136.0,792,1626,0,0,0.0
20140707,18283.0,18407.0,17692.0,17865.0,424,1637,0,0,0.0
20140708,17625.0,18317.0,17563.0,18072.0,414,1648,0,0,0.0
20140709,18025.0,18020.0,17382.0,17439.0,228,1636,0,0,0.0
20140710,17457.0,17607.0,17279.0,17387.0,356,1636,0,0,0.0
20140711,17354.0,17400.0,16969.0,16974.0,256,1623,0,0,0.0
20140714,16915.0,17348.0,16879.0,17245.0,378,1624,0,0,0.0
20140715,17302.0,17335.0,17163.0,17258.0,276,1621,0,0,0.0
20140716,17341.0,17567.0,17344.0,17503.0,344,1621,0,0,0.0
20140717,17496.0,17709.0,17421.0,17413.0,384,1616,0,0,0.0
20140718,17328.0,17335.0,17059.0,17116.0,398,1623,0,0,0.0
20140721,17147.0,17141.0,16956.0,17129.0,338,1607,0,0,0.0
20140722,17134.0,17193.0,16969.0,17039.0,265,1605,0,0,0.0
20140723,17095.0,17258.0,16943.0,17194.0,416,1620,0,0,0.0
20140724,17198.0,17413.0,17072.0,17401.0,276,1613,0,0,0.0
20140725,17495.0,18058.0,17434.0,17969.0,457,1612,0,0,0.0
20140728,17986.0,19258.0,17989.0,18924.0,731,1674,0,0,0.0
20140729,18980.0,19077.0,18299.0,18408.0,731,1710,0,0,0.0
20140730,18399.0,18496.0,18196.0,18253.0,1262,1379,0,0,0.0
