Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,24060.0,24450.0,24060.0,24427.5,1539,12613,0,0,0.0
20140604,24435.0,24750.0,24330.0,24540.0,1171,12561,0,0,0.0
20140605,24518.0,24668.0,24450.0,24592.0,1059,12323,0,0,0.0
20140606,24593.0,24653.0,24458.0,24510.0,1214,12067,0,0,0.0
20140609,24465.0,24661.0,24466.0,24645.0,880,11973,0,0,0.0
20140610,24675.0,24901.0,24639.0,24758.0,1738,11853,0,0,0.0
20140611,24780.0,24826.0,24076.0,24390.0,2023,11700,0,0,0.0
20140612,24308.0,24586.0,24196.0,24278.0,1756,10998,0,0,0.0
20140613,24270.0,24781.0,24106.0,24683.0,2868,10224,0,0,0.0
20140616,24668.0,24668.0,23701.0,24105.0,3497,8862,0,0,0.0
20140617,24105.0,24218.0,23911.0,24203.0,2685,7968,0,0,0.0
20140618,24203.0,24226.0,23934.0,24158.0,1656,7329,0,0,0.0
20140619,24241.0,24241.0,23934.0,23963.0,3747,5658,0,0,0.0
20140620,24001.0,24001.0,23566.0,23723.0,2969,4362,0,0,0.0
20140623,23738.0,24001.0,23551.0,23625.0,3728,2790,0,0,0.0
20140624,23565.0,23566.0,22133.0,22568.0,6669,1767,201409,201409,0.0
20140625,22478.0,22486.0,21765.0,22080.0,3881,12397,0,0,630.0
20140626,22091.0,22092.0,21379.0,21555.0,2648,11994,0,0,0.0
20140627,21485.0,21953.0,21394.0,21679.0,1711,11623,0,0,0.0
20140630,21740.0,21778.0,21285.0,21402.0,1581,11609,0,0,0.0
20140701,21353.0,21625.0,21219.0,21497.0,1130,11301,0,0,0.0
20140702,21477.0,21807.0,21423.0,21599.0,894,11040,0,0,0.0
20140703,21667.0,21887.0,21445.0,21657.0,639,10909,0,0,0.0
20140707,21813.0,22237.0,21737.0,21898.0,839,10843,0,0,0.0
20140708,21908.0,22135.0,21752.0,22000.0,461,10735,0,0,0.0
20140709,22010.0,22062.0,21854.0,22029.0,552,10693,0,0,0.0
20140710,22032.0,22047.0,21606.0,21825.0,616,10617,0,0,0.0
20140711,21893.0,22003.0,21314.0,21825.0,631,10526,0,0,0.0
20140714,21966.0,22032.0,21708.0,21905.0,639,10526,0,0,0.0
20140715,21922.0,22317.0,21905.0,22109.0,931,10348,0,0,0.0
20140716,22134.0,22208.0,22000.0,22138.0,360,10329,0,0,0.0
20140717,22061.0,22223.0,21883.0,22109.0,869,10094,0,0,0.0
20140718,22119.0,22318.0,22014.0,22255.0,530,10086,0,0,0.0
20140721,22250.0,22457.0,22189.0,22343.0,485,10011,0,0,0.0
20140722,22221.0,22515.0,21803.0,22379.0,893,9837,0,0,0.0
20140723,22323.0,22486.0,22167.0,22240.0,726,9692,0,0,0.0
20140724,22228.0,22318.0,21686.0,21846.0,968,9530,0,0,0.0
20140725,21936.0,21939.0,21548.0,21620.0,764,9457,0,0,0.0
20140728,21724.0,21735.0,21358.0,21576.0,1285,9215,0,0,0.0
20140729,21600.0,21647.0,20811.0,21109.0,1284,9255,0,0,0.0
20140730,21140.0,21144.0,20199.0,20358.0,3185,8995,0,0,0.0
20140731,20308.0,20546.0,20009.0,20518.0,2155,8530,0,0,0.0
