Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,83250.0,83850.0,83135.0,83670.0,2949,40163,0,0,0.0
20140604,83770.0,83800.0,83270.0,83715.0,3076,39979,0,0,0.0
20140605,83725.0,83990.0,83285.0,83945.0,2893,39905,0,0,0.0
20140606,83970.0,84640.0,83670.0,84425.0,6238,39486,0,0,0.0
20140609,84480.0,84640.0,84020.0,84160.0,2209,39273,0,0,0.0
20140610,84315.0,85575.0,84105.0,85455.0,6261,40036,0,0,0.0
20140611,85455.0,86460.0,85195.0,86015.0,4466,40366,0,0,0.0
20140612,86170.0,86320.0,81850.0,81940.0,15700,38626,0,0,0.0
20140613,82510.0,83125.0,80635.0,81260.0,8904,37932,0,0,0.0
20140616,81550.0,82350.0,80830.0,80935.0,4163,38150,0,0,0.0
20140617,81025.0,81905.0,80800.0,81670.0,4003,38299,0,0,0.0
20140618,81730.0,83450.0,81725.0,82265.0,4966,38109,0,0,0.0
20140619,82670.0,83900.0,82450.0,83860.0,5034,38745,0,0,0.0
20140620,83835.0,83850.0,81895.0,82220.0,4444,38544,0,0,0.0
20140623,82165.0,82350.0,81050.0,82265.0,4821,38291,0,0,0.0
20140624,82195.0,83465.0,81945.0,83040.0,4207,38564,0,0,0.0
20140625,82905.0,83475.0,82230.0,83325.0,3655,38766,0,0,0.0
20140626,83245.0,83840.0,82750.0,83580.0,3775,38612,0,0,0.0
20140627,83630.0,84400.0,83530.0,84285.0,3626,39032,0,0,0.0
20140630,84290.0,84800.0,84055.0,84315.0,3139,38719,0,0,0.0
20140701,84420.0,85580.0,84345.0,85460.0,4427,39101,0,0,0.0
20140702,85430.0,86285.0,85020.0,85740.0,5745,39398,0,0,0.0
20140703,85740.0,86745.0,84910.0,86190.0,6306,40334,0,0,0.0
20140707,86470.0,86960.0,85635.0,86895.0,4476,40416,0,0,0.0
20140708,86975.0,87600.0,86605.0,87290.0,4239,40134,0,0,0.0
20140709,87275.0,87600.0,87050.0,87270.0,2946,40080,0,0,0.0
20140710,87300.0,87775.0,86010.0,87360.0,4739,40180,0,0,0.0
20140711,87260.0,87580.0,86500.0,87530.0,3294,40231,0,0,0.0
20140714,87420.0,87485.0,86715.0,87200.0,4725,40210,0,0,0.0
20140715,87220.0,87600.0,86290.0,86855.0,5329,40527,0,0,0.0
20140716,86790.0,87720.0,86700.0,87675.0,4076,41059,0,0,0.0
20140717,87535.0,89000.0,87470.0,88510.0,6713,41616,0,0,0.0
20140718,88335.0,88755.0,87010.0,88150.0,4602,41735,0,0,0.0
20140721,88190.0,88650.0,87605.0,87715.0,3329,41446,0,0,0.0
20140722,87600.0,87755.0,86650.0,87485.0,4025,41244,0,0,0.0
20140723,87250.0,87890.0,87155.0,87430.0,2404,41276,0,0,0.0
20140724,87210.0,87545.0,86780.0,87095.0,4212,41385,0,0,0.0
20140725,87115.0,88090.0,87055.0,87980.0,4067,41386,0,0,0.0
20140728,88105.0,88990.0,87775.0,88075.0,4863,42059,0,0,0.0
20140729,88075.0,88680.0,87810.0,87830.0,4844,41734,0,0,0.0
20140730,87900.0,88325.0,87710.0,88015.0,3585,41401,0,0,0.0
20140731,88145.0,88345.0,87005.0,87370.0,5121,41389,0,0,0.0
20140801,87370.0,87600.0,86160.0,86455.0,6210,40687,0,0,0.0
20140804,86455.0,87075.0,85345.0,85510.0,6141,40193,0,0,0.0
20140805,85645.0,86000.0,83750.0,84835.0,9736,39244,0,0,0.0
20140806,84880.0,85100.0,84035.0,84890.0,5868,38960,0,0,0.0
20140807,85060.0,86080.0,84700.0,85605.0,8680,38484,0,0,0.0
20140808,85645.0,86440.0,85460.0,86050.0,6598,37988,0,0,0.0
20140811,86340.0,87655.0,85760.0,87470.0,7871,36235,0,0,0.0
20140812,87560.0,88405.0,87290.0,87800.0,7603,35348,0,0,0.0
20140813,87830.0,88295.0,87500.0,88160.0,6627,34464,0,0,0.0
20140814,88085.0,88725.0,87765.0,88615.0,5068,34106,0,0,0.0
20140815,88355.0,89600.0,87340.0,89450.0,14365,32511,0,0,0.0
20140818,89475.0,90275.0,89190.0,89490.0,7716,31008,0,0,0.0
20140819,89315.0,89730.0,87660.0,88080.0,10058,28705,0,0,0.0
20140820,88215.0,88300.0,86550.0,86845.0,13319,25639,0,0,0.0
20140821,86700.0,88025.0,86500.0,87990.0,11247,23519,201412,201412,0.0
20140822,87975.0,88915.0,87975.0,88785.0,14403,25045,0,0,85.0
20140825,88784.0,89115.0,88135.0,89065.0,14610,30383,0,0,0.0
20140826,89024.0,89125.0,88415.0,88930.0,21569,36388,0,0,0.0
20140827,88739.0,89405.0,88445.0,89385.0,14329,39792,0,0,0.0
20140828,89403.0,90064.0,89269.0,89725.0,10365,41854,0,0,0.0
20140829,89688.0,90963.0,89484.0,90869.0,6063,42799,0,0,0.0
20140902,90867.0,91213.0,88070.0,88241.0,6063,42799,0,0,0.0
20140903,88175.0,88745.0,86921.0,87512.0,6763,42148,0,0,0.0
20140904,87461.0,89085.0,87231.0,89016.0,5645,41851,0,0,0.0
20140905,88910.0,89220.0,88270.0,89061.0,3150,41757,0,0,0.0
20140908,88905.0,89610.0,88130.0,88531.0,3162,41611,0,0,0.0
20140909,88600.0,88726.0,85478.0,85963.0,7841,42173,0,0,0.0
20140910,86217.0,86418.0,84549.0,84824.0,7430,41289,0,0,0.0
20140911,85353.0,85354.0,82981.0,83241.0,8179,40251,0,0,0.0
20140912,83385.0,83840.0,82122.0,83526.0,8185,39788,0,0,0.0
20140915,83675.0,84984.0,83341.0,83611.0,5343,39332,0,0,0.0
20140916,83485.0,84619.0,83241.0,84350.0,4682,39712,0,0,0.0
20140917,84029.0,84589.0,83251.0,83825.0,2687,35011,0,0,0.0
20140918,83320.0,83330.0,81942.0,83086.0,4809,34942,0,0,0.0
20140919,82970.0,83295.0,80623.0,81183.0,7087,35247,0,0,0.0
20140922,81267.0,81582.0,79954.0,80239.0,5099,34703,0,0,0.0
20140923,80088.0,81822.0,80089.0,81503.0,5220,34207,0,0,0.0
20140924,81282.0,82466.0,81283.0,81928.0,5502,34713,0,0,0.0
20140925,81612.0,81612.0,79475.0,80200.0,7272,34309,0,0,0.0
20140926,80273.0,80923.0,77727.0,78307.0,6665,34476,0,0,0.0
20140929,77860.0,79275.0,77777.0,78876.0,4988,33941,0,0,0.0
20140930,78944.0,79275.0,76663.0,77442.0,6292,33731,0,0,0.0
20141001,77381.0,78471.0,76318.0,78381.0,5432,33996,0,0,0.0
20141002,77925.0,78666.0,76728.0,76792.0,4268,33596,0,0,0.0
20141003,76891.0,77312.0,75154.0,75383.0,7425,33448,0,0,0.0
20141006,75542.0,76817.0,73431.0,76537.0,4860,33132,0,0,0.0
20141007,76746.0,78925.0,76713.0,78625.0,6194,32760,0,0,0.0
20141008,78574.0,80434.0,78396.0,79569.0,5390,32866,0,0,0.0
20141009,80387.0,81198.0,79375.0,79974.0,5737,32702,0,0,0.0
20141010,79553.0,79580.0,78026.0,78430.0,4980,32719,0,0,0.0
20141013,78514.0,79310.0,78121.0,78520.0,3022,32787,0,0,0.0
20141014,78359.0,79625.0,78361.0,79434.0,2874,32647,0,0,0.0
20141015,79173.0,79175.0,76128.0,76352.0,8451,32241,0,0,0.0
20141016,76586.0,77052.0,72926.0,74529.0,12216,32122,0,0,0.0
20141017,74128.0,76028.0,73955.0,75598.0,5592,31516,0,0,0.0
20141020,75327.0,76398.0,75299.0,76157.0,3224,31286,0,0,0.0
20141021,76211.0,77687.0,75843.0,77526.0,3601,30768,0,0,0.0
20141022,77510.0,78326.0,76777.0,77596.0,3470,30424,0,0,0.0
20141023,76896.0,78211.0,76377.0,77856.0,4202,30905,0,0,0.0
20141024,78125.0,78925.0,77726.0,78016.0,3122,30702,0,0,0.0
20141027,77905.0,78795.0,77646.0,78640.0,2956,30809,0,0,0.0
20141028,78509.0,80119.0,77931.0,79259.0,3664,30938,0,0,0.0
20141029,79413.0,80224.0,79075.0,79993.0,3744,30097,0,0,0.0
20141030,79458.0,79470.0,77432.0,77995.0,5403,30258,0,0,0.0
20141031,77845.0,79530.0,76987.0,79104.0,5514,30400,0,0,0.0
20141103,79274.0,80824.0,78745.0,80363.0,5255,29836,0,0,0.0
20141104,80288.0,80469.0,78225.0,78989.0,5786,29551,0,0,0.0
20141105,78570.0,78681.0,75438.0,75712.0,7920,29330,0,0,0.0
20141106,75888.0,76128.0,74574.0,75188.0,5822,29195,0,0,0.0
20141107,75079.0,77637.0,74719.0,77181.0,6422,28294,0,0,0.0
20141110,77032.0,77577.0,76028.0,76552.0,6736,27161,0,0,0.0
20141111,76123.0,77402.0,75429.0,77196.0,4533,26674,0,0,0.0
20141112,77197.0,78301.0,76893.0,77291.0,7869,24626,0,0,0.0
20141113,77327.0,77941.0,76339.0,77011.0,6934,23053,0,0,0.0
20141114,76862.0,77317.0,75080.0,77061.0,9066,21802,0,0,0.0
20141117,76927.0,77507.0,76089.0,76796.0,5564,20535,0,0,0.0
20141118,76977.0,77712.0,76479.0,77595.0,3629,20220,0,0,0.0
20141119,77292.0,77927.0,76239.0,76921.0,11583,17651,0,0,0.0
20141120,76328.0,77213.0,76104.0,76641.0,12760,13722,201503,201503,0.0
20141121,76907.0,79261.0,76773.0,79229.0,13051,23303,0,0,325.0
20141124,79026.0,79734.0,78390.0,78766.0,15040,26551,0,0,0.0
20141125,78832.0,79639.0,78743.0,79283.0,18197,30231,0,0,0.0
20141126,79116.0,80097.0,78753.0,79845.0,8220,30787,0,0,0.0
20141128,80011.0,81201.0,78952.0,80920.0,7498,30905,0,0,0.0
20141201,80832.0,80843.0,78733.0,80403.0,6449,31046,0,0,0.0
20141202,80136.0,80788.0,79211.0,79970.0,4001,31059,0,0,0.0
20141203,79882.0,81062.0,78997.0,79353.0,3934,31234,0,0,0.0
20141204,79171.0,80356.0,79171.0,79811.0,2945,30983,0,0,0.0
20141205,79430.0,80252.0,79241.0,79866.0,2428,31112,0,0,0.0
20141208,79922.0,80366.0,79241.0,79378.0,2615,31201,0,0,0.0
20141209,79589.0,80859.0,79176.0,80751.0,4194,31345,0,0,0.0
20141210,80445.0,81839.0,80405.0,81726.0,4995,31146,0,0,0.0
20141211,80982.0,81889.0,80962.0,81547.0,4321,31469,0,0,0.0
20141212,81614.0,81625.0,80733.0,81244.0,2243,31426,0,0,0.0
20141215,81062.0,81346.0,79201.0,79851.0,3243,31498,0,0,0.0
20141216,79306.0,80356.0,77749.0,78005.0,5499,31431,0,0,0.0
20141217,77625.0,78898.0,77102.0,77532.0,4374,31624,0,0,0.0
20141218,77431.0,79132.0,77430.0,78815.0,3553,31297,0,0,0.0
20141219,79013.0,80356.0,78425.0,80103.0,3132,31411,0,0,0.0
20141222,80232.0,81316.0,79952.0,81113.0,3452,31696,0,0,0.0
20141223,80824.0,81197.0,80290.0,80994.0,2474,31973,0,0,0.0
20141224,80695.0,81132.0,80056.0,80372.0,993,32090,0,0,0.0
20141226,80163.0,81510.0,80160.0,81447.0,1134,32029,0,0,0.0
20141229,81436.0,81490.0,80414.0,80790.0,2460,32443,0,0,0.0
20141231,80163.0,80346.0,79091.0,79437.0,2022,32606,0,0,0.0
20150102,79317.0,79888.0,78723.0,79084.0,2307,32593,0,0,0.0
20150105,79615.0,80107.0,78798.0,78920.0,3890,32121,0,0,0.0
20150106,78993.0,80595.0,78992.0,79636.0,4747,31773,0,0,0.0
20150107,79819.0,80043.0,78176.0,78845.0,5427,32058,0,0,0.0
20150108,78779.0,79302.0,78216.0,78910.0,3137,32149,0,0,0.0
20150109,78804.0,79949.0,78699.0,79611.0,3028,31976,0,0,0.0
20150112,79908.0,81088.0,79639.0,80999.0,4011,32227,0,0,0.0
20150113,80644.0,81590.0,80360.0,81158.0,5106,32118,0,0,0.0
20150114,81345.0,81356.0,76226.0,77671.0,9987,31883,0,0,0.0
20150115,77271.0,78605.0,76117.0,76248.0,8640,31922,0,0,0.0
20150116,76485.0,77113.0,74217.0,75049.0,8540,32131,0,0,0.0
20150120,75117.0,77934.0,74754.0,77482.0,8890,32547,0,0,0.0
20150121,77107.0,77909.0,76037.0,76437.0,3324,32623,0,0,0.0
