Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,71900.0,72155.0,71405.0,71675.0,9069,61095,0,0,0.0
20140604,71530.0,72140.0,71070.0,71695.0,13090,59686,0,0,0.0
20140605,71910.0,72435.0,71295.0,72255.0,12191,58589,0,0,0.0
20140606,72390.0,72920.0,72145.0,72650.0,20998,53399,0,0,0.0
20140609,72650.0,72825.0,72230.0,72715.0,9955,51878,0,0,0.0
20140610,72700.0,74290.0,72570.0,74110.0,19017,51438,0,0,0.0
20140611,74100.0,74420.0,73740.0,74055.0,14624,50701,0,0,0.0
20140612,74105.0,74260.0,71815.0,72065.0,30820,51362,0,0,0.0
20140613,72220.0,72865.0,71655.0,71750.0,13164,48427,0,0,0.0
20140616,71780.0,72280.0,71775.0,71955.0,14239,45161,0,0,0.0
20140617,71725.0,72190.0,71305.0,72155.0,15641,42742,0,0,0.0
20140618,72150.0,73200.0,71925.0,72540.0,17612,39784,0,0,0.0
20140619,72600.0,73845.0,72505.0,73725.0,19124,36899,201410,201410,0.0
20140620,73725.0,73725.0,72625.0,72880.0,17493,32213,0,0,30.0
20140623,72820.0,72925.0,72075.0,72845.0,26206,37812,0,0,0.0
20140624,72835.0,73810.0,72570.0,73625.0,38715,46554,0,0,0.0
20140625,73625.0,73920.0,72780.0,73685.0,26055,53431,0,0,0.0
20140626,73700.0,73700.0,73080.0,73535.0,26498,61448,0,0,0.0
20140627,73535.0,74365.0,73450.0,73985.0,16693,64390,0,0,0.0
20140630,73965.0,74575.0,73780.0,74115.0,8480,65658,0,0,0.0
20140701,74475.0,75805.0,74150.0,75719.0,16459,68314,0,0,0.0
20140702,75545.0,76120.0,75020.0,75544.0,16917,69727,0,0,0.0
20140703,75470.0,75535.0,74695.0,75354.0,11023,70872,0,0,0.0
20140707,75315.0,75405.0,74590.0,74749.0,9552,71459,0,0,0.0
20140708,75005.0,75445.0,74650.0,74794.0,8627,71684,0,0,0.0
20140709,74965.0,75770.0,74965.0,75314.0,6661,71800,0,0,0.0
20140710,75345.0,76160.0,75275.0,75819.0,9639,71705,0,0,0.0
