Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140609,116200.0,117540.0,115750.0,116960.0,104306,5242,0,0,0.0
20140610,116800.0,116880.0,116040.0,116740.0,107464,8959,0,0,0.0
20140611,116870.0,116870.0,115480.0,116120.0,124223,26798,0,0,0.0
20140612,116110.0,116430.0,114970.0,115550.0,261165,91561,0,0,0.0
20140613,115510.0,115990.0,114720.0,115710.0,226850,143059,0,0,0.0
20140616,115600.0,116290.0,114930.0,116180.0,245712,205585,0,0,0.0
20140617,116280.0,117490.0,115810.0,116890.0,253246,254098,0,0,0.0
20140618,116900.0,117970.0,116250.0,117920.0,197327,289229,0,0,0.0
20140619,117920.0,118270.0,117100.0,117860.0,138502,301400,0,0,0.0
20140620,117700.0,118400.0,117580.0,118290.0,81017,302641,0,0,0.0
20140623,118320.0,118800.0,117680.0,117890.0,86791,305986,0,0,0.0
20140624,117820.0,118950.0,116660.0,116810.0,129304,308294,0,0,0.0
20140625,116700.0,117850.0,115640.0,117730.0,120551,311174,0,0,0.0
20140626,117760.0,117930.0,116610.0,117620.0,108523,311072,0,0,0.0
20140627,117630.0,118550.0,116990.0,118200.0,120908,312967,0,0,0.0
20140630,118120.0,119030.0,117700.0,119030.0,100039,318568,0,0,0.0
20140701,118980.0,121070.0,118890.0,120110.0,154481,322905,0,0,0.0
20140702,120260.0,120490.0,119400.0,119680.0,91471,322627,0,0,0.0
20140703,119680.0,120460.0,119450.0,120340.0,3055,321119,0,0,0.0
20140707,120240.0,120300.0,118200.0,118320.0,104472,323412,0,0,0.0
20140708,118250.0,118250.0,116190.0,117140.0,151279,322521,0,0,0.0
20140709,117140.0,117600.0,116530.0,117090.0,108593,322997,0,0,0.0
20140710,117040.0,117130.0,114050.0,115770.0,168735,329475,0,0,0.0
20140711,115470.0,116510.0,114990.0,115570.0,97253,331328,0,0,0.0
20140714,115570.0,117030.0,115560.0,116160.0,92959,327392,0,0,0.0
20140715,116150.0,116500.0,114330.0,115180.0,144571,329285,0,0,0.0
20140716,115180.0,115810.0,114290.0,114720.0,148019,325760,0,0,0.0
20140717,114510.0,114770.0,112380.0,112900.0,173953,329073,0,0,0.0
20140718,112670.0,114960.0,112400.0,114640.0,130070,325115,0,0,0.0
20140721,114520.0,114580.0,113490.0,114220.0,111747,322916,0,0,0.0
20140722,114140.0,115750.0,114140.0,115000.0,101221,323551,0,0,0.0
20140723,114960.0,115940.0,114880.0,115320.0,91422,323793,0,0,0.0
20140724,115410.0,116160.0,114800.0,114970.0,108801,326429,0,0,0.0
20140725,114850.0,114960.0,113600.0,114060.0,113392,330782,0,0,0.0
20140728,114110.0,114490.0,112710.0,113560.0,104820,332285,0,0,0.0
20140729,113550.0,114620.0,113030.0,113760.0,104819,333137,0,0,0.0
20140730,113990.0,114920.0,113800.0,114370.0,116803,331031,0,0,0.0
20140731,114320.0,114350.0,111480.0,111670.0,188816,335906,0,0,0.0
20140801,111810.0,112230.0,110310.0,111180.0,215248,343485,0,0,0.0
20140804,111080.0,112290.0,110340.0,112000.0,126108,341519,0,0,0.0
20140805,112020.0,112720.0,111040.0,111790.0,165887,340880,0,0,0.0
20140806,111900.0,112990.0,110760.0,112180.0,122148,341191,0,0,0.0
20140807,112230.0,113030.0,111250.0,111630.0,148235,344692,0,0,0.0
20140808,111610.0,112930.0,110520.0,112610.0,123665,342402,0,0,0.0
20140811,112620.0,114760.0,112620.0,113770.0,110139,343176,0,0,0.0
20140812,113860.0,114060.0,112550.0,112990.0,112375,342801,0,0,0.0
20140813,113090.0,114190.0,113020.0,114020.0,87879,344045,0,0,0.0
20140814,114060.0,114400.0,113610.0,114340.0,73027,347243,0,0,0.0
