Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,74875.0,75100.0,73750.0,74062.5,170528,243507,0,0,0.0
20140604,74063.0,74788.0,73788.0,74125.0,141417,236419,0,0,0.0
20140605,74126.0,74363.0,73000.0,73025.0,193583,221722,0,0,0.0
20140606,73051.0,73325.0,72800.0,72850.0,157665,205723,0,0,0.0
20140609,72913.0,73488.0,72600.0,72850.0,192456,192812,0,0,0.0
20140610,72850.0,73763.0,72713.0,73125.0,205574,183566,0,0,0.0
20140611,73088.0,73325.0,72225.0,72275.0,236479,164485,0,0,0.0
20140612,72200.0,72638.0,70500.0,70763.0,279281,142484,0,0,0.0
20140613,70750.0,71450.0,70550.0,71288.0,142078,137048,0,0,0.0
20140616,71388.0,71775.0,70875.0,71088.0,153990,127352,0,0,0.0
20140617,71075.0,71263.0,69788.0,69913.0,212406,112195,0,0,0.0
20140618,69925.0,70950.0,69675.0,70451.0,157802,105739,0,0,0.0
20140619,70475.0,71150.0,70300.0,71039.0,131937,94684,201408,201408,0.0
20140620,71075.0,71113.0,70075.0,70751.0,162063,49180,0,0,-2675.0
20140623,70971.0,71594.0,70153.0,70959.0,181658,50425,0,0,0.0
20140624,70880.0,70906.0,70231.0,70556.0,178192,53603,0,0,0.0
20140625,70555.0,71023.0,70543.0,70764.0,150156,61237,0,0,0.0
20140626,70737.0,71841.0,70712.0,71803.0,192690,64786,0,0,0.0
20140627,71581.0,72335.0,71466.0,71608.0,200650,68984,0,0,0.0
20140630,71542.0,72218.0,68321.0,69101.0,337009,66586,0,0,0.0
20140701,68957.0,69360.0,67840.0,68997.0,240693,65396,0,0,0.0
20140702,69100.0,69360.0,68165.0,68321.0,159832,65217,0,0,0.0
20140703,68308.0,68659.0,67437.0,67542.0,130961,63942,0,0,0.0
20140707,66892.0,67022.0,65994.0,66165.0,158006,65023,0,0,0.0
20140708,66087.0,66217.0,64668.0,64879.0,166539,63731,0,0,0.0
20140709,64814.0,65126.0,64005.0,64775.0,192372,63235,0,0,0.0
20140710,64749.0,65503.0,63836.0,64060.0,151975,62479,0,0,0.0
20140711,64035.0,64334.0,60262.0,62137.0,255216,61715,0,0,0.0
20140714,61996.0,62944.0,61809.0,62202.0,160468,59182,0,0,0.0
20140715,62048.0,62087.0,59951.0,61345.0,195855,57231,0,0,0.0
20140716,61334.0,62529.0,61368.0,61696.0,165862,56453,0,0,0.0
20140717,61776.0,62347.0,60874.0,61046.0,193025,53629,0,0,0.0
20140718,60997.0,61555.0,60887.0,61150.0,121176,51852,0,0,0.0
20140721,60984.0,61568.0,60614.0,61098.0,154772,48966,201411,201411,0.0
20140722,61049.0,61737.0,60484.0,60500.0,154627,405909,0,0,-5325.0
20140723,60421.0,61494.0,60370.0,61572.0,188127,409197,0,0,0.0
20140724,61449.0,63192.0,61529.0,62044.0,144209,404471,0,0,0.0
20140725,61978.0,62051.0,61243.0,61973.0,161681,404444,0,0,0.0
20140728,62364.0,63349.0,62387.0,63360.0,173798,399944,0,0,0.0
20140729,63535.0,63720.0,62315.0,62631.0,174544,394043,0,0,0.0
20140730,62507.0,62678.0,61600.0,61845.0,153520,393963,0,0,0.0
20140731,61721.0,62064.0,61543.0,61888.0,136679,395774,0,0,0.0
20140801,61550.0,61622.0,60427.0,60544.0,169105,404666,0,0,0.0
20140804,60322.0,61693.0,60313.0,61745.0,136079,404404,0,0,0.0
20140805,61322.0,61379.0,60571.0,60959.0,120606,404270,0,0,0.0
20140806,60822.0,61693.0,60628.0,61774.0,156187,398411,0,0,0.0
20140807,61679.0,61907.0,61286.0,61660.0,115114,399633,0,0,0.0
20140808,61522.0,61921.0,61329.0,62046.0,121818,398530,0,0,0.0
20140811,61722.0,62164.0,61343.0,61388.0,149699,405062,0,0,0.0
20140812,61322.0,61436.0,59684.0,60602.0,229887,404905,0,0,0.0
20140813,60451.0,60837.0,59856.0,59873.0,149282,407492,0,0,0.0
20140814,59808.0,60438.0,59441.0,60402.0,145847,406032,0,0,0.0
20140815,60237.0,61009.0,59927.0,60173.0,135721,409390,0,0,0.0
20140818,59994.0,60495.0,59855.0,60502.0,116400,404458,0,0,0.0
20140819,60165.0,60338.0,59712.0,60216.0,116156,407174,0,0,0.0
20140820,60094.0,60210.0,59226.0,59372.0,171526,410505,0,0,0.0
20140821,59266.0,59753.0,59226.0,59386.0,142439,411212,0,0,0.0
20140822,59309.0,59796.0,59383.0,59600.0,154965,410448,0,0,0.0
20140825,59152.0,59182.0,58711.0,58871.0,149269,410962,0,0,0.0
20140826,58695.0,58811.0,58353.0,58800.0,148772,411172,0,0,0.0
20140827,58624.0,59054.0,58482.0,58557.0,135624,412176,0,0,0.0
20140828,58481.0,58968.0,58425.0,58843.0,106174,412368,0,0,0.0
20140829,58781.0,59011.0,58425.0,58586.0,96583,416740,0,0,0.0
