Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,19219.2,19353.6,19185.6,19252.8,123634,328514,0,0,0.0
20140604,19242.0,19331.0,19051.0,19085.0,150316,315794,0,0,0.0
20140605,19063.0,19152.0,18827.0,18850.0,157027,295437,0,0,0.0
20140606,18873.0,19029.0,18782.0,18951.0,178752,277239,0,0,0.0
20140609,19007.0,19231.0,18961.0,19018.0,172880,258474,0,0,0.0
20140610,19085.0,19130.0,18860.0,19007.0,210651,224049,0,0,0.0
20140611,18984.0,18984.0,18759.0,18828.0,169609,190637,0,0,0.0
20140612,18771.0,18894.0,18681.0,18705.0,159088,168715,0,0,0.0
20140613,18726.0,19230.0,18670.0,19086.0,153080,160137,0,0,0.0
20140616,19163.0,19286.0,19084.0,19153.0,156381,128996,0,0,0.0
20140617,19118.0,19152.0,18994.0,19108.0,117992,109526,0,0,0.0
20140618,19140.0,19656.0,19084.0,19634.0,213461,95700,0,0,0.0
20140619,19577.0,20138.0,19465.0,20093.0,209324,77947,201410,201410,0.0
20140620,20081.0,20284.0,20047.0,20239.0,120873,488752,0,0,761.6
20140623,20286.0,20306.0,20058.0,20196.0,133318,500084,0,0,0.0
20140624,20081.0,20198.0,19929.0,20174.0,146152,511058,0,0,0.0
20140625,20157.0,20187.0,19875.0,20088.0,127652,517302,0,0,0.0
20140626,20081.0,20241.0,20048.0,20218.0,148918,520809,0,0,0.0
20140627,20178.0,20209.0,19670.0,19775.0,125600,512297,0,0,0.0
20140630,19638.0,19745.0,19400.0,19440.0,102522,504791,0,0,0.0
20140701,19465.0,19475.0,19109.0,19213.0,127174,498179,0,0,0.0
20140702,19238.0,19389.0,19044.0,19289.0,104934,489547,0,0,0.0
20140703,19314.0,19357.0,19130.0,19224.0,61022,484857,0,0,0.0
20140707,19152.0,19163.0,18709.0,18900.0,101693,480479,0,0,0.0
20140708,18936.0,19195.0,18774.0,19083.0,99157,478845,0,0,0.0
20140709,19098.0,19184.0,18634.0,18802.0,93370,472598,0,0,0.0
20140710,18828.0,18839.0,18505.0,18662.0,126313,463255,0,0,0.0
20140711,18655.0,18666.0,18343.0,18425.0,108542,460057,0,0,0.0
20140714,18493.0,18709.0,18451.0,18555.0,85138,455574,0,0,0.0
20140715,18536.0,18655.0,18505.0,18577.0,84357,452555,0,0,0.0
20140716,18601.0,18687.0,18365.0,18426.0,87371,454574,0,0,0.0
20140717,18418.0,18460.0,18203.0,18264.0,87877,460541,0,0,0.0
20140718,18353.0,18568.0,18268.0,18318.0,70360,463959,0,0,0.0
20140721,18396.0,18827.0,18344.0,18653.0,102376,464577,0,0,0.0
