Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,139100.0,139675.0,138950.0,139400.0,28268,46210,0,0,0.0
20140604,139438.0,139688.0,139175.0,139338.0,26984,46862,0,0,0.0
20140605,139338.0,140326.0,138313.0,140201.0,84431,46695,201409,201409,0.0
20140606,140226.0,140288.0,139651.0,139938.0,48752,5021,0,0,125.0
20140609,139926.0,140126.0,139201.0,139276.0,32883,8543,0,0,0.0
20140610,139327.0,139427.0,138764.0,138989.0,57991,19074,0,0,0.0
20140611,139052.0,139177.0,138702.0,138864.0,45298,24914,0,0,0.0
20140612,138902.0,139327.0,138677.0,139226.0,51520,29611,0,0,0.0
20140613,139127.0,139502.0,138689.0,138789.0,41378,32968,0,0,0.0
20140616,138852.0,139415.0,138677.0,139239.0,28540,31711,0,0,0.0
20140617,139314.0,139427.0,138789.0,138914.0,21736,32063,0,0,0.0
20140618,138964.0,139577.0,138889.0,139076.0,37036,31577,0,0,0.0
20140619,139439.0,140251.0,139389.0,139738.0,49946,32945,0,0,0.0
20140620,139751.0,140039.0,139252.0,139513.0,25468,32517,0,0,0.0
20140623,139551.0,139789.0,139352.0,139775.0,19214,32674,0,0,0.0
20140624,139763.0,140026.0,139502.0,139763.0,30055,33408,0,0,0.0
20140625,139800.0,140326.0,139714.0,139963.0,30474,34317,0,0,0.0
20140626,139987.0,140076.0,139527.0,139813.0,31544,33536,0,0,0.0
20140627,139850.0,140326.0,139814.0,140238.0,28233,33785,0,0,0.0
20140630,140275.0,141025.0,140176.0,140962.0,39070,35288,0,0,0.0
20140701,140937.0,141100.0,140750.0,140825.0,28775,34940,0,0,0.0
20140702,140812.0,140838.0,140425.0,140538.0,28352,35712,0,0,0.0
20140703,140562.0,140626.0,139313.0,139789.0,36453,34542,0,0,0.0
20140707,139725.0,139939.0,139488.0,139901.0,30267,35757,0,0,0.0
20140708,139875.0,140064.0,139688.0,139938.0,24624,34749,0,0,0.0
20140709,139925.0,140314.0,139800.0,140288.0,30268,34548,0,0,0.0
20140710,140225.0,140351.0,139862.0,139988.0,25293,34128,0,0,0.0
20140711,140013.0,140201.0,139874.0,140063.0,20727,34606,0,0,0.0
20140714,140038.0,140438.0,139886.0,140088.0,30869,34674,0,0,0.0
20140715,140125.0,140213.0,139399.0,139476.0,46568,34660,0,0,0.0
20140716,139463.0,139514.0,138987.0,139039.0,31670,34749,0,0,0.0
20140717,139076.0,139302.0,139024.0,139189.0,32000,36904,0,0,0.0
20140718,139201.0,139290.0,138762.0,139139.0,36478,36702,0,0,0.0
20140721,139139.0,139265.0,138974.0,139127.0,22064,36316,0,0,0.0
20140722,139114.0,139153.0,138387.0,138453.0,45874,38011,0,0,0.0
20140723,138440.0,138566.0,138325.0,138416.0,29617,38897,0,0,0.0
20140724,138428.0,138678.0,138225.0,138404.0,33022,39530,0,0,0.0
20140725,138403.0,138528.0,138013.0,138092.0,21827,40584,0,0,0.0
20140728,138091.0,138266.0,138013.0,138142.0,36013,42417,0,0,0.0
20140729,138178.0,138254.0,137676.0,137755.0,36672,43651,0,0,0.0
20140730,137741.0,137804.0,137139.0,137430.0,49064,48876,0,0,0.0
20140731,137454.0,137642.0,137214.0,137467.0,46580,49573,0,0,0.0
20140801,137454.0,138179.0,137326.0,137917.0,52241,50374,0,0,0.0
20140804,137929.0,137954.0,137688.0,137767.0,30012,53742,0,0,0.0
20140805,137754.0,137817.0,137101.0,137355.0,36842,56847,0,0,0.0
20140806,137354.0,137717.0,137051.0,137592.0,39948,53679,0,0,0.0
20140807,137641.0,137779.0,137188.0,137442.0,33601,55150,0,0,0.0
20140808,137416.0,138304.0,137288.0,137979.0,45264,51720,0,0,0.0
20140811,137953.0,137967.0,137750.0,137792.0,20754,51399,0,0,0.0
20140812,137766.0,137805.0,137213.0,137630.0,28628,51583,0,0,0.0
20140813,137629.0,138155.0,137288.0,137692.0,35465,50878,0,0,0.0
20140814,137654.0,138255.0,137488.0,137829.0,32295,50858,0,0,0.0
20140815,137779.0,138430.0,137713.0,138379.0,38988,52255,0,0,0.0
20140818,138279.0,138393.0,137725.0,137805.0,23991,50485,0,0,0.0
20140819,137779.0,137881.0,137338.0,137405.0,24963,50004,0,0,0.0
20140820,137354.0,137419.0,136689.0,136806.0,35705,50346,0,0,0.0
20140821,136717.0,137094.0,136577.0,137056.0,28180,50941,0,0,0.0
20140822,137042.0,137219.0,136452.0,136669.0,41928,50660,0,0,0.0
20140825,136343.0,136632.0,136177.0,136469.0,25875,49152,0,0,0.0
20140826,136405.0,136694.0,136052.0,136169.0,43829,50017,0,0,0.0
20140827,136130.0,136694.0,135990.0,136556.0,47761,50222,0,0,0.0
20140828,136517.0,136856.0,136340.0,136519.0,46093,52336,0,0,0.0
20140829,136467.0,136669.0,135978.0,135994.0,46125,51847,0,0,0.0
20140902,135955.0,136107.0,135591.0,135844.0,46125,51847,0,0,0.0
20140903,135855.0,136119.0,135753.0,136069.0,49611,54792,0,0,0.0
20140904,136080.0,136119.0,133880.0,133921.0,79934,53669,0,0,0.0
20140905,133919.0,134508.0,133780.0,134171.0,59556,52677,201412,201412,0.0
20140908,134156.0,134233.0,133493.0,133684.0,58431,14129,0,0,100.0
20140909,133594.0,134108.0,133193.0,133746.0,76420,27030,0,0,0.0
20140910,133956.0,134046.0,132956.0,133272.0,139682,37535,0,0,0.0
20140911,133332.0,133784.0,133231.0,133497.0,68647,48049,0,0,0.0
20140912,133419.0,134034.0,133331.0,133747.0,68118,54344,0,0,0.0
20140915,133843.0,133884.0,133269.0,133522.0,31687,56658,0,0,0.0
20140916,133519.0,134296.0,133406.0,133921.0,33540,54807,0,0,0.0
20140917,133893.0,133972.0,133057.0,133185.0,59611,55135,0,0,0.0
20140918,132583.0,133822.0,132408.0,133659.0,51906,52499,0,0,0.0
20140919,133669.0,133797.0,132708.0,132785.0,31495,53505,0,0,0.0
20140922,132671.0,133173.0,132558.0,132735.0,33279,50833,0,0,0.0
20140923,132808.0,133522.0,132808.0,132985.0,29759,51975,0,0,0.0
20140924,132858.0,133010.0,132022.0,132124.0,32593,52476,0,0,0.0
20140925,132059.0,132111.0,131236.0,131899.0,40775,53669,0,0,0.0
20140926,131872.0,131999.0,131174.0,131275.0,30906,54787,0,0,0.0
20140929,131198.0,131612.0,131024.0,131337.0,33747,55213,0,0,0.0
20140930,131260.0,131450.0,130113.0,130775.0,54215,57059,0,0,0.0
20141001,130736.0,130826.0,130138.0,130488.0,40770,57139,0,0,0.0
20141002,130536.0,131213.0,130338.0,130937.0,50846,57207,0,0,0.0
20141003,130973.0,130976.0,128953.0,129015.0,50421,62542,0,0,0.0
20141006,129114.0,130514.0,128978.0,129988.0,49668,62919,0,0,0.0
20141007,130325.0,130664.0,129739.0,130450.0,52106,60355,0,0,0.0
20141008,130512.0,131288.0,130063.0,131111.0,47796,60889,0,0,0.0
20141009,131099.0,131837.0,130600.0,130849.0,64065,60833,0,0,0.0
20141010,130824.0,131051.0,130151.0,130325.0,33722,61051,0,0,0.0
20141013,130512.0,131263.0,130463.0,130924.0,26810,61631,0,0,0.0
20141014,131610.0,131675.0,130663.0,130837.0,34160,60799,0,0,0.0
20141015,130861.0,133385.0,130563.0,132235.0,108204,57172,0,0,0.0
20141016,132596.0,132798.0,131561.0,132360.0,72054,55358,0,0,0.0
20141017,132409.0,132748.0,131773.0,132048.0,32475,55015,0,0,0.0
20141020,131897.0,132611.0,131686.0,132522.0,25814,55598,0,0,0.0
20141021,132371.0,132848.0,131499.0,131648.0,39204,55172,0,0,0.0
20141022,131510.0,131787.0,130838.0,130887.0,36358,55129,0,0,0.0
20141023,130886.0,131175.0,130588.0,130887.0,28801,55500,0,0,0.0
20141024,130811.0,131450.0,130775.0,131087.0,24001,55640,0,0,0.0
20141027,131148.0,131725.0,131112.0,131599.0,29068,56398,0,0,0.0
20141028,131448.0,132174.0,131249.0,131849.0,32847,56625,0,0,0.0
20141029,131797.0,132224.0,130737.0,130901.0,36280,57361,0,0,0.0
20141030,130799.0,130839.0,129876.0,130577.0,46592,57376,0,0,0.0
20141031,130574.0,130627.0,129202.0,129691.0,64575,57739,0,0,0.0
20141103,129463.0,129554.0,128803.0,129379.0,42204,57561,0,0,0.0
20141104,129288.0,130303.0,129290.0,130128.0,41349,59243,0,0,0.0
20141105,130074.0,130266.0,129203.0,129404.0,53095,60998,0,0,0.0
20141106,129375.0,129991.0,128192.0,128431.0,65017,60606,0,0,0.0
20141107,128339.0,129355.0,128142.0,129067.0,59520,60993,0,0,0.0
20141110,129325.0,129817.0,128903.0,128942.0,34201,60681,0,0,0.0
20141111,128913.0,129717.0,128691.0,129329.0,28709,60563,0,0,0.0
20141112,129375.0,129742.0,128953.0,129092.0,42528,60683,0,0,0.0
20141113,129013.0,129742.0,129015.0,129679.0,30680,60854,0,0,0.0
20141114,129512.0,130391.0,128815.0,130153.0,60962,60458,0,0,0.0
20141117,130099.0,130678.0,129289.0,129392.0,36656,59732,0,0,0.0
20141118,129363.0,130366.0,129289.0,130241.0,37278,59842,0,0,0.0
20141119,130212.0,130965.0,130013.0,130341.0,47702,59561,0,0,0.0
20141120,130337.0,130665.0,129938.0,130353.0,46558,60063,0,0,0.0
20141121,130225.0,130515.0,128553.0,128668.0,59208,59787,0,0,0.0
20141124,128403.0,129167.0,128366.0,129080.0,34260,60033,0,0,0.0
20141125,129102.0,129566.0,128703.0,129404.0,35224,59975,0,0,0.0
20141126,129414.0,130090.0,129127.0,129928.0,35054,59802,0,0,0.0
20141128,129838.0,130028.0,129065.0,129167.0,44198,58577,0,0,0.0
20141201,129039.0,129866.0,128828.0,129467.0,48489,58644,0,0,0.0
20141202,129376.0,129442.0,128266.0,128319.0,38100,59428,0,0,0.0
20141203,128403.0,128469.0,127567.0,127645.0,45784,60593,0,0,0.0
20141204,127642.0,129355.0,127380.0,128394.0,110110,59338,0,0,0.0
20141205,128478.0,128619.0,127343.0,127570.0,66027,56402,201503,201503,0.0
20141208,127517.0,128232.0,127193.0,128019.0,51277,15820,0,0,50.0
20141209,127904.0,129380.0,127704.0,128618.0,94503,25493,0,0,0.0
20141210,128640.0,129255.0,128465.0,129117.0,70578,36960,0,0,0.0
20141211,129214.0,129717.0,128577.0,128730.0,119571,50043,0,0,0.0
20141212,128940.0,129829.0,128739.0,129466.0,67472,50762,0,0,0.0
20141215,129664.0,129754.0,129088.0,129304.0,37100,51008,0,0,0.0
20141216,129377.0,130715.0,129313.0,129853.0,78133,51049,0,0,0.0
20141217,130138.0,130166.0,128165.0,128256.0,70868,51122,0,0,0.0
20141218,128317.0,128482.0,126855.0,127470.0,98995,54403,0,0,0.0
20141219,127494.0,127684.0,126880.0,126946.0,40675,53636,0,0,0.0
20141222,126933.0,127422.0,126855.0,126896.0,22324,54230,0,0,0.0
20141223,126970.0,127160.0,126381.0,126522.0,21037,54063,0,0,0.0
20141224,126483.0,126985.0,126443.0,126659.0,9276,54557,0,0,0.0
20141226,126945.0,127097.0,126418.0,126509.0,6411,54592,0,0,0.0
20141229,126496.0,126935.0,126106.0,126272.0,19218,56681,0,0,0.0
20141231,126271.0,126436.0,125607.0,125673.0,15511,57777,0,0,0.0
20150102,125685.0,125712.0,124721.0,124762.0,28924,60109,0,0,0.0
20150105,124151.0,124477.0,123548.0,124101.0,40439,61895,0,0,0.0
20150106,124026.0,124377.0,123548.0,123876.0,45642,62828,0,0,0.0
20150107,123515.0,123728.0,122737.0,123240.0,44056,63697,0,0,0.0
20150108,123066.0,123204.0,122238.0,122516.0,35802,63782,0,0,0.0
20150109,122592.0,123192.0,122313.0,123140.0,46282,64776,0,0,0.0
20150112,123403.0,123429.0,122562.0,123115.0,31310,64116,0,0,0.0
20150113,122991.0,123329.0,122213.0,122329.0,41588,64682,0,0,0.0
20150114,122480.0,123204.0,121964.0,122466.0,52865,64118,0,0,0.0
20150115,122567.0,153219.0,122176.0,143262.0,111646,59577,0,0,0.0
20150116,146893.0,147979.0,141786.0,145957.0,79402,50994,0,0,0.0
20150120,145334.0,146432.0,141636.0,142551.0,49717,45339,0,0,0.0
20150121,143138.0,147418.0,142684.0,145720.0,26257,43586,0,0,0.0
20150122,145608.0,146994.0,143208.0,143699.0,16117,42576,0,0,0.0
20150123,143961.0,144362.0,142085.0,142701.0,15809,40663,0,0,0.0
20150126,142252.0,142990.0,138305.0,138971.0,18345,40837,0,0,0.0
20150127,138759.0,139871.0,136409.0,139220.0,18222,40751,0,0,0.0
20150128,138559.0,139185.0,137507.0,138060.0,12422,39526,0,0,0.0
20150129,138097.0,138187.0,135099.0,135166.0,17632,36777,0,0,0.0
20150130,135415.0,136565.0,134538.0,136326.0,19501,36476,0,0,0.0
20150202,135502.0,135879.0,133752.0,134729.0,13690,36683,0,0,0.0
20150203,134828.0,136141.0,134500.0,135490.0,11217,35723,0,0,0.0
20150204,135165.0,135767.0,134712.0,135328.0,9757,34503,0,0,0.0
20150205,135015.0,135829.0,134201.0,135453.0,10056,34253,0,0,0.0
20150206,135614.0,136203.0,134513.0,134804.0,13990,32684,0,0,0.0
20150209,134903.0,135953.0,134575.0,135652.0,10774,32779,0,0,0.0
20150210,135115.0,135616.0,134625.0,134854.0,10647,31733,0,0,0.0
20150211,134703.0,135379.0,134351.0,134667.0,11847,31821,0,0,0.0
20150212,134478.0,134942.0,133752.0,134118.0,12070,31741,0,0,0.0
20150213,134141.0,134780.0,133764.0,133893.0,6893,31634,0,0,0.0
20150217,133979.0,134530.0,133190.0,133319.0,16860,31398,0,0,0.0
20150218,133243.0,134056.0,132117.0,132346.0,11244,31614,0,0,0.0
20150219,132519.0,133058.0,131406.0,131460.0,11879,31910,0,0,0.0
20150220,131421.0,133220.0,130944.0,132483.0,21150,32407,0,0,0.0
20150223,132905.0,132983.0,131056.0,131348.0,13347,31765,0,0,0.0
20150224,131371.0,131823.0,131093.0,131360.0,11769,31913,0,0,0.0
20150225,131196.0,131873.0,131193.0,131747.0,9098,32737,0,0,0.0
