Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,93775.0,94600.0,93550.0,93815.0,36299,106057,0,0,0.0
20140604,93900.0,94400.0,93600.0,93960.0,27330,102826,0,0,0.0
20140605,94000.0,95775.0,93350.0,95415.0,51795,99064,0,0,0.0
20140606,95200.0,96000.0,94400.0,94955.0,60822,96934,0,0,0.0
20140609,95100.0,95950.0,94925.0,95330.0,49454,91032,0,0,0.0
20140610,95275.0,96225.0,94850.0,95840.0,56145,85787,0,0,0.0
20140611,95925.0,96650.0,95725.0,95860.0,59634,82862,0,0,0.0
20140612,95950.0,97825.0,95750.0,97665.0,80674,78459,0,0,0.0
20140613,97625.0,98600.0,97350.0,98275.0,67979,74413,0,0,0.0
20140616,98350.0,99375.0,97850.0,98575.0,63187,69657,0,0,0.0
20140617,98325.0,98875.0,97175.0,98660.0,51594,66497,0,0,0.0
20140618,98700.0,99600.0,98325.0,98890.0,54557,63558,0,0,0.0
20140619,99475.0,104625.0,99150.0,103240.0,117386,59430,201409,201409,0.0
20140620,103850.0,104875.0,102900.0,104720.0,109636,65059,0,0,250.0
20140623,104199.0,104700.0,103648.0,104570.0,81843,70777,0,0,0.0
20140624,104374.0,105872.0,104022.0,105233.0,111466,75656,0,0,0.0
20140625,104474.0,105847.0,103548.0,105602.0,115682,85321,0,0,0.0
20140626,105023.0,105623.0,103972.0,105557.0,106246,95660,0,0,0.0
20140627,105522.0,105997.0,104471.0,105417.0,71944,101665,0,0,0.0
20140630,105048.0,105598.0,103773.0,105028.0,53446,104543,0,0,0.0
20140701,105098.0,106122.0,104995.0,105332.0,49607,105252,0,0,0.0
20140702,105173.0,106421.0,104546.0,106255.0,45066,106734,0,0,0.0
20140703,105797.0,105897.0,103848.0,105432.0,43961,106453,0,0,0.0
20140707,105747.0,106146.0,104072.0,104818.0,42304,107973,0,0,0.0
20140708,105248.0,105971.0,104521.0,104813.0,45003,108911,0,0,0.0
20140709,105173.0,106171.0,104945.0,105087.0,39148,109138,0,0,0.0
20140710,105348.0,107892.0,105344.0,107282.0,60739,108814,0,0,0.0
20140711,107069.0,107568.0,106840.0,107048.0,33680,107700,0,0,0.0
20140714,107169.0,107393.0,104246.0,104320.0,58385,105168,0,0,0.0
20140715,104625.0,105398.0,103099.0,104195.0,56480,104924,0,0,0.0
20140716,103503.0,104151.0,102899.0,103626.0,37401,105319,0,0,0.0
20140717,103827.0,106246.0,103547.0,105417.0,52016,106860,0,0,0.0
20140718,105772.0,106321.0,103647.0,104180.0,36154,105214,0,0,0.0
20140721,104400.0,105573.0,104046.0,104808.0,23684,105135,0,0,0.0
20140722,104600.0,105349.0,103672.0,104788.0,38475,104683,0,0,0.0
20140723,104874.0,105274.0,104445.0,104723.0,26714,103936,0,0,0.0
20140724,104550.0,104601.0,101502.0,101830.0,67327,103175,0,0,0.0
20140725,101856.0,103803.0,101502.0,102932.0,44302,101474,0,0,0.0
20140728,103327.0,103628.0,102500.0,102588.0,39772,99659,0,0,0.0
20140729,102903.0,103977.0,102276.0,102668.0,40027,98064,0,0,0.0
20140730,102753.0,103553.0,102151.0,102738.0,35557,97808,0,0,0.0
20140731,102977.0,103653.0,101602.0,101815.0,45003,98499,0,0,0.0
20140801,101755.0,102655.0,100979.0,101610.0,53435,95104,0,0,0.0
20140804,101431.0,102156.0,100605.0,100922.0,40915,91951,0,0,0.0
20140805,100658.0,101208.0,98560.0,98927.0,65788,91000,0,0,0.0
20140806,98688.0,100435.0,98610.0,99880.0,64164,88373,0,0,0.0
20140807,100010.0,100410.0,99159.0,99710.0,55369,84238,0,0,0.0
20140808,99736.0,100684.0,98984.0,99466.0,67270,79710,0,0,0.0
20140811,99362.0,100310.0,98984.0,100234.0,41966,74950,0,0,0.0
20140812,99836.0,100534.0,99134.0,99286.0,59163,71205,0,0,0.0
20140813,99387.0,100185.0,98286.0,98987.0,65112,69426,0,0,0.0
20140814,98863.0,99686.0,98685.0,99291.0,47110,67785,0,0,0.0
20140815,99087.0,99536.0,97288.0,97391.0,64963,67997,0,0,0.0
20140818,97665.0,98239.0,97113.0,97940.0,32617,65809,0,0,0.0
20140819,97740.0,98264.0,96589.0,96828.0,48471,62325,0,0,0.0
20140820,96892.0,97690.0,96739.0,97252.0,61304,57178,0,0,0.0
20140821,97092.0,97166.0,96190.0,96843.0,57581,51327,201412,201412,0.0
20140822,96892.0,97565.0,96240.0,96738.0,66714,90210,0,0,325.0
20140825,96867.0,97142.0,96290.0,96599.0,46326,96065,0,0,0.0
20140826,96444.0,98111.0,96340.0,96738.0,83116,105950,0,0,0.0
20140827,96394.0,97166.0,96241.0,96818.0,78907,114460,0,0,0.0
20140828,96841.0,99179.0,96788.0,97484.0,79815,123044,0,0,0.0
20140829,97139.0,97812.0,96813.0,96902.0,36582,125398,0,0,0.0
20140902,96915.0,97265.0,94999.0,95212.0,36582,125398,0,0,0.0
20140903,95498.0,95848.0,95123.0,95396.0,29781,125337,0,0,0.0
20140904,95523.0,96395.0,94676.0,95142.0,47492,126409,0,0,0.0
20140905,94777.0,95848.0,94552.0,95231.0,27755,125750,0,0,0.0
20140908,95398.0,96171.0,94105.0,94262.0,31262,125622,0,0,0.0
20140909,94727.0,95226.0,93906.0,94058.0,34827,125668,0,0,0.0
20140910,94851.0,95077.0,93956.0,94088.0,36944,126464,0,0,0.0
20140911,94254.0,94381.0,92315.0,92462.0,65705,130355,0,0,0.0
20140912,92887.0,93064.0,91743.0,92497.0,47821,127260,0,0,0.0
20140915,92514.0,93014.0,92240.0,92567.0,28526,127208,0,0,0.0
20140916,92688.0,93884.0,92513.0,93069.0,47186,127125,0,0,0.0
20140917,92937.0,93461.0,91916.0,93134.0,34200,128054,0,0,0.0
20140918,92017.0,92566.0,90822.0,92055.0,47924,128798,0,0,0.0
20140919,92092.0,92442.0,88386.0,88709.0,68926,130678,0,0,0.0
20140922,88761.0,88813.0,86124.0,88361.0,80221,125106,0,0,0.0
