Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,219671.8,219703.2,219609.4,219625.0,246878,1031176,0,0,0.0
20140604,219641.0,219703.0,219609.0,219641.0,354036,1036897,0,0,0.0
20140605,219657.0,219719.0,219625.0,219704.0,199482,1036848,0,0,0.0
20140606,219720.0,219766.0,219578.0,219595.0,210055,1033876,0,0,0.0
20140609,219595.0,219594.0,219484.0,219501.0,158826,1030643,0,0,0.0
20140610,219501.0,219531.0,219421.0,219439.0,199063,1031097,0,0,0.0
20140611,219423.0,219500.0,219405.0,219470.0,171368,1010343,0,0,0.0
20140612,219470.0,219578.0,219389.0,219532.0,258373,1008036,0,0,0.0
20140613,219454.0,219453.0,219280.0,219391.0,218076,1016807,0,0,0.0
20140616,219376.0,219390.0,219280.0,219313.0,240381,1021570,0,0,0.0
20140617,219298.0,219328.0,219186.0,219219.0,266906,1030773,0,0,0.0
20140618,219204.0,219422.0,219170.0,219250.0,298316,1043895,0,0,0.0
20140619,219360.0,219469.0,219311.0,219344.0,209686,1032309,0,0,0.0
20140620,219376.0,219422.0,219280.0,219344.0,154285,1017878,0,0,0.0
20140623,219392.0,219406.0,219327.0,219360.0,93649,1018590,0,0,0.0
20140624,219345.0,219406.0,219311.0,219360.0,162779,1033810,0,0,0.0
20140625,219407.0,219515.0,219373.0,219469.0,182619,1046643,0,0,0.0
20140626,219454.0,219562.0,219404.0,219547.0,192837,1067432,0,0,0.0
20140627,219548.0,219593.0,219513.0,219563.0,165554,1078662,0,0,0.0
20140630,219564.0,219609.0,219529.0,219594.0,158694,1076413,0,0,0.0
20140701,219580.0,219593.0,219513.0,219547.0,173546,1092864,0,0,0.0
20140702,219533.0,219546.0,219404.0,219438.0,156079,1087431,0,0,0.0
20140703,219455.0,219468.0,219248.0,219313.0,208158,1088862,0,0,0.0
20140707,219252.0,219296.0,219217.0,219297.0,131200,1092499,0,0,0.0
20140708,219283.0,219374.0,219264.0,219328.0,132964,1099414,0,0,0.0
20140709,219346.0,219468.0,219186.0,219359.0,276684,1122062,0,0,0.0
20140710,219455.0,219624.0,219420.0,219531.0,271762,1132746,0,0,0.0
20140711,219533.0,219608.0,219514.0,219578.0,161229,1135667,0,0,0.0
20140714,219564.0,219608.0,219498.0,219515.0,103210,1134965,0,0,0.0
20140715,219501.0,219577.0,219404.0,219437.0,199293,1149744,0,0,0.0
20140716,219423.0,219452.0,219357.0,219374.0,119341,1157926,0,0,0.0
20140717,219392.0,219561.0,219373.0,219468.0,179953,1159655,0,0,0.0
20140718,219564.0,219577.0,219404.0,219452.0,133867,1160768,0,0,0.0
20140721,219423.0,219436.0,219373.0,219374.0,97424,1162168,0,0,0.0
20140722,219392.0,219467.0,219342.0,219437.0,192952,1179973,0,0,0.0
20140723,219470.0,219514.0,219451.0,219484.0,150916,1184767,0,0,0.0
20140724,219501.0,219514.0,219373.0,219406.0,169894,1195461,0,0,0.0
20140725,219423.0,219436.0,219373.0,219422.0,88814,1196357,0,0,0.0
20140728,219423.0,219436.0,219373.0,219406.0,212630,1225313,0,0,0.0
20140729,219392.0,219420.0,219357.0,219422.0,212665,1258126,0,0,0.0
20140730,219408.0,219404.0,219185.0,219313.0,281414,1263322,0,0,0.0
20140731,219330.0,219435.0,219263.0,219422.0,278757,1291189,0,0,0.0
20140801,219424.0,219701.0,219404.0,219672.0,305271,1296721,0,0,0.0
20140804,219658.0,219685.0,219638.0,219672.0,170992,1291522,0,0,0.0
20140805,219689.0,219701.0,219607.0,219656.0,227364,1299115,0,0,0.0
20140806,219673.0,219748.0,219638.0,219687.0,236553,1307473,0,0,0.0
20140807,219689.0,219795.0,219654.0,219765.0,209948,1325415,0,0,0.0
20140808,219783.0,219873.0,219701.0,219749.0,265625,1309398,0,0,0.0
20140811,219721.0,219764.0,219685.0,219733.0,142052,1309256,0,0,0.0
20140812,219752.0,219780.0,219701.0,219749.0,175301,1297704,0,0,0.0
20140813,219752.0,219827.0,219717.0,219812.0,203626,1306294,0,0,0.0
20140814,219815.0,219905.0,219779.0,219828.0,258095,1314781,0,0,0.0
20140815,219815.0,219952.0,219748.0,219859.0,306020,1341134,0,0,0.0
20140818,219862.0,219858.0,219779.0,219843.0,150382,1357390,0,0,0.0
20140819,219831.0,219889.0,219795.0,219812.0,173987,1364927,0,0,0.0
20140820,219815.0,219811.0,219592.0,219640.0,353585,1381671,0,0,0.0
20140821,219627.0,219717.0,219608.0,219656.0,513282,1316291,201412,201412,0.0
20140822,219643.0,219686.0,219514.0,219578.0,364167,217325,0,0,-687.6
20140825,219565.0,219608.0,219514.0,219547.0,577897,344865,0,0,0.0
20140826,219518.0,219592.0,219514.0,219578.0,1509823,681399,0,0,0.0
20140827,219596.0,219655.0,219577.0,219594.0,1764950,1032372,0,0,0.0
20140828,219612.0,219671.0,219593.0,219672.0,757045,1190563,0,0,0.0
20140829,219659.0,219765.0,219624.0,219735.0,454747,1226018,0,0,0.0
20140902,219722.0,219765.0,219561.0,219563.0,454747,1226018,0,0,0.0
20140903,219581.0,219608.0,219483.0,219594.0,291662,1310526,0,0,0.0
20140904,219597.0,219686.0,219499.0,219531.0,376883,1321717,0,0,0.0
20140905,219534.0,219733.0,219421.0,219656.0,332052,1348275,0,0,0.0
20140908,219659.0,219702.0,219546.0,219562.0,168015,1354741,0,0,0.0
20140909,219534.0,219545.0,219389.0,219437.0,254564,1366754,0,0,0.0
20140910,219440.0,219435.0,219342.0,219390.0,347010,1437342,0,0,0.0
20140911,219362.0,219466.0,219342.0,219390.0,364349,1475538,0,0,0.0
20140912,219362.0,219419.0,219311.0,219390.0,236311,1497591,0,0,0.0
20140915,219393.0,219482.0,219374.0,219453.0,240838,1539779,0,0,0.0
20140916,219471.0,219576.0,219452.0,219531.0,282256,1544626,0,0,0.0
20140917,219518.0,219670.0,219358.0,219453.0,497629,1604294,0,0,0.0
20140918,219408.0,219435.0,219280.0,219406.0,347816,1639077,0,0,0.0
20140919,219408.0,219435.0,219311.0,219406.0,202674,1648583,0,0,0.0
20140922,219408.0,219545.0,219405.0,219531.0,166344,1658333,0,0,0.0
20140923,219486.0,219592.0,219483.0,219594.0,283007,1672020,0,0,0.0
20140924,219580.0,219592.0,219514.0,219531.0,224190,1657797,0,0,0.0
20140925,219517.0,219670.0,219514.0,219625.0,262899,1667625,0,0,0.0
20140926,219674.0,219686.0,219483.0,219531.0,326636,1665544,0,0,0.0
20140929,219549.0,219623.0,219514.0,219562.0,277116,1637875,0,0,0.0
20140930,219565.0,219639.0,219483.0,219531.0,303547,1607989,0,0,0.0
20141001,219628.0,219874.0,219577.0,219797.0,638947,1497907,0,0,0.0
20141002,219816.0,219905.0,219750.0,219766.0,329532,1473242,0,0,0.0
20141003,219800.0,219811.0,219593.0,219641.0,270615,1461887,0,0,0.0
20141006,219675.0,219827.0,219640.0,219798.0,166047,1464726,0,0,0.0
20141007,219769.0,219968.0,219734.0,219892.0,352059,1511884,0,0,0.0
20141008,219957.0,220187.0,219859.0,220127.0,379565,1488940,0,0,0.0
20141009,220130.0,220281.0,220110.0,220158.0,365751,1468826,0,0,0.0
20141010,220208.0,220281.0,220079.0,220221.0,223556,1456882,0,0,0.0
20141013,220286.0,220438.0,220267.0,220378.0,68211,1445508,0,0,0.0
20141014,220443.0,220548.0,220330.0,220503.0,352512,1429337,0,0,0.0
20141015,220521.0,221112.0,220471.0,220816.0,820702,1401324,0,0,0.0
20141016,220725.0,220971.0,220581.0,220659.0,468452,1384302,0,0,0.0
20141017,220615.0,220736.0,220487.0,220518.0,273564,1402800,0,0,0.0
20141020,220537.0,220642.0,220487.0,220628.0,242176,1395364,0,0,0.0
20141021,220615.0,220705.0,220550.0,220612.0,189622,1399171,0,0,0.0
20141022,220584.0,220642.0,220472.0,220549.0,176390,1410653,0,0,0.0
20141023,220600.0,220611.0,220425.0,220471.0,192990,1434936,0,0,0.0
20141024,220490.0,220595.0,220456.0,220502.0,171818,1420104,0,0,0.0
20141027,220521.0,220611.0,220472.0,220565.0,183087,1386035,0,0,0.0
20141028,220568.0,220595.0,220503.0,220549.0,184295,1380310,0,0,0.0
20141029,220537.0,220548.0,220252.0,220298.0,254726,1353724,0,0,0.0
20141030,220318.0,220391.0,220221.0,220314.0,276889,1324832,0,0,0.0
20141031,220349.0,220360.0,220205.0,220251.0,220365,1322570,0,0,0.0
20141103,220271.0,220282.0,220127.0,220188.0,145658,1313915,0,0,0.0
20141104,220177.0,220251.0,220158.0,220188.0,153286,1318988,0,0,0.0
20141105,220208.0,220204.0,220095.0,220141.0,153448,1315361,0,0,0.0
20141106,220161.0,220188.0,220017.0,220078.0,189095,1326896,0,0,0.0
20141107,220051.0,220266.0,219986.0,220251.0,281645,1343482,0,0,0.0
20141110,220239.0,220329.0,220096.0,220110.0,253112,1366217,0,0,0.0
20141111,220114.0,220141.0,220065.0,220063.0,44526,1377629,0,0,0.0
20141112,220083.0,220172.0,220065.0,220110.0,282454,1457808,0,0,0.0
20141113,220114.0,220219.0,220081.0,220204.0,172998,1426611,0,0,0.0
20141114,220208.0,220266.0,220081.0,220251.0,198062,1423546,0,0,0.0
20141117,220224.0,220329.0,220206.0,220267.0,217822,1427828,0,0,0.0
20141118,220287.0,220329.0,220253.0,220283.0,197457,1420861,0,0,0.0
20141119,220303.0,220298.0,220159.0,220236.0,322498,1400776,0,0,0.0
20141120,220240.0,220361.0,220237.0,220314.0,822256,1271157,0,0,0.0
20141121,220303.0,220361.0,220253.0,220345.0,708366,1145743,201503,201503,0.0
20141124,220366.0,220392.0,220284.0,220361.0,1368379,733962,0,0,-765.6
20141125,220382.0,220471.0,220315.0,220455.0,1902343,1042571,0,0,0.0
20141126,220429.0,220534.0,220409.0,220502.0,1016779,1272480,0,0,0.0
20141128,220492.0,220628.0,220472.0,220596.0,212905,1287676,0,0,0.0
20141201,220634.0,220770.0,220566.0,220596.0,365362,1327847,0,0,0.0
20141202,220603.0,220597.0,220393.0,220423.0,349078,1324727,0,0,0.0
20141203,220414.0,220424.0,220299.0,220313.0,307347,1327270,0,0,0.0
20141204,220320.0,220408.0,220299.0,220376.0,166361,1314504,0,0,0.0
20141205,220399.0,220408.0,219890.0,219920.0,415235,1315827,0,0,0.0
20141208,219911.0,219999.0,219796.0,219936.0,259063,1310693,0,0,0.0
20141209,219974.0,220188.0,219938.0,220015.0,348659,1301107,0,0,0.0
20141210,220068.0,220282.0,219985.0,220235.0,235543,1289374,0,0,0.0
20141211,220273.0,220329.0,220032.0,220109.0,240270,1296585,0,0,0.0
20141212,220147.0,220471.0,220111.0,220361.0,276776,1278461,0,0,0.0
20141215,220399.0,220471.0,220205.0,220219.0,219731,1258997,0,0,0.0
