Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140527,127370.0,127570.0,127320.0,127540.0,523080,58658,0,0,0.0
20140528,127550.0,127720.0,127550.0,127700.0,376980,86420,0,0,0.0
20140529,127690.0,127720.0,127580.0,127590.0,497490,106344,0,0,0.0
20140530,127530.0,127650.0,127470.0,127650.0,972810,139344,0,0,0.0
20140602,127650.0,127730.0,127500.0,127570.0,1561700,302204,0,0,0.0
20140603,127580.0,127600.0,127300.0,127350.0,1612900,543447,0,0,0.0
20140604,127360.0,127460.0,127250.0,127360.0,1070200,767463,0,0,0.0
20140605,127410.0,127700.0,127200.0,127660.0,751230,847276,0,0,0.0
20140606,127680.0,128090.0,127640.0,127870.0,313750,865059,0,0,0.0
20140609,127830.0,127910.0,127650.0,127690.0,424810,874073,0,0,0.0
20140610,127740.0,127750.0,127480.0,127500.0,448040,895993,0,0,0.0
20140611,127470.0,127710.0,127390.0,127660.0,425450,874045,0,0,0.0
20140612,127560.0,127860.0,127560.0,127750.0,459860,869450,0,0,0.0
20140613,127730.0,127830.0,127550.0,127780.0,251590,870942,0,0,0.0
20140616,127850.0,127880.0,127750.0,127790.0,409950,861947,0,0,0.0
20140617,127810.0,127830.0,127530.0,127570.0,366000,859373,0,0,0.0
20140618,127580.0,127780.0,127510.0,127760.0,407760,859047,0,0,0.0
20140619,127830.0,128010.0,127780.0,127870.0,296820,848356,0,0,0.0
20140620,127900.0,127930.0,127730.0,127800.0,319540,850514,0,0,0.0
20140623,127780.0,127970.0,127720.0,127850.0,313250,846972,0,0,0.0
20140624,127850.0,127940.0,127820.0,127920.0,376720,857176,0,0,0.0
20140625,127930.0,128140.0,127880.0,128090.0,329860,855555,0,0,0.0
20140626,128080.0,128180.0,128050.0,128140.0,339080,859490,0,0,0.0
20140627,128170.0,128180.0,127960.0,127990.0,355390,860413,0,0,0.0
20140630,128010.0,128170.0,127910.0,128170.0,325070,851757,0,0,0.0
20140701,128130.0,128250.0,128080.0,128160.0,417330,880052,0,0,0.0
20140702,128190.0,128260.0,128020.0,128040.0,500860,894622,0,0,0.0
20140703,128060.0,128070.0,127790.0,128060.0,260610,914110,0,0,0.0
20140707,128130.0,128220.0,128110.0,128150.0,339840,921916,0,0,0.0
20140708,128150.0,128360.0,128110.0,128340.0,299480,964170,0,0,0.0
20140709,128320.0,128360.0,128260.0,128340.0,458520,954990,0,0,0.0
20140710,128340.0,128540.0,128310.0,128320.0,289700,961741,0,0,0.0
20140711,128350.0,128420.0,128290.0,128360.0,158830,945479,0,0,0.0
20140714,128340.0,128380.0,128310.0,128360.0,410190,941872,0,0,0.0
20140715,128370.0,128460.0,128270.0,128330.0,272090,922909,0,0,0.0
20140716,128360.0,128400.0,128320.0,128400.0,372030,919599,0,0,0.0
20140717,128430.0,128520.0,128380.0,128520.0,318920,915192,0,0,0.0
20140718,128470.0,128520.0,128360.0,128390.0,230640,922045,0,0,0.0
20140721,128410.0,128440.0,128370.0,128380.0,385060,917699,0,0,0.0
20140722,128390.0,128420.0,128250.0,128360.0,299030,919035,0,0,0.0
20140723,128360.0,128470.0,128310.0,128420.0,361640,924846,0,0,0.0
20140724,128440.0,128440.0,128250.0,128290.0,362831,913120,0,0,0.0
20140725,128290.0,128480.0,128260.0,128480.0,231560,905707,0,0,0.0
20140728,128470.0,128470.0,128320.0,128370.0,340180,912157,0,0,0.0
20140729,128350.0,128520.0,128340.0,128510.0,416300,922621,0,0,0.0
20140730,128460.0,128510.0,128190.0,128230.0,463420,916962,0,0,0.0
20140731,128260.0,128450.0,128220.0,128440.0,484500,922728,0,0,0.0
20140801,128380.0,128560.0,128290.0,128490.0,228780,942452,0,0,0.0
20140804,128480.0,128520.0,128430.0,128430.0,317230,927844,0,0,0.0
20140805,128450.0,128480.0,128280.0,128410.0,426200,934808,0,0,0.0
20140806,128380.0,128700.0,128380.0,128660.0,416050,978018,0,0,0.0
20140807,128640.0,128780.0,128620.0,128780.0,388480,969831,0,0,0.0
