Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140527,110640.0,110650.0,110630.0,110630.0,418870,99797,0,0,0.0
20140528,110630.0,110640.0,110630.0,110640.0,261340,131809,0,0,0.0
20140529,110630.0,110630.0,110600.0,110600.0,309420,149174,0,0,0.0
20140530,110600.0,110620.0,110590.0,110620.0,913610,167003,0,0,0.0
20140602,110620.0,110660.0,110610.0,110620.0,1350800,329033,0,0,0.0
20140603,110630.0,110630.0,110590.0,110630.0,1099500,606426,0,0,0.0
20140604,110620.0,110660.0,110620.0,110650.0,870760,847174,0,0,0.0
20140605,110650.0,110690.0,110590.0,110650.0,334170,941449,0,0,0.0
20140606,110650.0,110660.0,110610.0,110630.0,144148,925850,0,0,0.0
20140609,110620.0,110630.0,110600.0,110610.0,220350,936384,0,0,0.0
20140610,110620.0,110620.0,110590.0,110600.0,344550,953683,0,0,0.0
20140611,110590.0,110650.0,110590.0,110640.0,312460,967859,0,0,0.0
20140612,110640.0,110670.0,110640.0,110660.0,351350,965641,0,0,0.0
20140613,110640.0,110680.0,110620.0,110670.0,160080,954762,0,0,0.0
20140616,110680.0,110680.0,110650.0,110660.0,240420,950153,0,0,0.0
20140617,110660.0,110670.0,110610.0,110630.0,157250,928598,0,0,0.0
20140618,110630.0,110650.0,110620.0,110640.0,189830,940531,0,0,0.0
20140619,110650.0,110660.0,110640.0,110650.0,146010,936583,0,0,0.0
20140620,110650.0,110650.0,110630.0,110630.0,145810,937684,0,0,0.0
20140623,110640.0,110660.0,110630.0,110630.0,111220,936679,0,0,0.0
20140624,110630.0,110650.0,110630.0,110650.0,222130,936785,0,0,0.0
20140625,110650.0,110670.0,110640.0,110660.0,151010,937931,0,0,0.0
20140626,110660.0,110680.0,110650.0,110670.0,141790,935876,0,0,0.0
20140627,110670.0,110670.0,110640.0,110640.0,210720,926132,0,0,0.0
20140630,110650.0,110670.0,110640.0,110670.0,174290,924355,0,0,0.0
20140701,110670.0,110690.0,110660.0,110680.0,155580,949126,0,0,0.0
20140702,110680.0,110690.0,110660.0,110670.0,219120,951996,0,0,0.0
20140703,110670.0,110690.0,110650.0,110670.0,118270,956547,0,0,0.0
20140707,110680.0,110690.0,110670.0,110680.0,162470,952852,0,0,0.0
20140708,110690.0,110700.0,110680.0,110700.0,151890,968773,0,0,0.0
20140709,110690.0,110700.0,110670.0,110680.0,208290,964575,0,0,0.0
20140710,110680.0,110710.0,110680.0,110680.0,152370,964614,0,0,0.0
20140711,110680.0,110690.0,110680.0,110690.0,72173,969600,0,0,0.0
20140714,110690.0,110690.0,110670.0,110680.0,161020,956052,0,0,0.0
20140715,110680.0,110700.0,110670.0,110680.0,90832,952728,0,0,0.0
20140716,110690.0,110690.0,110680.0,110680.0,153860,961780,0,0,0.0
20140717,110690.0,110690.0,110680.0,110680.0,149390,941294,0,0,0.0
20140718,110680.0,110690.0,110660.0,110670.0,93505,945320,0,0,0.0
20140721,110680.0,110680.0,110670.0,110670.0,157450,946932,0,0,0.0
20140722,110670.0,110670.0,110650.0,110670.0,72123,922854,0,0,0.0
20140723,110670.0,110670.0,110660.0,110670.0,143620,914937,0,0,0.0
20140724,110670.0,110670.0,110650.0,110660.0,144545,895143,0,0,0.0
20140725,110650.0,110680.0,110650.0,110680.0,106090,892507,0,0,0.0
20140728,110670.0,110680.0,110650.0,110650.0,155830,890709,0,0,0.0
20140729,110650.0,110670.0,110640.0,110670.0,158720,887518,0,0,0.0
20140730,110670.0,110670.0,110640.0,110650.0,256510,872915,0,0,0.0
20140731,110650.0,110680.0,110650.0,110670.0,215360,883265,0,0,0.0
20140801,110670.0,110690.0,110660.0,110680.0,92636,889436,0,0,0.0
20140804,110680.0,110680.0,110670.0,110670.0,133970,880954,0,0,0.0
20140805,110670.0,110670.0,110660.0,110670.0,253280,881837,0,0,0.0
20140806,110670.0,110720.0,110670.0,110710.0,294060,902704,0,0,0.0
20140807,110710.0,110730.0,110690.0,110720.0,216450,909833,0,0,0.0
20140808,110730.0,110730.0,110690.0,110690.0,162470,890232,0,0,0.0
20140811,110690.0,110730.0,110690.0,110730.0,111130,916082,0,0,0.0
20140812,110730.0,110740.0,110720.0,110720.0,129080,919431,0,0,0.0
20140813,110720.0,110740.0,110720.0,110740.0,130219,931099,0,0,0.0
20140814,110730.0,110740.0,110710.0,110730.0,140470,957952,0,0,0.0
20140815,110730.0,110750.0,110720.0,110730.0,141720,919688,0,0,0.0
20140818,110730.0,110740.0,110720.0,110730.0,133810,925233,0,0,0.0
