Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,31100.0,31200.0,30550.0,30625.0,114203,192073,0,0,0.0
20140604,30625.0,30975.0,30538.0,30725.0,86239,187479,0,0,0.0
20140605,30675.0,30863.0,30250.0,30288.0,93976,183050,0,0,0.0
20140606,30275.0,30976.0,30150.0,30913.0,128044,175841,0,0,0.0
20140609,30913.0,31314.0,30375.0,30625.0,133613,168194,0,0,0.0
20140610,30738.0,30801.0,29963.0,30063.0,134744,160999,0,0,0.0
20140611,30150.0,30426.0,29425.0,29463.0,156278,146503,0,0,0.0
20140612,29400.0,29676.0,29200.0,29263.0,132007,129263,0,0,0.0
20140613,29275.0,29726.0,29175.0,29301.0,154435,113862,0,0,0.0
20140616,29300.0,29739.0,29013.0,29051.0,103253,107671,0,0,0.0
20140617,29050.0,29239.0,28838.0,29089.0,134805,93721,0,0,0.0
20140618,29100.0,29902.0,29076.0,29352.0,120199,82354,0,0,0.0
20140619,29313.0,29827.0,29289.0,29677.0,105909,74867,201409,201409,0.0
20140620,29663.0,29727.0,29151.0,29227.0,95089,174744,0,0,437.5
20140623,29232.0,29616.0,28929.0,29018.0,109688,177758,0,0,0.0
20140624,29035.0,29049.0,28535.0,28612.0,84433,181169,0,0,0.0
20140625,28579.0,28815.0,28424.0,28784.0,82280,185954,0,0,0.0
20140626,28776.0,29074.0,28559.0,28809.0,124427,188544,0,0,0.0
20140627,28813.0,29444.0,28768.0,29252.0,92686,192832,0,0,0.0
20140630,29170.0,29198.0,27955.0,28451.0,115256,193044,0,0,0.0
20140701,28456.0,28631.0,28041.0,28205.0,85529,194634,0,0,0.0
20140702,28259.0,28434.0,28016.0,28353.0,61659,196345,0,0,0.0
20140703,28395.0,28631.0,28176.0,28550.0,61879,198534,0,0,0.0
20140707,28395.0,28434.0,27388.0,27429.0,81309,197734,0,0,0.0
20140708,27459.0,27646.0,27339.0,27404.0,64574,197594,0,0,0.0
20140709,27410.0,27510.0,26982.0,27158.0,70522,198780,0,0,0.0
20140710,27201.0,27399.0,26908.0,27023.0,79438,201202,0,0,0.0
20140711,26967.0,27091.0,25861.0,25914.0,116574,202616,0,0,0.0
20140714,25932.0,26561.0,25824.0,26493.0,74441,202313,0,0,0.0
20140715,26511.0,26586.0,26132.0,26493.0,62918,203081,0,0,0.0
20140716,26462.0,26845.0,26391.0,26505.0,53031,204925,0,0,0.0
20140717,26511.0,27683.0,26145.0,27133.0,140124,201877,0,0,0.0
20140718,27226.0,27387.0,26157.0,26222.0,81648,204346,0,0,0.0
20140721,26142.0,26180.0,25800.0,26111.0,63713,203104,0,0,0.0
20140722,26093.0,26451.0,25812.0,25840.0,68059,206287,0,0,0.0
20140723,25847.0,26168.0,25627.0,26148.0,58569,208091,0,0,0.0
20140724,26143.0,26722.0,25910.0,26049.0,75497,204117,0,0,0.0
20140725,26057.0,26537.0,25935.0,26505.0,59118,202306,0,0,0.0
20140728,26513.0,26771.0,26206.0,26345.0,99660,204490,0,0,0.0
20140729,26341.0,26401.0,25541.0,25618.0,99650,202838,0,0,0.0
20140730,25688.0,26068.0,25603.0,25975.0,96511,200882,0,0,0.0
20140731,25971.0,26425.0,25788.0,26123.0,114814,196620,0,0,0.0
20140801,26168.0,26807.0,26133.0,26320.0,119885,190908,0,0,0.0
20140804,26353.0,27263.0,26318.0,26800.0,111393,187694,0,0,0.0
20140805,26797.0,27312.0,26503.0,27219.0,96737,183809,0,0,0.0
20140806,27253.0,28187.0,27230.0,27983.0,155195,179729,0,0,0.0
20140807,27992.0,28002.0,27513.0,27663.0,165430,163865,0,0,0.0
20140808,27647.0,27669.0,26897.0,27059.0,157813,150187,0,0,0.0
20140811,27031.0,27423.0,26749.0,26924.0,202059,130476,0,0,0.0
20140812,26969.0,26980.0,26281.0,26505.0,201470,111043,0,0,0.0
20140813,26501.0,26820.0,25973.0,26012.0,145816,101092,0,0,0.0
20140814,26033.0,26574.0,26010.0,26468.0,96035,93550,0,0,0.0
20140815,26378.0,27412.0,26281.0,27158.0,133847,85907,0,0,0.0
20140818,27093.0,27178.0,26626.0,26727.0,72349,79892,0,0,0.0
20140819,26662.0,27400.0,26380.0,26899.0,108754,67873,0,0,0.0
20140820,26921.0,27067.0,26318.0,26579.0,113231,56938,0,0,0.0
20140821,26588.0,27092.0,26441.0,26912.0,98488,51503,201412,201412,0.0
20140822,26908.0,27671.0,26897.0,27257.0,133299,242830,0,0,450.0
20140825,27163.0,27404.0,26776.0,26881.0,75123,245500,0,0,0.0
20140826,26836.0,27064.0,26497.0,26978.0,91775,244717,0,0,0.0
20140827,26909.0,27307.0,26691.0,27257.0,70377,246445,0,0,0.0
20140828,27261.0,28095.0,27091.0,27718.0,115028,243432,0,0,0.0
20140829,27637.0,28071.0,27200.0,27318.0,67510,242264,0,0,0.0
20140902,27285.0,27453.0,26691.0,26906.0,67510,242264,0,0,0.0
20140903,26933.0,26992.0,25928.0,25973.0,116346,248904,0,0,0.0
20140904,25988.0,26046.0,25565.0,25706.0,70783,248645,0,0,0.0
20140905,25733.0,26289.0,25601.0,25948.0,69249,248692,0,0,0.0
20140908,25951.0,26156.0,25407.0,25863.0,47679,248340,0,0,0.0
20140909,25878.0,25889.0,25359.0,25572.0,49013,249185,0,0,0.0
20140910,25636.0,25671.0,25165.0,25196.0,56581,249663,0,0,0.0
20140911,25115.0,25186.0,24377.0,24699.0,83471,250176,0,0,0.0
20140912,24654.0,24701.0,24232.0,24360.0,62606,251420,0,0,0.0
20140915,24315.0,24446.0,24038.0,24275.0,53822,251209,0,0,0.0
20140916,24194.0,24664.0,23796.0,24057.0,66854,254696,0,0,0.0
20140917,24049.0,24324.0,23954.0,24202.0,45781,254104,0,0,0.0
20140918,24061.0,24191.0,23639.0,23681.0,47118,253584,0,0,0.0
20140919,23649.0,23682.0,22960.0,23002.0,70695,252255,0,0,0.0
20140922,23091.0,23318.0,22754.0,23111.0,109348,257952,0,0,0.0
20140923,23055.0,23269.0,22827.0,23075.0,82556,259759,0,0,0.0
20140924,22958.0,23499.0,22948.0,23281.0,106497,253379,0,0,0.0
20140925,23285.0,23450.0,22597.0,22978.0,89900,257132,0,0,0.0
20140926,22921.0,23098.0,22706.0,22990.0,45393,252971,0,0,0.0
20140929,22824.0,23401.0,22803.0,23329.0,57898,253845,0,0,0.0
20140930,23333.0,23365.0,22682.0,23159.0,91099,257526,0,0,0.0
20141001,23115.0,23474.0,22755.0,23220.0,68096,257139,0,0,0.0
20141002,23151.0,23753.0,23131.0,23402.0,78693,255982,0,0,0.0
20141003,23430.0,23717.0,23167.0,23547.0,66769,252388,0,0,0.0
20141006,23539.0,23996.0,23494.0,23826.0,62196,255327,0,0,0.0
20141007,23830.0,24711.0,23712.0,24541.0,108182,247440,0,0,0.0
20141008,24594.0,24820.0,24330.0,24614.0,71482,246581,0,0,0.0
20141009,24630.0,24650.0,23845.0,23911.0,93530,244053,0,0,0.0
20141010,23927.0,24662.0,23663.0,24166.0,112735,243557,0,0,0.0
20141013,24169.0,24565.0,24014.0,24493.0,67060,241911,0,0,0.0
20141014,24496.0,24735.0,24147.0,24687.0,53887,240798,0,0,0.0
20141015,24726.0,25038.0,24305.0,24529.0,78821,236617,0,0,0.0
20141016,24544.0,25135.0,24366.0,25062.0,65316,236371,0,0,0.0
20141017,25102.0,25329.0,24851.0,25014.0,69177,232206,0,0,0.0
20141020,24969.0,25014.0,24584.0,24893.0,58146,229331,0,0,0.0
